Property Address,PROPREF,DATE_START,RV as at March 2014
"4/8 Bridge End, Brighouse, HD6 3DH",29092706,01/04/2007,3900
"Wellington House, Briggate, Brighouse, HD6 1DN",29100700,01/04/2007,8100
"Black Swan Hotel, 47 Briggate, Brighouse, HD6 1EB",29100703,11/11/2008,9700
"The Bridge, 62 Briggate, Brighouse, HD6 1EF",29100704,08/06/2011,7000
"Masonic Hall, Adj 72 Briggate, Brighouse, HD6 1EL",29100707,01/04/2007,8600
"1st Floor Wellington House, Briggate, Brighouse, HD6 1DN",29100709,01/04/2010,10250
"52 Briggate, Brighouse, HD6 1EF",29100713,01/04/2010,4200
"98A Briggate, Brighouse, HD6 1EL",29100714,01/09/2011,2400
"100A Briggate, Brighouse, HD6 1EL",29100715,14/11/2013,2750
"Grey Shed   Springvale Works, Elland Road, Brighouse, HD6 2RN",29112703,01/04/2007,10000
"Rastrick Tennis Club, Carr Green Lane, Rastrick, Brighouse           HD6 3LT",29132701,01/04/2007,8900
"5 Carr Street, Brighouse, HD6 4AZ",29136701,01/04/2007,5600
"1 Castle Avenue, Brighouse, HD6 3HT",29140001,01/04/2010,5700
"Castle Avenue Fisheries, Castle Avenue, Brighouse, HD6 3HT",29140003,01/04/2007,2650
"Model Railway Club, Cawcliffe Road, Brighouse, HD6 2HP",29144700,01/04/2007,1575
"Ravensprings, Cawcliffe Road, Brighouse, HD6 2HP",29144701,01/04/2010,1600
"17 Charles Street, Brighouse, HD6 2DX",29152017,23/05/2012,8300
"96 Commercial Street, Brighouse, HD6 1AQ",29156701,27/04/2012,9200
"Brighouse Pharmacy, 24 Church Lane, Brighouse, HD6 1AT",29156726,28/06/2012,7300
"4 Church Street, Brighouse, HD6 3NF",29160004,01/04/2007,6300
"5 Church Street, Brighouse, HD6 3NF",29160005,01/04/2007,3850
"7 Church Street, Brighouse, HD6 3NF",29160007,01/04/2010,4100
"9 Church Street, Brighouse, HD6 3NF",29160009,10/08/2013,3800
"10 Church Street, Brighouse, HD6 3NF",29160010,01/04/2007,2950
"2 Church Street, Brighouse, HD6 3NF",29160701,20/05/2013,8300
"Cliffe Hall, 9 Cliffe Road, Brighouse, HD6 1HE",29172009,01/04/2007,3750
"Cliffe Works, Cliffe Road, Brighouse, HD6 1HE",29172701,01/04/2007,4550
"4 Clifton Common, Clifton, Brighouse, HD6 1QW",29176004,01/03/2013,2750
"Roundhill Inn, 75 Clough Lane, Rastrick, Brighouse           HD6 3QL",29184701,01/04/2007,6900
"3 Commercial Street, Brighouse, HD6 1AF",29196003,01/04/2007,8900
"First Floor, 25 Commercial Street, Brighouse, HD6 1AF",29196025,01/04/2007,7700
"51 Commercial Street, Brighouse, HD6 1AF",29196051,09/09/2012,11000
"100 Commercial Street, Brighouse, HD6 1AQ",29196100,01/04/2007,9600
"102 Commercial Street, Brighouse, HD6 1AQ",29196102,08/01/2011,9900
"104 Commercial Street, Brighouse, HD6 1AQ",29196104,01/11/2008,8000
"106 Commercial Street, Brighouse, HD6 1AQ",29196106,01/04/2011,9400
"108 Commercial Street, Brighouse, HD6 1AQ",29196108,01/07/2013,9600
"110 Commercial Street, Brighouse, HD6 1AQ",29196110,01/04/2007,7800
"112 Commercial Street, Brighouse, HD6 1AQ",29196112,01/08/2012,4800
"114 Commercial Street, Brighouse, HD6 1AQ",29196114,01/10/2012,5000
"1ST Floor, 72A/74A Commercial Street, Brighouse, HD6 1AQ",29196709,24/06/2011,6300
"3A Commercial Street, Brighouse, HD6 1AF",29196719,01/04/2007,6600
"128 Crowtrees Lane, Brighouse, HD6 3NH",29200128,01/04/2007,2950
"Greyhound Inn, 132 Crowtrees Lane, Brighouse, HD6 3NH",29200704,01/02/2012,9000
"1/2 Crowtrees Parade, Crowtrees Lane, Brighouse, HD6 3XE",29200710,13/08/2010,11500
"Unit J, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",29232706,01/04/2008,2500
"Unit O, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",29232712,14/02/2012,3650
"Unit 4, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",29232717,28/11/2012,6500
"Unit 3a, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",29232719,16/04/2013,6700
"Unit G, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",29232724,01/06/2010,8300
"98 Elland Road, Brighouse, HD6 2QR",29236098,01/02/2013,7900
"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",29236704,01/04/2013,7000
"Cromwell Lake, Elland Road, Brighouse, HD6 2RG",29236705,01/04/2007,7900
"Tag Lock Works, Elland Road, Brighouse, HD6 2RG",29236710,01/04/2012,6400
"Office Nos. T02 & T03, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236741,01/10/2013,2550
"Office  No. T08, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236746,01/08/2011,2600
"Office No. T07, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236748,01/10/2013,1850
"7B Brookfoot Business Park, Elland Road, Brighouse, HD6 2SD",29236763,19/08/2013,5400
"Unit 1, Vine Industrial Estate, Elland Road, Brighouse            HD6 2QS",29236770,01/04/2007,3100
"Unit 4 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236803,01/08/2013,7100
"Warehouse 1 Pt Basement, Cromwell House, Elland Road, Brighouse            HD6 2RG",29236812,01/04/2009,6500
"Office Nos G03 & G05, Cromwell House, Elland Road, Brighouse            HD6 2RG",29236814,01/06/2009,1900
"Part Ground Floor, Cromwell House, Elland Road, Brighouse            HD6 2RG",29236815,01/04/2010,8600
"Unit 6 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236816,09/11/2013,3150
"Unit 5 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236817,01/04/2013,5200
"Unit 3 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236818,01/07/2012,6000
"Office G01, Gf Cromwell House, Elland Road, Brighouse            HD6 2RG",29236823,01/10/2013,2125
"Level 1 Warehouse, Cromwell House, Elland Road, Brighouse            HD6 2RG",29236825,01/08/2013,7200
"Part Basement, Cromwell House, Elland Road, Brighouse            HD6 2RG",29236826,01/08/2013,6400
"Unit 7A 1ST Floor, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236827,02/12/2013,4250
"Unit 7C, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236828,02/12/2013,4050
"Vulcan House, Foundry Street, Brighouse, HD6 1LT",29256705,01/04/2007,8900
"1 Garden Road, Brighouse, HD6 2AX",29264001,01/04/2008,3500
"9 Garden Road, Brighouse, HD6 2AX",29264009,01/04/2009,6300
"12 Garden Road, Brighouse, HD6 2AX",29264012,01/04/2010,3750
"14 Garden Road, Brighouse, HD6 2AX",29264014,01/04/2007,7100
"9 Gooder Lane, Brighouse, HD6 1HF",29272009,22/12/2007,5900
"18/20 Gooder Lane, Brighouse, HD6 1HF",29272018,26/05/2007,2050
"32 Gooder Lane, Brighouse, HD6 1HT",29272032,01/04/2010,1950
"34 Gooder Lane, Brighouse, HD6 1HT",29272034,01/03/2011,3850
"Gooder Lane, Brighouse, HD6 1HT",29272702,01/04/2007,5500
"The Mushroom, Gooder Street, Brighouse, HD6 1AT",29272707,01/04/2007,1950
"38 Gooder Lane, Brighouse, HD6 1HT",29272709,13/07/2010,3250
"36 Gooder Lane, Brighouse, HD6 1HT",29272710,01/05/2012,3150
"Unit 1C Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH",29274705,04/04/2011,5700
"Unit 1B Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH",29274706,01/04/2012,2375
"Unit 1A Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH",29274707,29/08/2011,10250
"Blue Portacabin, Grove Street, Brighouse, HD6 1PL",29284720,22/12/2012,1550
"Unit 9 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284731,01/10/2011,4250
"Unit 1 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284732,01/06/2011,1725
"Unit 6 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284734,04/06/2011,1025
"Unit 2, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284736,29/06/2011,5800
"Unit 12, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284737,01/10/2013,3250
"Unit 10, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284738,30/06/2011,2500
"Unit 13, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284740,01/04/2011,990
"Unit 8, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284741,01/04/2011,2700
"4 Half House Lane, Brighouse, HD6 2PH",29292004,19/09/2011,1900
"260 Halifax Road, Brighouse, HD6 2QG",29296260,01/07/2011,3700
"278 Halifax Road, Brighouse, HD6 2PB",29296278,03/04/2011,3100
"310 Halifax Road, Brighouse, HD6 2PB",29296290,03/09/2007,6400
"415 Halifax Road, Brighouse, HD6 2PD",29296415,01/04/2007,4550
"Halifax Road, Brighouse, HD6 2QJ",29296700,01/04/2010,7100
"Pond Quarry, Halifax Road, Brighouse, HD6 2PB",29296705,01/04/2007,9700
"20 Halifax Road, Brighouse, HD6 2AG",29296708,02/06/2008,6000
"Dusty Miller Inn, 290 Halifax Road, Brighouse, HD6 2PB",29296710,10/01/2011,6200
"260A Halifax Road, Brighouse, HD6 2QG",29296723,01/07/2011,2950
"Uk Truck Clean, Harsthead Moor Service Area, Hartshead Moor, Brighouse            HD6 4JX",29308721,01/04/2013,7500
"S/O 6 Hey Street, Brighouse, HD6 4AT",29320701,01/04/2007,1850
"97 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328097,01/04/2010,1725
"99 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328099,01/04/2007,5100
"87 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328701,07/09/2009,4300
"85A Highfield Road, Rastrick, Brighouse, HD6 3JA",29328702,01/01/2013,2750
"85 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328703,01/04/2013,5000
"T62, Highmoor Lane, Clifton, Brighouse            HD6 4JB",29337705,01/04/2011,790
"12 Huddersfield Road, Brighouse, HD6 1JZ",29344012,01/11/2011,7000
"28 Huddersfield Road, Brighouse, HD6 1HA",29344028,09/11/2009,4300
"Calderbank House, 23 Huddersfield Road, Brighouse, HD6 1LE",29344735,01/04/2007,4200
"Unit 10, 32 Huddersfield Road, Brighouse, HD6 1HA",29344842,16/04/2012,9800
"14 Huddersfield Road, Brighouse, HD6 1JZ",29344851,01/02/2013,9300
"1 King Street, Brighouse, HD6 1NX",29372001,01/10/2012,7100
"Unit 7 The Mill, Laura Street, Brighouse, HD6 1HE",29376704,01/04/2011,4250
"Laura Street, Brighouse, HD6 1JD",29376705,07/07/2011,2650
"15 Lightcliffe Road, Brighouse, HD6 2DR",29384015,01/04/2007,4150
"17 Lightcliffe Road, Brighouse, HD6 2DR",29384017,01/04/2012,4100
"18 Lightcliffe Road, Brighouse, HD6 2DR",29384018,01/04/2007,4000
"19 Lightcliffe Road, Brighouse, HD6 2DR",29384019,01/04/2007,4350
"21 Lightcliffe Road, Brighouse, HD6 2DR",29384021,18/04/2011,4550
"23 Lightcliffe Road, Brighouse, HD6 2DR",29384023,01/04/2007,3700
"25 Lightcliffe Road, Brighouse, HD6 2DR",29384025,01/04/2007,2950
"29 Lightcliffe Road, Brighouse, HD6 2DR",29384029,01/04/2007,4450
"97 Lightcliffe Road, Brighouse, HD6 2HJ",29384097,01/04/2007,2325
"22A Lightcliffe Road, Brighouse, HD6 2DJ",29384701,01/04/2007,11500
"Lightcliffe Road, Brighouse, HD6 2DJ",29384704,01/04/2007,4300
"3 Market Street, Brighouse, HD6 1AP",29404003,01/04/2007,7300
"5 Market Street, Brighouse, HD6 1AP",29404005,01/04/2013,7800
"6 Market Street, Brighouse, HD6 1AP",29404006,01/04/2007,6500
"8 Market Street, Brighouse, HD6 1AP",29404008,01/04/2012,5600
"9 Market Street, Brighouse, HD6 1AP",29404009,01/04/2007,3500
"11 Market Street, Brighouse, HD6 1AP",29404011,01/04/2007,3850
"13 Market Street, Brighouse, HD6 1AP",29404013,01/04/2007,5200
"15 Market Street, Brighouse, HD6 1AP",29404015,10/05/2010,6400
"17 Market Street, Brighouse, HD6 1AP",29404017,12/10/2012,8000
"19 Market Street, Brighouse, HD6 1AP",29404019,24/06/2011,8900
"3/4 Martin House, Martin Street, Brighouse, HD6 1DA",29408701,10/04/2013,2800
"6 Martin House, Martin Street, Brighouse, HD6 1DA",29408704,17/02/2013,2075
"7 Martin House, Martin Street, Brighouse, HD6 1DA",29408705,22/07/2011,4000
"8 Martin House, Martin Street, Brighouse, HD6 1DA",29408706,01/06/2012,1575
"Unit 3, 7 Martin Street, Brighouse, HD6 1DA",29408714,01/01/2013,3300
"Unit 4B, 7 Martin Street, Brighouse, HD6 1DA",29408715,01/01/2013,1575
"Unit 4A, 7 Martin Street, Brighouse, HD6 1DA",29408716,01/02/2013,1600
"Music 1, 7 Martin Street, Brighouse, HD6 1DA",29408720,15/10/2012,2850
"Unit 5, 7 Martin Street, Brighouse, HD6 1DA",29408723,15/10/2012,4600
"Unit 2, 7 Martin Street, Brighouse, HD6 1DA",29408724,01/04/2013,2475
"2 Mill Hill Lane, Brighouse, HD6 2EL",29416002,08/09/2009,1075
"Unit 102-104, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420730,01/04/2011,6000
"Unit 101/101A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420731,01/04/2011,1775
"Unit 105, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420732,01/04/2011,1225
"Unit 4, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420736,01/04/2011,2250
"Unit 1/1A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420737,01/08/2011,4550
"Unit 2, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420740,01/04/2011,3450
"Unit 3C Wilkin Royd Mills, Mill Lane, Brighouse, HD6 1PN",29420746,01/05/2012,3050
"Display Land, (Adj Public Baths), Mill Royd Street, Brighouse            HD6 1EY",29424703,18/10/2013,5600
"Car Wash, Mill Royd Street, Brighouse, HD6 1EY",29424713,01/07/2008,5300
"27/29 New Hey Road, Brighouse, HD6 3LP",29432027,18/09/2010,6300
