Year,Ward code,Borough,Ward,Candidate rank,Name/Elected,Party,Votes,Elected
2010,00ABGA,Barking and Dagenham,Chadwell Heath,7,"Woodward, George W.",BNP,594,
2010,00ABGA,Barking and Dagenham,Chadwell Heath,8,"Probert, Gina T.",Lib Dem,481,
2010,00ABGA,Barking and Dagenham,Chadwell Heath,9,"Smith, Kerry J.D.L.",UKIP,369,
2010,00ABGA,Barking and Dagenham,Chadwell Heath,10,"Rosaman, Debbie A.",Green,213,
2010,00ABGA,Barking and Dagenham,Chadwell Heath,11,"Cooke, Angie",Green,201,
2010,00ABGA,Barking and Dagenham,Chadwell Heath,12,"Ridout, Mike",Green,159,
2010,00ABGB,Barking and Dagenham,Eastbrook,1,"McCarthy, Mick",Lab,"2,295",Elected
2010,00ABGB,Barking and Dagenham,Eastbrook,2,"Burgon, Pamela J.",Lab,"2,026",Elected
2010,00ABGB,Barking and Dagenham,Eastbrook,3,"Ramsay, Tony",Lab,"1,854",Elected
2010,00ABGB,Barking and Dagenham,Eastbrook,4,"Connelly, Neil S.",Cons,"1,232",
2010,00ABGB,Barking and Dagenham,Eastbrook,5,"Connelly, Sue",Cons,"1,201",
2010,00ABGB,Barking and Dagenham,Eastbrook,6,"Sunley-Smith, Daniel J.",Cons,"1,066",
2010,00ABGB,Barking and Dagenham,Eastbrook,7,"Knight, Christine A.",BNP,903,
2010,00ABGB,Barking and Dagenham,Eastbrook,8,"Knight, Tony",BNP,900,
2010,00ABGB,Barking and Dagenham,Eastbrook,9,"Lillywhite, John D.",BNP,794,
2010,00ABGB,Barking and Dagenham,Eastbrook,10,"Taiwo, Oluwole A.",Lib Dem,392,
2010,00ABGB,Barking and Dagenham,Eastbrook,11,"Chapman, Leslie R.",UKIP,378,
2010,00ABGC,Barking and Dagenham,Eastbury,1,"Alexander, Jeanne",Lab,"2,104",Elected
2010,00ABGC,Barking and Dagenham,Eastbury,2,"Mcdermott, Jim",Lab,"1,958",Elected
2010,00ABGC,Barking and Dagenham,Eastbury,3,"Rai, Hardial S.",Lab,"1,824",Elected
2010,00ABGC,Barking and Dagenham,Eastbury,4,"Marshall, Jeffrey C.",BNP,942,
2010,00ABGC,Barking and Dagenham,Eastbury,5,"Wade, Trevor T.W.",BNP,742,
2010,00ABGC,Barking and Dagenham,Eastbury,6,"Riaz, Mohammed",Lib Dem,684,
2010,00ABGC,Barking and Dagenham,Eastbury,7,"London, Terry",Lib Dem,633,
2010,00ABGC,Barking and Dagenham,Eastbury,8,"De Cruz, David L.",Lib Dem,567,
2010,00ABGC,Barking and Dagenham,Eastbury,9,"Searle, Danny",Cons,457,
2010,00ABGC,Barking and Dagenham,Eastbury,10,"Gul, Hasan",Cons,432,
2010,00ABGC,Barking and Dagenham,Eastbury,11,"Chapman, Ronald D.",UKIP,430,
2010,00ABGC,Barking and Dagenham,Eastbury,12,"Semitego, Richard",Cons,357,
2010,00ABGC,Barking and Dagenham,Eastbury,13,"Challis, Dianne",Ind,134,
2010,00ABGC,Barking and Dagenham,Eastbury,14,"Munroe, Danny",Ind,70,
2010,00ABGD,Barking and Dagenham,Gascoigne,1,"Ashraf, Saima",Lab,"2,725",Elected
2010,00ABGD,Barking and Dagenham,Gascoigne,2,"Aziz, Abdul",Lab,"2,668",Elected
2010,00ABGD,Barking and Dagenham,Gascoigne,3,"Twomey, Dominic",Lab,"2,576",Elected
2010,00ABGD,Barking and Dagenham,Gascoigne,4,"Fergie, John C.",BNP,536,
2010,00ABGD,Barking and Dagenham,Gascoigne,5,"Baig, Sherry",Cons,499,
2010,00ABGD,Barking and Dagenham,Gascoigne,6,"Okoruwe, Chukwuma",Lib Dem,456,
2010,00ABGD,Barking and Dagenham,Gascoigne,7,"Rush, Val",Ind,436,
2010,00ABGD,Barking and Dagenham,Gascoigne,8,"Sekisonge, Kizito G.",Cons,390,
2010,00ABGD,Barking and Dagenham,Gascoigne,9,"Ibelgauptas, Slava",Cons,357,
2010,00ABGD,Barking and Dagenham,Gascoigne,10,"Mitchell, Maggie",Ind,311,
2010,00ABGD,Barking and Dagenham,Gascoigne,11,"Ward, Colin N.",Ind,219,
2010,00ABGD,Barking and Dagenham,Gascoigne,12,"Ezebuenyi, Frank",CP,196,
2010,00ABGD,Barking and Dagenham,Gascoigne,13,"Oronsaye, Patrick",CP,175,
2010,00ABGE,Barking and Dagenham,Goresbrook,1,"Letchford, Graham",Lab,"2,142",Elected
2010,00ABGE,Barking and Dagenham,Goresbrook,2,"Couling, Louise",Lab,"1,963",Elected
2010,00ABGE,Barking and Dagenham,Goresbrook,3,"Clee, Jim",Lab,"1,872",Elected
2010,00ABGE,Barking and Dagenham,Goresbrook,4,"Barnbrook, Richard J.",BNP,"1,340",
2010,00ABGE,Barking and Dagenham,Goresbrook,5,"Butler, Edward M.",BNP,"1,146",
2010,00ABGE,Barking and Dagenham,Goresbrook,6,"Brunt, Shell",BNP,"1,128",
2010,00ABGE,Barking and Dagenham,Goresbrook,7,"Naylor, George D.",Cons,644,
2010,00ABGE,Barking and Dagenham,Goresbrook,8,"Newton, Christopher",Cons,533,
2010,00ABGE,Barking and Dagenham,Goresbrook,9,"Taiwo, Felicia",Lib Dem,457,
2010,00ABGE,Barking and Dagenham,Goresbrook,10,"Shukura, Nzingha T.",Lib Dem,347,
2010,00ABGE,Barking and Dagenham,Goresbrook,11,"Northover, Warren W.",Ind,335,
2010,00ABGF,Barking and Dagenham,Heath,1,"Reason, Linda A.",Lab,"2,286",Elected
2010,00ABGF,Barking and Dagenham,Heath,2,"Miles, Dave",Lab,"2,241",Elected
2010,00ABGF,Barking and Dagenham,Heath,3,"Vincent, Gerry",Lab,"1,952",Elected
2010,00ABGF,Barking and Dagenham,Heath,4,"Lister, Sally",BNP,969,
2010,00ABGF,Barking and Dagenham,Heath,5,"Sturdy, Paul L.W.",BNP,844,
2010,00ABGF,Barking and Dagenham,Heath,6,"Taylor, Robert M.",BNP,802,
2010,00ABGF,Barking and Dagenham,Heath,7,"Hallewell, Neil E.",Cons,676,
2010,00ABGF,Barking and Dagenham,Heath,8,"Smith, Richard J.",Cons,585,
2010,00ABGF,Barking and Dagenham,Heath,9,"Towler, Barbara A.",Cons,522,
2010,00ABGF,Barking and Dagenham,Heath,10,"London, Angela",Lib Dem,447,
2010,00ABGF,Barking and Dagenham,Heath,11,"Litwin, Yvonne P.",UKIP,337,
2010,00ABGG,Barking and Dagenham,Longbridge,1,"Gill, Sukhninder S.",Lab,"3,292",Elected
2010,00ABGG,Barking and Dagenham,Longbridge,2,"Gill, Nirmal",Lab,"2,900",Elected
2010,00ABGG,Barking and Dagenham,Longbridge,3,"Rice, Lynda",Lab,"2,559",Elected
2010,00ABGG,Barking and Dagenham,Longbridge,4,"Uddin, Mohammod J.",Lib Dem,"1,239",
2010,00ABGG,Barking and Dagenham,Longbridge,5,"Ayer, Paul",Cons,"1,221",
2010,00ABGG,Barking and Dagenham,Longbridge,6,"Rahman, Foyzur",Cons,"1,109",
2010,00ABGG,Barking and Dagenham,Longbridge,7,"Smith, Bede E.",BNP,677,
2010,00ABGG,Barking and Dagenham,Longbridge,8,"Gosling, Edward L.",Ind,452,
2010,00ABGG,Barking and Dagenham,Longbridge,9,"Gosling, Eileen M.",Ind,388,
2010,00ABGG,Barking and Dagenham,Longbridge,10,"Dias-Broughton, John W.",UKIP,383,
2010,00ABGG,Barking and Dagenham,Longbridge,11,"Richards, Tony",Ind,369,
2010,00ABGG,Barking and Dagenham,Longbridge,12,"Bajwe, Komel",Cons,316,
2010,00ABGG,Barking and Dagenham,Longbridge,13,"Munroe, Julie",Ind,167,
2010,00ABGH,Barking and Dagenham,Mayesbrook,1,"Hunt, Dorothy M.",Lab,"1,908",Elected
2010,00ABGH,Barking and Dagenham,Mayesbrook,2,"Baldwin, Ralph",Lab,"1,777",Elected
2010,00ABGH,Barking and Dagenham,Mayesbrook,3,"Barratt, George",Lab,"1,705",Elected
2010,00ABGH,Barking and Dagenham,Mayesbrook,4,"Lansdown, Tracy A.",BNP,"1,123",
2010,00ABGH,Barking and Dagenham,Mayesbrook,5,"Buckley, Robert J.A.",BNP,"1,109",
2010,00ABGH,Barking and Dagenham,Mayesbrook,6,"Matthews, Mandy",BNP,"1,024",
2010,00ABGH,Barking and Dagenham,Mayesbrook,7,"O`Brien, Tom",Cons,778,
2010,00ABGH,Barking and Dagenham,Mayesbrook,8,"Adesanoye, Funke",Lib Dem,528,
2010,00ABGH,Barking and Dagenham,Mayesbrook,9,"Bedwell, Bert",UKIP,496,
2010,00ABGJ,Barking and Dagenham,Parsloes,1,"Collins, Herbert J.",Lab,"2,158",Elected
2010,00ABGJ,Barking and Dagenham,Parsloes,2,"Kangethe, Elizabeth",Lab,"1,935",Elected
2010,00ABGJ,Barking and Dagenham,Parsloes,3,"Rice, Chris",Lab,"1,913",Elected
2010,00ABGJ,Barking and Dagenham,Parsloes,4,"Friend, Leigh",BNP,"1,022",
2010,00ABGJ,Barking and Dagenham,Parsloes,5,"Forster, Christopher W.C.",BNP,941,
2010,00ABGJ,Barking and Dagenham,Parsloes,6,"Mckay, Anthony S.",BNP,867,
2010,00ABGJ,Barking and Dagenham,Parsloes,7,"Armstrong, Ronald",Cons,763,
2010,00ABGJ,Barking and Dagenham,Parsloes,8,"Egbeson, Frederick",Lib Dem,575,
2010,00ABGK,Barking and Dagenham,River,1,"Smith, Liam A.",Lab,"2,406",Elected
2010,00ABGK,Barking and Dagenham,River,2,"Keller, Eileen S.",Lab,"2,308",Elected
2010,00ABGK,Barking and Dagenham,River,3,"Jamu, Inder S.",Lab,"2,284",Elected
2010,00ABGK,Barking and Dagenham,River,4,"Jones, Scott",BNP,933,
2010,00ABGK,Barking and Dagenham,River,5,"Pengelly, Victoria J.",BNP,853,
2010,00ABGK,Barking and Dagenham,River,6,"Cockling, Jean M.",Cons,576,
2010,00ABGK,Barking and Dagenham,River,7,"Manning, Nobby",UKIP,505,
2010,00ABGK,Barking and Dagenham,River,8,"Bairstow, Ronald C.",Cons,493,
2010,00ABGK,Barking and Dagenham,River,9,"Nwokebuife, Chris",Cons,404,
2010,00ABGK,Barking and Dagenham,River,10,"Ogbonmwan, Martha N.",Lib Dem,367,
2010,00ABGK,Barking and Dagenham,River,11,"Araba, Arinola",CP,183,
2010,00ABGL,Barking and Dagenham,Thames,1,"Channer, Josephine",Lab,"2,067",Elected
2010,00ABGL,Barking and Dagenham,Thames,2,"Poulton, Barry",Lab,"2,042",Elected
2010,00ABGL,Barking and Dagenham,Thames,3,"Geddes, Cameron",Lab,"1,978",Elected
2010,00ABGL,Barking and Dagenham,Thames,4,"Evans, Roy",BNP,716,
2010,00ABGL,Barking and Dagenham,Thames,5,"Todd, Andrew J.",BNP,661,
2010,00ABGL,Barking and Dagenham,Thames,6,"Barns, William F.",Ind,610,
2010,00ABGL,Barking and Dagenham,Thames,7,"Courtier, Mark V.",Cons,422,
2010,00ABGL,Barking and Dagenham,Thames,8,"Rahman, Saifur",Lib Dem,366,
2010,00ABGL,Barking and Dagenham,Thames,9,"Quadri, Moin A.",Cons,347,
2010,00ABGL,Barking and Dagenham,Thames,10,"Onochie, Lauretta I.",Cons,322,
2010,00ABGL,Barking and Dagenham,Thames,11,"Dumbleton, Pam",Ind,307,
2010,00ABGL,Barking and Dagenham,Thames,12,"Wade, Terry",Ind,268,
2010,00ABGM,Barking and Dagenham,Valence,1,"Worby, Maureen",Lab,"1,803",Elected
2010,00ABGM,Barking and Dagenham,Valence,2,"Obasohan, Emmanuel",Lab,"1,723",Elected
2010,00ABGM,Barking and Dagenham,Valence,3,"Salam, Abdus",Lab,"1,610",Elected
2010,00ABGM,Barking and Dagenham,Valence,4,"Roberts, Christopher",BNP,"1,112",
2010,00ABGM,Barking and Dagenham,Valence,5,"Rustem, Lawrence",BNP,995,
2010,00ABGM,Barking and Dagenham,Valence,6,"Walker, Kara M.",BNP,963,
2010,00ABGM,Barking and Dagenham,Valence,7,"Butcher, Neil J.R.",Cons,827,
2010,00ABGM,Barking and Dagenham,Valence,8,"Blood, Alan A.",Lib Dem,672,
2010,00ABGN,Barking and Dagenham,Village,1,"Waker, Lee R.",Lab,"2,454",Elected
2010,00ABGN,Barking and Dagenham,Village,2,"Waker, Philip T.",Lab,"2,303",Elected
2010,00ABGN,Barking and Dagenham,Village,3,"Mullane, Margaret",Lab,"2,259",Elected
2010,00ABGN,Barking and Dagenham,Village,4,"Bird, Len",BNP,"1,049",
2010,00ABGN,Barking and Dagenham,Village,5,"Beatty, Malcolm",Cons,906,
2010,00ABGN,Barking and Dagenham,Village,6,"Zelkin, Roy A.",Cons,654,
2010,00ABGN,Barking and Dagenham,Village,7,"Omosule, Sammy",Cons,587,
2010,00ABGN,Barking and Dagenham,Village,8,"Hills, Robert G.",Lib Dem,555,
2010,00ABGP,Barking and Dagenham,Whalebone,1,"Perry, Tony H.",Lab,"2,200",Elected
2010,00ABGP,Barking and Dagenham,Whalebone,2,"Jamu, Amardeep S.",Lab,"2,103",Elected
2010,00ABGP,Barking and Dagenham,Whalebone,3,"White, John R.",Lab,"2,085",Elected
2010,00ABGP,Barking and Dagenham,Whalebone,4,"Naylor, Christine M.",Cons,"1,112",
2010,00ABGP,Barking and Dagenham,Whalebone,5,"Uddin, Emran",Cons,794,
2010,00ABGP,Barking and Dagenham,Whalebone,6,"Oguntona, Wale",Cons,788,
2010,00ABGP,Barking and Dagenham,Whalebone,7,"Lillywhite, Robin L.",BNP,603,
2010,00ABGP,Barking and Dagenham,Whalebone,8,"Denyer, John R.",Ind,503,
2010,00ABGP,Barking and Dagenham,Whalebone,9,"London, Maxine L.",Lib Dem,450,
2010,00ABGP,Barking and Dagenham,Whalebone,10,"Robinson, Ingrid",Ind,350,
2010,00ABGP,Barking and Dagenham,Whalebone,11,"Robinson, Zac",Ind,276,
2010,00ACFX,Barnet,Brunswick Park,1,"Tambourides, Andreas",Cons,"3,496",Elected
2010,00ACFX,Barnet,Brunswick Park,2,"Rutter, Lisa",Cons,"3,353",Elected
2010,00ACFX,Barnet,Brunswick Park,3,"Hillan, Lynne",Cons,"3,307",Elected
2010,00ACFX,Barnet,Brunswick Park,4,"Haylett, Marianne",Lab,"1,994",
2010,00ACFX,Barnet,Brunswick Park,5,"Williams, Lawrence",Lab,"1,937",
2010,00ACFX,Barnet,Brunswick Park,6,"Magoba, Clement",Lab,"1,758",
2010,00ACFX,Barnet,Brunswick Park,7,"Wicksteed, Charles E.",Lib Dem,"1,289",
2010,00ACFX,Barnet,Brunswick Park,8,"Umbo, Eileen M.",Lib Dem,"1,217",
2010,00ACFX,Barnet,Brunswick Park,9,"Wong, Gabrielle C.",Lib Dem,"1,066",
2010,00ACFX,Barnet,Brunswick Park,10,"Bond, Ashley",Green,548,
2010,00ACFX,Barnet,Brunswick Park,11,"Gurses, Murat",Green,431,
2010,00ACFX,Barnet,Brunswick Park,12,"Javes, Howard",Green,409,
2010,00ACFY,Barnet,Burnt Oak,1,"Farrier, Claire",Lab,"3,541",Elected
2010,00ACFY,Barnet,Burnt Oak,2,"Brodkin, Alex",Lab,"3,519",Elected
2010,00ACFY,Barnet,Burnt Oak,3,"O'Macauley, Charlie",Lab,"3,230",Elected
2010,00ACFY,Barnet,Burnt Oak,4,"Dyall, Keith F.",Cons,"1,315",
2010,00ACFY,Barnet,Burnt Oak,5,"Sparrow, Pat",Cons,"1,241",
2010,00ACFY,Barnet,Burnt Oak,6,"Martin, Michael J.",Cons,"1,179",
2010,00ACFY,Barnet,Burnt Oak,7,"Hatchett, Karen",Lib Dem,890,
2010,00ACFY,Barnet,Burnt Oak,8,"Roberts, Michael C.",Lib Dem,780,
2010,00ACFY,Barnet,Burnt Oak,9,"Feszczur, Henryk P.",Lib Dem,760,
2010,00ACFZ,Barnet,Childs Hill,1,"Cohen, Jack B.",Lib Dem,"2,596",Elected
2010,00ACFZ,Barnet,Childs Hill,2,"Palmer, Monroe E.",Lib Dem,"2,519",Elected
2010,00ACFZ,Barnet,Childs Hill,3,"Palmer, Susette S.",Lib Dem,"2,404",Elected
2010,00ACFZ,Barnet,Childs Hill,4,"Gearson, John P.S.",Cons,"2,285",
2010,00ACFZ,Barnet,Childs Hill,5,"Curtis, Robert",Cons,"2,258",
2010,00ACFZ,Barnet,Childs Hill,6,"Summers, Jill E.",Cons,"2,177",
2010,00ACFZ,Barnet,Childs Hill,7,"Bryant, Sonia A.",Lab,"1,603",
2010,00ACFZ,Barnet,Childs Hill,8,"Or-Bach, Alon",Lab,"1,296",
2010,00ACFZ,Barnet,Childs Hill,9,"Oyenuga, Ade",Lab,"1,258",
2010,00ACFZ,Barnet,Childs Hill,10,"Antoniou, Christine",Green,456,
2010,00ACFZ,Barnet,Childs Hill,11,"Millstone, Jenifer",Green,369,
2010,00ACFZ,Barnet,Childs Hill,12,"Schonfeld, Victor",Green,352,
2010,00ACGA,Barnet,Colindale,1,"Johnson, Geoff",Lab,"3,259",Elected
2010,00ACGA,Barnet,Colindale,2,"Sargeant, Gillian W.",Lab,"2,836",Elected
2010,00ACGA,Barnet,Colindale,3,"Zubairi, Zakia",Lab,"2,711",Elected
2010,00ACGA,Barnet,Colindale,4,"Mann, Brian M.",Cons,"1,175",
2010,00ACGA,Barnet,Colindale,5,"Nicholson, William J.",Cons,"1,175",
2010,00ACGA,Barnet,Colindale,6,"Estermann, Danny",Lib Dem,"1,095",
2010,00ACGA,Barnet,Colindale,7,"Esfandyari-Moghaddam, Sirous",Cons,"1,019",
2010,00ACGA,Barnet,Colindale,8,"Reynolds, Philip M.",Lib Dem,898,
2010,00ACGA,Barnet,Colindale,9,"Warsame, Sabriye H.",Lib Dem,764,
2010,00ACGA,Barnet,Colindale,10,"Sardar, Zain",Green,337,
2010,00ACGA,Barnet,Colindale,11,"Graham, Daniel",Green,306,
2010,00ACGA,Barnet,Colindale,12,"Concepcion, Charlene L.",Green,276,
2010,00ACGB,Barnet,Coppetts,1,"Rawlings, Barry J.",Lab,"2,576",Elected
2010,00ACGB,Barnet,Coppetts,2,"Salinger, Catherine A.",Cons,"2,493",Elected
2010,00ACGB,Barnet,Coppetts,3,"Coakley Webb, Pauline",Lab,"2,471",Elected
2010,00ACGB,Barnet,Coppetts,4,"Levine, Kathy",Lab,"2,373",
2010,00ACGB,Barnet,Coppetts,5,"Depala, Mukesh H.",Cons,"2,288",
2010,00ACGB,Barnet,Coppetts,6,"Wolfe, Nicky",Cons,"2,144",
2010,00ACGB,Barnet,Coppetts,7,"Ferguson, Neil A.M.",Lib Dem,"1,316",
2010,00ACGB,Barnet,Coppetts,8,"Spitzel, Anthony M.",Lib Dem,"1,156",
2010,00ACGB,Barnet,Coppetts,9,"Wardle, Elizabeth R.",Lib Dem,"1,016",
2010,00ACGB,Barnet,Coppetts,10,"Bunting, Edward",Green,681,
2010,00ACGB,Barnet,Coppetts,11,"Gutmann, David H.",Green,448,
2010,00ACGB,Barnet,Coppetts,12,"Oldfield, Elestren",Green,448,
2010,00ACGC,Barnet,East Barnet,1,"Tambourides, Joanna",Cons,"2,882",Elected
2010,00ACGC,Barnet,East Barnet,2,"Evangeli, Barry",Cons,"2,818",Elected
2010,00ACGC,Barnet,East Barnet,3,"Rams, Robert P.",Cons,"2,813",Elected
2010,00ACGC,Barnet,East Barnet,4,"Persad, Robert",Lab,"1,675",
2010,00ACGC,Barnet,East Barnet,5,"Ioannidis, Andreas",Lab,"1,557",
2010,00ACGC,Barnet,East Barnet,6,"Chakraborti, Tusha",Lab,"1,547",
2010,00ACGC,Barnet,East Barnet,7,"Aitken, Roger L.",Lib Dem,"1,347",
2010,00ACGC,Barnet,East Barnet,8,"Dix, John",BREA,"1,264",
2010,00ACGC,Barnet,East Barnet,9,"Robb, Denis",BREA,"1,233",
2010,00ACGC,Barnet,East Barnet,10,"Lea, Sandra M.",BREA,"1,158",
2010,00ACGC,Barnet,East Barnet,11,"Barber, Stephen D.",Lib Dem,"1,155",
2010,00ACGC,Barnet,East Barnet,12,"Bird, Dennis A.",Lib Dem,"1,105",
2010,00ACGC,Barnet,East Barnet,13,"Tansley, Kate",Green,451,
2010,00ACGC,Barnet,East Barnet,14,"Kondic, Christopher S.",Green,397,
2010,00ACGC,Barnet,East Barnet,15,"Curry, Stephen",BNP,364,
2010,00ACGD,Barnet,East Finchley,1,"Moore, Alison",Lab,"3,315",Elected
2010,00ACGD,Barnet,East Finchley,2,"McNeil, Andrew R.",Lab,"2,931",Elected
2010,00ACGD,Barnet,East Finchley,3,"Rogers, Colin G.",Lab,"2,868",Elected
2010,00ACGD,Barnet,East Finchley,4,"Friend, Kit",Cons,"1,994",
2010,00ACGD,Barnet,East Finchley,5,"Scott, John M.",Cons,"1,855",
2010,00ACGD,Barnet,East Finchley,6,"Arram, Joyce M.",Lib Dem,"1,735",
2010,00ACGD,Barnet,East Finchley,7,"Bhanderi-Shah, Aarti",Cons,"1,723",
2010,00ACGD,Barnet,East Finchley,8,"Darrer, Gerald",Lib Dem,"1,397",
2010,00ACGD,Barnet,East Finchley,9,"Watkins, Micky",Lib Dem,"1,237",
2010,00ACGD,Barnet,East Finchley,10,"Lynch, Noel T.",Green,652,
2010,00ACGD,Barnet,East Finchley,11,"Norman, Stephen P.H.",Green,588,
2010,00ACGD,Barnet,East Finchley,12,"Newby, Andrew J.",Green,477,
2010,00ACGE,Barnet,Edgware,1,"Yawitch, Darrel",Cons,"3,917",Elected
2010,00ACGE,Barnet,Edgware,2,"Hart, Helena D.",Cons,"3,784",Elected
2010,00ACGE,Barnet,Edgware,3,"Scannell, Joan",Cons,"3,673",Elected
2010,00ACGE,Barnet,Edgware,4,"Johnston, John",Lab,"2,152",
2010,00ACGE,Barnet,Edgware,5,"Sharma, Parmodh",Lab,"1,718",
2010,00ACGE,Barnet,Edgware,6,"Narenthira, Nagus",Lab,"1,686",
2010,00ACGE,Barnet,Edgware,7,"Abeles, Eli",Lib Dem,"1,044",
2010,00ACGE,Barnet,Edgware,8,"Abeles, Aliza",Lib Dem,988,
2010,00ACGE,Barnet,Edgware,9,"Gottsche, Sheila",Lib Dem,750,
2010,00ACGE,Barnet,Edgware,10,"Edwards, Linda",BREA,627,
2010,00ACGE,Barnet,Edgware,11,"De Souza, Romola",Green,311,
2010,00ACGE,Barnet,Edgware,12,"Hasin, Aharon",Green,197,
2010,00ACGE,Barnet,Edgware,13,"Lithgow, Jane A.",Green,190,
2010,00ACGF,Barnet,Finchley Church End,1,"Greenspan, Eva",Cons,"3,833",Elected
2010,00ACGF,Barnet,Finchley Church End,2,"Thomas, Daniel C.B.",Cons,"3,403",Elected
2010,00ACGF,Barnet,Finchley Church End,3,"Old, Graham D.",Cons,"3,340",Elected
2010,00ACGF,Barnet,Finchley Church End,4,"Segal, Oliver",Lab,"1,696",
2010,00ACGF,Barnet,Finchley Church End,5,"Mcguirk, Mary",Lab,"1,652",
2010,00ACGF,Barnet,Finchley Church End,6,"Mittra, Arjun K.",Lab,"1,515",
2010,00ACGF,Barnet,Finchley Church End,7,"Davis, Malcolm B.",Lib Dem,"1,040",
2010,00ACGF,Barnet,Finchley Church End,8,"Darrer, Diana D.",Lib Dem,952,
2010,00ACGF,Barnet,Finchley Church End,9,"Yarwood, Sheila R.",Lib Dem,771,
2010,00ACGF,Barnet,Finchley Church End,10,"Dunn, Paul G.",Green,441,
2010,00ACGF,Barnet,Finchley Church End,11,"Phillips, Estelle",BREA,341,
2010,00ACGF,Barnet,Finchley Church End,12,"Lyven, Donald E.",Green,336,
2010,00ACGF,Barnet,Finchley Church End,13,"Enskat, Roger F.",BREA,324,
2010,00ACGF,Barnet,Finchley Church End,14,"Ross, Brian",BREA,321,
2010,00ACGF,Barnet,Finchley Church End,15,"Shirlaw, Andrew",Green,283,
2010,00ACGG,Barnet,Garden Suburb,1,"Marshall, John L.",Cons,"4,243",Elected
2010,00ACGG,Barnet,Garden Suburb,2,"Harper, Andrew C.",Cons,"4,204",Elected
2010,00ACGG,Barnet,Garden Suburb,3,"Seal, Daniel G.",Cons,"3,976",Elected
2010,00ACGG,Barnet,Garden Suburb,4,"Byrne, Naomi",Lib Dem,"1,525",
2010,00ACGG,Barnet,Garden Suburb,5,"Solomons, Janet F.",Lab,"1,339",
