Organisation Name (A),Department (B),Service Cat Label ©,Purpose of Spend (D),Expenditure CIPFA Sub Group €,Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0001765, 21/12/2016,AAS0276467,16.90,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,MONK OF COLNE LTD,A0001828, 01/12/2016,EST0275882,4828.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 21/12/2016,OPS0276223,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 21/12/2016,OPS0276240,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 21/12/2016,OPS0276381,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 08/12/2016,OPS0276049,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 21/12/2016,OPS0276226,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 21/12/2016,OPS0276228,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 21/12/2016,OPS0276238,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 21/12/2016,OPS0276239,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 08/12/2016,OPS0276048,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 08/12/2016,OPS0276050,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 21/12/2016,OPS0276225,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Paid in the Year,PD03,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 21/12/2016,OPS0276383,45.00,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,,Fees Income : Non-VATable,9302,NELSON & COLNE COLLEGE,A0001974, 15/12/2016,PBC0276299,110.00,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Water & Sewerage,2501,UNITED UTILITIES,A0001986, 08/12/2016,AAS0276092,70.17,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Water & Sewerage,2501,UNITED UTILITIES,A0001986, 08/12/2016,AAS0276095,72.90,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Water & Sewerage,2501,UNITED UTILITIES,A0001986, 08/12/2016,AAS0276097,76.99,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Water & Sewerage,2501,UNITED UTILITIES,A0001986, 08/12/2016,AAS0276096,78.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Water & Sewerage,2501,UNITED UTILITIES,A0001986, 08/12/2016,AAS0276090,96.22,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,UNITED UTILITIES,A0001986, 21/12/2016,EST0276459,126.22,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,2005,F NUTTER & SONS,A0002037, 08/12/2016,EST0276119,6.50,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,2005,F NUTTER & SONS,A0002037, 08/12/2016,EST0276119,80.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,2005,F NUTTER & SONS,A0002037, 08/12/2016,EST0276119,80.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,2005,F NUTTER & SONS,A0002037, 08/12/2016,EST0276119,100.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,F NUTTER & SONS,A0002037, 08/12/2016,EST0276119,350.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,F NUTTER & SONS,A0002037, 08/12/2016,EST0276119,450.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,OPTION HYGIENE LIMITED,A0002063, 21/12/2016,PCO0276262,294.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,OPTION HYGIENE LIMITED,A0002063, 21/12/2016,PCO0276264,73.50,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,OPTION HYGIENE LIMITED,A0002063, 01/12/2016,PCO0275782,2.40,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,OPTION HYGIENE LIMITED,A0002063, 01/12/2016,PCO0275782,19.49,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,OPTION HYGIENE LIMITED,A0002063, 01/12/2016,PCO0275782,26.98,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,OPTION HYGIENE LIMITED,A0002063, 21/12/2016,OPS0276397,7.49,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,4201,OPTION HYGIENE LIMITED,A0002063, 01/12/2016,OPS0275868,20.05,N,N/A,N,N/A
