Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,End Date (including extension),Review Date,Award Method,SME?
700254,SWIFT 305 Cressex Road,Adults and Communities,Residential & Nursing Care,Buckinghamshire County Council,"£78,913.26",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700319,SWIFT 62 Vicarage Road,Adults and Communities,Residential & Nursing Care,Hertfordshire County Council,"£192,997.03",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700356,SWIFT Abbey Ravenscroft Park,Adults and Communities,Residential & Nursing Care,Abbey Ravenscroft Park Ltd,"£499,910.12",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700274,SWIFT Acacia Lodge,Adults and Communities,Residential & Nursing Care,Torrington Homes Ltd,"£98,552.82",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700198,SWIFT Alicia Care Home,Adults and Communities,Residential & Nursing Care,Apex Care Homes ,"£48,798.26",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700278,SWIFT Allied Healthcare,Adults and Communities,Residential & Nursing Care,Allied Healthcare,"£101,747.48",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700154,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Magicare Ltd,"£30,064.29",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700170,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Simeon Care For Elderly Ltd,"£37,785.32",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700193,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£46,917.02",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700220,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Optimal Living (Luton) Ltd,"£56,397.46",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700225,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£57,427.49",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700237,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£69,269.68",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700255,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Maison Moti Ltd,"£82,350.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700268,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Leo Baeck Housing Association,"£91,997.24",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
SWIFT,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Agudas Israel Housing Assn,"£117,363.13",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700287,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Elizabeth Fitzroy Support,"£122,457.33",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700294,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£133,710.78",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700567,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Jewish Care,"£192,910.23",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700329,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£230,358.31",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700570,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Kisharon,"£231,795.12",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700351,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Hoffman Foundation For Autism,"£406,359.34",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700574,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Jewish Care,"£414,371.36",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700576,SWIFT Anonymised,Adults and Communities,Residential & Nursing Care,Jewish Care,"£434,522.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700340,SWIFT Appletree Court Care Ltd,Adults and Communities,Residential & Nursing Care,Appletree Court Care Ltd,"£317,398.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700311,SWIFT Arden House - The Regard,Adults and Communities,Residential & Nursing Care,The Regard Partnership,"£164,871.15",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700158,SWIFT Ashdown Residential Home,Adults and Communities,Residential & Nursing Care,Ashdown Residential Home,"£31,602.53",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700300,SWIFT Ashton Lodge Care Centre,Adults and Communities,Residential & Nursing Care,Macneil Ltd,"£140,015.91",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
701131,SWIFT Athenaeum Hse (Ventry),Adults and Communities,Residential & Nursing Care,Brownlow Enterprises Ltd,"£51,782.20",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700148,"SWIFT Autumn Gardens, Anastasia Lodge",Adults and Communities,Residential & Nursing Care,Ourris Residential Homes Ltd,"£29,280.00",01/04/2009,05/10/2016,,05/01/2016,ITT,N/A
700211,SWIFT B&M Care,Adults and Communities,Residential & Nursing Care,B&M Care,"£52,963.86",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700272,SWIFT Balmyre Centre,Adults and Communities,Residential & Nursing Care,Scottish Autism,"£94,335.45",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700323,SWIFT Baxendale (Woodside Home),Adults and Communities,Residential & Nursing Care,The Trustees - Woodside Home,"£207,005.35",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700314,SWIFT Baytree Lodge,Adults and Communities,Residential & Nursing Care,Baytree Community Care,"£170,172.98",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700562,SWIFT Beckman Centre,Adults and Communities,Voluntary sector preventative services,Jewish Care,"£61,400.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700245,SWIFT Bedfordshire County Council,Adults and Communities,Residential & Nursing Care,Bedfordshire County Council,"£73,200.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700270,SWIFT Binnegar Hall,Adults and Communities,Residential & Nursing Care,Purbeck Care Ltd,"£93,173.14",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700280,SWIFT Boxgrove House (Choice Group),Adults and Communities,Residential & Nursing Care,Choice Care Group,"£103,149.78",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700353,SWIFT Bradbury Court,Adults and Communities,Residential & Nursing Care,Livability,"£466,035.12",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700218,SWIFT Brook House,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£55,752.78",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700334,SWIFT Brookdale Healthcare Ltd,Adults and Communities,Residential & Nursing Care,Brookdale Healthcare Ltd,"£262,748.79",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700181,SWIFT Brookvale,Adults and Communities,Residential & Nursing Care,Brookvale,"£40,350.45",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700327,SWIFT Broughton House,Adults and Communities,Residential & Nursing Care,Cambian Group,"£226,839.48",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700368,SWIFT Bupa Care Homes,Adults and Communities,Residential & Nursing Care,BUPA Care Homes,"£1,478,925.88",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700176,SWIFT Bushey House Beaumont,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£38,941.35",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700372,SWIFT Caretech,Adults and Communities,Residential & Nursing Care,Caretech Community Services,"£2,062,128.34",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700367,SWIFT Carlton Court/ Candle Court,Adults and Communities,Residential & Nursing Care,TLC Group,"£853,708.05",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700159,SWIFT Carmen Lodge,Adults and Communities,Residential & Nursing Care,Carmen Lodge Residential Home,"£32,343.42",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700286,SWIFT Catherine Lodge,Adults and Communities,Residential & Nursing Care,Catherine Lodge Ltd,"£118,535.90",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700180,SWIFT Cedar House Company Ltd,Adults and Communities,Residential & Nursing Care,Cedar House Company Ltd,"£39,214.29",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700289,SWIFT Chatsworth Care (Hollyfield Ho,Adults and Communities,Residential & Nursing Care,Chatsworth Care,"£125,224.29",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700239,SWIFT Chelsea House,Adults and Communities,Residential & Nursing Care,Pashun Care Homes Ltd,"£69,987.04",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700183,SWIFT Cheshire Home,Adults and Communities,Residential & Nursing Care,Leonard Cheshire Disability,"£40,608.75",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700251,SWIFT Church Walk House,Adults and Communities,Residential & Nursing Care,Central & Cecil Housing Trust,"£77,903.83",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700269,SWIFT City Of Westminster,Adults and Communities,Residential & Nursing Care,City Of Westminster,"£92,911.71",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700575,SWIFT Clore Manor (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£426,747.07",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700336,SWIFT Clovelly House,Adults and Communities,Residential & Nursing Care,Clovelly House Res. Home Ltd,"£282,730.82",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700321,SWIFT Complete Care Services,Adults and Communities,Residential & Nursing Care,Complete Care Services Ltd,"£196,227.24",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700277,SWIFT Conifer Lodge,Adults and Communities,Residential & Nursing Care,Four Seasons Healthcare,"£101,034.30",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700306,SWIFT Conifers Care Ltd,Adults and Communities,Residential & Nursing Care,Connifers Care Ltd,"£153,114.53",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700303,SWIFT Copper Beech (Ravenswood),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£148,633.12",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700267,SWIFT Cotswold,Adults and Communities,Residential & Nursing Care,The Disabilities Trust,"£91,596.73",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700263,SWIFT Courtlands Care Home,Adults and Communities,Residential & Nursing Care,The Gannon Family Partnership,"£89,319.69",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700338,SWIFT Craegmoor,Adults and Communities,Residential & Nursing Care,Priory Group,"£291,361.93",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700362,"SWIFT Creswick House, Shulas, Lilas House, Mandela House, Treehaven",Adults and Communities,Residential & Nursing Care,Jeesal Residential Care Ltd,"£585,359.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700350,SWIFT Dana Care Ltd,Adults and Communities,Residential & Nursing Care,Dana Care Ltd,"£391,161.98",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700376,SWIFT Dimensions Ltd,Adults and Communities,Residential & Nursing Care,Dimensions Ltd,"£3,378,808.38",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700331,SWIFT Disabilities Trust,Adults and Communities,Residential & Nursing Care,The Disabilities Trust,"£234,786.39",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700317,SWIFT Dr French Memorial Home,Adults and Communities,Residential & Nursing Care,Dr French Memorial Home Ltd,"£179,368.27",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700248,SWIFT Drummonds (Scope),Adults and Communities,Residential & Nursing Care,Scope,"£75,192.09",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700140,SWIFT Eastergate Lane Home (Care),Adults and Communities,Residential & Nursing Care,Self Unlimited,"£27,050.54",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700177,SWIFT Edenbridge - Ide Hill (Care),Adults and Communities,Residential & Nursing Care,Self Unlimited,"£38,983.18",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700358,SWIFT Elenor Palmer Trust,Adults and Communities,Residential & Nursing Care,Eleanor Palmer Trust,"£509,945.96",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700163,SWIFT Elizabeth House,Adults and Communities,Residential & Nursing Care,Elizabeth House,"£34,508.57",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700365,SWIFT Elm Park Lodge(M L Homes Ltd),Adults and Communities,Residential & Nursing Care,ML Homes Ltd,"£630,944.79",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700190,SWIFT Fairburn House,Adults and Communities,Residential & Nursing Care,Fairburn House Ltd,"£45,026.89",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700352,SWIFT Fernbank,Adults and Communities,Residential & Nursing Care,Fernbank Nursing Home.,"£449,670.50",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700366,SWIFT Forest Healthcare,Adults and Communities,Residential & Nursing Care,Forest Healthcare,"£763,849.66",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700201,SWIFT Gloucestershire Group Home,Adults and Communities,Residential & Nursing Care,Gloucestershire Group Homes,"£49,459.15",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700162,SWIFT Goodwins Hall Home (Hallmark),Adults and Communities,Residential & Nursing Care,Hallmark Healthcare Limited,"£34,124.27",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700150,SWIFT Hampton House (Scope),Adults and Communities,Residential & Nursing Care,Scope,"£29,437.90",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700227,SWIFT Hapstead Village-Camphill,Adults and Communities,Residential & Nursing Care,Camphill Trust,"£58,926.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700282,SWIFT Havard & Henderson(Scope),Adults and Communities,Residential & Nursing Care,Scope,"£110,329.13",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700171,SWIFT HC-One Ltd,Adults and Communities,Residential & Nursing Care,HC-One Ltd,"£38,000.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700339,SWIFT Henry Nihill House,Adults and Communities,Residential & Nursing Care,The Convent Of St Marys,"£311,479.59",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700564,SWIFT HFT,Adults and Communities,Residential & Nursing Care,HFT,"£139,761.81",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700167,SWIFT High Gable House,Adults and Communities,Residential & Nursing Care,High Gable House,"£36,600.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700316,SWIFT Hill Green Care,Adults and Communities,Residential & Nursing Care,Hill Green Care,"£179,151.77",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700215,SWIFT Hillview Court Care Home,Adults and Communities,Residential & Nursing Care,Caring Homes Group,"£54,900.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700229,SWIFT Hilton Care Home,Adults and Communities,Residential & Nursing Care,HCS (Enfield) Formerly Hilton Care Service,"£62,242.48",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700318,SWIFT Hilton Lodge,Adults and Communities,Residential & Nursing Care,Hilton Lodge Ltd,"£190,367.70",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700216,SWIFT House Martins,Adults and Communities,Residential & Nursing Care,House Martins Care Ltd,"£54,929.28",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700332,SWIFT Hugh Middleton House,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£238,766.90",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700250,SWIFT Insight,Adults and Communities,Residential & Nursing Care,Insight,"£77,697.62",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700189,SWIFT Ivers,Adults and Communities,Residential & Nursing Care,ACH London Ltd,"£44,842.84",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700165,SWIFT Jemini Response Ltd,Adults and Communities,Residential & Nursing Care,Jemini Response Ltd,"£35,096.79",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700560,SWIFT Kay Court (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£44,482.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700240,SWIFT Kingsdowne Residential Home,Adults and Communities,Residential & Nursing Care,The Kingsdowne Society,"£70,529.77",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700578,SWIFT Lady Sarah Cohen (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£570,952.27",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700262,SWIFT Lancam Nursing Home,Adults and Communities,Residential & Nursing Care,Lancam Nursing Care Ltd,"£89,092.34",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700233,SWIFT Lancaster Court,Adults and Communities,Residential & Nursing Care,Runwood Homes Plc,"£63,287.67",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700343,SWIFT Lansdowne Care Centre,Adults and Communities,Residential & Nursing Care,Four Seasons Healthcare,"£327,535.34",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700238,SWIFT Laura House,Adults and Communities,Residential & Nursing Care,Robert Owen Communities,"£69,801.43",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700246,SWIFT Laurel House,Adults and Communities,Residential & Nursing Care,North London Care Services Ltd,"£73,918.41",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700349,SWIFT Life Style Care Plc,Adults and Communities,Residential & Nursing Care,Life Style Care Plc,"£386,453.64",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700204,SWIFT Long Furrows,Adults and Communities,Residential & Nursing Care,Long Furrows Care Group,"£50,083.96",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700325,SWIFT Macintyre,Adults and Communities,Residential & Nursing Care,Macintyre Care,"£219,742.74",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700320,SWIFT Magnolia Court,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£193,647.21",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700230,SWIFT Magnolia House,Adults and Communities,Residential & Nursing Care,Community Care Solutions Ltd,"£62,298.43",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700344,SWIFT Manor House (Sense),Adults and Communities,Residential & Nursing Care,Sense Day Centre,"£332,695.04",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700205,SWIFT Maryville Care Home,Adults and Communities,Residential & Nursing Care,The Frances Taylor Foundation,"£50,281.08",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700168,SWIFT MCCH,Adults and Communities,Residential & Nursing Care,Mcch Society Ltd,"£36,739.08",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700203,SWIFT MCCH Society Ltd,Adults and Communities,Residential & Nursing Care,Mcch Society Ltd,"£50,000.00",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700169,SWIFT Meadowbank Trust,Adults and Communities,Residential & Nursing Care,Novalist Trust Ltd,"£37,774.86",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700347,SWIFT Meera House,Adults and Communities,Residential & Nursing Care,Meera Nursing Home Ltd,"£344,344.50",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700247,SWIFT Middlefield Manor (Nas),Adults and Communities,Residential & Nursing Care,National Autistic Society,"£74,541.13",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700364,"SWIFT Milbury Care, The Lodge & The Cedars",Adults and Communities,Residential & Nursing Care,Voyage 1 Ltd,"£591,938.08",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700199,SWIFT Milton Keynes Services,Adults and Communities,Residential & Nursing Care,Scope,"£48,973.94",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700307,SWIFT Mowbray House,Adults and Communities,Residential & Nursing Care,Young Foundations,"£154,242.86",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700322,SWIFT National Society For Epilepsy,Adults and Communities,Residential & Nursing Care,Epilepsy Society,"£204,332.57",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700326,SWIFT New Century Care,Adults and Communities,Residential & Nursing Care,New Century Care Ltd,"£223,754.97",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700210,SWIFT Nightingale House,Adults and Communities,Residential & Nursing Care,Nightingale House (Care Home) Ltd,"£52,831.67",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700213,SWIFT Northwood Nursing Home,Adults and Communities,Residential & Nursing Care,MD Homes,"£53,331.43",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700335,SWIFT Norwood 1 Woodcock Dell Avenue,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£268,727.66",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700208,SWIFT Norwood 159 Station Road,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£51,940.11",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700260,SWIFT Norwood 159A Station Road,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£85,721.91",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700333,SWIFT Norwood 55 Edgeworth Crescent,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£260,172.67",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700276,SWIFT Norwood 60 Carlton Avenue,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£99,199.59",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700361,SWIFT Norwood Pamela Barnett Centre,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£582,759.84",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700232,SWIFT Norwood Stanmore Cottages,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£63,102.06",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700295,SWIFT Oakdene,Adults and Communities,Residential & Nursing Care,Glenholme Mental Healthcare Ltd,"£134,579.25",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700173,SWIFT Oakfield,Adults and Communities,Residential & Nursing Care,Oakfield (Easton Maudit) Ltd,"£38,574.31",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700252,SWIFT Oakhouse Residential,Adults and Communities,Residential & Nursing Care,Oakhouse Residential Care Service Ltd,"£78,749.61",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700315,SWIFT Old Church Lane (Ravenswood),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£174,400.05",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700296,SWIFT Orchard (Ravenswood Village),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£136,384.67",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700328,SWIFT Orchard Manor Transition Serv,Adults and Communities,Residential & Nursing Care,Scope,"£229,757.55",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700563,SWIFT Osmond House,Adults and Communities,Residential & Nursing Care,Jewish Care,"£135,675.20",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700222,SWIFT Oxenden House Care Home,Adults and Communities,Residential & Nursing Care,Oxenden House Care Home Ltd,"£56,770.78",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700186,SWIFT Paradise House (Housing Assoc),Adults and Communities,Residential & Nursing Care,Novalist Trust Ltd,"£41,494.99",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700146,SWIFT Park View,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£28,751.91",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700191,SWIFT Pen Y Daith,Adults and Communities,Residential & Nursing Care,St David'S Care - Community,"£46,384.75",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700202,SWIFT Phillips House,Adults and Communities,Residential & Nursing Care,Freeways,"£49,796.39",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700290,SWIFT Poolmead Centre (RNID),Adults and Communities,Residential & Nursing Care,Action Of Hearing Loss Formerly Rnid,"£128,261.04",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700324,SWIFT Porlock House,Adults and Communities,Residential & Nursing Care,National Autistic Society,"£208,823.91",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700565,SWIFT Princess Alexandra Home,Adults and Communities,Residential & Nursing Care,Jewish Care,"£152,015.76",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700209,SWIFT Quality Housing(Trinity House),Adults and Communities,Residential & Nursing Care,Quality Housing & Social Care,"£52,798.64",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
700299,SWIFT Quantum Care Ltd,Adults and Communities,Residential & Nursing Care,Quantum Care Ltd,"£138,764.44",01/04/2009,31/03/2015,,30/06/2014,ITT,N/A
