Ratepayer,Property Address,RV,Property Description
Fossil Stone Ltd [Dissolved],"Fossil Stone, Brookfoot Lane, Brighouse, HD6 2RA",5600,Mineral Processing Plant And Premises
Calderdale Mbc Childrens & Young Peoples Services,"Community Centre, Burnsall Road, Rastrick, Brighouse           HD6 3JT",5500,Community Centre And Premises
,"Opp Victoria Works, Calder Street, Brighouse, HD6 1LZ",4850,Car Park
,"5 Canal Street, Brighouse, HD6 1NR",7500,Shop and Premises
E.P.I.C Plc,"7 Commercial Street, Brighouse, HD6 1AF",14750,Shop and Premises
Lowgate Properties Ltd,"9 Commercial Street, Brighouse, HD6 1AF",6300,Offices and Premises
Frozen Value Ltd,"32/34 Commercial Street, Brighouse, HD6 1AQ",24750,Shop and Premises
Lawgate Properties,"9 Commercial Street, Brighouse, HD6 1AF",9100,Shop and Premises
Santander,"First Floor, 24/26 Commercial Street, Brighouse, HD6 1AQ",8100,Gym And Premises
Draincraft Ltd,"65 Commercial Street, Brighouse, HD6 1AF",13000,Shop and Premises
,"Units 2,3 & 9, 32 Huddersfield Road, Brighouse, HD6 1HA",18000,Offices and Premises
Younger Homes (Northern) Ltd,"Mill Royd Street, Brighouse, HD6 1EY",5100,Land Used For Storage And Premises
,"Unit 1, Owler Ings Road, Brighouse, HD6 1EJ",15500,Warehouse And Premises
Iredale Investments Ltd,"Park Row, Brighouse, HD6 1AB",5800,Hairdressing Salon and Premises
Iredale Investments Ltd,"Brighouse Post Office, Park Street, Brighouse, HD6 1AA",20250,Post Office And Premises
,"Unit 2, 27 Rastrick Common, Brighouse, HD6 3DW",6100,Warehouse And Premises
Admiral Taverns Ltd,"Robin Hood Inn, 16 Wakefield Road, Brighouse, HD6 1PE",4400,Public House and Premises
Hurst Group Northern Ltd,"Capital Works, 12-14 Wakefield Road, Brighouse, HD6 1PE",38000,Factory and Premises
R A Technology Ltd,"Ground Floor Wing, Wakefield House, 84 Wakefield Road, Brighouse            HD6 1QL",5900,Offices and Premises
Draincraft Ltd,"1 Wellington Arcade, Briggate, Brighouse, HD6 1DN",12000,Shop and Premises
E.P.I.C Plc,"(Former Ling Leisure), West Park Street, Brighouse, HD6 1DU",11750,Shop and Premises
Binks Executive Homes Ltd,"First Floor, Low Mill, Wharfe Street, Brighouse           HD6 1PP",2650,Workshop And Premises
Towngate Plc,"Part Ground Floor, Park View House, Woodvale Road, Brighouse            HD6 4AB",4300,Store And Premises
Towngate Plc,"Suite 4 Second Floor, Woodvale Road, Brighouse, HD6 4AB",2800,Offices And Premises
Towngate Plc,"Suite 6 Second Floor, Park View House, Woodvale Road, Brighouse            HD6 4AB",2600,Office
Valley Hall Developments Ltd,"The Bridge, 2 Briggate, Elland, HX5 9DP",6700,Public House and Premises
,"Unit 4B, Catherine Street, Elland, HX5 0EZ",3200,Car Sales Site and Premises
Calderdale Mbc Childrens & Young Peoples Services,"Garage & Stores, Elizabeth Street, Elland, HX5 0JH",4250,Store And Premises
J H Cockroft & Co Ltd [In Liquidation],"Unit 6 G F Bridgefield Mills, Bridgefield Works, Elland Bridge, Elland               HX5 0SG",5300,Warehouse And Premises
J H Cockroft & Co Ltd [In Liquidation],"Unit 9 Bridgefield Mills, Bridgefield Works, Elland Bridge, Elland               HX5 0SG",3900,Warehouse And Premises
J H Cockroft & Co Ltd [In Liquidation],"Units 2,5,7 Bridgefield Mill, Bridgefield Works, Elland Bridge, Elland               HX5 0SQ",11250,Workshop And Premises
,"Elland Lane, Elland, HX5 9DU",7300,Workshop And Premises
Waxman Holdings Ltd,"Unit 15 Grove Mills, Elland Lane, Elland, HX5 9DZ",6600,Warehouse And Premises
,"Adj Lockwoods Carpets, Halifax Road, Elland, HX5 0SH",2650,Studio And Premises
Waxman Holdings Ltd,"Unit 9 Heathfield Ind Estate, Heathfield Street, Elland, HX5 9AE",15000,Warehouse And Premises
P Bairstow Ltd,"Ainleys Industrial Estate, Huddersfield Road, Elland, HX5 9JP",61000,Workshop And Premises
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",10250,Workshop And Premises
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",3150,Workshop And Premises
Trustees Of L.B Of Southwark Pension Fund,"Unit H3 Premier Way, Lowfields Business Park, Elland, HX5 9HF",101000,Warehouse And Premises
The National Trust For Scotland,"Ground Floor Unit H6, Premier Way, Lowfields Business Park, Elland               HX5 9HF",61500,Offices And Premises
National Trust For Scotland,"Part First Floor, Unit H6 Premier Way, Lowfields Business Park, Elland               HX5 9HF",30000,Offices and Premises
Threadneedle Uk Property Trust,"Unit J6 Lowfields Way, Lowfields Business Park, Elland, HX5 9DA",500000,Warehouse And Premises
Micheldever Tyre Services Plc,"Empty Parts, 1ST Flr Micheldever Offices, Old Power Way, Elland               HX5 9DA",9500,Store And Premises
Royds Properties Ltd,"Ground Floor Unit B8, Warhurst Road, Lowfields Business Park, Elland               HX5 9DF",25500,Offices And Premises
Joseph Dobson & Sons Ltd,"22/24 Northgate, Elland, HX5 0RU",7600,Offices and Premises
Joseph Dobson & Sons Ltd,"32 Northgate, Elland, HX5 0RU",6200,Offices and Premises
,"Old Coach House, Oak Street, Elland, HX5 0JJ",3500,Workshop And Premises
Benjamin Whiteley & Sons Ltd,"1ST, 2ND & 2RD Floors, Park Road Mills, Park Road, Elland               HX5 9HX",10500,Workshop And Premises
Benjamin Whiteley & Sons Ltd,"Pt Grd Flr Multi-Storey Mill, Park Road Mills, Park Road, Elland               HX5 9HX",2700,Warehouse
Royds Properties Ltd,"First Floor Unit 9, Wellington Mills, Quebec Street, Elland               HX5 9BX",5500,Workshop And Premises
Royds Properties Ltd,"First Floor, Unit 5 Wellington Mills, Quebec Street, Elland               HX5 9AS",10750,Warehouse And Premises
Royds Properties Ltd,"Second Floor Unit 5, Wellington Mills, Quebec Street, Elland               HX5 9AS",8500,Warehouse And Premises
Royds Properties Ltd,"Unit 6 First Floor, Wellington Mills, Quebec Street, Elland               HX5 9AS",7600,Offices And Premises
Heathleigh Ltd,"Garage Unit 7A, Woodman Works, South Lane, Elland               HX5 0PA",4500,Workshop And Premises
Viewstone Ltd,"Office 11 James Street Mills, South Lane, Elland, HX5 0HB",7400,Offices And Premises
Standard Life Trustee Company Ltd,"14 Southgate, Elland, HX5 0BW",7000,Shop and Premises
,"2 Crown Yard, Southgate, Elland, HX5 0DQ",3050,Shop and Premises
E.P.I.C Plc,"54a Southgate, Elland, HX5 0DQ",5200,Shop and Premises
,"75 Southgate, Elland, HX5 0DQ",3500,Offices and Premises
,"75 Southgate, Elland, HX5 0DQ",4400,Shop and Premises
,"R/O 7-10 Town Hall Buildings, Elland, HX5 0EU",4150,Store and Premises
Director Of Safer & Stronger Communities,"Elland Baths, Town Hall Street, Elland, HX5 0EB",24500,Swimming Pool And Premises
Armytage Sykes Llp,"8 Victoria Road, Elland, HX5 0PU",5300,Offices and Premises
,"14 Victoria Road, Elland, HX5 0PU",3700,Shop and Premises
Director Of Safer & Stronger Communities,"Ellen Royd Clinic, Westgate, Elland, HX5 0BB",13500,Health Centre and Premises
Director Of Safer & Stronger Communities,"Offices At Ellen Royd Clinic, Westgate, Elland, HX5 0BB",7700,Offices and Premises
,"Trafalgar Inn, Aachen Way, Halifax, HX1 3ND",12250,Public House and Premises
Crossley Evans Ltd,"Boston Street, Halifax, HX1 4ND",8300,Workshop And Premises
Due West Ltd,"First Floor, 4/6/8 Albion Street, Halifax, HX1 1DU",5500,Offices and Premises
Bibi Investments Ltd,"Battinson Road Mills, Battinson Road, Halifax, HX1 5PR",35500,Warehouse And Premises
,"Baxter Lane Works, Northowram, Halifax, HX3 7EF",5300,Workshop And Premises
,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",2950,Store And Premises
,"Sports & Social Club, Bedford Street, Halifax, HX1 5DL",10750,Club and Premises
Halifax Opportunities Trust,"Office 14 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",5400,Offices and Premises
Halifax Opportunities Trust,"Halifax Works, Pt 1ST Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",38750,Offices and Premises
Global Commercial Investments Ltd,"First Floor Unit H, Craven Edge Enterprise Cntr, Hopwood Lane, Halifax              HX1 5JH",5400,Warehouse And Premises
Given Rhymes Limited,"Unit 10, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",3150,Offices And Premises
Given Rhymes Limited,"Unit 1A, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",5700,Workshop And Premises
Given Rhymes Limited,"Unit 1, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",10500,Offices And Premises
Given Rhymes Limited,"Units 2-9, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",155000,Factory And Premises
Halifax Opportunities Trust,"Off. 3 2ND Flr W Grove Mill, The Ew Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",9400,Offices And Premises
Halifax Opportunities Trust,"Off. 2 2ND Flr W Grove Mill, The Ew Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",4900,Office
,"Ground & Lower Ground Floor, Berwick Mill, Berwick Street, Halifax              HX1 1QG",7600,Workshop And Premises
Land Acquisitions Ltd,"The Gatehouse, Unit 4 Black Brook Way, Stainland Road, Greetland            HX4 8ED",9100,Warehouse And Premises
Red Dragon Foods Ltd (Company Dissolved 30/07/13),"3 Waterhouse Street, Halifax, HX1 1XX",29250,Restaurant and Premises
,"Bradshaw Tavern, 16 Bradshaw Lane, Bradshaw, Halifax             HX2 9XB",13500,Public House and Premises
Edgar Dickinson Properties Ltd,"Unit 76 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",3300,Offices and Premises
Edgar Dickinson Properties Ltd,"Unit 68 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",4600,Offices And Premises
Edgar Dickinson Properties Ltd,"Unit 69 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",3050,Warehouse And Premises
Edgar Dickinson Properties Ltd,"Unit 71 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",2900,Offices And Premises
,"Unit 9 Lower Brearley Mill, Luddendenfoot, Halifax, HX2 6HU",4400,Offices and Premises
Keswickton Securities Ltd,"Unit 2 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax              HX3 8EF",6300,Warehouse And Premises
Trustees Of B Holmes Discretionary Settlement,"33/35 Broad Street, Halifax, HX1 1YA",9600,Shop and Premises
,"37/39 Broad Street, Halifax, HX1 1YA",8300,Restaurant And Premises
Johnston Publishing Ltd,"Ground Floor Store, Below Courier Offices, Bull Close Lane, Halifax              HX1 2SH",16750,Store And Premises
Pennine Housing 2000,"Bar Number Fifteen, Bull Green, Halifax, HX1 2DZ",16500,Public House and Premises
,"13/15 Bull Green, Halifax, HX1 2EB",8300,Shop And Premises
,"Coach And Horses, Burnley Road, Luddendenfoot, Halifax             HX2 6AH",12500,Public House and Premises
Zip Heaters Uk Ltd,"Unit R4, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",6900,Workshop And Premises
Trustees Of The Damika Ltd Pension Fund,"Upperfoot Farm Shop, Burnley Road, Luddendenfoot, Halifax              HX2 6HL",4650,Shop and Premises
,"47 Burnley Road, Luddendenfoot, Halifax, HX2 6AR",6100,Offices and Premises
,"Edwards Road Post Office, Edwards Road, Halifax, HX2 7DL",6700,Shop and Premises
,"9 Carlton Street, Halifax, HX1 2AL",5300,Offices and Premises
Due West Limited,"Old Sunday School, Carlton Street, Halifax, HX1 2AD",9300,Dance School And Premises
D & F Rustique Ltd,"5-7 Central Street, Halifax, HX1 1HU",21250,Restaurant and Premises
Lister Horsfall Ltd,"4 Cheapside, Halifax, HX1 1TQ",12750,Shop and Premises
,"26 Cheapside, Halifax, HX1 1TQ",28000,Shop and Premises
,"Pellon Community Centre, Church Lane, Mount Pellon, Halifax             HX2 0JG",7700,Community Centre And Premises
Royal London Mutual Insurance Society Ltd,"Church St Filling Station, Church Street, Halifax, HX1 1QY",3000,Store And Premises
,"Empire Buildings, Church Street, Halifax, HX1 1QY",7400,Workshop And Premises
Royal London Mutual Insurance Society Ltd,"Church Street, Halifax, HX1 1QY",27750,Showroom And Premises
Royal London Mutual Insurance Society Ltd,"Former Filling Station, Church Street, Halifax, HX1 1QY",13250,Offices and Premises
S Sheard & Son Ltd,"Prospect Mill, Church Street, Greetland, Halifax              HX4 8LY",62500,Warehouse And Premises
Qudos Uk Ltd,"Preston House, 9 Clare Road, Halifax, HX1 2HX",9600,Offices and Premises
Halifax Chiropractic Centre Ltd,"First Floor, 20 Clare Road, Halifax, HX1 2HX",3800,Offices And Premises
,"303 Claremount Road, Halifax, HX3 6AW",3700,Shop and Premises
Bizspace Ltd,"Unit 1A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",4650,Offices and Premises
Willow Storage Limited,"Unit 8C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",3100,Offices and Premises
Bizspace Ltd,"Unit 8G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",2750,Offices and Premises
Bizspace Ltd,"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX",5200,Offices and Premises
Bizspace Ltd,"Unit 11, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",9600,Offices and Premises
Bizspace Ltd,"Unit 5A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",6300,Warehouse And Premises
Bizspace Ltd,"Unit 4D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",9100,Warehouse And Premises
Anglo Canadian Alloys Ltd (In Liquidation),"2 The Old Vicarage, Coley Road, Northowram, Halifax             HX3 7SA",8600,Offices and Premises
Johnson Cleaners Uk Ltd,"10 Commercial Street, Halifax, HX1 1TA",6800,Offices and Premises
Carter Towler,"1ST Floor, 20/26 Commercial Street, Halifax, HX1 1TA",14500,Offices and Premises
Ascon Investments [Hx] Ltd,"3RD Floor, 39/47 Commercial Street, Halifax, HX1 1BE",23000,Offices And Premises
,"3/5 Crown Street, Halifax, HX1 1TT",24250,Hairdressing Salon and Premises
Trustees Of B Holmes Discretionary Settlement,"Part 7th Floor, 60 Crown Street, Halifax, HX1 1HY",15500,Offices and Premises
Dean Clough Ltd,"Pt Grd, 4TH&5TH Flrs F Mill, Dean Clough Mills, Halifax, HX3 5AX",350000,Offices and Premises
Pennine Housing 2000 Ltd,"31 Dene Place, Halifax, HX1 5TL",3100,Shop and Premises
Heritage Works Buildings Preservation Trust Ltd,"Units 1, 2 & 3 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",8900,Offices And Premises
,"Dog Lane Mills, Dog Lane, Stainland, Halifax              HX4 9PZ",3850,Workshop And Premises
Binns & Sons (Greetland) Ltd,"Unit 2 Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8PE",2750,Workshop And Premises
Matrix Multimedia Ltd,"The Factory, 23 Emscote Street South, Halifax, HX1 3AN",9000,Workshop And Premises
,"Farrar Mill Yard, Farrar Mill Lane, Halifax, HX3 9EU",6800,Workshop And Premises
,"Arden Works, Fenton Road, Halifax, HX1 3PP",7900,Factory and Premises
,"Part 1st Floor, Fenton Road, Halifax, HX1 3SQ",2650,Stores
,"Part 1ST Floor, Thornton Works, Fenton Road, Halifax             HX1 3PP",3200,Workshop And Premises
Enterprise Inns Plc,"Edisons, Fountain Street, Halifax, HX1 1LW",25750,Nightclub And Premises
A T C Properties Ltd,"Suite 4 3RD Floor, Fountain Chambers, 22 Fountain Street, Halifax              HX1 1LW",4700,Offices and Premises
E T R Leisure Ltd (Company Dissolved),"George Square, Halifax, HX1 1HS",6800,"Store, Store and Premises"
,"305 Gibbet Street, Halifax, HX1 4JX",3650,Shop And Premises
Tubzee Ltd,"Unit 7/8, Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",3250,Workshop And Premises
Tubzee Ltd,"Unit 9 (Ground Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",3550,Warehouse And Premises
,"Units 1&3 (3rd Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",7300,Warehouse And Premises
Burwell Ltd,"Unit 6B Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",8100,Offices and Premises
Milton (Halifax) Ltd,"Milton Shed (Empty), Gibbet Street, Halifax, HX1 5BA",9700,Workshop And Premises
,"135 Gibraltar Road, Halifax, HX1 3UH",3400,Garage And Premises
Calderdale Engineering Services Ltd,"Unit 5, Grantham Works, Grantham Road, Halifax              HX3 6PL",15000,Workshop And Premises
Grantham House Properties Ltd,"Grantham House, Grantham Road, Halifax, HX3 6PL",9300,Offices and Premises
Pennine Housing 2000,"60 Haley Hill, Halifax, HX3 6ED",3150,Shop and Premises
Interdum Ltd,"Unit 2C, Hipperholme Business Park, Hipperholme, Halifax              HX3 8ER",6000,Offices and Premises
Interdum Ltd,"Part Unit 3, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",18500,Car Sales Site and Premises
,"First Floor, 6-8 Hall Street, Halifax, HX1 5AY",5600,Warehouse And Premises
M.K Consultants [U.K] Ltd,"Hanson Lane, Halifax, HX1 4QU",85000,Factory and Premises
Halifax Opportunities Trust,"Unit 4, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",3850,Workshop And Premises
Halifax Opportunities Trust,"Office 22, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",3050,Offices and Premises
,"25 Harrison Road, Halifax, HX1 2AF",14750,Offices and Premises
,"31 Harrison Road, Halifax, HX1 2AF",10750,Offices and Premises
Swinton Group Ltd,"Lakeside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",25500,Offices and Premises
Swinton Colonnade,"Fellside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",23750,Offices and Premises
Pennine Housing 2000 Ltd,"Ground Floor, Hebble Court, Dodge Holme Close, Mixenden",5800,Surgery And Premises
Kino & Co,"Frmr Part Heritage Cashmere, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",6500,Warehouse And Premises
Kino & Co,"Unit Hm 21/22, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",5800,Store and Premises
Kino & Co,"Office Hm 3.9, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",3550,Offices And Premises
Global Commercial Investments Ltd,"Rear Part Unit H, Craven Edge Enterprise Cntr, Hopwood Lane, Halifax              HX1 5JH",7700,Warehouse And Premises
The Royal London Mutual Insurance Society,"60 Horton Street, Halifax, HX1 1QE",46500,Showroom And Premises
Tesco Stores Ltd,"Huddersfield Road, Halifax, HX3 0AA",27750,Showroom And Premises
Lordgates Ltd,"Punch Bowl Inn, 389 Huddersfield Road, Halifax, HX3 9LJ",4750,Public House and Premises
,"115-119 Keighley Road, Halifax, HX2 8JE",2800,Shop and Premises
,"King Cross Road, Halifax, HX1 3JL",17250,Car Sales Site and Premises
,"161 King Cross Road, Halifax, HX1 3LN",5400,Shop and Premises
,"202 King Cross Road, Halifax, HX1 3JP",6400,Shop and Premises
,"250 King Cross Road, Halifax, HX1 3JP",17250,Shop and Premises
,"223 King Cross Road, Halifax, HX1 3JL",13500,Shop And Premises
,"17A King Cross Street, Halifax, HX1 2SH",4050,Offices And Premises
Frontcatch Ltd,"1/3 Law Lane, Southowram, Halifax, HX3 9QU",7000,Shop and Premises
Ingfield Farm Shop Ltd,"Ingfield Farm Shop, Law Farm, Law Lane, Southowram, Halifax              HX3 9UG",4250,Shop and Premises
W W Leese [Hx] Ltd,"Lower Brea, Leeds Road, Halifax, HX3 7AQ",4550,Warehouse And Premises
,"29 Lees Buildings, Halifax Road, Hipperholme, Halifax             HX3 8EW",4900,Shop and Premises
,"Unit 10 Victoria Park, Lightowler Road, Halifax, HX1 5ND",8000,Store And Premises
Global Commercial Investments Ltd,"Units C & D, Craven Edge Enterprise Cntr, Hopwood Lane, Halifax             HX1 5EH",9200,Warehouse And Premises
Blackshaw Holdings Ltd,"Listers Road, Halifax, HX3 6AG",12250,Vehicle Repair Workshop And Premises
Wellington Pub Co Plc,"Macmillans, Long Lane, Wheatley, Halifax             HX3 5AD",26500,Public House and Premises
,"10 Lord Street, Halifax, HX1 5AE",11250,Surgery And Premises
Simog Inn Limited (In Liquidation),"7 Lord Street, Halifax, HX1 5AE",25750,Public House and Premises
Design House Outside Catering Ltd,"Dolce And Banana, 6 Lord Street, Halifax, HX1 5AE",6250,Public House and Premises
Burrwood Garage Ltd,"Miall Street Mills, Miall Street, Halifax, HX1 4AE",5200,Warehouse And Premises
Burrwood Garage Ltd,"Monsal Mills, Miall Street, Halifax, HX1 4AE",2650,Workshop And Premises
,"Mile Cross Works, Mile Cross Road, Halifax, HX1 4HN",43750,Warehouse And Premises
,"Mill Lane, Boothtown, Halifax, HX3 6TN",7700,Vehicle Repair Workshop And Premises
Calderbrook Estates Ltd,"Units 2D & 2E, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",10500,Warehouse And Premises
Pennine Housing 2000,"103 Mixenden Road, Mixenden, Halifax, HX2 8PU",9900,Offices and Premises
,"19 Mixenden Road, Mixenden, Halifax, HX2 8PE",2850,Shop And Premises
Hutchinson Construction [Northern] Ltd,"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",4000,Warehouse And Premises
Hutchinson Construction [Northern] Ltd,"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",10250,Offices and Premises
Hutchinson Construction [Northern] Ltd,"Horsfall House, Mulcture Hall Road, Halifax, HX1 1SP",18250,Offices and Premises
Hutchinson Construction [Northern] Ltd,"Empire House, Mulcture Hall Road, Halifax, HX1 1SP",12000,Offices and Premises
Decopak Ltd,"Land At, Hipperholme Works, Halifax Road, Hipperholme          HX3 8BS",12250,Land Used For Storage and Premises
Royal London Mutual Insurance Society Ltd,"7/9/11 New Road, Halifax, HX1 2LH",12250,Shop and Premises
Northgate Halifax Ltd,"95 Northgate, Halifax, HX1 1XF",9200,Showroom And Premises
John Crossley & Sons Ltd,"Unit 1A Lower Ground Floor, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",6300,Warehouse And Premises
John Crossley & Sons Ltd,"Unit B12, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",3250,Workshop And Premises
Capita S I P Services S W I 0126,"1st, 2nd & 3rd Floors, 14/16 Old Market, Halifax, HX1 1TN",8200,Shop and Premises
,"Police Station, Ovenden Road, Halifax, HX3 5QG",10000,Police Station And Premises
R E Dickie Ltd,"West End Works, Parkinson Lane, Halifax, HX1 3UB",15750,Workshop And Premises
,"2 Pellon Lane, Halifax, HX1 5SP",4400,Shop and Premises
,"12 Pellon Lane, Halifax, HX1 5SP",5900,Shop and Premises
,"224 Pellon Lane, Halifax, HX1 5RU",3750,Shop and Premises
United Carpets (Franchisor) Limited,"Unit 2 & 3, Pellon Lane Retail Park, Pellon Lane, Halifax              HX1 5HQ",70500,Retail Warehouse And Premises
,"First Floor, Surefix Motoring Centre, Portland Place, Halifax              HX1 2QN",5300,Warehouse And Premises
Whirlow (Landmark) Ltd,"18-22 Powell Street, Halifax, HX1 1LN",24750,Cafe and Premises
,"Part 1ST & 2ND Floor, 30 Prescott Street, Halifax, HX1 2LG",5400,Offices And Premises
,"Ground & Part 1ST Floor, 30 Prescott Street, Halifax, HX1 2LG",5700,Offices And Premises
Hewden Stuart Ltd,"327 Queens Road, Halifax, HX1 4PY",24500,Warehouse And Premises
,"Milk Distribution Depot, Queens Road, Halifax, HX1 3NT",13750,Warehouse And Premises
Marrtree Investments Limited,"327a Queens Road, Halifax, HX1 4PY",5700,Shop and Premises
Trustees Of The Oddyssey Glass Pension Scheme,"Unit 4B, High Level Way, Queens Road, Halifax              HX1 4PS",34500,Warehouse And Premises
,"D Y L Motor Group, Queens Road, Halifax, HX1 3XY",79000,Car Showroom And Premises
,"D Y L Motor Group, Queens Road, Halifax, HX1 3XY",76500,Car Showroom And Premises
Leo Sawrij Ltd,"Sect 3A Unit 6, Pellon Industrial Estate, Queens Road, Halifax              HX1 4PS",6500,Store and Premises
Pennine Housing 2000,"Unit 3, Range Court, Halifax, HX3 6DJ",7000,Garage And Premises
Pennine Housing 2000,"Unit 4, Range Court, Halifax, HX3 6DL",8100,Garage And Premises
,"2 Range Lane, Halifax, HX3 6DL",2600,Shop and Premises
M Y Wholesale Ltd,"Reservoir Road, Pellon, Halifax, HX2 0ET",17000,Workshop And Premises
,"57 Saddleworth Road, Greetland, Halifax, HX4 8AG",3100,Cafe and Premises
,"196 Savile Park Road, Halifax, HX1 2XP",4050,Shop and Premises
Pickles Printing Co Ltd,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN",3000,Store And Premises
Pathvalley Ltd,"6 Savile Park Street, Halifax, HX1 3DX",3100,Shop And Premises
,"12 Savile Park Street, Halifax, HX1 3DX",2850,Surgery And Premises
,"Unit 4, Sedburgh Road, Halifax, HX3 9HB",7900,Workshop And Premises
Bleu Properties Ltd,"Sedburgh Road, Halifax, HX3 9HB",10250,Workshop And Premises
,"149 Shay Lane, Halifax, HX3 6RR",5800,Warehouse And Premises
,"149 Shay Lane, Halifax, HX3 6RR",8800,Workshop And Premises
A - Fax Ltd,"Unit 2, Drakes Industrial Estate, Shay Lane, Halifax             HX3 6RL",47500,Factory and Premises
Rock Structural Engineering Ltd,"Unit 2 First Floor Offices, Holmfield Works, Shay Lane, Halifax              HX2 9AP",5300,Offices and Premises
Mmt Scheme Trsts. Dsm/Dps,"Unit 5 Shay Lane Works, Shay Lane, Halifax, HX3 6SF",12250,Workshop And Premises
,"Stansfield Haulage Yard, Stansfield House, Shay Lane, Halifax              HX2 9AD",4000,Land Used For Storage And Premises
