Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Portsmouth Hospitals Trust,12/05/2016 19:20,Rent,COMMUNITY HOSPITALS - SMH,NHS PROPERTY SERVICES LTD,18786048,-25523.82,CR160317130815325
Department of Health,Portsmouth Hospitals Trust,12/05/2016 19:20,Rent,COMMUNITY HOSPITALS - SMH,NHS PROPERTY SERVICES LTD,18786171,-128392.52,CR1605061443241
Department of Health,Portsmouth Hospitals Trust,13/05/2016 19:36,Commercial Sector,B`STOKE DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,18797716,31537.68,1050441447
Department of Health,Portsmouth Hospitals Trust,13/05/2016 19:36,Commercial Sector,CHANDLERS FORD DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,18797720,41384.62,1050441449
Department of Health,Portsmouth Hospitals Trust,16/05/2016 17:11,Miscellaneous Expenditure,FINANCIAL MANAGEMENT,DRAEGER MEDICAL UK LTD,18808031,5479.35,918276986
Department of Health,Portsmouth Hospitals Trust,15/05/2016 19:09,Laboratory Test Kits,MICROBIOLOGY,ABBOTT LABORATORIES LTD,18817963,29983.35,751100491
Department of Health,Portsmouth Hospitals Trust,17/05/2016 17:09,Other Public Sector,RD-LASER,UNIVERSITY OF OXFORD,18830685,37307.58,210030780
Department of Health,Portsmouth Hospitals Trust,17/05/2016 17:09,Commercial Sector,CHANDLERS FORD DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,18830690,74135.45,1050441431
Department of Health,Portsmouth Hospitals Trust,17/05/2016 17:09,SrvcsRecd-FoundationTrust,AUDIOLOGICAL MEDICINE,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18830712,29,WSH1500018846
Department of Health,Portsmouth Hospitals Trust,17/05/2016 17:09,SrvcsRecd-FoundationTrust,ENT CENTRAL STATEMENT,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18830712,790,WSH1500018846
Department of Health,Portsmouth Hospitals Trust,17/05/2016 17:09,SrvcsRecd-FoundationTrust,OCCY HEALTH WEST SUSSEX,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18830712,1130,WSH1500018846
Department of Health,Portsmouth Hospitals Trust,17/05/2016 17:09,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18830712,150962,WSH1500018846
Department of Health,Portsmouth Hospitals Trust,17/05/2016 17:09,Laboratory Chemicals,BLOOD SCIENCES,BECKMAN COULTER UK LTD,18834068,142763.5,1354054
Department of Health,Portsmouth Hospitals Trust,19/05/2016 17:09,Med & Surg Equip Disp,Cardiac Cath Lab,MEDTRONIC LTD,18857525,346.8,1051408277
Department of Health,Portsmouth Hospitals Trust,19/05/2016 17:09,Med & Surg Equip General,Cardiac Cath Lab,MEDTRONIC LTD,18857525,560.4,1051408277
Department of Health,Portsmouth Hospitals Trust,19/05/2016 17:09,Pacemakers,Cardiac Cath Lab,MEDTRONIC LTD,18857525,76800,1051408277
Department of Health,Portsmouth Hospitals Trust,19/05/2016 19:37,Laboratory Radio-Isotopes,NUCLEAR MEDICINE PHT,UNI HOSPITAL SOUTHAMPTON NHS FT,18883633,30181.56,7279162
Department of Health,Portsmouth Hospitals Trust,23/05/2016 19:34,Rent,COMMUNITY HOSPITALS - SMH,SOLENT NHS TRUST,18915229,93801,54145557
Department of Health,Portsmouth Hospitals Trust,24/05/2016 17:10,Patients Appl: Purchase,ORTHOTICS,HUGH STEEPER LTD,18915258,108258.02,SIN1604PR042798
Department of Health,Portsmouth Hospitals Trust,23/05/2016 19:34,Sterile Products,HOME HAEMO SERVICE,NXSTAGE MEDICAL UK LTD,18915261,95673.6,CD970319055
Department of Health,Portsmouth Hospitals Trust,23/05/2016 19:34,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES TRADING LTD,18915284,130997.75,288
Department of Health,Portsmouth Hospitals Trust,23/05/2016 19:34,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES TRADING LTD,18915284,13893.7,288
Department of Health,Portsmouth Hospitals Trust,23/05/2016 19:34,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES TRADING LTD,18915284,48627.95,288
Department of Health,Portsmouth Hospitals Trust,23/05/2016 19:34,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES OPERATIONS LTD,18915286,71131.34,6514
Department of Health,Portsmouth Hospitals Trust,23/05/2016 19:34,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES OPERATIONS LTD,18915286,7544.23,6514
Department of Health,Portsmouth Hospitals Trust,23/05/2016 19:34,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES OPERATIONS LTD,18915286,26404.82,6514
Department of Health,Portsmouth Hospitals Trust,23/05/2016 19:34,Rent,COMMUNITY HOSPITALS - SMH,SOLENT NHS TRUST,18915343,-72433,54146335
Department of Health,Portsmouth Hospitals Trust,24/05/2016 19:34,Independent Sector,Urgent Care Centre,SOUTH EAST HAMPSHIRE ALLIANCE LTD,18935448,35710,188
Department of Health,Portsmouth Hospitals Trust,24/05/2016 19:34,Commercial Sector,B`STOKE DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,18935711,31257.36,1050456825
Department of Health,Portsmouth Hospitals Trust,25/05/2016 17:10,Equip Maint Contracts,QAH MAIN X-RAY,NHS SUPPLY CHAIN,18938726,73480.9,2017001098
Department of Health,Portsmouth Hospitals Trust,27/05/2016 19:17,FP10S,FP10S TO RECHARGE,NHS BUSINESS SERVICES AUTHORITY,18979510,89833.06,1000047823
Department of Health,Portsmouth Hospitals Trust,27/05/2016 19:17,Independent Sector,Urgent Care Centre,SOUTH EAST HAMPSHIRE ALLIANCE LTD,18979576,35260,197
Department of Health,Portsmouth Hospitals Trust,31/05/2016 14:08,Rent,BOGNOR DIALYSIS,NHS PROPERTY SERVICES LTD,19000506,36347.17,48392789
Grand Total,,,,,,,2867325.79,
