Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268519,3.8,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268674,5.74,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 25/02/2016,PCO0269025,6.22,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268674,16.14,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 25/02/2016,PCO0269025,16.34,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268673,23.84,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268672,29.56,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268669,29.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268673,31.59,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268673,77.4,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 25/02/2016,OPS0269015,56.46,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 25/02/2016,OPS0269042,103.23,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 25/02/2016,OPS0269015,114.24,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,BARNES JB LIMITED,A0000202, 25/02/2016,PCO0269026,5.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268672,7.44,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,BARNES JB LIMITED,A0000202, 11/02/2016,PCO0268672,10.56,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,BARNES JB LIMITED,A0000202, 25/02/2016,OPS0269016,16.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BEARING FACTORS,A0000205, 25/02/2016,PCO0269020,60.42,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 18/02/2016,HED0268918,418.08,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,BARROWFORD PARISH COUNCIL,A0000239, 18/02/2016,HED0268963,316,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BOC GASES LTD,A0000386, 11/02/2016,PCO0268690,77.65,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Paid in the Year,PD,CB EXCAVATORS LTD,A0000396, 25/02/2016,HED0269100,22326.42,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARROWFORD SAFE & LOCK SERV LT,A0000458, 25/02/2016,EST0269081,35,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,BARROWFORD SAFE & LOCK SERV LT,A0000458, 11/02/2016,EST0268737,35,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 25/02/2016,EST0269082,160,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 25/02/2016,EST0269076,84.17,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : Vandalism Repairs,20,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 11/02/2016,PCO0268676,8.63,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 11/02/2016,PCO0268676,5.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,47,WOLTERS KLUWER (UK) LTD,A0000595, 25/02/2016,AAS0269068,173.5,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,20,MARTIN COLLINS JOINERY & GLAZING,A0000623, 25/02/2016,ENV0269109,54,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Indirect Employee Expenses,Training,12,CRAVEN COLLEGE,A0000735, 04/02/2016,PCO0268495,525,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 25/02/2016,REG0268757,80.42,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 04/02/2016,PCO0268517,6.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/02/2016,PCO0268678,57.6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 04/02/2016,PCO0268517,76,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 25/02/2016,REG0268757,44.79,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 04/02/2016,PCO0268517,12.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 25/02/2016,PCO0269017,46.9,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/02/2016,OPS0268856,14.4,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/02/2016,OPS0268856,15.25,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/02/2016,OPS0268856,24,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/02/2016,OPS0268856,36.57,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 25/02/2016,OPS0268984,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 25/02/2016,OPS0268984,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 25/02/2016,OPS0268984,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/02/2016,OPS0268856,48.76,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 25/02/2016,OPS0268984,75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/02/2016,OPS0268652,76,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/02/2016,OPS0268652,76,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/02/2016,OPS0268652,76,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/02/2016,OPS0268652,93.2,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/02/2016,OPS0268856,106.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/02/2016,OPS0268856,106.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/02/2016,OPS0268652,150,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/02/2016,OPS0268652,184.8,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,FREIGHT TRANSPORT ASSOCIATION,A0001124, 04/02/2016,OPS0268565,44.6,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,G B SIGNS SOLUTIONS LIMITED,A0001202, 11/02/2016,HED0268778,75.02,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,G B SIGNS SOLUTIONS LIMITED,A0001202, 11/02/2016,HED0268778,21.44,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mayoral Expenses,46,GOING DUTCH FLORIST,A0001216, 11/02/2016,DAL0268738,25,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,JEWSON LIMITED,A0001323, 18/02/2016,OPS0268849,35.88,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD,JEWSON LIMITED,A0001323, 11/02/2016,OPS0268658,143.52,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD,JEWSON LIMITED,A0001323, 11/02/2016,OPS0268658,420,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,J HARGREAVES,A0001359, 18/02/2016,AAS0268973,25,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,J HARGREAVES,A0001359, 25/02/2016,PCO0269056,25,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268763,8,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,15.44,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,18.4,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,19.7,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,23.76,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,27.2,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,27.2,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,48.5,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268763,79.7,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,140.4,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,40,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,152.34,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Protective Clothing,42,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,28.32,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Protective Clothing,42,KILLGERM CHEMICALS LTD,A0001624, 11/02/2016,ENV0268764,47.2,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 04/02/2016,HED0268520,33.56,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,LANLEE SUPPLIES LIMITED,A0001672, 25/02/2016,PCO0269027,30,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,LANLEE SUPPLIES LIMITED,A0001672, 25/02/2016,REG0268756,1.46,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,LANLEE SUPPLIES LIMITED,A0001672, 25/02/2016,REG0268755,25.26,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,LANLEE SUPPLIES LIMITED,A0001672, 11/02/2016,REG0268491,43.02,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,47,LANLEE SUPPLIES LIMITED,A0001672, 25/02/2016,REG0268759,62.26,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,0,LBS WORLDWIDE LIMITED,A0001673, 04/02/2016,PCO0268496,16.35,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 25/02/2016,PCO0269113,6.55,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 25/02/2016,PCO0269113,22.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 25/02/2016,PCO0269113,23.12,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 25/02/2016,PCO0269113,30.86,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 18/02/2016,PCO0268866,52.48,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 25/02/2016,PCO0269113,62.48,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,20,LANCASHIRE COUNTY COUNCIL,A0001690, 25/02/2016,HED0269112,250,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,LANCASHIRE COUNTY COUNCIL,A0001690, 25/02/2016,HED0269114,2000,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,LANCASHIRE COUNTY COUNCIL,A0001690, 04/02/2016,HED0268621,5000,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 11/02/2016,HMR0268772,1814.22,N,N/A,N,302.37
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 18/02/2016,HED0268960,2760,N,N/A,N,460
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 04/02/2016,HMR0268608,3133,N,N/A,N,522.17
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,R & K LATHAM & SON,A0001718, 11/02/2016,PCO0268668,225,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,MONK OF COLNE LTD,A0001828, 18/02/2016,EST0268939,8733.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (GARAGES) LTD,A0001846, 11/02/2016,OPS0268659,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (GARAGES) LTD,A0001846, 04/02/2016,OPS0268566,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (GARAGES) LTD,A0001846, 11/02/2016,OPS0268661,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (GARAGES) LTD,A0001846, 04/02/2016,OPS0268568,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (GARAGES) LTD,A0001846, 11/02/2016,OPS0268657,45,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,NELSON JOINERY LTD,A0001969, 18/02/2016,EST0268938,130,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 18/02/2016,EST0268954,10.29,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/02/2016,EST0268749,10.26,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/02/2016,EST0268750,65.32,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/02/2016,EST0268751,-51.67,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/02/2016,EST0268751,53.44,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/02/2016,EST0268753,21.64,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,25,UNITED UTILITIES,A0001986, 11/02/2016,EST0268752,70.59,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,F NUTTER & SONS,A0002037, 18/02/2016,EST0268940,600,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,F NUTTER & SONS,A0002037, 18/02/2016,EST0268940,1914,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,F NUTTER & SONS,A0002037, 18/02/2016,EST0268940,7.6,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,F NUTTER & SONS,A0002037, 18/02/2016,EST0268940,45.5,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,F NUTTER & SONS,A0002037, 18/02/2016,EST0268940,600,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,F NUTTER & SONS,A0002037, 18/02/2016,EST0268940,2460,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,F NUTTER & SONS,A0002037, 18/02/2016,EST0268940,4.72,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,F NUTTER & SONS,A0002037, 18/02/2016,EST0268940,325,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,OPTION HYGIENE LIMITED,A0002063, 11/02/2016,OPS0268663,6.75,N,N/A,N,N/A
