Property Address,RATEPAYER,RV,LIABILITY_START
"Unit 4B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,2600,01/04/2016
"Unit 16B First Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",Units To Let [Northern] Ltd,960,24/12/2015
"Part Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",,15000,01/04/2016
"A & B Installations, Lock Hill Mills, Holmes Road, Sowerby Bridge       HX6 3LD",,16250,01/04/2016
"Parker Chadwick, Lock Hill Mills, Holmes Road, Sowerby Bridge       HX6 3LD",,9400,01/04/2016
"Unit W3, Tenterfield Business Pk, Burnley Road, Luddendenfoot        HX2 6EQ",Brogan Business Parks Ltd,3500,23/01/2016
"Unit 2 Moderna Business Park, Mytholmroyd, Hebden Bridge, HX7 5QG",Wattlid Ltd,15250,01/09/2015
"Office 21 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Smart People Training & Development Company Ltd,3100,04/01/2016
"7 Crown Street, Hebden Bridge, HX7 8EH",,7300,01/04/2016
"Off 4, Pt 2ND Flr Bond Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Hot Surestart Data Team,2550,01/04/2016
"Office 27, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",Gns (Halifax) Ltd,1575,01/04/2016
"Windmill Tavern, Park Square, Hough, Northowram           HX3 7BZ",,11250,01/02/2016
"Unit 1 Arden Works, Fenton Road, Halifax, HX1 3PP",Fenton Road Garage Ltd,2900,01/07/2015
"Unit 7 Arden Works, Fenton Road, Halifax, HX1 3PP",,2600,01/07/2015
"Burrwood Garage, Pellon Lane, Halifax, HX1 4AA",Burrwood Garage Ltd,16750,06/11/2015
"Monsall Mill Gf, Miall Street, Halifax, HX1 4AE",,7700,06/11/2015
"633a Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,4050,09/04/2016
"8 Commercial Street, Halifax, HX1 1TA",Halo & Baines Ltd,14500,01/04/2016
"Unit C/D Ridings Business Pk, Hopwood Lane, Halifax, HX1 3TT",Enviro Building Solutions Ltd,21000,01/07/2015
"Suites 1 & 4,2ND Floor, Burlees House, Hangingroyd Lane, Hebden Bridge       HX7 7DD",Setbray Properties Ltd,9700,01/04/2016
"8 Victoria Road, Elland, HX5 0PU",,5300,24/03/2016
"Unit 8D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Independent Measure Ltd,1725,29/02/2016
"21 Burnley Road, Todmorden, OL14 7BU",,2950,01/12/2015
"Unit 6 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",Bamford Developments Limited Pension Scheme,830,01/08/2015
"14 Southgate, Elland, HX5 0BW",Golden Days Training Ltd,7000,06/11/2015
"25 Bull Green, Halifax, HX1 2RZ",Stafford Properties Ltd,12500,17/04/2016
"Unit 3, 2 Silver Street, Halifax, HX1 1HS",,5200,01/08/2015
"D Y L Motor Group, Queens Road, Halifax, HX1 3XY",All Counties Logistics Ltd,76500,22/02/2016
"35 Market Street, Hebden Bridge, HX7 6EU",,5200,27/12/2015
"Unit 4, Bandwalk Industrial Estate, Saddleworth Road, Greetland            HX4 8BA",,3300,01/03/2016
"Unit 3, Bandwalk Industrial Estate, Saddleworth Road, Greetland            HX4 8BA",,7800,01/03/2016
"R/O Copley Motors, Wakefield Road, Copley, Halifax             HX3 0UA",Rybrook Cars Ltd,3300,01/03/2016
"Adj Copley Motors Ltd, Wakefield Road, Copley, Halifax             HX3 0UA",Rybrook Cars Ltd,3250,01/03/2016
"Wakefield Road, Copley, Halifax, HX3 0UA",Rybrook Cars Ltd,57500,01/03/2016
"Unit 1C, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,5700,29/02/2016
"139 Halifax Road, Todmorden, OL14 5BE",,1975,01/04/2016
"Unit W1, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",Brogan Business Parks Ltd,4650,01/02/2016
"Unit R2, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",Brogan Business Parks Ltd,6300,11/01/2016
"Croftmyl, Gf Office A8, West Parade, Halifax              HX1 2EQ",,3900,11/01/2016
"206 Queens Road, Halifax, HX1 4NE",Euromarket Halifax Ltd,10000,01/04/2016
"6 Crown Yard, Southgate, Elland, HX5 0DQ",,3200,01/03/2016
"Suite 1, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",Valley Hall Developments Ltd,1275,01/11/2015
"Fitness Suite, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",,3800,01/04/2016
"The Lodge, 18 Wakefield Road, Brighouse, HD6 1PE",,10500,01/04/2016
"5-7 Central Street, Halifax, HX1 1HU",,21250,11/04/2015
"Dean Street, Greetland, Halifax, HX4 8DW",,6400,28/10/2015
"Puzzle Hall Inn, 21 Hollins Mill Lane, Sowerby Bridge, HX6 2RF",Newriver Retail (Uk) Ltd,8200,01/01/2016
"25 Roils Head Road, Halifax, HX2 0NQ",,1950,08/03/2016
"Units 2-3, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,15750,01/04/2014
"43/45 Westgate House, Market Street, Halifax, HX1 1PD",Poundland Ltd,137000,05/04/2016
"Units 7-8, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,17750,01/05/2014
"Unit 1E Lwr Grd Flr Sth Mill, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",Kino & Co,830,01/01/2016
"Unit HM4 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,4100,01/01/2016
"30 Bridge Gate, Hebden Bridge, HX7 8EX",Noir Gifts Ltd,10250,01/04/2016
"Unit 3 Trinity Garage, Skircoat Road, Halifax, HX1 2QZ",The Yorkshire Pine Factory Ltd,22750,01/04/2016
"Brearley Mill, Halifax Road, Todmorden, OL14 6ED",Knowl End  Farm 143 Ltd,13000,01/04/2015
"C&F Gr Energy W Turbine, Soil Hill, Halifax, HX2 9NT",Jsr Energy Ltd,2065,29/06/2012
"Office 1 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",C P Active Ltd,4100,20/01/2016
"19 Boothtown Road, Halifax, HX3 6EU",,2275,01/02/2015
"Unit 7 The Nurseries, Halifax Road, Brighouse, HD6 2QD",Brighouse Nurseries Ltd,4050,01/02/2015
"Unit 6I, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Shibden Valley Joinery Ltd,2650,18/04/2016
"16-18 Waterhouse Street, Halifax, HX1 1UQ",Cash Converters [Yorkshire] Ltd,11250,04/04/2016
"Market Stall 94-95a, Market Hall, Borough Market, Halifax             HX1 1DZ",,7200,01/01/2016
"Market Stall 101-103, Market Hall, Borough Market, Halifax             HX1 1DZ",,3850,01/04/2016
"Unit 4 Holmfield Works, Shay Lane, Halifax, HX3 6RR",HX2 Holdings Ltd,9600,01/04/2016
"Office Suite E339, Dean Clough Office Park, Halifax, HX3 5AX",Rilwood Associates Ltd,11250,04/12/2015
"Market Stall 104-107, Market Hall, Borough Market, Halifax             HX1 1DZ",,5300,01/10/2015
"26 Clare Road, Halifax, HX1 2HX",Keith Cannon & Co Ltd,14500,26/04/2016
"Sidhil Business Park, Holmfield Industrial Estate, Holdsworth Road, Halifax              HX2 9TN",Advanced Supply Chain (Hf) Ltd,262500,10/02/2016
"Bridge Mill, St Georges Square, Hebden Bridge, HX7 8ET",,7600,16/04/2016
"Unit 1 Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",Manzana Contracts (Uk) Ltd,37750,01/11/2015
"1 Old Market, Halifax, HX1 1TN",Mobius (Halifax) Ltd,29250,25/09/2015
"Market Stall 21, Market Hall, Borough Market, Halifax             HX1 1DZ",,3850,01/04/2016
"Wallace Street, Halifax, HX1 3TZ",Aspire Trust,15500,27/04/2016
"Unita 5A / 5B, Craggs Country B/Pk, New Road, Cragg Vale           HX7 5TT",Deli Belge Ltd,6100,22/10/2015
"Unit 7A Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Alpaca Comfort Ltd,7500,01/09/2015
"Market Stall 91-92, Market Hall, Borough Market, Halifax             HX1 1DZ",Calderdale Mbc Markets Manager,6700,01/03/2016
"Unit 2, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",Speak Property Ltd,1300,01/05/2016
"31 Northgate, Halifax, HX1 1UR",Oakapple Homes [Crossley House] Ltd,12250,12/12/2015
"Unit 22, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",Premier-Remapping Ltd,2650,02/02/2016
"19 Halifax Road, Todmorden, OL14 5AG",,5000,01/03/2016
"11 Albert Street, Hebden Bridge, HX7 8AH",Setbray Properties Ltd,14000,27/12/2015
"291 Claremount Road, Halifax, HX3 6AW",,3700,23/01/2016
"First Floor Unit 21B, Phoebe Lane Industrial Est, Phoebe Lane, Halifax              HX3 9EX",Para Ventures Ltd,1725,14/02/2016
"Units E & F, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,7000,01/04/2016
"Slade Lane Works, Slade Lane, Rastrick, Brighouse           HD6 3PP",,14250,17/02/2016
"Ground Floor, 8 Carlton Street, Halifax, HX1 2AL",,4650,01/03/2016
"First Floor Unit 3, The Works, Wood Street, Brighouse            HD6 1PW",The Loose Cover Company Ltd,2450,01/04/2016
"208 King Cross Road, Halifax, HX1 3JP",,8000,01/03/2016
"Unit 4A Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,4400,22/10/2015
"'Unofficial' Unit 301 -302, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,3600,07/08/2014
"Birds Royd Lane, Brighouse, HD6 1LQ",G A Valves Sales Ltd,30000,01/02/2016
"Unit 2a Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",Millcraft Associates,445,16/03/2016
"Unit 7, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Kbnw Management Ltd,7000,01/01/2016
"26/30 Rochdale Road, Todmorden, OL14 7LD",The Vedas (Todmorden) Ltd,18750,01/04/2016
"Sun Inn, 154 Wakefield Road, Lightcliffe, Halifax             HX3 8TH",,58500,05/04/2016
"Unit 11A, Brunswick Ind Estate, Brassey Street, Halifax              HX1 2EL",,5900,26/06/2015
"15/17 Bridge End, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5DR",,2700,01/05/2016
"21 Towngate, Sowerby, Sowerby Bridge, HX6 1HT",,2650,01/04/2016
"Cooper House, Cooper Lane, Shelf, Halifax              HX3 7RJ",,3300,09/02/2016
"11 Southgate, Halifax, HX1 1DL",,14000,01/04/2016
"Hare & Hounds Inn, Denholmegate Road, Hipperholme, Halifax             HX3 8JQ",Moon Marsh Pub Company Ltd,5200,14/03/2016
"Office B18 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,1625,21/12/2015
"Unit 24 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",,1950,01/04/2015
"54 Carr House Road, Shelf, Halifax, HX3 7RJ",,4450,15/12/2015
"Unit 6, Hillas Industrial Estate, Walker Lane, Sowerby Bridge       HX6 2AR",,3200,01/02/2016
"216 King Cross Road, Halifax, HX1 3JP",,6200,01/04/2016
"119 Hopwood Lane, Halifax, HX1 4HB",,3200,04/02/2016
"Unit 9 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",Matrix Facility Management Ltd,8600,26/05/2015
"Units 2D & 2E, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",Pennine 4X4 Ltd,10500,01/04/2016
"85 Halifax Road, Todmorden, OL14 5BB",,2375,15/03/2016
"17 Crown Street, Hebden Bridge, HX7 8EH",,5900,22/02/2016
"Unit 10A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,1150,18/09/2015
"Unit 4 The Old Post Office, Station Road, Sowerby Bridge, HX6 3AQ",,12000,01/04/2016
"Unit A3 Elant House, Old Power Way, Lowfields Business Park, Elland               HX5 9DE",Reactiv Media Limited,177000,04/12/2014
"163 King Cross Road, Halifax, HX1 3LN",,23750,24/12/2015
"Unit 1, Fielden Works, Walton Street, Sowerby Bridge       HX6 1AN",Stoneywood Ltd,53000,08/05/2016
"Unit 8B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",,3900,01/05/2016
"2 Dodge Holme Drive, Mixenden, Halifax, HX2 8PE",,2450,09/05/2016
"Office 3 Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",Lowerfield Plumbing & Heating Ltd,1825,01/09/2015
"Office 2 Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",,1325,01/09/2015
"The Rush Cart Inn, Towngate, Sowerby, Sowerby Bridge      HX6 1JJ",,17250,18/02/2016
"Albert Road, Halifax, HX2 0BY",Turner Adams Joinery Limited,2700,31/07/2015
"16 Bethel Street, Brighouse, HD6 1JN",,4900,16/12/2015
"Unit 10F, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Atmosphere Environmental Ltd,3300,01/03/2016
"Unit 12B Holme End Works, Holme End, Hebden Bridge, HX7 8NX",,980,01/11/2015
"Unit 4 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HG",Millcraft Associates,1050,06/04/2016
"22 Wharf Street, Sowerby Bridge, HX6 2AE",Springhill Water Services Ltd,3150,25/11/2015
"40 Town Hall Street, Sowerby Bridge, HX6 2EA",,3400,01/04/2016
"10 Silver Street, Halifax, HX1 1HS",,7000,06/01/2015
"Unit 4B Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Mud - Uk Ltd,11750,21/12/2015
"Unit 7B Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,9600,01/09/2015
"Ground Floor Office, 30 Prescott Street, Halifax, HX1 2LG",,1700,24/01/2015
"Unit 1, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,12000,01/09/2014
"Unit 6, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,8400,01/09/2014
"Units E, F Pt J, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",Maramar Holdings Ltd,45750,01/10/2015
"Units G/H, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",Maramar Holdings Ltd,39500,01/02/2016
"199 Pellon Lane, Halifax, HX1 5RL",,9000,01/10/2015
"Huddersfield Road, Elland, HX5 9BZ",Tru Property Investments Ltd,13250,01/02/2016
"Woodman Works, South Lane, Elland, HX5 0PA",Heathleigh Ltd,1300,05/08/2015
"Unit 3, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",,3000,16/05/2016
"Stand Lane, Brookfoot, Brighouse, HD6 2RG",,2350,04/01/2016
"Swales Moor Yard, Swales Moor Road, Halifax, HX3 6UF",Blackshaw Holdings Ltd,18000,01/03/2016
"Croftmyl, Gf Office A7, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,2250,21/12/2015
"Office B10 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",,1325,29/03/2016
"Junction Bradford Road/, Thornhills Beck Lane, Brighouse, HD6 4AH",Towngate Plc,2800,05/02/2016
"Unit 13 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",Millcraft Associates,840,01/04/2016
"Unit 3, Picture House Buildings, New Road, Hebden Bridge        HX7 8AD",,4200,01/04/2016
"Office First Floor, 161A King Cross Road, Halifax, HX1 3LN",Community Voice Ltd,1750,01/01/2016
"Part 1ST & 2ND Floor, 16-18 Union Street, Halifax, HX1 1PR",Due West Ltd,960,16/04/2015
"Part First Floor, 25B Union Street, Halifax, HX1 1PR",The Uniform Shop,6700,01/05/2015
"Balcony Store 8, Borough Market, Halifax, HX1 1DZ",Calderdale Mbc Markets Manager,230,01/04/2016
"Balcony Store 21, Borough Market, Halifax, HX1 1DZ",,630,01/04/2016
"Office Suite E323, Dean Clough Mills, Halifax, HX3 5AX",Estio Technology Recruitment Ltd,5200,01/12/2015
"Office Suite F1 West, F Mill Dean Clough Mills, Halifax, HX3 5AX",Estio Technology Limited,22500,01/04/2016
"Office Suite F1 East, F Mill Dean Clough Mills, Halifax, HX3 5AX",Estio Technology Limited,19000,01/12/2015
"Office Suite E 216, Dean Clough Mills, Halifax, HX3 5AX",Estio Healthcare Recruitment Limited,3550,01/04/2016
"129/135 Halifax Road, Todmorden, OL14 5BE",,11500,01/04/2016
"Slitheroe Works, Oldham Road, Rishworth, Sowerby Bridge       HX6 4EW",Cinnamon Cuisine Ltd,28250,01/04/2016
"118 Hanson Lane, Halifax, HX1 5PG",,2075,02/01/2015
"Office No. T05, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",Kip McGrath (Brighouse) Lp,2125,01/12/2015
"The Old Fire Station, Rochdale Road, Todmorden, OL14 7NA",,2275,01/02/2016
"Market Stall 25-26, Market Hall, Borough Market, Halifax             HX1 1DZ",Calderdale Mbc Markets Manager,5000,01/01/2015
"Unit 3 The Nurseries, Halifax Road, Brighouse, HD6 2QD",,1800,04/08/2014
"Office H M 2.2, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,2500,01/10/2015
"Grove Mill Yard, Shelf, Halifax, HX3 7PF",,4300,18/11/2015
"Office 4, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",,1425,13/03/2015
"Unit 4 Victoria Mill, Stainland Road, Greetland, Halifax              HX4 8AD",Cinnamon At The Mill Ltd,21500,01/09/2015
"Unit 11, Mill Lane, Boothtown, Halifax              HX3 6TR",Raw Studio (Halifax) Ltd,6800,01/02/2016
"10 Albion Street, Halifax, HX1 1DU",Due West Ltd,18750,01/05/2016
"2 Richmond House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Ryden Llp,5000,09/04/2016
"Stump Cross, Halifax, HX3 7AA",,7900,16/05/2016
"Unit 1, South Street, Halifax, HX1 2EL",Swift Green Energy Solutions Ltd,3300,01/08/2015
"Suite 2C First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",Cad Dept Ltd,2050,22/01/2016
"1ST Floor, 18 Clare Road, Halifax, HX1 2JP",Insight Healthcare Ltd,7800,21/03/2016
"Ground Floor, 18 Clare Road, Halifax, HX1 2JP",Insight Healthcare Ltd,7400,21/03/2016
"Second Floor, 18 Clare Road, Halifax, HX1 2JP",Insight Healthcare Ltd,3850,21/03/2016
"Unit W2, Tenterfield Business Pk, Burnley Road, Luddendenfoot        HX2 6EQ",Bridge Discounts Ltd,6100,11/11/2015
"Unit 1C Crow Carr Ings Mill, Vale Street, Todmorden, OL14 5HG",,5900,16/05/2015
"1 High Street, Brighouse, HD6 1DE",High Street Management Services Ltd,5300,01/04/2016
"65a Bradford Road, Brighouse, HD6 1RS",Howell Goodfellow Ltd,5500,01/04/2016
"Unit 20, Mill Lane, Boothtown, Halifax              HX3 6TR",,5500,01/01/2016
"Unit B The Old Rubber Mill, Mill Lane, Boothtown, Halifax              HX3 6TR",Coulsy Ltd,6000,01/02/2016
"UNIT5 Victoria Mill, Stainland Road, Greetland, Halifax              HX4 8AD",Boothwood Ltd,22500,01/09/2015
"1 The Long Mill, Bowes Yard, Stainland Road, Greetland            HX4 8AD",Cvs (Uk) Ltd,8300,10/10/2015
"Calder Street, West Vale, Halifax, HX4 8AQ",Bag It Up Ltd,1550,01/09/2015
"229 King Cross Road, Halifax, HX1 3JL",,8900,25/03/2016
"Black Bull Hotel, 46 Briggate, Brighouse, HD6 1EA",,12000,25/04/2016
"8 Albert Street, Hebden Bridge, HX7 8AH",Hebden Bridge Sports & Social Club,4200,29/12/2015
"Office 4, 159 King Cross Road, Halifax, HX1 3LN",T & C Property Search Ltd,750,01/01/2016
"4 Cheapside, Halifax, HX1 1TQ",Lister Horsfall Ltd,12750,01/01/2015
"Croftmyl, Gf Office A6, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,2250,21/12/2015
"Croftmyl, Gf Office A2, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,1975,21/12/2015
"Croftmyl, Gf Office A4, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,680,21/12/2015
"17A King Cross Street, Halifax, HX1 2SH",,4050,02/05/2016
"Unit 5 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,8600,01/04/2016
"100 Commercial Street, Brighouse, HD6 1AQ",,9600,01/04/2016
"265 Queens Road, Halifax, HX1 4NS",,5100,01/04/2016
"5 Market Street, Brighouse, HD6 1AP",,7800,01/08/2015
"Unit 5, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",Warmco Space Heating Ltd,3450,10/09/2015
"5 Winterbutlee Road, Todmorden, OL14 7QT",,8500,11/10/2015
"Unit 4 Windsor Business Park, Hanson Lane, Halifax, HX1 4SD",,3950,01/05/2013
"Portacabin Adj, Spring Hall Mansion, Huddersfield Road, Halifax              HX3 0AQ",Halifax Harriers Athletic Club,7000,01/04/2015
"Unit 2, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",,7900,01/11/2015
"Part 7th Floor, 60 Crown Street, Halifax, HX1 1HY",East Street Arts,15500,04/03/2016
"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",,7900,27/04/2016
"Office 4 Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",,950,01/02/2016
"Pt B/Ment The Weaving Shed, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",St James Securities Ltd,2350,01/09/2015
"Unit 12 Nanholme Mill, Shaw Wood Road, Todmorden, OL14 6DR",D S Design Studio Ltd,3150,01/04/2016
"Units 9/10 Emstead Works, Old Lane, Halifax, HX3 5QN",Master Matting Co Ltd,3850,01/04/2016
"11 Leeds Road, Hipperholme, Halifax, HX3 8ND",,6100,10/01/2016
"Unit 9 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Hebden Bridge Community Association,950,01/04/2016
"Unit 7 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",Millcraft Associates,710,06/05/2016
"Units 17 & 18, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ",,1875,06/05/2016
"Unit 2 Riverside Works, Luddendenfoot, Halifax, HX2 6HU",,6400,31/03/2016
"Unit R3, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",Brogan Business Parks Ltd,6200,14/05/2016
"Unit G2 Tenterfields Bsn Pk, Burnley Road, Luddendenfoot, Halifax              HX2 6EJ",,4750,14/05/2016
"Beacon Lodge Quarry, Off Long Lane, Southowram, Halifax             HX3 9UD",Thornton Meat Company Ltd,1000,01/04/2016
"8 Bull Green, Halifax, HX1 5AB",Mhk Restaurant Ltd,22000,01/04/2016
"Unit 36, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",Rise & Lower Ltd,2950,01/04/2016
"7 Hollins Mill Lane, Sowerby Bridge, HX6 2QG",Skyblazersfireworks Ltd,5400,31/12/2015
"Unit 5, Gauxholme Industrial Estate, Bacup Road, Todmorden           OL14 7PN",,4300,06/04/2016
"246 King Cross Road, Halifax, HX1 3JP",,7800,01/04/2016
"17 Town Hall Street, Sowerby Bridge, HX6 2EA",Abw Properties Ltd,3800,24/07/2015
"Unit B4 Ground Floor, Clifton House, Bradford Road, Bailiff Bridge       HD6 4EJ",,2600,18/04/2016
"Ground Floor, 259/261 Queens Road, Halifax, HX1 4NS",,14000,01/11/2015
"Unit 7 Brookfoot Business Pk, Elland Road, Brighouse, HD6 2SD",Renson Products Uk Ltd,8700,01/02/2016
"Unit 9, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Renson Products Uk Ltd,32250,01/02/2016
"Unit 5, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Renson Products Uk Ltd,10000,01/02/2016
"Unit 2, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Renson Products Uk Ltd,25250,01/02/2016
"Office Suite E240, Dean Clough Mills, Halifax, HX3 5AX",Estio Healthcare Recruitment Limited,3200,08/03/2016
"Unit 3B & Compound, Mitchell Street, Todmorden, OL14 7DP",,7200,01/02/2016
"224 Queens Road, Halifax, HX1 4NE",,3800,11/04/2016
"High Greenwood House, Heptonstall, Hebden Bridge, HX7 7AZ",,2000,01/04/2016
"Unit 17 Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",,3400,01/03/2016
"Unit 8, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",,4050,01/03/2016
"Ground & Lower Ground Floor, Berwick Mill, Berwick Street, Halifax              HX1 1QG",,7600,01/04/2016
"Wakefield Road, Brighouse, HD6 4HA",,1500,06/04/2016
"Atm At, 41 Westgate House, Market Street, Halifax              HX1 1PD",Dc Payments Uk Ltd,5900,01/04/2016
"2 Phoenix Court, Wakefield Road, Brighouse, HD6 1PF",,3900,01/04/2016
"Unit B2, 49 Pear Street, Halifax, HX1 3UA",,2950,11/04/2016
"Shop 3 Croft Mill, Albert Street, Hebden Bridge, HX7 8AH",,8600,30/05/2016
"Unit 1A Moorlea Garage, Albert Road, Halifax, HX2 0DF",,6400,01/05/2016
