Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA Sub Group Label (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 28/04/2016,PCO0270664,2.34,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 28/04/2016,PCO0270664,3.6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 28/04/2016,PCO0270664,7.8,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 28/04/2016,PCO0270664,19.8,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,BARNES JB LIMITED,A0000202, 14/04/2016,OPS0270308,137.09,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,BARNES JB LIMITED,A0000202, 14/04/2016,OPS0270313,10.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,EFM : Other Equipment,40,BARNES JB LIMITED,A0000202, 14/04/2016,PCO0270296,175.06,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,BARNES JB LIMITED,A0000202, 14/04/2016,PCO0270240,9.9,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,BARNES JB LIMITED,A0000202, 14/04/2016,PCO0270240,10.27,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Service Charge,27,BARNFIELD INVESTMENT PROPERTIES LTD,A0026595, 07/04/2016,AAS0270128,709.75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,3,BARNOLDSWICK TOWN COUNCIL,A0090352, 28/04/2016,AAS0270747,185500,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,3,BARROWFORD PARISH COUNCIL,A0000239, 28/04/2016,AAS0270748,103048,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 21/04/2016,PCO0270467,3.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 28/04/2016,PCO0270662,19.16,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 21/04/2016,PCO0270467,5.84,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 21/04/2016,PCO0270467,8.34,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 28/04/2016,PCO0270662,0.6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 28/04/2016,PCO0270662,2.92,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Indirect Employee Expenses,Emp : Training : General,12,BEN SHAW TRAINING LIMITED,A0055722, 07/04/2016,OPS0269923,2000,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,BETTS GEO ENVIRONMENTAL LIMITED,A0090455, 07/04/2016,HMR0269973,795,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,BLACK HORSE CONTRACT HIRE - FLEET 564391,A0081350, 28/04/2016,OPS0270653,10,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,BLACK HORSE CONTRACT HIRE - FLEET 564391,A0081350, 21/04/2016,OPS0270448,339.38,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 21/04/2016,HED0270502,375,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,3,BLACKO PARISH COUNCIL,A0084321, 28/04/2016,AAS0270749,6650,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Seminars etc All Costs,46,BLACKPOOL BOROUGH  COUNCIL,A0047029, 07/04/2016,MAN0269981,285.36,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,BOB`S BUSINESS LTD,A0090247, 07/04/2016,AAS0270099,2000,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Daywork,21,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 07/04/2016,PCO0270098,1350,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BOYCES,A0012657, 21/04/2016,COR0270489,114.41,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,3,BRIERFIELD TOWN COUNCIL,A0000469, 28/04/2016,AAS0270750,97896,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Meeting Expenses,46,BRIERFIELD TOWN COUNCIL,A0000469, 07/04/2016,DAL0270185,540,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0057202, 14/04/2016,AAS0270371,3.58,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 07/04/2016,AAS4005047,-95.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 07/04/2016,AAS4005045,-88.1,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 07/04/2016,AAS4005044,-82.95,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 07/04/2016,AAS4005046,-73.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 07/04/2016,AAS0270213,30.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 07/04/2016,AAS0270210,62.66,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 07/04/2016,AAS0270212,69.79,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 07/04/2016,AAS0270211,74.07,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 07/04/2016,AAS0270209,82.83,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 07/04/2016,AAS0270214,82.95,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 20/04/2016,AAS0270684,48.99,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Telephones : Direct,45,BRITISH TELECOMMUNICATIONS PLC,A0040001, 07/04/2016,EST0270086,82.07,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Telephones : Direct,45,BRITISH TELECOMMUNICATIONS PLC,A0040001, 07/04/2016,EST0270084,83.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 07/04/2016,PCO0270094,88,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 07/04/2016,PCO0270094,150,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 07/04/2016,PCO0270100,149,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 07/04/2016,PCO0270100,488,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BT REDCARE,A0043418, 28/04/2016,COR0270703,727.65,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BT REDCARE,A0043418, 28/04/2016,COR0270709,11387.38,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BT REDCARE,A0043418, 28/04/2016,COR0270709,1271.09,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Office and computer equipment,40,BUCHANAN COMPUTING LIMITED,A0065956, 07/04/2016,HED0270162,423,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,BURNLEY BOROUGH COUNCIL,A0044855, 28/04/2016,REG0270723,600,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,BURNLEY BOROUGH COUNCIL,A0044855, 07/04/2016,OPS0269983,3000,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Seminars etc All Costs,46,BURNLEY BOROUGH COUNCIL,A0044855, 28/04/2016,MAN0270740,1350,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C & R WALNE ENGRAVERS,A0042734, 14/04/2016,PCO0270238,42,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C & R WALNE ENGRAVERS,A0042734, 07/04/2016,PCO0269934,48,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,C B PRICE & SONS BUILDERS,A0052117, 07/04/2016,PCO0269897,4700,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C B PRICE & SONS BUILDERS,A0052117, 07/04/2016,PCO0270105,150,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C B PRICE & SONS BUILDERS,A0052117, 14/04/2016,PCO0270237,800,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C B PRICE & SONS BUILDERS,A0052117, 21/04/2016,PCO0270547,2800,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 28/04/2016,HED0270701,30,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 21/04/2016,HED0270499,70,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 28/04/2016,HED0270646,60,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 28/04/2016,HED0270646,60,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 28/04/2016,HED0270646,60,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 28/04/2016,HED0270646,75,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 28/04/2016,HED0270674,75,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 28/04/2016,HED0270673,97.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 28/04/2016,HED0270647,190,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,C CHAPMAN,A0061688, 21/04/2016,HED0270500,120,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Long Service Awards,12,REDACTED - PERSONAL DATA,A0050896, 07/04/2016,PER0270148,415,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Transport Related Expense,Hire of Transport,35,CAVALIER TAXIS,A0000638, 07/04/2016,DAL0270123,10,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Transport Related Expense,Hire of Transport,35,CAVALIER TAXIS,A0000638, 07/04/2016,DAL0270124,40,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Seminars etc All Costs,46,CAVALIER TAXIS,A0000638, 07/04/2016,DAL0270184,52,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,CB EXCAVATORS LTD,A0000396, 21/04/2016,HED0270556,1045.39,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Seminars etc All Costs,46,CHARTERED INST OF ENV HEALTH,A0020604, 07/04/2016,ENV0270055,480,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,CHIPSIDE LTD,A0068587, 21/04/2016,HED0270479,580.89,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,CHIPSIDE LTD,A0068587, 07/04/2016,HED0270173,45.07,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,CHIPSIDE LTD,A0068587, 21/04/2016,HED0270480,1155.23,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,47,CHORLEY BOROUGH COUNCIL,A0027427, 28/04/2016,AAS0270741,100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Support Services,Admin Buildings Expenses,70,CHUBB FIRE & SECURITY LTD,A0057603, 07/04/2016,OPS0269997,617.98,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Support Services,Admin Buildings Expenses,70,CHUBB FIRE & SECURITY LTD,A0057603, 07/04/2016,OPS0269998,744.68,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,46,CIPFA,A0000563, 14/04/2016,AAS0270368,200,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,47,CIPFA BUSINESS LIMITED,A0001556, 07/04/2016,AAS0270109,570,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,47,CIPFA BUSINESS LIMITED,A0001556, 21/04/2016,AAS0270535,3410,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,47,CIPFA BUSINESS LIMITED,A0001556, 07/04/2016,AAS0270106,4785,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,47,CIPFA BUSINESS LIMITED,A0001556, 07/04/2016,AAS0270104,5080,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Training,12,REDACTED - PERSONAL DATA,A0058486, 07/04/2016,PER0270149,103.8,N,N/A,N,N/A
Pendle Borough Council,Human Resources,,Cash : Payroll Advances,PB,REDACTED - PERSONAL DATA,A0058486, 21/04/2016,PER0270589,351.88,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,COLNE CRICKET AND BOWLING CLUB,A0090696, 07/04/2016,HED0269654,399.61,Y,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Grant Funding,47,COLNE OPEN DOOR CENTRE,A0009836, 07/04/2016,HMR0270016,5000,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270575,30,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270576,44.1,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270584,11.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270582,238.97,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270585,73.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270583,107.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270579,166.38,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270581,266.74,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270586,45.32,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270587,66.57,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270565,221.97,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270578,104.87,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270574,111.29,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270577,65.75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270573,38.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270572,274.65,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,22,CORONA ENERGY,A0069539, 15/04/2016,AAS0270568,178.62,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Postages,45,COUNTRYWIDE COURIERS,A0042116, 21/04/2016,OPS0270474,39.6,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,CPC PROP & GARDENING SERV LTD,A0011770, 07/04/2016,HMR0270112,190,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,EFM : Other Equipment,40,CRAVEN GARAGE,A0000572, 21/04/2016,PCO0270643,1750,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,CROSBY & PERRIN BUSINESS SOLUTIONS LIMITED,A0090742, 28/04/2016,OPS0270667,205.75,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,47,CROWDZAP LIMITED,A0090579, 28/04/2016,REG0270724,929,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Diesel Oil,32,CROWN OIL LTD T/A COOKE FUELS,A0019019, 07/04/2016,OPS0270092,1658.25,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Diesel Oil,32,CROWN OIL LTD T/A COOKE FUELS,A0019019, 14/04/2016,PCO0270337,1691,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,47,DAISY CHAIN (BURNLEY)  LIMITED,A0061684, 07/04/2016,DAL0270180,54.17,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,DAVID A YOUNG T/A AVALANCHE,A0090718, 14/04/2016,HMR0270206,7500,N,N/A,N,N/A
Pendle Borough Council,Human Resources,,Cash : Payroll Advances,PB,REDACTED - PERSONAL DATA,A0076143, 21/04/2016,PER0270600,39.72,N,N/A,N,N/A
