Contract ID,Date From,Date To,Review Date,Value,Category,Department,Type,Description,SuppID,Supplier,SupSize,Address 1,Address 2,Address 3,Post Code
C302,01/05/2013,14/07/2018,01/01/2018,300000,Information Communication Technology,Business Improvement,Official Journal of the European Union,Supply of Telephony Contact Centre Software,20017849,NETCALL TELECOM LTD,SME,"3RD FLOOR, HAMILTON HOUSE",111 MARLOWES,HEMEL HEMPSTEAD,HP1 1BB
C306,01/05/2013,30/04/2021,01/05/2018,700000,Consultancy,Regeneration & Major Projects,Tender,Project Management of Tower Blocks,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C319,05/09/2013,13/02/2019,13/02/2017,650000,Consultancy,Law & Governance,Tender,DESIGN AND PROJECT MANAGEMENT CONSULTANCY TOWER BLOCKS REFURBISHMENT,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C324,01/10/2013,30/09/2018,01/01/2018,51250,Facilities & Management Services,Financial Services,Tender,Treasury Management Advisory Service,20015956,CAPITA TREASURY SOLUTIONS LTD,SME,40 DUKES PLACE,LONDON,,EC3A 7NH
C345,01/03/2014,31/03/2017,01/07/2016,20000,Information Communication Technology,Business Improvement,Request For Quotation,Egress licences,20007877,COMPUTACENTER (UK) LTD,LGE,HATFIELD AVENUE,HATFIELD,HERTFORDSHIRE,AL10 9TW
C346,01/04/2014,31/03/2019,01/09/2018,115000,Facilities & Management Services,Community Services Directorate,Request For Quotation,Supply of CCTV Maintenance,20014935,COMPUTERISED & DIGITAL SECURITY SYSTEMS LTD,SME,PENBWCH ISAF FARM,PENYCOEDCAE ROAD,PONTYPRIDD,CF37 1PU
C349,06/08/2012,31/03/2018,01/04/2017,400000,Catering,Community Services,Official Journal of the European Union,Town Hall Cafe & Catering,20017894,OTHC LEMON ZEST,SME,UNIT 15 NETWORK 43,BUCKINGHAM COURT,BRACKLEY,NN13 7EU
C351,01/04/2014,31/03/2017,01/09/2016,12000,Human Resources,Business Improvement,Request For Quotation,Supply of a Staff Voucher Scheme,20017916,ICOM WORKS LTD,SME,8 ASHTREE COURT,WOODSY CLOSE,CARDIFF GATE BUSINESS PARK,CF23 8RW
C354,07/12/2013,06/12/2018,06/12/2017,14220259,Construction,Regeneration & Major Projects,Official Journal of the European Union,Construction of the Affordable Housing Programme,20000236,J B LEADBITTER & CO LTD,LGE,GRANGE COURT,ABINGDON SCIENCE PARK,ABINGDON,OX14 3NB
C355,01/09/2013,31/08/2018,01/01/2018,0,Consultancy,Regeneration & Major Projects,Tender,Project Management of the Affordable Housing Programme,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C358,01/04/2014,31/03/2017,01/09/2016,0,Information Communication Technology,Law & Governance,Request For Quotation,Election System Software,20013927,XPRESS SOFTWARE SOLUTIONS LTD,SME,303 SPERRY WAY,STONEHOUSE BUSINESS PARK,STONEHOUSE,GL10 3UT
C363,01/04/2014,31/03/2017,31/03/2016,8500,Information Communication Technology,Housing & Property,Request For Quotation,Web Hosting & Maintenance of On-Line Housing Needs Procedure Manual,20014354,DESTIN SOLUTIONS LTD,SME,OAK TREE COTTAGE,THE STREET,CASTON,NR17 1DD
C364,01/04/2014,13/04/2017,01/01/2017,30000,Information Communication Technology,Financial Services,Request For Quotation,Provision of purchase card software,20012398,FIRST DATA GLOBAL SERVICES LIMITED,SME,52 UPPER MOUNT ST,DUBLIN 2,IRELAND,
C367,23/05/2014,31/03/2017,31/12/2016,0,Education,Assistant Chief Executive,Framework,Programme to connect secondary schools and businesses,20012812,BUSINESS IN THE COMMUNITY,SME,137 SHEPHERDESS WALK,LONDON,,N1 7RQ
C374,01/04/2013,31/03/2017,31/03/2016,650000,Financial Services,Financial Services,Framework,Annual External Audit Contract,20017442,ERNST & YOUNG LLP,LGE,FINANCE SSC,BECKET HOUSE,1 LAMBETH PALACE ROAD,SE1 7EU
C377,19/05/2014,31/03/2017,31/03/2015,95464,Consultancy,Housing & Property,Tender,Planning consultancy for the Oxford growth strategy,20018047,TURLEY ASSOCIATES,SME,1 NEW YORK STREET,MANCHESTER,,M1 4HD
C383,01/04/2014,31/03/2018,01/01/2017,70000,Financial Services,Financial Services,Request For Quotation,"Helpline, Training & VAT Audit Services",20013711,DELOITTE LLP,LGE,THE PINNACLE,150 MIDSUMMER BOULEVARD,MILTON KEYNES,MK9 1FD
C397,01/07/2014,30/06/2019,30/06/2019,148447,Information Communication Technology,Direct Services,Tender,Key2 Vehicle Management Solution,20018546,JAAMA LTD,SME,15 AMBER BUSINESS VILLAGE,AMINGTON,TAMWORTH,B77 4RP
C399,15/07/2014,15/07/2018,15/07/2018,90000,Information Communication Technology,Business Improvement,,Provision of Wi-Fi on Public Transport,20006596,OXFORD BUS COMPANY LTD,LGE,COWLEY HOUSE,WATLINGTON ROAD,OXFORD,OX4 6GA
C409,01/01/2006,31/12/2020,31/12/2020,350000,Legal Services,Regeneration & Major Projects,Framework,Westgate Development Lawyers,20017253,BOND DICKINSON LLP,SME,ST ANN'S WHARF,112 QUAYSIDE,NEWCASTLE UPON TYNE,NE1 3DX
C536,01/04/2015,31/03/2018,01/01/2018,55000,Facilities & Management Services,Community Services,Request For Quotation,Operation and Management of the Parks Kiosks,29999999,CAM Supplier,,,,,
C419,01/05/2013,30/04/2017,30/04/2017,20850,Consultancy,Regeneration & Major Projects,,Environmental Statements & Design Development for Oxpens/Redbridge Carparks,20018115,HOARE LEA,,141 AZTEC WEST BUSINESS PARK,ALMONDSBURY,BRISTOL,BS32 4TX
C424,01/08/2014,31/07/2018,31/07/2018,0,Vehicle Management,Law & Governance,Request For Quotation,Salary Sacrifice Cars,20018618,TUSKERDIRECT LTD,LGE,UNIT 7-9 BUILDING 2,MARLINS MEADOW,CROXLEY BUSINESS PARK,WD18 8YA
C425,01/05/2014,30/04/2018,30/04/2018,254943.52,Horticultural,Business Improvement,Official Journal of the European Union,iTrent Software,20007875,MIDLAND HR,LGE,RUDDINGTON HALL,RUDDINGTON,NOTTINGHAMSHIRE,NG11 6LL
C426,01/04/2014,31/03/2017,31/03/2017,21000,Environmental Services,Community Services Directorate,Request For Quotation,Thames Valley Energy (TVEnergy) Agency Subscription,20009529,TV ENERGY LIMITED,SME,LIBERTY HOUSE,THE ENTERPRISE CENTRE,NEW GREENHAM PARK,RG19 6HW
C438,01/08/2014,31/07/2017,31/07/2016,117810,Arts & Leisure Services,Community Services,Tender,Provision of Christmas Lights,20018633,PIGGOTTS COMPANY LTD,SME,46 STEPFIELD,WITHAM,ESSEX,CM8 3TH
C440,01/10/2014,30/09/2017,30/09/2017,150000,Stationery,Community Services,Request For Quotation,Provision of Stationery Services,20007849,LYRECO UK LTD,LGE,DEER PARK COURT,DONNINGTON WOOD,TELFORD,TF2 7NB
C447,01/10/2014,30/09/2017,01/07/2017,24000,Furniture & Soft Furnishings,Business Improvement,Framework,Supply of Non Standard Office Furniture Framework,20016526,FLEXIFORM BUSINESS FURNITURE LTD,SME,1392 LEEDS ROAD,BRADFORD,WEST YORKSHIRE,BD3 7AE
C448,01/10/2014,30/09/2017,01/07/2017,24000,Furniture & Soft Furnishings,Business Improvement,Framework,Supply of Non Standard Office Furniture Framework,20002998,JBL,SME,ACCOUNTS,PO BOX 67,OXFORD,OX1 5JY
C460,21/10/2014,24/04/2019,01/09/2018,340000,Information Communication Technology,Business Improvement,Tender,Super Connnected Oxford - Oxford University Museums Hotspots Grant Award,20011651,UNIVERSITY OF OXFORD,LGE,FINANCE DIVISION,"CASHIERS OFFICE,",23-38 HYTHE BRIDGE STREET,OX1 2ET
C467,01/06/2014,31/05/2019,31/07/2018,212110,Utilities,Housing & Property,Official Journal of the European Union,Electrical Fixed Installation Testing,20000249,SSE CONTRACTING LTD,LGE,ARROWHEAD ROAD,THEALE,,RG74AH
C479,01/01/2014,31/12/2018,01/07/2017,300000,Health & Safety,Housing & Property,Request For Quotation,"Maintenance of Fire Alarm, Emergency Lighting, Sprinkler & Fire Extinguishers",20002568,PYROTEC SERVICES LTD,SME,Avalon House,Marcham Road,Abingdon,OX14 1TZ
C492,12/12/2014,12/12/2017,01/12/2016,20000,Facilities & Management Services,Community Services Directorate,Request For Quotation,Supply & Installation of Electric Vehicle Charging Points,20018381,EDF ENERGY CUSTOMER FIELD SERVICES PLC,LGE,255 BROADWAY,BEXLEYHEATH,KENT,DA6 8ET
C498,27/10/2014,31/03/2019,01/07/2017,400000,Information Communication Technology,Business Improvement,Official Journal of the European Union,Supply of In Building Wireless Hotspots in Public Buildings,20006940,BT GLOBAL SERVIES,LGE,81 NEWGATE STREET,LONDON,,EC1A 7AJ
C504,19/11/2014,14/12/2017,14/06/2017,50000,Facilities & Management Services,Community Services,Framework,Print Room Equipment,20018722,SHARP BUSINESS SYSTEMS UK PLC,LGE,NORTHERN HOUSE,MOOR KNOLL LANE,EAST ARDSLEY WAKEFIELD,WF3 2EE
C507,01/01/2015,31/12/2017,01/12/2017,25500,Human Resources,Business Improvement,Request For Quotation,Employee Assistance Programme,20018748,OPTUM HEALTH SOLUTIONS (UK) LTD,LGE,4200 NASH COURT,JOHN SMITH DRIVE,OXFORD BUSINESS PARK SOUTH,OX4 2RU
C510,01/05/2015,02/05/2017,01/01/2017,22278.18,Facilities & Management Services,Community Services,Request For Quotation,Provision of Stewarding Services for May Morning in Oxford,20011183,SELECT SECURITY & STEWARDING LIMITED,SME,PO BOX 66,BRIGHTON,EAST SUSSEX,BN1 9WD
C520,28/03/2014,28/03/2017,01/02/2017,33500,Information Communication Technology,Business Improvement,Request For Quotation,TRUSTID Identity Document Authentication Solution,20018384,TRUSTED TERMINAL LTD (TRADING AS TRUST ID),SME,DUKESBRIDGE HOUSE,23 DUKE STREET,READING,RG7 1NT
C524,13/01/2015,13/01/2025,13/01/2024,550000,Consultancy,Regeneration & Major Projects,Framework,Deed of Professional Appointment relating to the Barton Regeneration Project,20008132,ARCADIS LLP,LGE,PO BOX 307,5TH FLOOR ROYAL EXCHANGE,MANCHESTER,M60 3NT
C526,01/12/2014,31/03/2019,01/12/2018,100000,Information Communication Technology,Business Improvement,,Super Connnected Oxford - Oxfordshire County Council Grant Award,20002930,OXFORDSHIRE COUNTY COUNCIL,LGE,MAIN OFFICE,SHARED SERVICES,"INCOME TEAM, PO BOX 1479",OX4 9AL
C532,01/04/2015,31/03/2017,30/09/2016,2380,Financial Services,Business Improvement,Request For Quotation,Experian System Agreement - 2015 to 2017,20009660,EXPERIAN LTD,SME,SIR JOHN PEACE BUILDING,EXPERIAN WAY,NG2 BUSINESS PARK,NG80 1ZZ
C535,01/04/2015,31/03/2018,01/01/2018,18000,Catering,Community Services,Request For Quotation,Operation of Ice Cream Van Pitches in Oxford City,29999999,CAM Supplier,,,,,
C537,01/04/2015,31/03/2018,01/01/2018,9000,Sports & Playground Equipment & Maintenance,Community Services,Request For Quotation,Provision of a Tennis Coaching Programme in Oxford City,29999999,CAM Supplier,,,,,
C540,19/12/2014,30/06/2017,01/03/2017,35000,Arts & Leisure Services,Community Services,Request For Quotation,Delivery of High Sherriff Challenge,20018812,ACCESS SPORTS CIO,SME,3 DURHAM YARD,TEESDALE STREET,LONDON,E2 6QF
C541,01/04/2015,01/04/2018,01/01/2018,17020.57,Information Communication Technology,Community Services Directorate,Request For Quotation,TEAM Sigma M&S and Software Hosting Service,20016003,TEAM (ENERGY AUDITING AGENCY LTD),SME,34 THE FORUM,ROCKINGHAM DRIVE,LINFORD WOOD,MK14 6LY
C543,27/03/2015,27/03/2018,01/01/2018,47000,Information Communication Technology,Financial Services,Request For Quotation,InCase Intelligence Fraud Suite,20018810,INTEC FOR BUSINESS LTD,SME,ASHBY HOUSE,3 DERBYSHIRE ROAD SOUTH,SALE,M33 3JN
C545,01/03/2016,28/02/2019,01/03/2017,40350,Street & Traffic Management,Direct Services,Framework,Penalty Notice System,20018834,IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD,SME,7 HILL STREET,BRISTOL,,BS1 5PU
C546,01/04/2015,31/03/2018,01/01/2018,95195,Information Communication Technology,Business Improvement,Tender,Website Redevelopment Contract,20018839,JADU LTD,SME,UNIVERSE HOUSE,MERUS COURT,LEICESTER,LE19 1RJ
C551,01/04/2015,31/03/2017,01/01/2017,5200,Facilities & Management Services,Community Services,Request For Quotation,Provision of Hygiene and Washroom Services,20003172,RENTOKIL INITIAL SERVICES NO1,LGE,INITIAL WASHROOM SOLUTIONS SHARED,SERVICES CENTRE,"EBONY HOUSE, CASTLEGATE WAY",DY1 9FA
C554,01/05/2015,30/04/2018,01/01/2018,12820.68,Facilities & Management Services,Community Services,Framework,Folder Inserter and Associated Maintenance Contract,20008022,NEOPOST FINANCE LIMITED,SME,NEOPOST HOUSE,SOUTH STREET,ROMFORD,RM1 2AR
C555,20/02/2013,20/02/2018,01/12/2017,2875,Environmental Services,Community Services Directorate,Request For Quotation,Solar Panel Smart Meters,20016360,STARK SOFTWARE INTERNATIONAL LTD,SME,SENTINEL HOUSE,10-12 MASSETTS ROAD,HORLEY,RH6 7DE
C557,01/04/2015,31/03/2018,01/09/2017,500000,Construction,Housing & Property,Framework,Supply of Windows and Doors,20015885,NATIONWIDE WINDOWS,SME,74-88 SOMERS ROAD,RUGBY,WARWICKSHIRE,CV22 7CH
C561,08/05/2015,08/05/2018,01/02/2018,15960,Health & Safety,Housing & Property,Request For Quotation,Asbestos Database,20014242,ASBESTOS CONSULTANCY & MANAGEMENT SERVICES LTD T/A ACMS UK,SME,UNIT 1 HEATHCOAT BUILDING,NOTTINGHAM SCIENCE PARK,UNIVERSITY BOULEVARD,NG7 2QJ
C563,01/07/2015,30/06/2018,01/03/2018,750000,Information Communication Technology,Business Improvement,Framework,Converged Telephony Solution,20006940,BT GLOBAL SERVIES,LGE,81 NEWGATE STREET,LONDON,,EC1A 7AJ
C564,01/04/2015,31/03/2017,01/01/2017,75080,Environmental Services,Direct Services,Request For Quotation,Provision of Weed Spraying,20011742,CHARLTON ENVIRONMENTAL LIMITED,SME,UNIT 111 SOUTH,GROVE TECHNOLOGY PARK,"DOWNSIDE ROAD, GROVE",OX12 9FA
C566,01/06/2015,01/06/2017,01/01/2017,21189.599999999999,Information Communication Technology,Business Improvement,Request For Quotation,Provision of Mobile Handheld Devices,20018911,SOFTCAT LTD,LGE,SOLAR HOUSE,FIELDHOUSE LANE,MARLOW,SL7 1LW
C567,05/06/2015,05/06/2018,01/01/2018,15000,Street & Traffic Management,Direct Services,Request For Quotation,Supply of Parking Tickets,20003020,BEMROSE BOOTH LTD,SME,STOCKHOLM ROAD,SUTTON FIELDS INDUSTRIAL ESTATE,HULL,HU7 0XY
C570,01/08/2015,31/07/2018,01/05/2018,29111.58,Housing Management,Housing & Property,Request For Quotation,HouseMark Subscription,20012480,HOUSEMARK LTD,SME,8 RILEY COURT,MILBURN HILL RD,UNIVERSITY OF WARWICK SCIENCE PARK,CV4 7HP
C571,23/06/2015,22/06/2017,22/03/2017,200000,Consultancy,Financial Services,Framework,Provision of Resilience Support to the Revenues and Benefits Service,20010153,CIVICA UK LTD,LGE,CASTLEGATE HOUSE,CASTLEGATE DRIVE,DUDLEY,DY1 4TD
C573,01/04/2015,31/03/2018,01/01/2018,33000,Health & Safety,Planning & Regulatory,Request For Quotation,Provision of Food Hygiene Official Controls,20009530,OSBORNE RICHARDSON LTD,SME,FOURTH FLOOR,CIRCUS HOUSE,26 LITTLE PORTLAND STREET,W1W 8BX
C574,01/04/2015,31/03/2018,01/01/2016,41000,Information Communication Technology,Business Improvement,Request For Quotation,Mobile App: Master Software as a Service Agreement,20018907,CLOUD 9 TECHNOLOGIES,SME,9 MALT FIELD,LYMPSTON,DEVON,EX8 5ND
C575,01/04/2014,31/03/2017,01/01/2017,69369,Information Communication Technology,Business Improvement,Request For Quotation,ArcGIS,20008475,ESRI (UK) LTD,SME,MILLENNIUM HOUSE,65 WALTON STREET,AYLESBURY,HP21 7QG
C577,01/02/2015,31/03/2021,01/09/2020,30000,Facilities & Management Services,Community Services,Request For Quotation,Management and Development of Poster Boards,29999999,CAM Supplier,,,,,
C579,19/05/2015,18/05/2017,01/01/2017,15000,Consultancy,Housing & Property,Framework,Architect at Barton,20002369,RIDGE & PARTNERS LLP,SME,THE COWYARDS,BLENHEIM PARK,OXFORD ROAD,OX20 1QR
C581,13/07/2015,13/07/2018,01/01/2018,47296.65,Information Communication Technology,Business Improvement,Framework,Hosting of Council Website with Associated Server Maintenance and Support,20018969,ARCUS GLOBAL LIMITED,SME,FUTURE BUSINESS CENTRE,KINGS HEDGES ROAD,CAMBRIDGE,CB4 2HY
C582,01/09/2015,31/07/2017,01/01/2017,174494,Consultancy,OD & Corporate Services Directorate,Tender,"Provision of a Leadership and Management Development Programme, Incorporating a Development Centre Approach",20017304,Q.LEARNING LTD,SME,CHILTERN HOUSE,45 STATION ROAD,HENLEY ON THAMES,RG9 2AR
C584,22/06/2015,20/06/2017,01/01/2016,130000,Consultancy,Housing & Property,Framework,Consultancy Services for Seacourt Park & Ride,20015438,WYG ENVIRONMENT PLANNING TRANSPORT LTD,SME,PO BOX 364,LEEDS,,LS6 2WQ
C587,01/04/2015,31/03/2017,01/02/2017,11300,Information Communication Technology,Assistant Chief Executive,Request For Quotation,Consultation Portal,20015282,INOVEM LTD,SME,WESTON COURT,NEWBURY ROAD,WESTON,RG20 8JE
C589,01/04/2015,31/03/2017,01/01/2016,19342,Facilities & Management Services,Community Services,Request For Quotation,Collections Management & Care for the Museum,20002930,OXFORDSHIRE COUNTY COUNCIL,LGE,MAIN OFFICE,SHARED SERVICES,"INCOME TEAM, PO BOX 1479",OX4 9AL
C595,13/08/2015,31/03/2017,01/01/2017,59000,Consultancy,Law & Governance,Request For Quotation,Archivist Secondment,20002930,OXFORDSHIRE COUNTY COUNCIL,LGE,MAIN OFFICE,SHARED SERVICES,"INCOME TEAM, PO BOX 1479",OX4 9AL
C596,17/08/2015,16/08/2019,05/01/2019,83640,Facilities & Management Services,Housing & Property,Framework,Lease of Laundry Equipment,20018987,JAMES ARMSTRONG & CO LTD,SME,AMPERE ROAD,NEWBURY,BERKS,RG14 2AE
C600,01/09/2015,01/04/2021,01/04/2020,3500000,Information Communication Technology,Business Improvement,Official Journal of the European Union,ICT Infrastructure Partner,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC),LGE,EUROPEAN HEADQUATERS,JAMES HOUSE,WARWICK ROAD,B11 2LE
C602,01/01/2016,31/03/2019,01/01/2019,180000,Information Communication Technology,Business Improvement,Framework,Wide Area Network,20008028,VODAFONE LIMITED (CORPORATE),LGE,PO BOX 5583,NEWBURY,BERKSHIRE,RG14 5FF
C604,01/05/2015,31/03/2017,01/11/2016,25000,Information Communication Technology,Business Improvement,Request For Quotation,Lagan e Forms Integration Support,20018873,ISCAPE SOLUTIONS,SME,9 MALT FIELD,LYMPSTONE,,EX5 5ND
C605,30/10/2015,30/12/2018,30/06/2018,74000,Information Communication Technology,Business Improvement,Tender,IT and Support Services Service Desk Solution,20019027,ALEMBA LIMITED,SME,2ND FLOOR,TANNERY HOUSE,TANNERY LANE,GU23 7EF
C611,01/08/2015,31/07/2017,01/01/2017,97180,Facilities & Management Services,Community Services,Tender,City Centre Ambassador Services,20016981,SCOPE SECURITY LTD,SME,162 COWLEY ROAD,OXFORD,,OX4 1UE
C614,30/06/2015,29/06/2018,01/01/2018,9300,Environmental Services,Community Services Directorate,Request For Quotation,NHH Data Collection Gas Loggers and Gas Data Collection,20016360,STARK SOFTWARE INTERNATIONAL LTD,SME,SENTINEL HOUSE,10-12 MASSETTS ROAD,HORLEY,RH6 7DE
C618,15/07/2015,15/07/2017,01/01/2017,30000,Street & Traffic Management,Direct Services,Request For Quotation,Refurbishment of Street Furniture Benches,20010967,MALCOLM LANE & SON LTD,SME,30 MAIN ROAD,RADCLIFFE-ON-TRENT,NOTTINGHAM,NG12 2GJ
C619,01/10/2015,30/09/2018,01/04/2018,388542,Consultancy,Financial Services,Official Journal of the European Union,Provision of Internal Audit Services,20019082,BDO LLP,LGE,CENTRAL FINANCE TEAM,2 CITY PLACE,BEEHIVE RING ROAD,RH6 PA
C620,01/09/2015,31/08/2019,01/01/2019,28000,Legal Services,Law & Governance,Framework,Legal Services Framework,20019078,BOND DICKINSON LLP,LGE,BALLARD HOUSE,WEST HOE ROAD,PLYMOUTH,PL1 3AE
C621,01/09/2015,31/08/2019,01/01/2019,28000,Legal Services,Law & Governance,Framework,Legal Services Framework,20018785,BLAKE MORGAN,LGE,SEACOURT TOWER,WEST WAY,OXFORD,OX2 0FB
C622,01/09/2015,31/08/2019,01/01/2019,28000,Legal Services,Law & Governance,Framework,Legal Services Framework,20008797,"KNIGHTS PROFESSIONAL SERVICES LTD.,",SME,THE BRAMPTON,NEWCASTLE-UNDER-LYME,STAFFS,ST5 0QW
C623,01/09/2015,31/08/2019,01/01/2019,28000,Legal Services,Law & Governance,Framework,Legal Services Framework,20018250,PINSENT MASONS LLP,SME,1 PARK ROW,LEEDS,,LS1 1AB
C624,01/09/2015,31/08/2019,01/01/2019,28000,Legal Services,Law & Governance,Framework,Legal Services Framework,20018460,VEALE WASBROUGH VIZARD,LGE,ORCHARD LANE,BRISTOL,,BS1 5WS
C628,26/11/2015,25/11/2018,01/01/2018,18157804.309999999,Construction,Housing & Property,Framework,Oxford Tower Block Refurbishment,20016787,WILLMOTT DIXON CONSTRUCTION LTD,LGE,CHANTRY HOUSE,HIGH STREET,COLESHILL,B46 3BP
C629,26/10/2015,25/10/2019,01/01/2019,445500,Facilities & Management Services,Community Services,Framework,Bill Printing and Distibution,20019101,CRITIQOM LTD,SME,DOCUMENT HOUSE,PHOENIX CRESCENT,STRATHCLYDE BUSINESS PARK,ML4 3NJ
