ORGANISATION NAME,EFFECTIVE    DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,05/09/2016,EARLY HELP AND SCHOOLS,ST DAVIDS COLLEGE,05/09/2016,3799.25,OTHER LA`S - SEN PROVISION,V001036046
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,CUMBERLAND SCHOOL,02/09/2016,1530,TRAVELLING GENERAL EXPENSES,V001036048
ROCHDALE BOROUGH COUNCIL,05/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,TERBERG MATEC UK LIMITED,05/09/2016,512.06,VEHICLE MAINTENANCE,V001036062
ROCHDALE BOROUGH COUNCIL,08/09/2016,ECONOMY DIRECTORATE,UNITY PARTNERSHIP LTD,08/09/2016,4500,FEES / COMMISSION,V001036097
ROCHDALE BOROUGH COUNCIL,05/09/2016,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,05/09/2016,12400,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001036125
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,THE PENNINE ACUTE HOSPITALS NHS TRUST,02/09/2016,3256.31,AGENCY STAFF,V001036187
ROCHDALE BOROUGH COUNCIL,07/09/2016,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,07/09/2016,1436.7,SUBSIDISED ADOPTERS PMTS,V001036190
ROCHDALE BOROUGH COUNCIL,26/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,26/09/2016,627.2,MARKETING EXPENDITURE,V001036236
ROCHDALE BOROUGH COUNCIL,06/09/2016,PROPERTY AND HIGHWAYS,CAPITA PROPERTY AND INFRASTRUCTURE LTD,06/09/2016,6316.02,TIME CHARGE FOR OFF MARKET SALES,V001036374
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,02/09/2016,1908.67,MISC CHARGES,V001036743
ROCHDALE BOROUGH COUNCIL,02/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,AEBI SCHMIDT UK LIMITED,02/09/2016,1173.4,VEHICLE MAINTENANCE,V001036770
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,02/09/2016,17131.5,MEALS,V001036776
ROCHDALE BOROUGH COUNCIL,02/09/2016,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,02/09/2016,11378,IMPROVEMENTS-MODERNISATION,V001036777
ROCHDALE BOROUGH COUNCIL,05/09/2016,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,05/09/2016,654,EQUIPMENT - GENERAL,V001036826
ROCHDALE BOROUGH COUNCIL,02/09/2016,FINANCE SERVICES,ROSSENDALES,02/09/2016,502.49,INPUT VAT -  ADJUSTMENTS,V001036854
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,MAKING SPACE,02/09/2016,23893,VOLUNTARY ASSOCIATIONS,V001036898
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,MAKING SPACE,02/09/2016,29459,VOLUNTARY ASSOCIATIONS,V001036899
ROCHDALE BOROUGH COUNCIL,12/09/2016,LEARNING DIS & MENTAL HEALTH,KICKSTART GROUP,12/09/2016,2734,PHYSICAL & SENSORY IMPAIRMENT,V001036904
ROCHDALE BOROUGH COUNCIL,01/09/2016,PROPERTY AND HIGHWAYS,NPOWER LIMITED,01/09/2016,52160.6,ELECTRICITY,V001036973
ROCHDALE BOROUGH COUNCIL,08/09/2016,ECONOMY DIRECTORATE,NATIONAL GRID PLC,08/09/2016,1049,DEMOLITION AND CLEARANCE,V001037044
ROCHDALE BOROUGH COUNCIL,06/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,CAPITA BUSINESS SERVICES LIMITED,06/09/2016,500,TRAINING,V001037142
ROCHDALE BOROUGH COUNCIL,13/09/2016,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,13/09/2016,1400,CONSULTANTS FEES,V001037236
ROCHDALE BOROUGH COUNCIL,13/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD,13/09/2016,1000,MISC CHARGES,V001037345
ROCHDALE BOROUGH COUNCIL,06/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,NORTHGATE PUBLIC SERVICES (UK) LTD,06/09/2016,-4000,CONTRACTED SERVICES,V001037352
ROCHDALE BOROUGH COUNCIL,06/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,NORTHGATE PUBLIC SERVICES (UK) LTD,06/09/2016,-4000,CONTRACTED SERVICES,V001037355
ROCHDALE BOROUGH COUNCIL,05/09/2016,CHILDREN’S SOCIAL CARE,YOUTH JUSTICE BOARD,05/09/2016,1593,SERVICE LEVEL AGREEMENTS,V001038273
ROCHDALE BOROUGH COUNCIL,13/09/2016,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,13/09/2016,6547,SOFTWARE,V001038301
ROCHDALE BOROUGH COUNCIL,02/09/2016,CHILDREN’S SOCIAL CARE,FULL CIRCLE CARE,02/09/2016,13728.57,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001038365
ROCHDALE BOROUGH COUNCIL,26/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,26/09/2016,1376.48,MARKETING EXPENDITURE,V001038446
ROCHDALE BOROUGH COUNCIL,26/09/2016,ECONOMY DIRECTORATE,OFFICE DEPOT UK LIMITED,26/09/2016,1498.56,EVENTS,V001038466
ROCHDALE BOROUGH COUNCIL,09/09/2016,PROPERTY AND HIGHWAYS,JUBB AND JUBB LIMITED,09/09/2016,1454,TRANSACTIONS-EXPENDITURE,V001038500
ROCHDALE BOROUGH COUNCIL,09/09/2016,PROPERTY AND HIGHWAYS,JUBB AND JUBB LIMITED,09/09/2016,760,TRANSACTIONS-EXPENDITURE,V001038501
ROCHDALE BOROUGH COUNCIL,16/09/2016,CHILDREN’S SOCIAL CARE,CORAM CHILDRENS LEGAL CENTRE,16/09/2016,2591,PROFESSIONAL FEES,V001038503
ROCHDALE BOROUGH COUNCIL,16/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,I BRANDED LTD,16/09/2016,747.5,MARKETING EXPENDITURE,V001038604
ROCHDALE BOROUGH COUNCIL,06/09/2016,FINANCE SERVICES,NORTHGATE PUBLIC SERVICES (UK) LTD,06/09/2016,643.5,SOFTWARE,V001038646
ROCHDALE BOROUGH COUNCIL,01/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,F S MOULT & SON,01/09/2016,6430,DEMOLITION,V001038677
ROCHDALE BOROUGH COUNCIL,13/09/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,13/09/2016,23883.04,ENGINEERS FEES,V001038686
ROCHDALE BOROUGH COUNCIL,14/09/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,14/09/2016,3322.35,CONSULTANT FEES,V001038687
ROCHDALE BOROUGH COUNCIL,21/09/2016,EARLY HELP AND SCHOOLS,POSITIVE STEPS,21/09/2016,44100,EXTERNALLY MANAGED FUNDS,V001038717
ROCHDALE BOROUGH COUNCIL,01/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OLDHAM & ROCHDALE GROUNDWORK TRUST LTD,01/09/2016,3257.5,FEES -CONSTRUCTION CONVERSION RENOVATION,V001038719
ROCHDALE BOROUGH COUNCIL,16/09/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,16/09/2016,1210.78,GAS,V001038729
ROCHDALE BOROUGH COUNCIL,16/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/09/2016,2239.41,GAS,V001038910
ROCHDALE BOROUGH COUNCIL,02/09/2016,PUBLIC HEALTH,THE HUB PHARMACY,02/09/2016,2411.6,PH LCS PAYMENTS,V001039006
ROCHDALE BOROUGH COUNCIL,02/09/2016,PUBLIC HEALTH,L ROWLAND & CO LTD,02/09/2016,568.67,PH LCS PAYMENTS,V001039007
ROCHDALE BOROUGH COUNCIL,02/09/2016,PUBLIC HEALTH,GORGEMEAD LTD,02/09/2016,2139.27,PH LCS PAYMENTS,V001039010
ROCHDALE BOROUGH COUNCIL,22/09/2016,PUBLIC HEALTH,TESCO STORES LIMITED,22/09/2016,1505.73,PH LCS PAYMENTS,V001039011
ROCHDALE BOROUGH COUNCIL,02/09/2016,PUBLIC HEALTH,INTERNET PHARMACY LTD,02/09/2016,753.57,PH LCS PAYMENTS,V001039012
ROCHDALE BOROUGH COUNCIL,16/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/09/2016,1770.89,GAS,V001039018
ROCHDALE BOROUGH COUNCIL,05/09/2016,BETTER CARE FUND POOLED BUDGET,ROSS CARE,05/09/2016,50577.31,CONTRACTS,V001039019
ROCHDALE BOROUGH COUNCIL,05/09/2016,BETTER CARE FUND POOLED BUDGET,ROSS CARE,05/09/2016,66209.24,CONTRACTS,V001039020
ROCHDALE BOROUGH COUNCIL,01/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,01/09/2016,2450,"TREES, SHRUBS, PLANTS",V001039622
ROCHDALE BOROUGH COUNCIL,01/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE & DIST CITIZENS ADVICE BUREAU,01/09/2016,34583.33,CITIZENS ADVICE BUREAU,V001039659
ROCHDALE BOROUGH COUNCIL,01/09/2016,EARLY HELP AND SCHOOLS,SKYLIGHT CIRCUS ARTS,01/09/2016,1702.75,ACTIVITIES,V001039660
ROCHDALE BOROUGH COUNCIL,01/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,TURNING POINT SERVICES LIMITED,01/09/2016,15166.66,CONTRACTED SERVICES,V001039662
ROCHDALE BOROUGH COUNCIL,01/09/2016,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),01/09/2016,9351.91,ACTIVITIES,V001039663
ROCHDALE BOROUGH COUNCIL,01/09/2016,PUBLIC HEALTH,LINK4LIFE (CHARITY),01/09/2016,12250,LINK 4 LIFE CONTRACT,V001039664
ROCHDALE BOROUGH COUNCIL,01/09/2016,PUBLIC HEALTH,LINK4LIFE (CHARITY),01/09/2016,234681,LINK 4 LIFE CONTRACT,V001039664
ROCHDALE BOROUGH COUNCIL,01/09/2016,PUBLIC HEALTH,LINK4LIFE (TRADING),01/09/2016,6225,LINK 4 LIFE CONTRACT,V001039665
ROCHDALE BOROUGH COUNCIL,01/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,PENNINE CARE NHS,01/09/2016,143727,CONTRACTED SERVICES,V001039666
ROCHDALE BOROUGH COUNCIL,01/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE FOODBANK,01/09/2016,750,SUPPLIES AND SERVICES PROVISION,V001039671
ROCHDALE BOROUGH COUNCIL,01/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BOROUGHWIDE HOUSING,01/09/2016,50651.67,CONTRACTS,V001039673
ROCHDALE BOROUGH COUNCIL,01/09/2016,EARLY HELP AND SCHOOLS,BARNARDOS,01/09/2016,10335.17,ACTIVITIES,V001039674
ROCHDALE BOROUGH COUNCIL,01/09/2016,EARLY HELP AND SCHOOLS,CAUDWELL CHILDREN,01/09/2016,1224.5,ACTIVITIES,V001039675
ROCHDALE BOROUGH COUNCIL,01/09/2016,EARLY HELP AND SCHOOLS,ENLIGHTENING,01/09/2016,2695.91,ACTIVITIES,V001039676
ROCHDALE BOROUGH COUNCIL,01/09/2016,EARLY HELP AND SCHOOLS,RAINBOW TRUST CHILDRENS CHARITY,01/09/2016,1250,ACTIVITIES,V001039677
ROCHDALE BOROUGH COUNCIL,01/09/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,01/09/2016,3320.83,ACTIVITIES,V001039678
ROCHDALE BOROUGH COUNCIL,01/09/2016,EARLY HELP AND SCHOOLS,ROCHDALE GATEWAY LEISURE LIMITED,01/09/2016,1088.31,ACTIVITIES,V001039679
ROCHDALE BOROUGH COUNCIL,01/09/2016,EARLY HELP AND SCHOOLS,RAINBOW SCENT,01/09/2016,2831.96,ACTIVITIES,V001039680
ROCHDALE BOROUGH COUNCIL,02/09/2016,PROPERTY AND HIGHWAYS,AQUABLAST SERVICES LIMITED,02/09/2016,1190,EQUIPMENT - GENERAL,V001039716
ROCHDALE BOROUGH COUNCIL,02/09/2016,FINANCE SERVICES,P AND MM EMPLOYEE BENEFITS,02/09/2016,833.33,TRANSACTIONS-EXPENDITURE,V001039752
ROCHDALE BOROUGH COUNCIL,02/09/2016,ECONOMY DIRECTORATE,TLC GARDEN SERVICES,02/09/2016,595,SUPPLIES AND SERVICES PROVISION,V001039758
ROCHDALE BOROUGH COUNCIL,02/09/2016,PROPERTY AND HIGHWAYS,MINI SOIL SURVEYS (NORTHERN) LTD,02/09/2016,740,PROPERTY - WORKS ELEMENT,V001039760
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,02/09/2016,8943.33,CONTRACTS,V001039761
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,MANCHESTER WORKING LIMITED,02/09/2016,9515,MAINTENANCE STAIRLIFTS,V001039763
ROCHDALE BOROUGH COUNCIL,16/09/2016,PROPERTY AND HIGHWAYS,ENCOME ENERGY PERFORMANCE UK LTT,16/09/2016,562.5,ENERGY MANAGEMENT,V001039772
ROCHDALE BOROUGH COUNCIL,16/09/2016,PROPERTY AND HIGHWAYS,ENCOME ENERGY PERFORMANCE UK LTT,16/09/2016,562.5,ENERGY MANAGEMENT,V001039772
ROCHDALE BOROUGH COUNCIL,16/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,CIVICA UK LIMITED,16/09/2016,16625.7,SOFTWARE,V001039775
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,-1164.24,RESIDENTIAL LONG TERM,V001040089
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,-1164.24,RESIDENTIAL LONG TERM,V001040090
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,-1164.24,RESIDENTIAL LONG TERM,V001040091
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,-1164.24,RESIDENTIAL LONG TERM,V001040092
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,-1473.46,RESIDENTIAL LONG TERM,V001040273
ROCHDALE BOROUGH COUNCIL,02/09/2016,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,-606.12,RESIDENTIAL LONG TERM,V001040283
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,CARE WORLDWIDE OLDHAM LTD,02/09/2016,781.6,RESIDENTIAL LONG TERM,V001040478
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,CARE WORLDWIDE OLDHAM LTD,02/09/2016,951.52,RESIDENTIAL LONG TERM,V001040479
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,CARE WORLDWIDE OLDHAM LTD,02/09/2016,951.52,RESIDENTIAL LONG TERM,V001040480
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,CARE WORLDWIDE OLDHAM LTD,02/09/2016,951.52,RESIDENTIAL LONG TERM,V001040481
ROCHDALE BOROUGH COUNCIL,06/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,THE AUDIENCE AGENCY,06/09/2016,1364,MARKETING EXPENDITURE,V001040658
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,-598.12,NURSING LONG TERM,V001040739
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,-1196.24,NURSING LONG TERM,V001040741
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,-598.12,NURSING LONG TERM,V001040742
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,02/09/2016,-547.18,RESIDENTIAL LONG TERM,V001040778
ROCHDALE BOROUGH COUNCIL,02/09/2016,PUBLIC HEALTH,LLOYDS PHARMACY LTD,02/09/2016,1117.14,PH LCS PAYMENTS,V001040796
ROCHDALE BOROUGH COUNCIL,01/09/2016,CHILDREN’S SOCIAL CARE,PACE,01/09/2016,2000,CONSULTANT FEES,V001040800
ROCHDALE BOROUGH COUNCIL,01/09/2016,CHILDREN’S SOCIAL CARE,PACE,01/09/2016,1995,CONSULTANT FEES,V001040801
ROCHDALE BOROUGH COUNCIL,01/09/2016,CHILDREN’S SOCIAL CARE,PACE,01/09/2016,1995,CONSULTANT FEES,V001040802
ROCHDALE BOROUGH COUNCIL,01/09/2016,CHILDREN’S SOCIAL CARE,PACE,01/09/2016,1995,CONSULTANT FEES,V001040803
ROCHDALE BOROUGH COUNCIL,01/09/2016,CHILDREN’S SOCIAL CARE,FOSTER CARES LTD,01/09/2016,850,FOSTER PARENTS BASIC ALLOWANCE,V001040809
ROCHDALE BOROUGH COUNCIL,02/09/2016,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,02/09/2016,2865,FOSTER PARENTS BASIC ALLOWANCE,V001040810
ROCHDALE BOROUGH COUNCIL,02/09/2016,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,02/09/2016,1600,FOSTER PARENTS BASIC ALLOWANCE,V001040811
ROCHDALE BOROUGH COUNCIL,02/09/2016,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,02/09/2016,1600,YOUNG PEOPLES RENTS,V001040812
ROCHDALE BOROUGH COUNCIL,02/09/2016,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,02/09/2016,2869,FOSTER PARENTS BASIC ALLOWANCE,V001040813
ROCHDALE BOROUGH COUNCIL,02/09/2016,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,02/09/2016,1539,FOSTER PARENTS BASIC ALLOWANCE,V001040814
ROCHDALE BOROUGH COUNCIL,02/09/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,02/09/2016,-582.12,RESIDENTIAL LONG TERM,V001040856
ROCHDALE BOROUGH COUNCIL,02/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,NORTHWEST ASBESTOS REMOVALS LTD,02/09/2016,560,EQUIPMENT - GENERAL,V001040858
ROCHDALE BOROUGH COUNCIL,02/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OPS ENVIRONMENTAL SERVICES,02/09/2016,800,EQUIPMENT - GENERAL,V001040859
ROCHDALE BOROUGH COUNCIL,02/09/2016,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,02/09/2016,2845.44,PROPERTY - WORKS ELEMENT,V001040865
ROCHDALE BOROUGH COUNCIL,02/09/2016,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,02/09/2016,768.68,PROPERTY - WORKS ELEMENT,V001040866
ROCHDALE BOROUGH COUNCIL,02/09/2016,PROPERTY AND HIGHWAYS,INTEGRATED WATER SERVICES LIMITED,02/09/2016,3459.4,PROPERTY - WORKS ELEMENT,V001040867
ROCHDALE BOROUGH COUNCIL,02/09/2016,PROPERTY AND HIGHWAYS,INTEGRATED WATER SERVICES LIMITED,02/09/2016,4010,PROPERTY - WORKS ELEMENT,V001040867
ROCHDALE BOROUGH COUNCIL,26/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,26/09/2016,1161.44,PRINTING,V001040872
ROCHDALE BOROUGH COUNCIL,16/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/09/2016,809.74,GAS,V001040910
ROCHDALE BOROUGH COUNCIL,02/09/2016,PROPERTY AND HIGHWAYS,APE SCAFFOLDING LTD,02/09/2016,2150,TRANSACTIONS-EXPENDITURE,V001041261
ROCHDALE BOROUGH COUNCIL,01/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE TOWN CENTRE MANAGEMENT CO,01/09/2016,1225,MARKETING EXPENDITURE,V001041269
ROCHDALE BOROUGH COUNCIL,07/09/2016,NEIGHBOURHOODS AND ENVIRONMENT,JEREMY BENN ASSOCIATES LTD,07/09/2016,15650,GRANTS TO THE NON VOLUNTARY SECTOR,V001041288
ROCHDALE BOROUGH COUNCIL,01/09/2016,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,01/09/2016,2000,CONSULTANT FEES,V001041298
ROCHDALE BOROUGH COUNCIL,02/09/2016,FINANCE SERVICES,LIZ KUNDI,02/09/2016,1050,TRAINING,V001041300
ROCHDALE BOROUGH COUNCIL,07/09/2016,PUBLIC HEALTH,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,07/09/2016,1472,PH OTHER CONTRACTS,V001041301
ROCHDALE BOROUGH COUNCIL,05/09/2016,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/09/2016,4107,FEES / COMMISSION,V001041302
ROCHDALE BOROUGH COUNCIL,05/09/2016,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/09/2016,4107,FEES / COMMISSION,V001041303
ROCHDALE BOROUGH COUNCIL,05/09/2016,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/09/2016,4107,FEES / COMMISSION,V001041304
ROCHDALE BOROUGH COUNCIL,05/09/2016,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/09/2016,4107,FEES / COMMISSION,V001041305
ROCHDALE BOROUGH COUNCIL,05/09/2016,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,05/09/2016,4107,FEES / COMMISSION,V001041306
