Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Portsmouth Hospitals Trust,14/09/2016 19:48,SrvcsRecd-FoundationTrust,OCCY HEALTH WEST SUSSEX,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20234717,1561,WSH1500020527
Department of Health,Portsmouth Hospitals Trust,14/09/2016 19:48,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20234717,133471,WSH1500020527
Department of Health,Portsmouth Hospitals Trust,14/09/2016 19:48,SrvcsRecd-FoundationTrust,PLASTIC SURGERY,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20234717,45,WSH1500020527
Department of Health,Portsmouth Hospitals Trust,14/09/2016 19:48,Services Received - NHSTs,DIABETIC DAY UNIT,SOLENT NHS TRUST,20234740,1230.75,54147158
Department of Health,Portsmouth Hospitals Trust,14/09/2016 19:48,Services Received - NHSTs,PHCT/PHT RECHARGES,SOLENT NHS TRUST,20234740,42069.5,54147158
Department of Health,Portsmouth Hospitals Trust,14/09/2016 19:48,Services Received - NHSTs,Physiotherapy,SOLENT NHS TRUST,20234740,12903.92,54147158
Department of Health,Portsmouth Hospitals Trust,14/09/2016 19:48,Services Received - NHSTs,RD Research Business Support,SOLENT NHS TRUST,20234740,978.08,54147158
Department of Health,Portsmouth Hospitals Trust,14/09/2016 19:48,Services Received - NHSTs,VASCULAR STAFF,SOLENT NHS TRUST,20234740,1230.75,54147158
Department of Health,Portsmouth Hospitals Trust,15/09/2016 19:45,Laboratory External Tests,BLOOD SCIENCES,UNI HOSPITAL SOUTHAMPTON NHS FT,20251231,11944.22,7283023
Department of Health,Portsmouth Hospitals Trust,15/09/2016 19:45,Laboratory External Tests,DERMATOLOGY MEDICAL STAFF,UNI HOSPITAL SOUTHAMPTON NHS FT,20251231,225.9,7283023
Department of Health,Portsmouth Hospitals Trust,15/09/2016 19:45,Laboratory External Tests,HISTOPATHOLOGY,UNI HOSPITAL SOUTHAMPTON NHS FT,20251231,11671.93,7283023
Department of Health,Portsmouth Hospitals Trust,15/09/2016 19:45,Laboratory External Tests,gastro,UNI HOSPITAL SOUTHAMPTON NHS FT,20251231,587.95,7283023
Department of Health,Portsmouth Hospitals Trust,15/09/2016 19:45,SrvcsRecd-FoundationTrust,ONCOLOGY MEDICAL STAFF,UNI HOSPITAL SOUTHAMPTON NHS FT,20251231,1802.16,7283023
Department of Health,Portsmouth Hospitals Trust,15/09/2016 19:45,SrvcsRecd-FoundationTrust,ENT CENTRAL STATEMENT,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20251333,606,WSH1500020908
Department of Health,Portsmouth Hospitals Trust,15/09/2016 19:45,SrvcsRecd-FoundationTrust,OCCY HEALTH WEST SUSSEX,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20251333,1859,WSH1500020908
Department of Health,Portsmouth Hospitals Trust,15/09/2016 19:45,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20251333,142341,WSH1500020908
Department of Health,Portsmouth Hospitals Trust,16/09/2016 17:10,Med & Surg Equip Disp,Cardiac Cath Lab,MEDTRONIC LTD,20252300,1040.4,1051515711
Department of Health,Portsmouth Hospitals Trust,16/09/2016 17:10,Med & Surg Equip General,Cardiac Cath Lab,MEDTRONIC LTD,20252300,288,1051515711
Department of Health,Portsmouth Hospitals Trust,16/09/2016 17:10,Pacemakers,Cardiac Cath Lab,MEDTRONIC LTD,20252300,42087.72,1051515711
Department of Health,Portsmouth Hospitals Trust,15/09/2016 19:45,Laboratory Chemicals,NEONATAL SCREENING (CHEM),PERKINELMER LAS (UK) LTD,20252805,9859.34,3100745304
Department of Health,Portsmouth Hospitals Trust,16/09/2016 17:10,Laboratory Chemicals,NEONATAL SCREENING (CHEM),PERKINELMER LAS (UK) LTD,20252805,49296.7,3100745304
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,SrvcsRecd-FoundationTrust,INTER PROVIDER CONTRACTS,UNI HOSPITAL SOUTHAMPTON NHS FT,20269222,79998,7278055
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES TRADING LTD,20269233,125043.31,331
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES TRADING LTD,20269233,13893.7,331
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES TRADING LTD,20269233,41681.1,331
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,Commercial Sector,B`STOKE DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,20269236,73760.54,1050489907
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES OPERATIONS LTD,20269238,67898.1,6566
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES OPERATIONS LTD,20269238,7544.23,6566
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES OPERATIONS LTD,20269238,22632.7,6566
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,Commercial Sector,CHANDLERS FORD DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,20269239,75732.88,1050489911
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,Independent Sector,Urgent Care Centre,SOUTH EAST HAMPSHIRE ALLIANCE LTD,20269241,37285,213
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,CAPD Fluids,RENAL PD UNIT,BAXTER HEALTHCARE LTD,20269243,64955.57,16142017
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,CAPD Fluids,RENAL PD UNIT,BAXTER HEALTHCARE LTD,20269245,59073.97,16060484
Department of Health,Portsmouth Hospitals Trust,16/09/2016 19:22,CAPD Fluids,RENAL PD UNIT,BAXTER HEALTHCARE LTD,20269247,67639.21,16103459
Department of Health,Portsmouth Hospitals Trust,20/09/2016 17:12,Computer Maintenance,ICT OPERATIONS,CSC COMPUTER SCIENCES LTD,20287505,52601.5,5278006020
Department of Health,Portsmouth Hospitals Trust,21/09/2016 19:06,Rent,PHARMACY DIST UNIT 18,HEATHCROFT PROPERTIES LTD,20322023,6261.75,10019215
Department of Health,Portsmouth Hospitals Trust,21/09/2016 19:06,Rent,PROCUREMENT SERVICES,HEATHCROFT PROPERTIES LTD,20322023,9740.5,10019215
Department of Health,Portsmouth Hospitals Trust,21/09/2016 19:06,Rent,RDPC SOLENT IND ESTATE,HEATHCROFT PROPERTIES LTD,20322023,18785.25,10019215
Department of Health,Portsmouth Hospitals Trust,21/09/2016 19:06,Service Charge,PHARMACY DIST UNIT 18,HEATHCROFT PROPERTIES LTD,20322023,381.78,10019215
Department of Health,Portsmouth Hospitals Trust,21/09/2016 19:06,Service Charge,PROCUREMENT SERVICES,HEATHCROFT PROPERTIES LTD,20322023,593.88,10019215
Department of Health,Portsmouth Hospitals Trust,21/09/2016 19:06,Service Charge,RDPC SOLENT IND ESTATE,HEATHCROFT PROPERTIES LTD,20322023,1145.33,10019215
Department of Health,Portsmouth Hospitals Trust,21/09/2016 19:06,X-Ray Equipment Purchase,QAH MAIN X-RAY,SIEMENS HEALTHCARE,20322469,43688.21,1051012700
Department of Health,Portsmouth Hospitals Trust,22/09/2016 18:55,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20331185,26314.66,WSH1500014604
Department of Health,Portsmouth Hospitals Trust,22/09/2016 18:55,SrvcsRecd-FoundationTrust,ENT CENTRAL STATEMENT,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20331197,92475.75,WSH1500015305
Department of Health,Portsmouth Hospitals Trust,22/09/2016 18:55,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20331197,48165.82,WSH1500015305
Department of Health,Portsmouth Hospitals Trust,22/09/2016 18:55,SrvcsRecd-FoundationTrust,RENAL NON STOCK/STOCK,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,20331197,2186.76,WSH1500015305
Department of Health,Portsmouth Hospitals Trust,22/09/2016 18:55,Drugs,SENIOR NURSING TEAM,POLAR SPEED DISTRIBUTION LTD,20331326,26076.58,302956
Department of Health,Portsmouth Hospitals Trust,23/09/2016 19:12,Independent Sector,ENDOSCOPY,CARE UK CLINICAL SERVICES LTD,20351593,39062.43,100023038
Department of Health,Portsmouth Hospitals Trust,26/09/2016 18:55,Independent Sector,ENDOSCOPY,CARE UK CLINICAL SERVICES LTD,20371466,29599.02,100014631
Department of Health,Portsmouth Hospitals Trust,26/09/2016 18:55,Independent Sector,ENDOSCOPY,CARE UK CLINICAL SERVICES LTD,20371467,43204.99,100017055
Department of Health,Portsmouth Hospitals Trust,27/09/2016 17:12,Independent Sector,ENDOSCOPY,CARE UK CLINICAL SERVICES LTD,20371482,43641.89,100020461
Department of Health,Portsmouth Hospitals Trust,27/09/2016 17:12,Independent Sector,ENDOSCOPY,CARE UK CLINICAL SERVICES LTD,20371486,55541.62,100021217
Department of Health,Portsmouth Hospitals Trust,26/09/2016 18:55,Laboratory External Tests,transplant tissue typing,NHS BLOOD & TRANSPLANT,20371488,42947.98,600699
Department of Health,Portsmouth Hospitals Trust,26/09/2016 18:55,Sterile Products,HOME HAEMO SERVICE,NXSTAGE MEDICAL UK LTD,20371538,115016.72,CD970321302
Department of Health,Portsmouth Hospitals Trust,26/09/2016 18:55,Laboratory Radio-Isotopes,NUCLEAR MEDICINE PHT,UNI HOSPITAL SOUTHAMPTON NHS FT,20371545,28638.18,7285802
Department of Health,Portsmouth Hospitals Trust,26/09/2016 18:55,Sewerage,UTILITIES QAH,SOUTHERN WATER SERVICES LTD,20371583,25386.12,70109819568
Department of Health,Portsmouth Hospitals Trust,27/09/2016 17:12,Computer Software/License,FINANCIAL MANAGEMENT,SOFTCAT LTD,20371863,33000,INV01437090
Department of Health,Portsmouth Hospitals Trust,28/09/2016 17:10,Limbs,LIMBS,HUGH STEEPER LTD,20387495,118259.07,SIN1609PR103875
Department of Health,Portsmouth Hospitals Trust,28/09/2016 19:14,Rent,FORT SOUTHWICK REV COSTS,FORT SOUTHWICK CO LTD,20406317,25344,NHSGYM031
Department of Health,Portsmouth Hospitals Trust,29/09/2016 18:56,Computer Software/License,TRUST CENTRAL EXPENSES,HEALTHCARE COMMUNICATIONS UK LTD,20410824,29584.8,7960
Department of Health,Portsmouth Hospitals Trust,30/09/2016 14:10,Limbs,LIMBS,HUGH STEEPER LTD,20410830,1538.41,SIN1608PR093771
Department of Health,Portsmouth Hospitals Trust,30/09/2016 14:10,Patients Appl: Purchase,ORTHOTICS,HUGH STEEPER LTD,20410830,113584.92,SIN1608PR093771
Department of Health,Portsmouth Hospitals Trust,29/09/2016 18:56,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES TRADING LTD,20410837,128020.53,344
Department of Health,Portsmouth Hospitals Trust,29/09/2016 18:56,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES TRADING LTD,20410837,14886.11,344
Department of Health,Portsmouth Hospitals Trust,29/09/2016 18:56,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES TRADING LTD,20410837,39696.29,344
Department of Health,Portsmouth Hospitals Trust,29/09/2016 18:56,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES OPERATIONS LTD,20410844,69514.72,6581
Department of Health,Portsmouth Hospitals Trust,29/09/2016 18:56,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES OPERATIONS LTD,20410844,8083.11,6581
Department of Health,Portsmouth Hospitals Trust,29/09/2016 18:56,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES OPERATIONS LTD,20410844,21554.95,6581
Department of Health,Portsmouth Hospitals Trust,30/09/2016 14:10,Pacemakers,Cardiac Cath Lab,BIOTRONIK UK LTD,20412573,42996.05,513048327
Department of Health,Portsmouth Hospitals Trust,30/09/2016 17:07,Med & Surg Equip Disp,ENDOSCOPY,DIAGMED HEALTHCARE LTD,20412599,36745.18,HPSI131483
Grand Total,,,,,,,3522162.94,
