Organisation Name,Organisation Code,Contract Reference number,Title of the Agreement,Local authority department responsible,Description of goods and services,Start Date,End Date,Review Date,Extension Period (Years),Contract amount,Irrecoverable VAT,Supplier (Beneficiary) Name,Supplier (Beneficiary Type)  type,Nominated contact point,Pre-contractural process used,OrganisationURI,GeoPointLicencingURL
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Joint Service Agreement,Telephony Service charges,"Information, Communication and Technology",Telephony ISDN Service and ISDN Voice Charges ,01/04/2012,23/12/2015,01/09/2015,0,"£20,992.80",£0.00,Staffordshire County Council,Local Authority,Kevin Sleeman,Joint Service Agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Utility Management and Monitoring,"Information, Communication and Technology",Utility Management and Monitoring,01/11/2012,31/10/2015,01/07/2015,0,"£20,202.00",£0.00,TEAM Energy Auditing Agency Ltd,Large Organisation,Kevin Sleeman,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Vending Machine Rental,"Information, Communication and Technology",Rental charges for 4 vending machines at DCH,20/01/2013,19/01/2016,01/11/2015,0,"£21,475.35",£0.00,Siemens Financial Services,Large Organisation,Kevin Sleeman,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Cash Collection,Internal Business Support Services,Cash collection and backup data transfer ,01/01/2006,31/12/2010,30/06/2015,0,"£19,000.00",£0.00,Kings Armoured Security Services Limited,SME,Anthony Thomas,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Joint Service Agreement,Shared Finance System,Internal Business Support Services,Oracle Financials System,20/04/2009,31/03/2016,31/03/2016,2,"£155,060.50",£0.00,Solihull Met. Borough Council,Local Authority,Anthony Thomas,Joint Service Agreement,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Open Tender,Treasury Management Consultancy Services,Internal Business Support Services,Treasury Management Advisors,19/06/2009,18/06/2015,18/06/2015,2,"£46,500.00",£0.00,Arlingclose Limited,SME,Anthony Thomas,Open Tender,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Agency Staff,Joint Waste Service,Temporary Agency staff for The Depot,01/11/2013,31/10/2017,01/11/2016,2,"£490,000.00",£0.00,The Best Connection Group,Large Organisation,Nigel Harris,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,In-Vessel Composting,Joint Waste Service,In-Vessel Composting, ,31/08/2017,,0,"£172,000.00",£0.00,Biffa Waste Services Limited,Large Organisation,Nigel Harris,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Exemption in place,Mesh Panel Advertising System for Fleet,Joint Waste Service,Mesh Panel Advertising System for Fleet,,,,0,"£7,600.00",£0.00,Agripa Fleet Media,SME,Tony Harris,Exemption in place,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Shared Waste Collection Service,Joint Waste Service,Joint Waste Collection Service with Lichfield and Tamworth,05/07/2010,,,0,"£1,600,000.00",,Tamworth Borough Council,Local Authority,Nigel Harris,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Treatment of Green Waste,Joint Waste Service,Treatment of Green Waste,13/10/2014,12/10/2021,01/04/2020,3,"£1,200,000.00",,Greener Composting,SME,Nigel Harris,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Waste Collection,Joint Waste Service,Waste Collection,01/08/2008,31/07/2011,,0,"£80,000.00",,Biffa Waste Services Limited,SME,Nigel Harris,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Exception in place,Annual PPM,Leisure and Parks,Water Treatment and Legionella  Control,21/10/2014,20/10/2015,20/10/2015,0,"£6,521.00",£0.00,Integrated Water Services,Large Organisation,Stuart Hoddinott,Exception in place,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Annual PPM,Leisure and Parks,Hygiene contract,09/03/2011,08/03/2016,08/03/2016,0,"£41,820.00",£0.00,Hygienic Concepts,SME,Stuart Hoddinott,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Quote,Burntwood Park play,Leisure and Parks,To improve the play facilities at Burntwood Park,05/01/2015,24/05/2015,,0,"£8,273.00",£0.00,Eibe,SME,John Smith,Quote,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Lichfield District Council,http://statistics.data.gov.uk/id/local-authority/41UD ,Exception in place,Electrical Maintenance,Leisure and Parks,Electrical Repairs,,,,0,"£12,000.00",£0.00,VJC Electrical,SME,Stuart Hoddinott,Exception in place,http://opendatacommunities.org/id/district-council/Lichfield,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
