Property Address,RATEPAYER,RV,LIABILITY_START
"The Winterburn, 1 Winterburn Hill, Warley, Halifax              HX2 7SQ",Lb & Od Limited,14500,25/10/2016
"3 Waterhouse Street, Halifax, HX1 1XX",Innovative Packaging Limited,13000,01/03/2016
"Travellers Rest, 83 Stainland Road, Greetland, Halifax             HX4 8BD",Liquid Services Ltd,10500,05/07/2016
"245 King Cross Road, Halifax, HX1 3JL",,4300,17/10/2016
"Office Suite G3, Dean Clough Mills, Halifax, HX3 5AX",Frog Education Ltd,104000,10/10/2016
"45 Birds Royd Lane, Brighouse, HD6 1NG",,4450,28/02/2016
"Unit 2, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",,1300,21/06/2016
"Brearley Mill 1ST Flr Office, Halifax Road, Todmorden, OL14 6EF",Knowl End Farm 143 Ltd & Bradford Cargo Terminal Ltd,1775,01/06/2015
"Brearley Mill Grd Flr, Halifax Road, Todmorden, OL14 6EF",Knowl End Farm 143 Ltd & Bradford Cargo Terminal Ltd,11000,01/06/2015
"Brearley Mill 1ST Floor, Halifax Road, Todmorden, OL14 6EF",,3250,01/06/2015
"Unit 1/1A, 30 Huddersfield Road, Brighouse, HD6 1HA",,51500,28/10/2016
"Comp 1 & 2 Mill House Works, Mill House Lane, Triangle, Sowerby Bridge       HX6 3LN",,2950,01/04/2015
"Unit B2, 49 Pear Street, Halifax, HX1 3UA",,2950,11/10/2016
"Unit 11 Woodman Works, South Lane, Elland, HX5 0PA",Heathleigh Ltd,9200,15/10/2016
"Mytholmroyd Medical Centre, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5LF",Setbray Properties Ltd,2600,01/11/2016
"Welcome Break, Hartshead Moor Service Area, Hartshead Moor, Brighouse            HD6 4JX",Welcome Break Group Plc,1290000,01/01/2016
"Unit 2, Harley House Mill, Blind Lane, Todmorden           OL14 5HZ",,3650,01/10/2015
"2ND & 3RD Floors Blue Note, Bridge Street, Todmorden, OL14 5AQ",W T J Insurance Brokers Ltd,12000,13/08/2015
"Basement Venue Nightclub, Calder Street, Todmorden, OL14 5AQ",W T J Insurance Brokers Ltd,8900,13/08/2015
"121 Hopwood Lane, Halifax, HX1 4HB",,3250,01/08/2016
"Venue Nightclub, Bridge Street, Todmorden, OL14 5AQ",W T J Insurance Brokers Ltd,10750,13/08/2015
"Office Suite D347, Dean Clough Office Park, Halifax, HX3 3AX",Dean Clough Ltd,157000,06/11/2016
"Cooper House, Cooper Lane, Shelf, Halifax              HX3 7RJ",,3300,19/10/2016
"The Cooking School, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,22750,09/10/2015
"53 Bethel Street, Brighouse, HD6 1JR",,8500,31/10/2016
"Units 9D & 9E, Top Land Country Business Pk, Burnley Road, Mytholmroyd",,6100,01/10/2016
"Unit 3 1ST Floor, No 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",Integro Insurance Brokers Ltd,2100,01/04/2015
"4 Trinity Road, Halifax, HX1 2QF",,2225,03/10/2016
"Unit A, Cravenedge Enterprise Centre, Hopwood Lane, Halifax              HX1 5EH",,24250,07/09/2016
"Unit 3 Pt 1ST Floor, No 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",Canal & River Trust,4550,01/04/2015
"19 West End, Hebden Bridge, HX7 8UQ",,5400,08/10/2016
"9 Market Street, Hebden Bridge, HX7 6EU",Wood And Wire Ltd,5400,05/10/2016
"Pt B/Ment The Weaving Shed, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",Shaw Lodge Mills Ltd,2350,01/09/2015
"Office Suite G7, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,105000,01/09/2016
"Unit E Greenbank Storage, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",,5900,01/08/2016
"Adj 158 Ovenden Road, Halifax, HX3 5QG",Scottish Equitable Plc Trustee Pension Scheme Ser 0064)),11250,01/10/2016
"Office 4 Premier House, Holmes Road, Sowerby Bridge, HX6 3LD",,2750,01/07/2016
"Offices 6 & 7, Premier House, Holmes Road, Sowerby Bridge       HX6 3LD",,1125,01/07/2016
"Premier House, Holmes Road, Sowerby Bridge, HX6 3LD",,3700,01/10/2016
"Unit 9, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,40500,01/10/2016
"The Barn, Robinwood Mill, Burnley Road, Todmorden           OL14 8JA",,4400,01/09/2016
"Unit 22, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",Units To Let [Northern] Ltd,2650,02/10/2016
"Units 24-26, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",Premier-Remapping Ltd,5000,01/10/2016
"Trade Car Outlet (Rear), Mill Royd Street, Brighouse, HD6 1EY",Younger Homes [Northern] Ltd,2550,13/10/2016
"2 Pule Green, Ploughcroft, Halifax, HX3 6UA",,1300,01/04/2016
"18-20 Fountain Street, Halifax, HX1 1LW",,14250,26/10/2016
"Unit 8 No 2 Warehouse, The Wharf, Sowerby Bridge, HX6 2AG",,2950,01/10/2016
"80a Commercial Street, Brighouse, HD6 1AQ",,14500,17/10/2016
"Ground Floor Store, Haley Hill Mills, Haley Hill, Halifax              HX3 6ED",,1500,30/09/2016
"Unit 1 R/O Hill Crest Garage, Burnley Road, Sowerby Bridge, HX6 2TL",,2900,01/04/2016
"4 Bradford Road, Brighouse, HD6 1RW",Websters Interiors Limited,13250,14/06/2016
"St Martins School, Church Lane, Brighouse, HD6 1AT",,5300,05/09/2015
"St Martins School, Church Lane, Brighouse, HD6 1AT",Little Learners Pre School Day Care,12000,05/09/2015
"St Martins School, Church Lane, Brighouse, HD6 1AT",The Wakefield Diocesan Board Of Education,20250,05/09/2015
"Basement At Nightclub, Wards End, Halifax, HX1 1BX",Max Bars Lp,580,15/12/2015
"1ST - 3RD Flrs At Nightclub, Wards End, Halifax, HX1 1BX",Max Bars Lp,4300,15/12/2015
"Units 12 & 13 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Ayup Digital Ltd,5500,20/05/2016
"Heart Gallery, The Arts Centre, 4A Market Street, Hebden Bridge        HX7 6AA",,8400,01/07/2016
"Unit 14, Ripponden Business Park, Oldham Road, Ripponden            HX6 4FF",Qubix Ltd,8200,01/10/2016
"Unit 16, Ripponden Business Park, Oldham Road, Ripponden            HX6 4FF",H T Fitness Ltd,8200,01/10/2016
"Junction Inn, 1 Ogden Lane, Brighouse, HD6 3HF",,6400,21/10/2016
"Unit 1, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",P S M Tyres & Services Centres Ltd,12750,17/08/2016
"2 Warley Grove, Halifax, HX2 0AE",,1650,08/11/2016
"12 Pellon Lane, Halifax, HX1 5SP",,5900,01/04/2016
"Hastings House, Birds Royd Lane, Brighouse, HD6 1LQ",Manrochem Ltd,42500,01/12/2015
"The Mending Rooms, Shaw Lodge Mill, Shaw Lane, Halifax              HX3 9ET",Shaw Lodge Mills Ltd,12750,01/11/2016
"Glendene, Wakefield Road, Copley, Halifax              HX3 0UA",,7000,04/04/2016
"Level 0 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",Technical Engineering Services Ltd,13250,01/11/2016
"North Forest, Forest Hill Road, Sowood, Stainland, Halifax              HX4 9LB",,2065,01/04/2015
"Unit 3, Grange Dean Medical Centre, Burnley Road, Mytholmroyd          HX7 5LF",Environment Agency,13000,28/04/2016
"7 Albert Street, Hebden Bridge, HX7 8AH",,6800,19/04/2016
"5 Union Cross Yard, Halifax, HX1 1PR",Commercial First Mortgages Ltd,8400,30/09/2016
"Old Gate House, 19 Old Gate, Hebden Bridge, HX7 6EN",,6900,25/03/2016
"12 Bethel Street, Brighouse, HD6 1JN",Ed Taylor Limited,7100,07/03/2012
"Units 2,5,6, & 7, Bridgefield Mills, Elland Bridge, Elland               HX5 0SG",Compass Bridge Ltd,13750,01/04/2015
"Telecommunications Mast, Site Ref Wyk 0017, Exley Lane, Elland               HX5 0SW",Mobile Broadband Network Ltd,7700,13/03/2015
"5 Corn Market, Halifax, HX1 1TH",,23250,12/10/2016
"Suite 6 Hawkstone House, 2 Valley Road, Hebden Bridge, HX7 7BL",,1025,01/04/2016
"Suite 8 Hawkstone House, 2 Valley Road, Hebden Bridge, HX7 7BL",,2450,01/04/2016
"Suite 9 Hawstone House, 2 Valley Road, Hebden Bridge, HX7 7BL",Mm & Jl Trading Ltd,1900,01/04/2016
"Suite 10 Hawkstone House, 2 Valley Road, Hebden Bridge, HX7 7BL",Mm & Jl Trading Ltd,1525,01/04/2016
"Suite 11 Hawkstone House, 2 Valley Road, Hebden Bridge, HX7 7BL",Setbray Properties Ltd,1225,01/04/2016
"Stalls 21/22 Market Hall, Brook Street, Todmorden, OL14 5AJ",West Pennine Carpets Ltd,3100,06/05/2016
"Units 16A, 16B & 16C, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",Sheerin Bespoke Furniture Manufacturing Ltd,21000,01/04/2015
"Unit 1B, Caldervale Business Park, River Street, Brighouse            HD6 1LU",Lmb Advice Ltd,1625,01/04/2015
"Unit 1C, Caldervale Business Park, River Street, Brighouse            HD6 1LU",Lmb Storage Solutions Ltd,2950,01/04/2015
"Unit 1D, Caldervale Business Park, River Street, Brighouse            HD6 1LU",Wind Articulated Services Pty Ltd,2600,01/04/2015
"Office No T04, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",Cromwell Industries Ltd,1200,01/09/2016
"Hebden Vale Childrens Centre, Stubbing Holme, Hebden Bridge, HX7 6LQ",Calderdale Mbc,4200,26/12/2015
"Woodvale Studio, Woodvale Road, Brighouse, HD6 4AB",Woodvale Studios Ltd,52000,14/04/2016
"16 Holme Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 8LJ",,2550,26/07/2016
"Unit 5 Holmfield Works, Shay Lane, Halifax, HX3 6RR",,4950,01/05/2016
"The Moquette Shed, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",Philip Hanson Bespoke Joinery Ltd,18500,13/07/2015
"3 Sty Bld Adj The Moq Shed, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",Shaw Lodge Mills Ltd,12250,13/07/2015
"Unit 3A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",,1400,01/11/2016
"Unit 105, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",,1225,01/11/2016
"1 Wellington Arcade, Briggate, Brighouse, HD6 1DN",Tosca North East Ltd,12000,16/10/2016
"31 Northgate, Halifax, HX1 1UR",,12250,01/08/2016
"(Club), 21 Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5LN",D.D.H Services Ltd,2050,22/04/2016
"(Shop), 21 Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5LN",,3250,22/04/2016
"166 King Cross Road, Halifax, HX1 3LN",,3000,27/10/2016
"Greyhound Inn, 132 Crowtrees Lane, Brighouse, HD6 3NH",Mucky Dog Inns Ltd,9000,09/06/2016
"189 King Cross Road, Halifax, HX1 3LN",,6300,10/11/2016
"Protreat Preservation Ltd, Lock Hill Mills, Holmes Road, Sowerby Bridge       HX6 3LD",Protreat Preservation Ltd,2500,01/04/2015
"Office 4G Premier House, Holmes Road, Sowerby Bridge, HX6 3LD",,1175,01/04/2015
"Unit 3 Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",,10250,01/08/2016
"Unit 4 Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",,7900,01/08/2016
"Unit 2 Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",,33250,01/08/2016
"Milk Distribution Depot, Queens Road, Halifax, HX1 3NT",,13750,20/07/2016
"Unit 16I & Unit 16J, Calderdale Business Park, Club Lane, Halifax              HX2 8DB",Bizspace Ltd,4650,09/04/2016
"3 Victoria Street, Greetland, Halifax, HX4 8DF",,3700,11/11/2016
"23 Bull Green, Halifax, HX1 2RZ",Stafford Properties C/O Walker Singletons,5300,01/05/2016
"Unit 7, Willows Industrial Estate, Watson Mill Lane, Sowerby Bridge       HX6 3BW",Mayers Building Supplies Ltd,9500,01/11/2016
"6 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,1875,06/10/2016
"Haulage Yard, Willows Industrial Estate, Watson Mill Lane, Sowerby Bridge       HX6 3BW",Mayers Building Supplies Ltd,4000,01/11/2016
"Unit 3, 561 Gibbet Street, Halifax, HX2 0AL",,2750,01/06/2016
"Unit 2A, Gaukroger Lane, Halifax, HX1 2DF",,5500,04/10/2016
"Unit 3 Atlas Works, Sedburgh Road, Halifax, HX3 9HB",,4850,04/10/2016
"Office 1 Britannia Works, Garden Street North, Halifax, HX3 6AE",,1675,27/08/2016
"Whitehall Fold Barn, Heptonstall, Hebden Bridge, HX7 7NY",,1600,01/05/2016
"School House, 56 Hopwood Lane, Halifax, HX1 5ER",Harris Peel (Developments) Ltd,42500,24/09/2016
"Unit 20 Middle Floor, Quality Works, Rochdale Road, Todmorden           OL14 7NA",,1525,01/02/2016
"Unit 15 Middle Floor, Quality Works, Rochdale Road, Todmorden           OL14 7NA",,1475,01/06/2016
"9 Bethel Street, Brighouse, HD6 1JR",,6800,05/11/2016
"6A Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",,3450,22/09/2016
"Unit 7 Brighouse Trade Park, Armytage Road, Brighouse, HD6 1QZ",Revilo Automotive Ltd,35500,31/10/2016
"Unit 7 Holmfield Works, Shay Lane, Halifax, HX3 6RR",Diamonds Gymnastics Club,20250,14/09/2015
"Land South Of Old Pottery, Long Gate, Rishworth, Sowerby Bridge       HX6 4SD",Long Gate Equestrian Ltd,1650,01/06/2016
"79 Mill Lane, Brighouse, HD6 1PN",Warmco Space Heating Ltd,3350,20/09/2016
"Unit 1B, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,8000,22/10/2016
"Unit 2C, Dean Hey Country Bus Park, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,10000,22/10/2016
"Unit 5, No 2 Warehouse, The Wharf, Sowerby Bridge, HX6 2AG",Gardner Jorissen Ltd,2750,01/08/2014
"Victoria Road, Hipperholme, Halifax, HX3 8DF",A & G Autos (2016) Ltd,4550,07/07/2016
"7A Briggate, Elland, HX5 9HG",,2900,03/11/2016
"Griffin Inn, 57 Stainland Road, Barkisland, Halifax             HX4 0AQ",Marstons Plc,9700,06/11/2016
"Maggies Bar, Wards End, Halifax, HX1 1BX",Maggies Halifax Ltd,58500,15/12/2015
"56 Illingworth Road, Illingworth, Halifax, HX2 9EN",,2550,31/10/2016
"Office 3 Britannia Works, Garden Street North, Halifax, HX3 6AE",S L Group Ltd,2275,01/08/2016
"33 Northgate, Halifax, HX1 1UR",The Pumproom Micropub Limited,8100,01/07/2016
"17 Alexandra Street, Halifax, HX1 1BS",,4150,05/08/2016
"5-7 Central Street, Halifax, HX1 1HU",,21250,15/08/2016
"The Courtyard, Bridge Gate, Hebden Bridge, HX7 8EX",,10750,01/11/2016
"Adj 89 Albert Road, Halifax, HX2 0DQ",,1100,11/07/2016
"Office 5 3RD Flr, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Limehouse Films Ltd,2900,01/04/2015
"Office 1 3RD Flr, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Limehouse Films Ltd,12750,01/04/2015
"Office 3 3RD Flr, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Limehouse Films Ltd,1600,01/04/2015
"Office 4 3RD Flr, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Limehouse Films Ltd,2225,01/04/2015
"Office 2 3RD Flr, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Limehouse Films Ltd,2500,01/04/2015
"Waterside Works, Waterside, Halifax, HX3 9HL",Waterside Colours Ltd,32000,11/11/2016
"Unit 1 Queens Road Works, Queens Road, Halifax, HX1 3XY",,4250,01/04/2016
"20 Clare Road, Halifax, HX1 2HX",Halifax Chiropractic Centre Ltd,11500,01/04/2015
"Junction Inn, 133 Moor Bottom Road, Illingworth, Halifax             HX2 9SX",Enterprise Inns Plc,5300,09/11/2016
"The Crown Hotel, 6 Lightcliffe Road, Brighouse, HD6 2DR",,28500,09/11/2016
"Todmorden W M Social Club, Halifax Road, Todmorden, OL14 5QG",Todmorden W M Social Club,3450,01/04/2015
"Unit 1, Fielden Works, Walton Street, Sowerby Bridge       HX6 1AN",Sbs Easy Storage Limited,53000,01/11/2016
"Unit H5 Premier Way, Lowfields Business Park, Elland, HX5 9HF",Exertis (Uk) Ltd,80000,01/11/2016
"359/361 Queens Road, Halifax, HX1 4PY",Halifax Motorist Centre Ltd,7500,01/07/2016
"Ground Floor, 2 Wards End, Halifax, HX1 1DD",Asiagem Uk Ltd,13750,10/11/2016
"1 Spring Hall House, Pellon New Road, Halifax, HX1 4GQ",,5500,01/07/2015
"Unit 2B, Gaukroger Lane, Halifax, HX1 2DF",,4050,26/11/2016
"Unit 1 Victoria Works, Waterside, Halifax, HX3 9HG",,6100,14/11/2016
"Unit 7B Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,9600,01/09/2015
"Unit 4A Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,4400,22/10/2015
"Unit 4B Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Mud - Uk Ltd,11750,21/12/2015
"1 Coronation Street, Elland, HX5 0DF",In House Marketing Ltd,2700,18/07/2016
"17 St Georges Square, Hebden Bridge, HX7 8ET",Valentine's Of Hebden Bridge Ltd,7400,22/11/2016
"Sowerby Bridge Baths, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",Sowerby Bridge Fire And Water Ltd,2000,21/10/2016
"Wessex House, Caldene Business Park, Mytholmroyd, Hebden Bridge        HX7 5QJ",Prodoto Photographic Studios Ltd,5300,14/10/2016
"Unit 10 Miall Street Mills, Miall Street, Halifax, HX1 4AE",Simms Electrical Distributors Ltd (In Liquidation),7300,21/09/2016
"Miall Works, Battinson Road, Halifax, HX1 4AZ",Simms Electrical Distributors Ltd (In Liquidation),7200,21/09/2016
"Suite 7 Hawkstone House, 2 Valley Road, Hebden Bridge, HX7 7BL",Motor Gap Limited,1275,01/04/2016
"2 Spring Hall House, Pellon New Road, Halifax, HX1 4GQ",,5600,16/06/2016
"Unit 12 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",Royal Bank Of Canada Trust Corporation Ltd,18750,01/12/2016
"Dean Street, Greetland, Halifax, HX4 8DW",Northern Light Engineering Ltd,6400,28/10/2015
"7 Barker Terrace, Hangingroyd Road, Hebden Bridge, HX7 6AQ",,2400,11/11/2016
