Customer,Number of Travellers, Total Cost ex VAT ,Travel Class,Ticket Single or Return,Travel Date,Journey Start Point,Journey Finish Point,Air Carrier
Department for Transport,1,£181.06,ECONOMY,Single,16/4/2011,AMSTERDAM,LONDON - LGW,EASYJET
Department for Transport,1,£181.06,ECONOMY,Single,16/4/2011,AMSTERDAM,LONDON - LGW,EASYJET
Department for Transport,1,£164.82,ECONOMY,Return,16/4/2011,EDINBURGH,LONDON - LGW,BRITISH AIRWAYS
Department for Transport,1,£62.40,ECONOMY,Single,16/4/2011,BEIRUT,LARNACA,MIDDLE EAST AIRLINES
Department for Transport,1,£53.99,ECONOMY,Single,16/4/2011,BOURNEMOUTH,FUERTEVENTURA,RYANAIR
Department for Transport,1,£53.99,ECONOMY,Single,16/4/2011,BOURNEMOUTH,FUERTEVENTURA,RYANAIR
Department for Transport,1,£53.99,ECONOMY,Single,16/4/2011,BOURNEMOUTH,FUERTEVENTURA,RYANAIR
Department for Transport,1,£53.99,ECONOMY,Single,16/4/2011,BOURNEMOUTH,FUERTEVENTURA,RYANAIR
Department for Transport,1,£559.31,ECONOMY,Return,19/4/2011,MANCHESTER,VIENNA,SWISS AIRLINES
Department for Transport,1,£503.41,ECONOMY,Return,19/4/2011,BRISTOL,PARIS,AIR FRANCE
Department for Transport,1,£295.73,ECONOMY,Return,19/4/2011,LONDON - LHR,PARIS,AIR FRANCE
Department for Transport,1,£409.55,ECONOMY,Return,20/4/2011,EDINBURGH,LERWICK,FLYBE
Department for Transport,1,£409.55,ECONOMY,Return,20/4/2011,EDINBURGH,LERWICK,FLYBE
Department for Transport,1,£334.87,ECONOMY,Return,20/4/2011,SOUTHAMPTON,BELFAST CITY,FLYBE
Department for Transport,1,£217.17,ECONOMY,Return,20/4/2011,EDINBURGH,LONDON -CITY,BRITISH AIRWAYS
Department for Transport,1,£199.68,ECONOMY,Return,20/4/2011,LONDON - LHR,DUBLIN,AER LINGUS
Department for Transport,1,£190.17,ECONOMY,Return,20/4/2011,LONDON -CITY,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£152.70,ECONOMY,Single,20/4/2011,LARNACA,LONDON - LHR,CYPRUS AIRWAYS
Department for Transport,1,£116.69,ECONOMY,Single,20/4/2011,LONDON - LHR,COLOGNE,BRITISH MIDLAND
Department for Transport,1,£116.69,ECONOMY,Single,20/4/2011,LONDON - LHR,COLOGNE,BRITISH MIDLAND
Department for Transport,1,£65.18,ECONOMY,Single,20/4/2011,LONDON - LHR,BELFAST CITY,BRITISH MIDLAND
Department for Transport,1,£224.40,ECONOMY,Return,21/4/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£224.40,ECONOMY,Return,21/4/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£84.16,ECONOMY,Single,21/4/2011,COLOGNE,LONDON - LGW,EASYJET
Department for Transport,1,£84.16,ECONOMY,Single,21/4/2011,COLOGNE,LONDON - LGW,EASYJET
Department for Transport,1,£71.44,ECONOMY,Single,21/4/2011,BRISTOL,EDINBURGH,EASYJET
Department for Transport,1,£63.98,ECONOMY,Single,21/4/2011,BELFAST INTL,LONDON - LHR,AER LINGUS
Department for Transport,1,£338.81,ECONOMY,Return,22/4/2011,LONDON -CITY,AMSTERDAM,AIR FRANCE
Department for Transport,1,£338.81,ECONOMY,Return,22/4/2011,LONDON -CITY,AMSTERDAM,AIR FRANCE
Department for Transport,1,£270.23,ECONOMY,Return,22/4/2011,LONDON -CITY,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£132.88,ECONOMY,Return,22/4/2011,LONDON - LGW,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,"£1,709.63",ECONOMY,Return,23/4/2011,LONDON - LHR,DAKAR,AIR FRANCE
Department for Transport,1,£274.80,BUSINESS,Return,23/4/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£198.88,ECONOMY,Return,23/4/2011,LONDON - LGW,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£95.98,ECONOMY,Single,23/4/2011,GLASGOW,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,"£1,709.63",ECONOMY,Return,23/4/2011,LONDON - LHR,DAKAR,AIR FRANCE
Department for Transport,1,£346.04,BUSINESS,Return,27/4/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£251.11,ECONOMY,Return,28/4/2011,EDINBURGH,BIRMINGHAM,FLYBE
Department for Transport,1,£110.36,ECONOMY,Return,28/4/2011,LUTON,BELFAST CITY,EASYJET
Department for Transport,1,£110.36,ECONOMY,Return,28/4/2011,LUTON,BELFAST CITY,EASYJET
Department for Transport,1,£97.19,ECONOMY,Return,28/4/2011,BELFAST CITY,LUTON,EASYJET
Department for Transport,1,£97.19,ECONOMY,Return,28/4/2011,BELFAST CITY,LUTON,EASYJET
Department for Transport,1,£97.19,ECONOMY,Return,28/4/2011,BELFAST CITY,LUTON,EASYJET
Department for Transport,1,£97.19,ECONOMY,Return,28/4/2011,BELFAST CITY,LUTON,EASYJET
Department for Transport,1,£305.50,ECONOMY,Return,29/4/2011,SOUTHAMPTON,TEES SIDE,EASTERN AIRWAYS
Department for Transport,1,£244.70,ECONOMY,Return,29/4/2011,SOUTHAMPTON,TEES SIDE,EASTERN AIRWAYS
Department for Transport,1,£419.10,ECONOMY,Return,4/5/2011,LONDON - LHR,GENEVA,BRITISH AIRWAYS
Department for Transport,1,"£2,095.13",BUSINESS,Return,5/5/2011,LONDON - LHR,MIAMI,BRITISH AIRWAYS
Department for Transport,1,"£1,191.13",PREMIUM ECONOMY,Single,5/5/2011,LONDON - LHR,MONTREAL,BRITISH AIRWAYS
Department for Transport,1,£251.89,ECONOMY,Return,5/5/2011,LONDON - LHR,NEWCASTLE,BRITISH AIRWAYS
Department for Transport,1,£245.81,ECONOMY,Return,5/5/2011,LONDON -CITY,DUBLIN,AIR FRANCE
Department for Transport,1,£239.96,ECONOMY,Return,5/5/2011,LONDON - LGW,NEWCASTLE,FLYBE
Department for Transport,1,£235.89,ECONOMY,Return,5/5/2011,LONDON - LHR,NEWCASTLE,BRITISH AIRWAYS
Department for Transport,1,"£2,095.13",BUSINESS,Return,5/5/2011,LONDON - LHR,MIAMI,BRITISH AIRWAYS
Department for Transport,1,"£1,191.13",PREMIUM ECONOMY,Single,5/5/2011,LONDON - LHR,MONTREAL,BRITISH AIRWAYS
Department for Transport,1,£327.18,BUSINESS,Return,6/5/2011,LONDON - LHR,BELFAST CITY,BRITISH MIDLAND
Department for Transport,1,£327.18,BUSINESS,Return,6/5/2011,LONDON - LHR,BELFAST CITY,BRITISH MIDLAND
Department for Transport,1,£167.76,ECONOMY,Return,6/5/2011,LUTON,MALPENSA,EASYJET
Department for Transport,1,£167.75,ECONOMY,Return,6/5/2011,LUTON,MALPENSA,EASYJET
Department for Transport,1,£83.90,ECONOMY,Single,6/5/2011,DUBLIN,LONDON -CITY,AIR FRANCE
Department for Transport,1,£83.90,ECONOMY,Single,6/5/2011,DUBLIN,LONDON -CITY,AIR FRANCE
Department for Transport,1,£68.90,ECONOMY,Single,6/5/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£64.37,ECONOMY,Single,6/5/2011,DUBLIN,LONDON - LHR,AER LINGUS
Department for Transport,1,£56.19,ECONOMY,Single,6/5/2011,LONDON - LHR,DUBLIN,BRITISH MIDLAND
Department for Transport,1,£46.19,ECONOMY,Single,6/5/2011,LONDON - LHR,DUBLIN,BRITISH MIDLAND
Department for Transport,1,£46.19,ECONOMY,Single,6/5/2011,LONDON - LHR,DUBLIN,BRITISH MIDLAND
Department for Transport,1,"£2,974.40",BUSINESS,Single,7/5/2011,MONTREAL,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,£208.93,ECONOMY,Return,7/5/2011,BIRMINGHAM,BELFAST CITY,FLYBE
Department for Transport,1,£39.00,ECONOMY,Return,7/5/2011,BIRMINGHAM,BELFAST CITY,FLYBE
Department for Transport,1,"£2,974.40",BUSINESS,Single,7/5/2011,MONTREAL,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,£256.96,ECONOMY,Return,10/5/2011,LONDON - LGW,ABERDEEN,FLYBE
Department for Transport,1,£199.04,ECONOMY,Return,10/5/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£191.29,ECONOMY,Return,10/5/2011,LONDON - LHR,GENEVA,SWISS AIRLINES
Department for Transport,1,"£1,747.33",ECONOMY,Return,11/5/2011,LONDON - LHR,LAGOS,BRITISH AIRWAYS
Department for Transport,1,"£1,747.33",ECONOMY,Return,11/5/2011,LONDON - LHR,LAGOS,BRITISH AIRWAYS
Department for Transport,1,£346.04,BUSINESS,Return,11/5/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£305.69,PREMIUM ECONOMY,Return,11/5/2011,LONDON - LHR,ABERDEEN,BRITISH MIDLAND
Department for Transport,1,£234.82,BUSINESS,Return,11/5/2011,EDINBURGH,LONDON - LGW,BRITISH AIRWAYS
Department for Transport,1,£200.30,ECONOMY,Single,11/5/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£186.30,ECONOMY,Return,11/5/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£171.90,ECONOMY,Return,11/5/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£96.00,ECONOMY,Single,11/5/2011,LONDON -CITY,JERSEY,BLUEISLANDS
Department for Transport,1,£86.49,ECONOMY,Single,11/5/2011,ABERDEEN,LONDON - LGW,FLYBE
Department for Transport,1,£72.72,ECONOMY,Single,11/5/2011,LUTON,AMSTERDAM,EASYJET
Department for Transport,1,£72.72,ECONOMY,Single,11/5/2011,LUTON,AMSTERDAM,EASYJET
Department for Transport,1,£72.72,ECONOMY,Single,11/5/2011,LUTON,AMSTERDAM,EASYJET
Department for Transport,1,£72.72,ECONOMY,Single,11/5/2011,LUTON,AMSTERDAM,EASYJET
Department for Transport,1,£67.59,ECONOMY,Single,11/5/2011,LUTON,HAMBURG,EASYJET
Department for Transport,1,£67.59,ECONOMY,Single,11/5/2011,LUTON,HAMBURG,EASYJET
Department for Transport,1,£67.59,ECONOMY,Single,11/5/2011,LUTON,HAMBURG,EASYJET
Department for Transport,1,£67.59,ECONOMY,Single,11/5/2011,LUTON,HAMBURG,EASYJET
Department for Transport,1,£60.00,ECONOMY,Return,11/5/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£55.88,ECONOMY,Single,11/5/2011,LUTON,AMSTERDAM,EASYJET
Department for Transport,1,£35.88,ECONOMY,Single,11/5/2011,LUTON,HAMBURG,EASYJET
Department for Transport,1,"£1,747.33",ECONOMY,Return,11/5/2011,LONDON - LHR,LAGOS,BRITISH AIRWAYS
Department for Transport,1,"£1,747.33",ECONOMY,Return,11/5/2011,LONDON - LHR,LAGOS,BRITISH AIRWAYS
Department for Transport,1,£380.90,ECONOMY,Return,12/5/2011,MANCHESTER,ABERDEEN,BRITISH MIDLAND
Department for Transport,1,£221.04,ECONOMY,Return,12/5/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£182.60,ECONOMY,Return,12/5/2011,LONDON - LHR,LISBON,BRITISH AIRWAYS
Department for Transport,1,£181.00,ECONOMY,Return,12/5/2011,LONDON -CITY,JERSEY,BLUEISLANDS
Department for Transport,1,£61.50,ECONOMY,Return,12/5/2011,LUTON,BELFAST INTL,EASYJET
Department for Transport,1,£61.50,ECONOMY,Return,12/5/2011,LUTON,BELFAST INTL,EASYJET
Department for Transport,1,£61.50,ECONOMY,Return,12/5/2011,LUTON,BELFAST INTL,EASYJET
Department for Transport,1,£61.50,ECONOMY,Return,12/5/2011,LUTON,BELFAST INTL,EASYJET
Department for Transport,1,£61.50,ECONOMY,Return,12/5/2011,LUTON,BELFAST INTL,EASYJET
Department for Transport,1,£61.50,ECONOMY,Return,12/5/2011,LUTON,BELFAST INTL,EASYJET
Department for Transport,1,£25.00,ECONOMY,Return,12/5/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£439.40,BUSINESS,Single,13/5/2011,AMSTERDAM,PARIS,KLM
Department for Transport,1,£321.04,ECONOMY,Return,13/5/2011,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Department for Transport,1,£310.70,ECONOMY,Single,13/5/2011,LONDON - LGW,TURIN,BRITISH AIRWAYS
Department for Transport,1,£288.90,BUSINESS,Return,13/5/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£214.90,ECONOMY,Return,13/5/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£214.90,ECONOMY,Return,13/5/2011,LONDON - LGW,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£205.90,ECONOMY,Return,13/5/2011,EDINBURGH,MANCHESTER,BRITISH MIDLAND
Department for Transport,1,£197.09,ECONOMY,Return,13/5/2011,LONDON - LHR,GENEVA,SWISS AIRLINES
Department for Transport,1,£181.00,ECONOMY,Return,13/5/2011,LONDON -CITY,JERSEY,BLUEISLANDS
Department for Transport,1,£181.00,ECONOMY,Return,13/5/2011,LONDON -CITY,JERSEY,BLUEISLANDS
Department for Transport,1,£131.98,ECONOMY,Return,13/5/2011,STANSTED,BIARRITZ,RYANAIR
Department for Transport,1,£123.48,ECONOMY,Single,13/5/2011,LONDON - LGW,NEWCASTLE,FLYBE
Department for Transport,1,£199.00,ECONOMY,Single,14/5/2011,ABERDEEN,BRISTOL,EASTERN AIRWAYS
Department for Transport,1,£175.81,ECONOMY,Return,14/5/2011,LONDON -CITY,DUBLIN,AIR FRANCE
Department for Transport,1,"£3,210.43",BUSINESS,Return,16/5/2011,LONDON - LHR,TOKYO - NARITA,VIRGIN ATLANTIC
Department for Transport,1,"£1,275.12",BUSINESS,Return,16/5/2011,LONDON - LHR,ADDIS ABABA,BRITISH MIDLAND
Department for Transport,1,"£1,275.12",BUSINESS,Return,16/5/2011,LONDON - LHR,ADDIS ABABA,BRITISH MIDLAND
Department for Transport,1,£405.00,ECONOMY,Single,16/5/2011,PARIS,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,£76.00,ECONOMY,Single,16/5/2011,JERSEY,STANSTED,AURIGNY AIR SERVICES
Department for Transport,1,"£1,275.12",BUSINESS,Return,16/5/2011,LONDON - LHR,ADDIS ABABA,BRITISH MIDLAND
Department for Transport,1,"£1,275.12",BUSINESS,Return,16/5/2011,LONDON - LHR,ADDIS ABABA,BRITISH MIDLAND
Department for Transport,1,"£3,210.43",BUSINESS,Return,16/5/2011,LONDON - LHR,TOKYO - NARITA,VIRGIN ATLANTIC
Department for Transport,1,£279.90,ECONOMY,Return,17/5/2011,LONDON - LHR,BUDAPEST,BRITISH AIRWAYS
Department for Transport,1,£366.41,ECONOMY,Return,18/5/2011,LONDON -CITY,GENEVA,SWISS AIRLINES
Department for Transport,1,£244.10,ECONOMY,Return,18/5/2011,LONDON - LHR,GENEVA,BRITISH AIRWAYS
Department for Transport,1,£289.28,BUSINESS,Return,19/5/2011,LONDON - LHR,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£252.23,ECONOMY,Return,19/5/2011,LONDON -CITY,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£248.28,ECONOMY,Return,19/5/2011,LONDON - LHR,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£162.88,ECONOMY,Return,19/5/2011,LONDON - LGW,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£132.88,ECONOMY,Return,19/5/2011,LONDON - LGW,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£132.43,ECONOMY,Return,19/5/2011,LONDON - LGW,LISBON,DO NOT USE - EASYJET - PLEASE 
Department for Transport,1,£84.93,ECONOMY,Return,19/5/2011,LONDON - LGW,GENEVA,EASYJET
Department for Transport,1,£81.94,ECONOMY,Single,19/5/2011,BRISTOL,GLASGOW,EASYJET
Department for Transport,1,£64.48,ECONOMY,Single,19/5/2011,NEWQUAY,LONDON - LGW,FLYBE
Department for Transport,1,£551.70,ECONOMY,Return,20/5/2011,LONDON - LHR,MADRID,SN BRUSSELS AIRLINES
Department for Transport,1,£355.70,ECONOMY,Return,20/5/2011,LONDON - LHR,MADRID,BRITISH AIRWAYS
Department for Transport,1,£289.28,BUSINESS,Return,20/5/2011,LONDON - LHR,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£269.74,BUSINESS,Single,20/5/2011,ABERDEEN,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,£248.98,ECONOMY,Single,20/5/2011,GLASGOW,LONDON - LHR,BRITISH AIRWAYS
Department for Transport,1,£450.40,ECONOMY,Return,21/5/2011,LONDON - LHR,VIENNA,BRITISH AIRWAYS
Department for Transport,1,£412.40,ECONOMY,Return,21/5/2011,LONDON - LHR,VIENNA,BRITISH AIRWAYS
Department for Transport,1,£346.50,ECONOMY,Return,21/5/2011,LONDON - LHR,PARIS,BRITISH AIRWAYS
Department for Transport,1,£297.50,ECONOMY,Return,21/5/2011,LONDON - LHR,PARIS,BRITISH AIRWAYS
Department for Transport,1,£274.82,BUSINESS,Return,21/5/2011,LONDON - LGW,EDINBURGH,BRITISH AIRWAYS
Department for Transport,1,£194.30,ECONOMY,Return,21/5/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£170.69,ECONOMY,Single,21/5/2011,LONDON - LHR,MANCHESTER,BRITISH MIDLAND
Department for Transport,1,£60.00,ECONOMY,Return,21/5/2011,LONDON - LHR,PARIS,BRITISH AIRWAYS
Department for Transport,1,£196.96,ECONOMY,Return,22/5/2011,LONDON - LGW,ABERDEEN,FLYBE
Department for Transport,1,£426.54,ECONOMY,Return,24/5/2011,LONDON - LHR,KIRKWALL,BRITISH AIRWAYS
Department for Transport,1,£424.26,ECONOMY,Return,24/5/2011,SOUTHAMPTON,GLASGOW,FLYBE
Department for Transport,1,£424.26,ECONOMY,Return,24/5/2011,SOUTHAMPTON,GLASGOW,FLYBE
Department for Transport,1,£196.00,ECONOMY,Single,24/5/2011,EAST MIDLANDS,ABERDEEN,EASTERN AIRWAYS
Department for Transport,1,£176.60,ECONOMY,Single,24/5/2011,ABERDEEN,KIRKWALL,FLYBE
Department for Transport,1,£176.38,ECONOMY,Single,24/5/2011,LONDON - LHR,FRANKFURT,LUFTHANSA
Department for Transport,1,£176.38,ECONOMY,Single,24/5/2011,LONDON - LHR,FRANKFURT,LUFTHANSA
Department for Transport,1,"£2,312.93",ECONOMY,Return,25/5/2011,LONDON - LHR,WASHINGTON,BRITISH AIRWAYS
Department for Transport,1,"£1,847.53",BUSINESS,Return,25/5/2011,LONDON - LHR,TEL AVIV YAFO,BRITISH AIRWAYS
Department for Transport,1,£408.40,ECONOMY,Return,25/5/2011,LONDON - LHR,PARIS,BRITISH AIRWAYS
Department for Transport,1,£339.01,ECONOMY,Return,25/5/2011,BRISTOL,AMSTERDAM,KLM
Department for Transport,1,£226.46,ECONOMY,Return,25/5/2011,SOUTHAMPTON,MANCHESTER,FLYBE
Department for Transport,1,£214.17,ECONOMY,Single,25/5/2011,DUBLIN,LONDON - LGW,AER LINGUS
Department for Transport,1,£74.48,ECONOMY,Single,25/5/2011,EDINBURGH,MANCHESTER,FLYBE
Department for Transport,1,£60.47,ECONOMY,Single,25/5/2011,LONDON - LGW,BELFAST INTL,EASYJET
Department for Transport,1,£60.47,ECONOMY,Single,25/5/2011,LONDON - LGW,BELFAST INTL,EASYJET
Department for Transport,1,£58.94,ECONOMY,Single,25/5/2011,LONDON - LGW,BELFAST INTL,EASYJET
Department for Transport,1,"£1,847.53",BUSINESS,Return,25/5/2011,LONDON - LHR,TEL AVIV YAFO,BRITISH AIRWAYS
Department for Transport,1,"£2,312.93",ECONOMY,Return,25/5/2011,LONDON - LHR,WASHINGTON,BRITISH AIRWAYS
Department for Transport,1,"£3,718.93",BUSINESS,Return,26/5/2011,LONDON - LHR,WASHINGTON,VIRGIN ATLANTIC
Department for Transport,1,£448.30,ECONOMY,Return,26/5/2011,LONDON - LHR,BERLIN,BRITISH AIRWAYS
Department for Transport,1,£253.30,ECONOMY,Return,26/5/2011,LONDON - LHR,BERLIN,BRITISH AIRWAYS
Department for Transport,1,£240.96,ECONOMY,Return,26/5/2011,LONDON - LGW,NEWCASTLE,FLYBE
Department for Transport,1,£240.96,ECONOMY,Return,26/5/2011,LONDON - LGW,NEWCASTLE,FLYBE
Department for Transport,1,£160.68,ECONOMY,Return,26/5/2011,LONDON - LHR,DUBLIN,AER LINGUS
Department for Transport,1,£150.00,ECONOMY,Single,26/5/2011,ABERDEEN,HUMBERSIDE,EASTERN AIRWAYS
Department for Transport,1,£139.30,ECONOMY,Return,26/5/2011,LONDON - LHR,MANCHESTER,BRITISH AIRWAYS
Department for Transport,1,£131.14,ECONOMY,Single,26/5/2011,KIRKWALL,ABERDEEN,FLYBE
Department for Transport,1,£96.40,ECONOMY,Single,26/5/2011,MANCHESTER,EDINBURGH,BRITISH MIDLAND
Department for Transport,1,£86.94,ECONOMY,Single,26/5/2011,LONDON - LGW,BELFAST INTL,EASYJET
Department for Transport,1,£81.94,ECONOMY,Single,26/5/2011,BRISTOL,GLASGOW,EASYJET
Department for Transport,1,"£3,718.93",BUSINESS,Return,26/5/2011,LONDON - LHR,WASHINGTON,VIRGIN ATLANTIC
Department for Transport,1,£355.30,ECONOMY,Return,27/5/2011,LONDON - LHR,BERLIN,BRITISH AIRWAYS
Department for Transport,1,£325.30,ECONOMY,Return,27/5/2011,LONDON - LHR,BERLIN,BRITISH AIRWAYS
Department for Transport,1,£208.82,ECONOMY,Return,27/5/2011,EDINBURGH,LONDON - LGW,BRITISH AIRWAYS
Department for Transport,1,£142.48,ECONOMY,Single,27/5/2011,BELFAST CITY,STANSTED,BMI BABY
Department for Transport,1,£91.18,ECONOMY,Single,27/5/2011,LONDON - LHR,BELFAST CITY,BRITISH MIDLAND
Department for Transport,1,£80.49,ECONOMY,Single,27/5/2011,BELFAST CITY,LONDON - LGW,FLYBE
Department for Transport,1,£68.50,ECONOMY,Single,27/5/2011,BELFAST CITY,LONDON - LGW,FLYBE
Department for Transport,1,£68.48,ECONOMY,Single,27/5/2011,BELFAST CITY,BIRMINGHAM,FLYBE
Department for Transport,1,£58.98,ECONOMY,Single,27/5/2011,BELFAST CITY,STANSTED,BMI BABY
Department for Transport,1,£36.49,ECONOMY,Single,27/5/2011,BELFAST CITY,LONDON - LGW,FLYBE
Department for Transport,1,£224.23,ECONOMY,Return,28/5/2011,LONDON -CITY,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,"£2,278.23",ECONOMY,Return,29/5/2011,LONDON - LHR,SYDNEY,BRITISH AIRWAYS
Department for Transport,1,£253.50,ECONOMY,Return,29/5/2011,SOUTHAMPTON,MANCHESTER,FLYBE
Department for Transport,1,"£2,278.23",ECONOMY,Return,29/5/2011,LONDON - LHR,SYDNEY,BRITISH AIRWAYS
Department for Transport,1,"£2,415.03",BUSINESS,Return,30/5/2011,LONDON - LHR,AMMAN,BRITISH AIRWAYS
Department for Transport,1,"£2,415.03",BUSINESS,Return,30/5/2011,LONDON - LHR,AMMAN,BRITISH AIRWAYS
Department for Transport,1,"£2,415.03",BUSINESS,Return,30/5/2011,LONDON - LHR,AMMAN,BRITISH AIRWAYS
Department for Transport,1,"£2,415.03",BUSINESS,Return,30/5/2011,LONDON - LHR,AMMAN,BRITISH AIRWAYS
Department for Transport,1,£247.28,BUSINESS,Return,2/6/2011,LONDON - LHR,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£100.93,ECONOMY,Return,2/6/2011,LONDON - LGW,GLASGOW,EASYJET
Department for Transport,1,£427.23,BUSINESS,Return,3/6/2011,LONDON -CITY,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£233.28,ECONOMY,Return,3/6/2011,LONDON - LHR,GLASGOW,BRITISH AIRWAYS
Department for Transport,1,£153.87,ECONOMY,Return,3/6/2011,LONDON - LGW,BELFAST CITY,FLYBE
Department for Transport,1,£147.88,ECONOMY,Return,3/6/2011,LONDON - LGW,GLASGOW,BRITISH AIRWAYS
