Agency,Paid_fare,Trip type,Routing_type,Ticket class,Departure Date,Origin,Destination,Destination Country,Carrier
HMT,465.4,Continental,ROUND TRIP,Economy,03/02/2011,LONDON,BERLIN,GERMANY,BMI
HMT,282.63,Domestic,ROUND TRIP,Economy,03/02/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,282.63,Domestic,ROUND TRIP,Economy,03/02/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,149.73,Continental,ROUND TRIP,Economy,07/02/2011,LONDON,AMSTERDAM,NETHERLANDS,EASYJET
HMT,68.5,Continental,ONE-WAY,Economy,08/02/2011,LONDON,WARSAW,POLAND,BRITISH AIRWAYS
HMT,716,Intercontinental,ONE-WAY,Economy,08/02/2011,WASHINGTON,LONDON,UNITED KINGDOM,BRITISH AIRWAYS
HMT,107.35,Continental,ROUND TRIP,Economy,09/02/2011,LONDON,BERLIN,GERMANY,EASYJET
HMT,102.4,Continental,ROUND TRIP,Economy,09/02/2011,LONDON,BERLIN,GERMANY,EASYJET
HMT,340.7,Continental,ONE-WAY,Economy,10/02/2011,BERLIN,LONDON,UNITED KINGDOM,BRITISH AIRWAYS
HMT,145.1,Domestic,ROUND TRIP,Economy,11/02/2011,LONDON,EDINBURGH,UNITED KINGDOM,BMI
HMT,156.1,Domestic,ROUND TRIP,Economy,11/02/2011,LONDON,EDINBURGH,UNITED KINGDOM,BMI
HMT,156.1,Domestic,ROUND TRIP,Economy,11/02/2011,LONDON,EDINBURGH,UNITED KINGDOM,BMI
HMT,133.2,Domestic,ONE-WAY,Economy,11/02/2011,LONDON,NEWQUAY,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,3074.37,Intercontinental,ORIGIN OPEN JAW,Business Class,13/02/2011,LONDON,AUCKLAND,NEW ZEALAND,CATHAY PACIFIC AIRWAYS
HMT,2452.27,Intercontinental,ROUND TRIP,Business Class,13/02/2011,LONDON,LIMA,PERU,IBERIA
HMT,4044,Intercontinental,ORIGIN OPEN JAW,Business Class,16/02/2011,AUCKLAND,LONDON,UNITED KINGDOM,AIR NEW ZEALAND
HMT,83.03,Domestic,ROUND TRIP,Economy,16/02/2011,LONDON,GLASGOW,UNITED KINGDOM,EASYJET
HMT,294.63,Domestic,ROUND TRIP,Business Class,17/02/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,192.43,Continental,ROUND TRIP,Economy,21/02/2011,LONDON,PARIS,FRANCE,AIR FRANCE
HMT,203.8,Continental,ROUND TRIP,Economy,21/02/2011,LONDON,ZURICH,SWITZERLAND,BRITISH AIRWAYS
HMT,174,Continental,ROUND TRIP,Economy,21/02/2011,LONDON,BRUSSELS,BELGIUM,EUROSTAR
HMT,134.59,Domestic,ROUND TRIP,Economy,22/02/2011,LONDON,BELFAST,UNITED KINGDOM,BMI
HMT,134.59,Domestic,ROUND TRIP,Economy,22/02/2011,LONDON,BELFAST,UNITED KINGDOM,BMI
HMT,78.1,Domestic,ROUND TRIP,Economy,22/02/2011,LONDON,EDINBURGH,UNITED KINGDOM,BMI
HMT,219.63,Domestic,ROUND TRIP,Economy,22/02/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,1071.67,Intercontinental,ROUND TRIP,Economy,23/02/2011,LONDON,NEW YORK,UNITED STATES,BRITISH AIRWAYS
HMT,40.7,Intercontinental,ONE-WAY,Economy,24/02/2011,MUMBAI/BOMBAY,CHANDIGARH,INDIA,Kingfisher Airlines
HMT,203.4,Continental,ROUND TRIP,Economy,24/02/2011,LONDON,VIENNA,AUSTRIA,BMI
HMT,203.4,Continental,ROUND TRIP,Economy,24/02/2011,LONDON,VIENNA,AUSTRIA,BMI
HMT,1405.6,Intercontinental,ONE-WAY,Business Class,24/02/2011,DOHA,LONDON,UNITED KINGDOM,QATAR AIRWAYS
HMT,2976.57,Intercontinental,TURNAROUND OPEN JAW,Business Class,27/02/2011,LONDON,BEIJING,CHINA,BRITISH AIRWAYS
HMT,2976.57,Intercontinental,TURNAROUND OPEN JAW,Business Class,27/02/2011,LONDON,BEIJING,CHINA,BRITISH AIRWAYS
HMT,315.23,Continental,ROUND TRIP,Economy,27/02/2011,LONDON,DUBLIN,IRELAND,LUFTHANSA GERMAN AIRLINES
HMT,169.09,Continental,ROUND TRIP,Economy,28/02/2011,LONDON,ZURICH,SWITZERLAND,SWISS
HMT,169.09,Continental,ROUND TRIP,Economy,28/02/2011,LONDON,ZURICH,SWITZERLAND,SWISS
HMT,177.9,Domestic,ROUND TRIP,Economy,28/02/2011,LONDON,NEWQUAY,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,94.7,Domestic,ONE-WAY,Economy,28/02/2011,NEWQUAY,LONDON,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,125,Domestic,ONE-WAY,Economy,28/02/2011,MANCHESTER,NEWQUAY,UNITED KINGDOM,AIR SOUTHWEST
HMT,311.9,Intercontinental,ONE-WAY,Economy,01/03/2011,BEIJING,HONG KONG,HONG KONG,CATHAY PACIFIC AIRWAYS
HMT,311.9,Intercontinental,ONE-WAY,Economy,01/03/2011,BEIJING,HONG KONG,HONG KONG,CATHAY PACIFIC AIRWAYS
HMT,233.8,Continental,CIRCLE TRIP,Economy,02/03/2011,LONDON,ANKARA,TURKEY,TURKISH AIRLINES
APA,212.8,Continental,CIRCLE TRIP,Economy,02/03/2011,LONDON,ANKARA,TURKEY,TURKISH AIRLINES
HMT,101,Domestic,ONE-WAY,Economy,03/03/2011,.UNITED KINGDOM,.UNITED KINGDOM,UNITED KINGDOM,BRITISH AIRWAYS
HMT,623.47,Continental,ROUND TRIP,Business Class,03/03/2011,LONDON,MADRID,SPAIN,BRITISH AIRWAYS
HMT,-582.97,Continental,ROUND TRIP,Business Class,03/03/2011,LONDON,MADRID,SPAIN,BRITISH AIRWAYS
HMT,262.8,Domestic,ONE-WAY,Economy,03/03/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,301.5,Domestic,ROUND TRIP,Economy,03/03/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,301.5,Domestic,ROUND TRIP,Economy,03/03/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,6,Continental,ROUND TRIP,Business Class,03/03/2011,LONDON,MADRID,SPAIN,BRITISH AIRWAYS
HMT,-136.2,Domestic,ONE-WAY,Economy,04/03/2011,LONDON,NEWQUAY,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,-136.2,Domestic,ONE-WAY,Economy,04/03/2011,LONDON,NEWQUAY,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,-136.2,Domestic,ONE-WAY,Economy,04/03/2011,LONDON,NEWQUAY,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,106.2,Continental,ROUND TRIP,Economy,04/03/2011,LONDON,PARIS,FRANCE,BRITISH AIRWAYS
HMT,18,Domestic,ONE-WAY,Economy,04/03/2011,.UNITED KINGDOM,.UNITED KINGDOM,UNITED KINGDOM,BRITISH AIRWAYS
HMT,131.47,Continental,ONE-WAY,Economy,04/03/2011,LONDON,PARIS,FRANCE,BRITISH AIRWAYS
HMT,136.2,Domestic,ONE-WAY,Economy,04/03/2011,LONDON,NEWQUAY,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,136.2,Domestic,ONE-WAY,Economy,04/03/2011,LONDON,NEWQUAY,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,136.2,Domestic,ONE-WAY,Economy,04/03/2011,LONDON,NEWQUAY,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,120.7,Domestic,ONE-WAY,Economy,04/03/2011,EDINBURGH,SOUTHAMPTON,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,3544.17,Intercontinental,ROUND TRIP,Business Class,06/03/2011,LONDON,MANILA,PHILIPPINES,CATHAY PACIFIC AIRWAYS
HMT,3544.17,Intercontinental,ROUND TRIP,Business Class,06/03/2011,LONDON,MANILA,PHILIPPINES,CATHAY PACIFIC AIRWAYS
HMT,1501.4,Intercontinental,ROUND TRIP,Economy,06/03/2011,MADRID,BUENOS AIRES,ARGENTINA,IBERIA
HMT,3797.77,Intercontinental,ROUND TRIP,Business Class,07/03/2011,LONDON,LIMA,PERU,IBERIA
HMT,113.76,Continental,ONE-WAY,Economy,09/03/2011,LONDON,LUXEMBOURG,LUXEMBOURG,AIR FRANCE
HMT,265.7,Continental,ONE-WAY,Economy,10/03/2011,LUXEMBOURG,LONDON,UNITED KINGDOM,LUXAIR
HMT,139.6,Domestic,ONE-WAY,Economy,10/03/2011,LONDON,EDINBURGH,UNITED KINGDOM,BMI
HMT,139.6,Domestic,ONE-WAY,Economy,10/03/2011,LONDON,EDINBURGH,UNITED KINGDOM,BMI
HMT,139.6,Domestic,ONE-WAY,Economy,10/03/2011,LONDON,EDINBURGH,UNITED KINGDOM,BMI
HMT,246.7,Domestic,ONE-WAY,Economy,11/03/2011,EDINBURGH,LONDON,UNITED KINGDOM,BRITISH AIRWAYS
HMT,246.7,Domestic,ONE-WAY,Economy,11/03/2011,EDINBURGH,LONDON,UNITED KINGDOM,BRITISH AIRWAYS
HMT,246.7,Domestic,ONE-WAY,Economy,11/03/2011,EDINBURGH,LONDON,UNITED KINGDOM,BRITISH AIRWAYS
HMT,519.5,Continental,ROUND TRIP,Economy,14/03/2011,LONDON,LUXEMBOURG,LUXEMBOURG,LUXAIR
HMT,22,Continental,ROUND TRIP,Economy,15/03/2011,LONDON,BRUSSELS,BELGIUM,EUROSTAR
HMT,-399,Continental,ROUND TRIP,Economy,15/03/2011,LONDON,LUXEMBOURG,LUXEMBOURG,LUXAIR
HMT,399,Continental,ROUND TRIP,Economy,15/03/2011,LONDON,LUXEMBOURG,LUXEMBOURG,LUXAIR
HMT,2895.47,Intercontinental,ROUND TRIP,Business Class,16/03/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,2693.7,Intercontinental,ROUND TRIP,Business Class,17/03/2011,LONDON,MIAMI,UNITED STATES,BRITISH AIRWAYS
HMT,137.5,Domestic,ROUND TRIP,Economy,17/03/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,90.76,Continental,ONE-WAY,Economy,17/03/2011,LONDON,LUXEMBOURG,LUXEMBOURG,AIR FRANCE
HMT,234,Continental,ROUND TRIP,Economy,17/03/2011,LONDON,LUXEMBOURG,LUXEMBOURG,LUXAIR
HMT,179.23,Continental,ROUND TRIP,Economy,17/03/2011,LONDON,BERLIN,GERMANY,LUFTHANSA GERMAN AIRLINES
HMT,802.6,Continental,ROUND TRIP,Economy,17/03/2011,LONDON,MADRID,SPAIN,BRITISH AIRWAYS
HMT,214.1,Continental,ONE-WAY,Economy,18/03/2011,LUXEMBOURG,LONDON,UNITED KINGDOM,BRITISH AIRWAYS
HMT,261.6,Continental,ROUND TRIP,Economy,18/03/2011,LONDON,BERLIN,GERMANY,BMI
HMT,1788.57,Intercontinental,ROUND TRIP,Business Class,19/03/2011,LONDON,BEIJING,CHINA,CHINA SOUTHERN AIRLINES
HMT,293.27,Intercontinental,ROUND TRIP,Economy,21/03/2011,LONDON,CASABLANCA,MOROCCO,ROYAL AIR MAROC
HMT,160,Domestic,ONE-WAY,Economy,22/03/2011,.UNITED KINGDOM,.UNITED KINGDOM,UNITED KINGDOM,SAS SCANDINAVIAN AIRLINES
HMT,2180.47,Intercontinental,ROUND TRIP,Business Class,23/03/2011,LONDON,DELHI,INDIA,VIRGIN ATLANTIC
HMT,2180.47,Intercontinental,ROUND TRIP,Business Class,23/03/2011,LONDON,DELHI,INDIA,VIRGIN ATLANTIC
HMT,1296.67,Intercontinental,ROUND TRIP,Premium Economy,23/03/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,1296.67,Intercontinental,ROUND TRIP,Premium Economy,23/03/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,711.6,Intercontinental,ORIGIN OPEN JAW,Premium Economy,24/03/2011,CASABLANCA,LONDON,UNITED KINGDOM,AIR FRANCE
HMT,477.5,Domestic,ROUND TRIP,Economy,24/03/2011,LONDON,EDINBURGH,UNITED KINGDOM,BRITISH AIRWAYS
HMT,248.59,Domestic,ROUND TRIP,Economy,24/03/2011,LONDON,BELFAST,UNITED KINGDOM,BMI
HMT,248.59,Domestic,ROUND TRIP,Economy,24/03/2011,LONDON,BELFAST,UNITED KINGDOM,BMI
HMT,102,Domestic,ONE-WAY,Economy,24/03/2011,.UNITED KINGDOM,.UNITED KINGDOM,UNITED KINGDOM,BRITISH AIRWAYS
HMT,174.44,Continental,ONE-WAY,Economy,24/03/2011,LONDON,BRUSSELS,BELGIUM,BRITISH AIRWAYS
HMT,-159.94,Continental,ONE-WAY,Economy,24/03/2011,LONDON,BRUSSELS,BELGIUM,BRITISH AIRWAYS
HMT,4279.17,Intercontinental,ROUND TRIP,Business Class,27/03/2011,LONDON,CAPE TOWN,SOUTH AFRICA,VIRGIN ATLANTIC
HMT,642.53,Continental,ROUND TRIP,Economy,27/03/2011,LONDON,FRANKFURT,GERMANY,LUFTHANSA GERMAN AIRLINES
HMT,203.43,Continental,ROUND TRIP,Economy,28/03/2011,LONDON,BERLIN,GERMANY,LUFTHANSA GERMAN AIRLINES
DMO,463.32,Intercontinental,ROUND TRIP,Economy,29/03/2011,LONDON,DUBAI,UNITED ARAB EMIRATES,EMIRATES
HMT,642.77,Intercontinental,ROUND TRIP,Economy,29/03/2011,LONDON,MONTREAL,CANADA,UNITED AIRLINES
HMT,454.47,Continental,ONE-WAY,Business Class,29/03/2011,LONDON,PARIS,FRANCE,BRITISH AIRWAYS
HMT,454.47,Continental,ONE-WAY,Business Class,29/03/2011,LONDON,PARIS,FRANCE,BRITISH AIRWAYS
HMT,313.63,Continental,ROUND TRIP,Economy,30/03/2011,LONDON,FRANKFURT,GERMANY,LUFTHANSA GERMAN AIRLINES
HMT,4561.9,Intercontinental,ONE-WAY,Business Class,30/03/2011,SHANGHAI,PARIS,FRANCE,AIR FRANCE
HMT,7,Domestic,ONE-WAY,Economy,30/03/2011,.UNITED KINGDOM,.UNITED KINGDOM,UNITED KINGDOM,CHINA EASTERN AIRLINES
HMT,7,Domestic,ONE-WAY,Economy,30/03/2011,.UNITED KINGDOM,.UNITED KINGDOM,UNITED KINGDOM,CHINA EASTERN AIRLINES
HMT,4561.9,Intercontinental,ONE-WAY,Business Class,30/03/2011,SHANGHAI,PARIS,FRANCE,AIR FRANCE
HMT,7,Domestic,ONE-WAY,Economy,30/03/2011,.UNITED KINGDOM,.UNITED KINGDOM,UNITED KINGDOM,CHINA EASTERN AIRLINES
HMT,4562.1,Intercontinental,ONE-WAY,Business Class,31/03/2011,SHANGHAI,PARIS,FRANCE,AIR FRANCE
HMT,605,Continental,ROUND TRIP,Economy,04/04/2011,LONDON,ROME,ITALY,BRITISH AIRWAYS
HMT,158.5,Continental,ONE-WAY,Economy,04/04/2011,WARSAW,LONDON,UNITED KINGDOM,BMI
HMT,213.3,Continental,ONE-WAY,Economy,04/04/2011,LONDON,WARSAW,POLAND,BRITISH AIRWAYS
HMT,213.3,Continental,ONE-WAY,Economy,04/04/2011,LONDON,WARSAW,POLAND,BRITISH AIRWAYS
HMT,158.5,Continental,ONE-WAY,Economy,04/04/2011,WARSAW,LONDON,UNITED KINGDOM,BMI
HMT,337.61,Continental,ROUND TRIP,Economy,04/04/2011,LONDON,ROTTERDAM,NETHERLANDS,AIR FRANCE
HMT,3745.73,Intercontinental,CIRCLE TRIP,Business Class,05/04/2011,LONDON,OTTAWA,CANADA,AIR CANADA
HMT,3745.73,Intercontinental,CIRCLE TRIP,Business Class,05/04/2011,LONDON,OTTAWA,CANADA,AIR CANADA
HMT,398.09,Continental,ROUND TRIP,Economy,05/04/2011,LONDON,BRUSSELS,BELGIUM,BMI
HMT,71.52,Continental,ONE-WAY,Economy,06/04/2011,LONDON,MADRID,SPAIN,EASYJET
HMT,77.74,Continental,ONE-WAY,Economy,06/04/2011,LONDON,MADRID,SPAIN,EASYJET
HMT,336.6,Continental,ORIGIN OPEN JAW,Economy,07/04/2011,MADRID,BUDAPEST,HUNGARY,MALEV
HMT,336.6,Continental,ORIGIN OPEN JAW,Economy,07/04/2011,MADRID,BUDAPEST,HUNGARY,MALEV
HMT,336.6,Continental,ORIGIN OPEN JAW,Economy,07/04/2011,MADRID,BUDAPEST,HUNGARY,MALEV
HMT,527.7,Continental,ROUND TRIP,Economy,07/04/2011,LONDON,BUDAPEST,HUNGARY,BRITISH AIRWAYS
HMT,393.8,Continental,ONE-WAY,Economy,07/04/2011,BRUSSELS,BUDAPEST,HUNGARY,BRUSSELS AIRLINES
HMT,1089.9,Continental,ROUND TRIP,Business Class,07/04/2011,LONDON,BUDAPEST,HUNGARY,BRITISH AIRWAYS
HMT,1089.9,Continental,ROUND TRIP,Business Class,07/04/2011,LONDON,BUDAPEST,HUNGARY,BRITISH AIRWAYS
HMT,666.3,Continental,ONE-WAY,Business Class,07/04/2011,LONDON,BUDAPEST,HUNGARY,BRITISH AIRWAYS
APA,157.84,Continental,ONE-WAY,Economy,08/04/2011,LONDON,DUBLIN,IRELAND,AER LINGUS
APA,285,Continental,ONE-WAY,Economy,08/04/2011,DUBLIN,LONDON,UNITED KINGDOM,AER LINGUS
HMT,1105.7,Continental,ORIGIN OPEN JAW,Business Class,08/04/2011,BUDAPEST,LIVERPOOL,UNITED KINGDOM,KLM-ROYAL DUTCH AIRLINES
HMT,3104.43,Intercontinental,ROUND TRIP,Premium Economy,09/04/2011,LONDON,BUENOS AIRES,ARGENTINA,BRITISH AIRWAYS
HMT,156.2,Continental,ONE-WAY,Economy,09/04/2011,BUDAPEST,LONDON,UNITED KINGDOM,MALEV
HMT,328.85,Continental,ROUND TRIP,Economy,10/04/2011,LONDON,LUXEMBOURG,LUXEMBOURG,LUXAIR
HMT,118.8,Continental,ROUND TRIP,Economy,11/04/2011,LONDON,PARIS,FRANCE,BRITISH AIRWAYS
HMT,1303.93,Intercontinental,ROUND TRIP,Premium Economy,12/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,277.2,Continental,ONE-WAY,Economy,12/04/2011,LUXEMBOURG,LONDON,UNITED KINGDOM,LUXAIR
HMT,2625.13,Intercontinental,ROUND TRIP,Business Class,12/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,182.13,Domestic,ONE-WAY,Economy,12/04/2011,INVERNESS,MANCHESTER,UNITED KINGDOM,FLYBE BRITISH EUROPEAN
HMT,1287.33,Intercontinental,TURNAROUND OPEN JAW,Premium Economy,13/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,2625.13,Intercontinental,ROUND TRIP,Business Class,13/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,2732.33,Intercontinental,ROUND TRIP,Business Class,13/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,2649.73,Intercontinental,ROUND TRIP,Business Class,14/04/2011,LONDON,WASHINGTON,UNITED STATES,VIRGIN ATLANTIC
HMT,228.2,Intercontinental,ONE-WAY,Economy,14/04/2011,WASHINGTON,NEW YORK,UNITED STATES,CONTINENTAL AIRLINES
HMT,3305.33,Intercontinental,ROUND TRIP,Business Class,14/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,2648.3,Intercontinental,ROUND TRIP,Business Class,14/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,2903.33,Intercontinental,ROUND TRIP,Business Class,14/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,2903.13,Intercontinental,ROUND TRIP,Business Class,14/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,2044.33,Intercontinental,ROUND TRIP,Business Class,14/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,757.23,Intercontinental,ONE-WAY,Economy,14/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,760.33,Intercontinental,ROUND TRIP,Economy,14/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,311.61,Continental,ROUND TRIP,Economy,15/04/2011,LONDON,AMSTERDAM,NETHERLANDS,KLM-ROYAL DUTCH AIRLINES
HMT,465.3,Intercontinental,ONE-WAY,Business Class,17/04/2011,LONDON,CASABLANCA,MOROCCO,ROYAL AIR MAROC
HMT,584.1,Intercontinental,ONE-WAY,Economy,17/04/2011,WASHINGTON,LONDON,UNITED KINGDOM,VIRGIN ATLANTIC
HMT,1307.33,Intercontinental,TURNAROUND OPEN JAW,Premium Economy,17/04/2011,LONDON,WASHINGTON,UNITED STATES,BRITISH AIRWAYS
HMT,1638.5,Intercontinental,TURNAROUND OPEN JAW,Economy,18/04/2011,LONDON,DELHI,INDIA,Kingfisher Airlines
HMT,475.53,Intercontinental,TURNAROUND OPEN JAW,Economy,18/04/2011,LONDON,CASABLANCA,MOROCCO,AIR FRANCE
HMT,397.9,Continental,TURNAROUND OPEN JAW,Economy,18/04/2011,LONDON,SOFIA,BULGARIA,BRITISH AIRWAYS
HMT,316,Domestic,ONE-WAY,Economy,18/04/2011,.UNITED KINGDOM,.UNITED KINGDOM,UNITED KINGDOM,BRITISH AIRWAYS
HMT,426.9,Continental,ROUND TRIP,Business Class,18/04/2011,LONDON,BRUSSELS,BELGIUM,BRITISH AIRWAYS
