OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,DA201J4225854648,Datacable,CHILDRENS SERVICES,-,,11/09/2015,,,,,"£65,411.00",,"DATACABLE LTD, Keighley Business Centre, South St, KEIGHLEY, BD21 1AG",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,DY6394422722534,Development of Training Aid (Video) - Domestic Violence,ENVIRONMENT & HOUSING,206-Books & Audio-Visual Materials,,25/09/2015,,,,,"£7,500.00",,"DYNAMIC BUSINESS SERVICES LTD, Unit 2c, Harewood Yard Harewood Estate, LEEDS, LS17 9LF",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,EN10894226168397,MONITORING & CONSULTANCY,ENVIRONMENT & HOUSING,114-Other,,14/09/2015,,,,,"£7,120.00",,"INITIAL PROJECTS LTD, Enterprise Drive, Four Ashes, WOLVERHAMPTON, WV10 7DE",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,EU52034227227082015,Events - Medical Provision,CITY DEVELOPMENT,277-Bought In Professional Services,,25/09/2015,,,,,"£9,972.68",,"EUROFIRE UK, 76 The Looms, NULL, PARKGATE, CH64 6RF",,d) Medium,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,EV02524224979631,"Hire, delivery and collection of black folding chairs and floor bars",CITY DEVELOPMENT,203-Operational Furniture And Equipment,,02/09/2015,,,,,"£5,463.75",,"EV-ENT HIRE, Unit 2 Maple Leaf Industrial Estate, Bloxwich Lane, WALSALL  WEST MIDLANDS, WS2 8TF",,c) Small,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,EV975942268670,"Barrier, Bike Racks and Tubes for the Sky Ride event",CITY DEVELOPMENT,203-Operational Furniture And Equipment,,21/09/2015,,,,,"£8,570.00",,"EVENTS SOLUTIONS LIMITED, Unit 22 Kiverton Park Industrial Estate, Tiverton Park Station Manor Road, SHEFFIELD, S26 6PB",,b) Micro,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,FA058X4227715103673,Cottingley Hill Crematoria,ENVIRONMENT & HOUSING,-,,30/09/2015,,,,,"£27,536.18",,"FACULTATIEVE TECHNOLOGIES LTD, Moor Road, NULL, LEEDS, LS10 2DD",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,FE01324225813143,"Supply of 11,000 glasses ",CITY DEVELOPMENT,267-Publication And Promotion,,11/09/2015,,,,,"£7,500.00",,"FESTIVAL GLASS LTD, Unit 6 Calderdale Business Park, Club Lane  Ovenden, HALIFAX, HX2 8DB",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,FI86704226517/08/2015 FAMILY,Community Learning - Mad Science,CHILDRENS SERVICES,276-College Contracts,,18/09/2015,,,,,"£22,290.00",,"FIRST PRODIGIES LIMITED, Unit 3/5 Unity Business Centre, Roundhay Road, LEEDS, LS7 1AB",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,FR01384227011141,Supply of Generator,CITY DEVELOPMENT,315-Hire Of Movable Plant & Machinery,,23/09/2015,,,,,"£5,005.00",,"FTS EVENT POWER LTD, 17 Henconner Avenue, Chapel Allerton, LEEDS, LS7 3NW",,b) Micro,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,GE983542251GEN29166,ICT Agency Fees,CENTRAL & CORPORATE,8-Agency Staff,,04/09/2015,,,,,"£26,453.00",,"TRIAD RESOURCING, 37 Sunningdale House, Caldecotte Business Park, MILTON KEYNES, MK7 8LF",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,GL03164225716-3-1126/1,Kitchen Ventilation Works,CHILDRENS SERVICES,-,,10/09/2015,,,,,"£57,668.50",,"GLIDEFIELD LTD, ",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,GR372742277S7689,Core Funding Scheme,ENVIRONMENT & HOUSING,227-Non-Recurring Grants,,30/09/2015,,,,,"£9,839.75",,"GROUNDWORK LEEDS, Environmental & Business Services, Merlyn-Rees Avenue, MORLEY  LEEDS, LS27 9SL",,d) Medium,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,HE3844422511875554012,Specialist Repairs & Printing,CENTRAL & CORPORATE,203-Operational Furniture And Equipment,,04/09/2015,,,,,"£12,595.73",,"HEIDELBERG GRAPHIC EQUIPMENT LTD, 69/76 High Street, Brentford, MIDDLESEX, TW8 0AA",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,JO1731422713036969,Advertising,CENTRAL & CORPORATE,80-Recruitment Advertising,,24/09/2015,,,,,"£15,786.90",,"JOHNSTON PUBLISHING, Po Box 250, 26 Whitehall Road, LEEDS, LS12 9EF",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,LE456842254SIN011834,ENVIRONMENTAL CHAMPIONS PROJECT,ENVIRONMENT & HOUSING,267-Publication And Promotion,,07/09/2015,,,,,"£5,711.35",,"LEEDS UNIVERSITY UNION, P O Box 157, NULL, LEEDS, LS1 1UH",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,LE6969422566073377,Formal analysis of Independent Travel Training Programme,CHILDRENS SERVICES,265-Other Hired And Contracted Services,,09/09/2015,,,,,"£7,331.00",,"LEEDS BECKETT UNIVERSITY, Cashiers Office  Room 202, Queen Square House  Woodhouse Lane, LEEDS, LS2 8NU",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,ME7650422502015/0758/4,Bridgewater Place Weather Forecasting,CITY DEVELOPMENT,259-Consultancy Services,,03/09/2015,,,,,"£8,318.00",,"MET OFFICE, Fitzroy Road, NULL, EXETER, EX1 3PB",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,NH0348422647015600331,Eden Brown Agency Fees,ADULT SOCIAL CARE,277-Bought In Professional Services,,17/09/2015,,,,,"£28,381.50",,"NHS LEEDS SOUTH AND EAST CCG, 03g Receivables L539 Shared Busi Service, Phoenix House Topcliffe Lane, WAKEFIELD, WF3 1WE",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,OV179X42277000394512,Clydes Biomass Boiler Specific,ENVIRONMENT & HOUSING,-,,30/09/2015,,,,,"£10,608.20",,"OVE ARUP & PARTNERS LTD, Central Square, Forth Street, NEWCASTLE UPON TYNE, NE1 3PL",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,PE069042277211382,Learning Improvement,CHILDRENS SERVICES,277-Bought In Professional Services,,30/09/2015,,,,,"£28,025.00",,"PERMANENT FUTURES LTD, 4 Feast Field, Horsforth, LEEDS, LS18 4TJ",,c) Small,,,Unresolved
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,PI3670422516195495,Legal Fees,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,04/09/2015,,,,,"£6,650.00",,"PINSENT MASONS, 1 Park Row, NULL, LEEDS, LS1 5AB",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,PO472X42262915053747,Shade and Shelter & barrier matting,CHILDRENS SERVICES,-,,15/09/2015,,,,,"£39,622.24",,"PORTAKABIN LTD, New Lane, Huntington, YORK, YO32 9PT",,e) Large,,,Unresolved
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,PR316442251INV10184L,"Install, hire and de-rig Millenium Square House PA System",CITY DEVELOPMENT,265-Other Hired And Contracted Services,,04/09/2015,,,,,"£19,770.00",,"3D PRODUCTIONS LTD, Unit 8 Lotherton Way, Garforth, LEEDS  WEST YORKSHIRE, LS25 2JY",,b) Micro,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,RA206142264RW3551,Replacement windows,ENVIRONMENT & HOUSING,-,,17/09/2015,,,,,"£10,600.00",,"RAINBOW (LEEDS) LTD, 185 Butcher Hill, Moor Grange, LEEDS, LS16 5DA",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,RD02034226115110,ALTERATION TO CLOAKROOM,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,14/09/2015,,,,,"£11,296.29",,"RDF BUILDING SERVICES LTD, 7 Wortley Moor Road, NULL, LEEDS, LS12 4JF",,c) Small,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,RO110242257SIMI080604,Residential Care,CHILDRENS SERVICES,507-General External Residential Placements,,10/09/2015,,,,,"£28,504.50",,"ROSEDALE CHILDRENS SERVICES LTD, 6th Floor Metropolitan House, 3 Darkes Lane, POTTERS BAR, EN6 1AG",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,RO33304227033914,Mabgate Resource Centre,CENTRAL & CORPORATE,360-Private Hire,,23/09/2015,,,,,"£5,937.50",,"ROLLINSON SAFEWAY LTD, Rsl House  65 Hall Lane, Armley, LEEDS, LS12 1PQ",,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,SE1683422561022A,Decorating Supplies,ENVIRONMENT & HOUSING,234-Recycling & Reuse Charges,,09/09/2015,,,,,"£8,408.00",,"SEAGULLS RE-USE LTD, Units 3-4 Aire Place Mills, Kirrkstall Road, LEEDS, LS3 1JL",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,SM92924225036608,Playground Equipment,ENVIRONMENT & HOUSING,203-Operational Furniture And Equipment,,03/09/2015,,,,,"£16,875.63",,"HAGS-SMP LTD, Waterfront Complex, Shipyard Ind Estate, SELBY, YO8 8AP",,e) Large,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,SO023442270OP/I043966,Specialist Furniture,ADULT SOCIAL CARE,203-Operational Furniture And Equipment,,23/09/2015,,,,,"£6,235.00",,"SOLK FURNITURE HEALTHCARE LTD, Brandon Street, Armley Road, LEEDS, LS12 2ED",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,SO226442262S0011115,BRITISH ART SHOW HIRE FEE,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,15/09/2015,,,,,"£25,000.00",,"SOUTHBANK CENTRE, Belvedere Road, NULL, LONDON, SE1 8XX",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,ST1631422701283,Galvanised 1100 Litre Bins,ENVIRONMENT & HOUSING,-,,23/09/2015,,,,,"£7,185.00",,"STORM ENVIRONMENTAL LTD, P.O. Box 5616, NULL, KIDDERMINSTER, DY10 9BH",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,ST2679422492493,Refuse Collection,ENVIRONMENT & HOUSING,234-Recycling & Reuse Charges,,02/09/2015,,,,,"£54,938.33",,"SJB RECYCLING LIMITED, Mount View, Standard Way, NORTHALLERTON, DL6 2YD",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,TN297242276IN18PS15004307,Postage,CENTRAL & CORPORATE,212-Postages,,29/09/2015,,,,,"£5,728.12",,"WHISTL NORTH LIMITED, 1 Globeside Business Park, Fieldhouse Lane, MARLOW, SL7 1HY",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,TR0716422657417,Arboricultural works,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,18/09/2015,,,,,"£8,418.50",,"TREE SAW, Unit 2a Cross Park House  Low Green, Rawdon, LEEDS, LS19 6HB",,c) Small,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,WA08074227591309472151,Secondment of employee,CENTRAL & CORP FUNC ADMINIST (NON LCC),265-Other Hired And Contracted Services,,28/09/2015,,,,,"£21,717.19",,"WAKEFIELD COUNCIL, County Hall, Bond Street, WAKEFIELD, WF1 9AJ",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,WY375342251876,Residents Association and Community groups,STRATEGIC LANDLORD,265-Other Hired And Contracted Services,,04/09/2015,,,,,"£8,648.00",,"WYCAS, Stringer House, 34 Lupton Street, HUNSLET  LEEDS, LS10 2QW",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,ZE168542249JUL010,Further Development to This Girl Can,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,02/09/2015,,,,,"£5,000.00",,"ZEAL MEDIA LTD, Tower Works, Globe Road, LEEDS, LS11 5QG",,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/09/2015,ZI047542271SIN033234,Rental of Ice Machine,CITY DEVELOPMENT,102-Plant and Machinery,,24/09/2015,,,,,"£8,682.00",,"ZIEGRA ICE MACHINES UK LTD, Unit 2 Phoenix Court  Hammond Avenue, Whitehill Industrial Estate, STOCKPORT, SK4 1PQ",,Other/Not known,,,Other
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
