Organisation,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale,20/06/2014,ACIES CIVIL AND STRUCTURAL,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
Rochdale,11/06/2014,ACME REFRIDGERATION,Catering,-,HEYBROOK,£631.00
Rochdale,24/06/2014,ADAPT BUILDING SERVICES LTD,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£2,790.00"
Rochdale,09/06/2014,ADOPTION MATTERS,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,£750.00
Rochdale,09/06/2014,ADOPTION MATTERS,Human Resources,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,"£18,000.00"
Rochdale,04/06/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£11,071.34"
Rochdale,04/06/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£8,852.67"
Rochdale,04/06/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£13,728.66"
Rochdale,05/06/2014,AECOM PROFESSIONAL SERVICES LTD,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
Rochdale,20/06/2014,AECOM PROFESSIONAL SERVICES LTD,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
Rochdale,03/06/2014,AFTER ADOPTION,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,"£9,000.00"
Rochdale,17/06/2014,AGILISYS LIMITED,Information Communication Technology,-,AGILISYS - CONTACT CENTRE,"£92,154.55"
Rochdale,17/06/2014,AGILISYS LIMITED,Information Communication Technology,-,AGILISYS - CONTACT CENTRE,"£92,154.55"
Rochdale,17/06/2014,AGILISYS LIMITED,Information Communication Technology,-,AGILISYS - CONTACT CENTRE,"£130,403.00"
Rochdale,18/06/2014,AGILISYS LIMITED,Information Communication Technology,-,AGILISYS - CONTACT CENTRE,"£6,458.87"
Rochdale,18/06/2014,AGILISYS LIMITED,Information Communication Technology,-,AGILISYS - CONTACT CENTRE,"£6,557.50"
Rochdale,18/06/2014,AGILISYS LIMITED,Information Communication Technology,-,AGILISYS - CONTACT CENTRE,"£6,458.87"
Rochdale,17/06/2014,AGILISYS LIMITED,Information Communication Technology,-,AGILISYS - ICT,"£139,017.00"
Rochdale,18/06/2014,AGILISYS LIMITED,Information Communication Technology,-,AGILISYS - ICT,"£6,458.88"
Rochdale,18/06/2014,AGILISYS LIMITED,Information Communication Technology,-,AGILISYS - ICT,"£6,557.50"
Rochdale,18/06/2014,AGILISYS LIMITED,Information Communication Technology,-,AGILISYS - ICT,"£6,458.88"
Rochdale,26/06/2014,ALCO MINI TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,007.60"
Rochdale,06/06/2014,ALIGNED ASSETS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,£850.00
Rochdale,02/06/2014,ALKRINGTON PRE SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£720.00
Rochdale,17/06/2014,ALKRINGTON PRE SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£9,722.88"
Rochdale,02/06/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£1,658.25"
Rochdale,06/06/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£1,959.75"
Rochdale,06/06/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£10,823.15"
Rochdale,13/06/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£1,507.50"
Rochdale,16/06/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,428.49"
Rochdale,20/06/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£1,055.25"
Rochdale,20/06/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,405.15"
Rochdale,27/06/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,176.17"
Rochdale,18/06/2014,ALLSTAR BUSINESS SOLUTIONS LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£532.44
Rochdale,10/06/2014,ALLSTAR BUSINESS SOLUTIONS LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,£501.42
Rochdale,18/06/2014,ALLSTAR BUSINESS SOLUTIONS LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,£724.65
Rochdale,17/06/2014,ALTERIAN TECHNOLOGY LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£8,126.06"
Rochdale,13/06/2014,AMBEROL LIMITED,Highway Equipment & Materials ,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,£751.76
Rochdale,04/06/2014,ANDY HARROP,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,792.00"
Rochdale,12/06/2014,ANDYS MINIBUS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£600.00
Rochdale,20/06/2014,ANDYS MINIBUS,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£600.00
Rochdale,05/06/2014,ANGLIA SIGN CASTING COMPANY LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,£612.56
Rochdale,09/06/2014,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,£909.09
Rochdale,09/06/2014,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,£756.20
Rochdale,09/06/2014,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,£875.60
Rochdale,12/06/2014,ANTHONY COLLINS SOLICITORS LLP,Consultancy,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£1,054.50"
Rochdale,12/06/2014,AQUABLAST SERVICES LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,£645.00
Rochdale,18/06/2014,ARCO GROUP LIMITED,Clothing,PROPERTY AND HIGHWAYS,MANAGED PROPERTY SERVICE,"£1,611.96"
Rochdale,23/06/2014,ARROW BUSINESS COMMUNICATIONS LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,GLOBE HOUSE,"£2,399.76"
Rochdale,23/06/2014,ARROW BUSINESS COMMUNICATIONS LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,LOCK 50,£663.42
Rochdale,05/06/2014,ASH TIMBER LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£661.80
Rochdale,12/06/2014,ASHWORTH STREET SURGERY,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£3,206.16"
Rochdale,02/06/2014,ASHWORTH VIEW NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,£534.60
Rochdale,02/06/2014,ASHWORTH VIEW NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,£766.80
Rochdale,17/06/2014,ASHWORTH VIEW NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,£511.20
Rochdale,09/06/2014,ASIAN LEADER,Facilities & Management Services,FINANCE SERVICES,PR MEDIA AND MARKETING,£500.00
Rochdale,09/06/2014,ASSOCIATED COMPUTER SUPPLIES,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,PEOPLES NETWORK,£538.50
Rochdale,05/06/2014,ASSOCIATION  PUBLIC SERVICE EXCELLENCE,Financial Services,ECONOMY AND ENVIRONMENT,FACILITIES MANAGEMENT ADMIN,"£3,524.00"
Rochdale,04/06/2014,ATG ACCESS LTD,Facilities & Management Services,PROPERTY AND HIGHWAYS,HEYWOOD RISING BOLLARD,"£7,800.00"
Rochdale,26/06/2014,AUDREY WILLIAMSON,Unclassifiable,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN BOARD,"£1,686.56"
Rochdale,17/06/2014,AUNT MARYS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£1,291.95"
Rochdale,17/06/2014,AUNT MARYS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£6,385.68"
Rochdale,19/06/2014,AVANTI PROMOTIONS,Facilities & Management Services,PROPERTY AND HIGHWAYS,ROAD SAFETY,"£1,614.00"
Rochdale,13/06/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£3,150.00"
Rochdale,18/06/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£3,500.00"
Rochdale,23/06/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,750.00"
Rochdale,10/06/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£656,778.03"
Rochdale,16/06/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£2,034.06"
Rochdale,16/06/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£16,431.60"
Rochdale,19/06/2014,BALMER`S GARDEN MACHINERY CENTRE,Horticultural,-,GROUNDS MTCE EQUIPMENT,"£6,000.00"
Rochdale,16/06/2014,BAMFORD ACADEMY,Financial Services,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,£982.44
Rochdale,02/06/2014,BAMFORD PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£780.00
Rochdale,17/06/2014,BAMFORD PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£6,568.85"
Rochdale,20/06/2014,BARNARDOS NORTH WEST,Financial Services,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,£808.20
Rochdale,01/06/2014,BARNARDOS NORTH WEST,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£5,832.17"
Rochdale,01/06/2014,BARNARDOS NORTH WEST,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£2,786.25"
Rochdale,01/06/2014,BARNARDOS NORTH WEST,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£1,738.67"
Rochdale,16/06/2014,BARRATT AND HUGHES FLOORING,Building Construction Materials,EARLY HELP AND SCHOOLS,ASBESTOS REMOVAL PROGRAMME,"£12,777.00"
Rochdale,17/06/2014,BEECH HOUSE SCHOOL LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£2,227.50"
Rochdale,17/06/2014,BEECH HOUSE SCHOOL LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£6,193.44"
Rochdale,09/06/2014,BELFIELD COMMUNITY PRIMARY SCHOOL,Social Community Care Supplies & Services,-,BUILDINGS PROGRAMME/URGENT H&S CONTINGEN,"£40,000.00"
Rochdale,09/06/2014,BELLYFLOP TV,Facilities & Management Services,-,SCRUTINY & PERFORMANCE,"£1,050.00"
Rochdale,06/06/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£526.03
Rochdale,16/06/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£568.67
Rochdale,23/06/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,153.65"
Rochdale,19/06/2014,BEVAN BRITTAN LLP,Consultancy,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),£548.80
Rochdale,25/06/2014,BEVAN BRITTAN LLP,Consultancy,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),£788.40
Rochdale,19/06/2014,BEXAN LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,SCHOOLS SLA 12/13,"£1,729.60"
Rochdale,16/06/2014,BGS LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,INNER RING RD LOCALISED FEASIBILITY,"£4,861.67"
Rochdale,12/06/2014,BIG LIFE CENTRES,Healthcare,-,OTHER PUBLIC HEALTH COMMISSIONING,"£2,164.00"
Rochdale,16/06/2014,BIG LIFE CENTRES,Healthcare,PUBLIC HEALTH,OTHER PUBLIC HEALTH COMMISSIONING,"£130,189.00"
Rochdale,17/06/2014,BOARSHAW PHARMACY LTD,Unclassifiable,PUBLIC HEALTH,STOP SMOKING,"£4,218.17"
Rochdale,16/06/2014,BOLTON NHS FOUNDATION TRUST,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£1,692.00"
Rochdale,25/06/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,GREENBANK,£501.08
Rochdale,25/06/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,GREENBANK,£507.30
Rochdale,18/06/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,LITTLEBOROUGH,£519.77
Rochdale,25/06/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,ROCHDALE TOWN HALL CROFTERS,£539.27
Rochdale,10/06/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,SACRED HEART,£525.35
Rochdale,23/06/2014,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,£511.67
Rochdale,27/06/2014,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,£713.04
Rochdale,06/06/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,920.97"
Rochdale,16/06/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,057.61"
Rochdale,20/06/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,489.80"
Rochdale,27/06/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£12,045.41"
Rochdale,18/06/2014,BREEZE LIMITED,Information Communication Technology,FINANCE SERVICES,TECHNICAL SUPPORT,"£5,000.00"
Rochdale,13/06/2014,BRENTWOOD,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,MIDDLETON DAY CENTRE,"£20,875.00"
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,-,GLOBE HOUSE,"£3,285.33"
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,"£1,275.14"
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,CHILDREN’S SOCIAL CARE,TOWNHEAD,£609.05
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,EARLY HELP AND SCHOOLS,BRIDGEFOLD LODGE,£657.26
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,EARLY HELP AND SCHOOLS,LANGLEY CHILDRENS CENTRE,£512.80
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,£510.53
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,"£1,314.21"
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£768.63
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,COUNTRYSIDE OPERATIONS,"£1,165.74"
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"£1,779.47"
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,GREAT HOWARTH HOSTEL,£602.17
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,LEOPOLD COURT,£643.47
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS HEYWOOD,£559.17
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,"£1,410.19"
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,£926.43
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,£573.83
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,HANSON CLOSE INDUSTRIAL ESTATE,£665.45
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,MANAGEMENT OF PROPERTIES,£513.36
Rochdale,20/06/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,PHOENIX CLOSE IND ESTATE - MICRO,£963.70
Rochdale,10/06/2014,BRITISH GAS BUSINESS (GAS),Utilities,-,HIA,"£1,022.12"
Rochdale,19/06/2014,BRITISH YOUTH COUNCIL,Public Bodies,EARLY HELP AND SCHOOLS,HOLIDAY ACTIVITIES - CENTRAL,£640.00
Rochdale,09/06/2014,BROADWAY BUILDING CONTRACTORS(OLDHAM)LTD,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£3,895.00"
Rochdale,13/06/2014,BTW SHIELLS,Facilities & Management Services,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£6,501.79"
Rochdale,17/06/2014,BUILDING BLOCKS DAY NURSERY NW LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£10,818.00"
Rochdale,17/06/2014,BUILDING BLOCKS DAY NURSERY NW LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£5,945.40"
Rochdale,19/06/2014,BUREAU VAN DIJK ELECTRONIC PUBLISHING,Financial Services,ECONOMY AND ENVIRONMENT,BUSINESS SUPPORT (S106 158K),"£8,000.00"
Rochdale,17/06/2014,BURNSIDE PRE-SCHOOL ACCOUNT,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£2,732.40"
Rochdale,02/06/2014,BURNSIDE PRE-SCHOOL ACCOUNT,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£660.00
Rochdale,17/06/2014,BURNSIDE PRE-SCHOOL ACCOUNT,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£7,231.68"
Rochdale,25/06/2014,BURY COLLEGE,Human Resources,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£885.00
Rochdale,17/06/2014,BUTTERCUPS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£4,380.75"
Rochdale,17/06/2014,BUTTERCUPS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£10,970.40"
Rochdale,17/06/2014,CABBAGE PATCH PRESCHOOL,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£3,504.60"
Rochdale,17/06/2014,CABBAGE PATCH PRESCHOOL,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£6,587.08"
Rochdale,17/06/2014,CABLE & WIRELESS,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£757.59
Rochdale,23/06/2014,CABLE & WIRELESS,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£999.00
Rochdale,12/06/2014,CALIBRATION & CONSULTANCY (UK) LTD,Environmental Services,ECONOMY AND ENVIRONMENT,FLEET MAINTENANCE,£942.00
Rochdale,13/06/2014,CANAL & RIVER TRUST,Financial Services,PROPERTY AND HIGHWAYS,UNCLASS ROADS HIGHWAY DRAINAGE,"£13,434.47"
Rochdale,24/06/2014,CAPITA BUSINESS SERVICES LIMITED,Human Resources,FINANCE SERVICES,TECHNICAL SUPPORT,"£2,007.00"
Rochdale,12/06/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,764.00"
Rochdale,12/06/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,296.00"
Rochdale,12/06/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,152.00"
Rochdale,12/06/2014,CAR 2000 (HEYWOOD) LLP,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£560.00
Rochdale,19/06/2014,CARDINAL LANGLEY R C HIGH SCHOOL,Financial Services,-,GRADUATES AND APPRENTICES,"£1,439.00"
Rochdale,02/06/2014,CARDINAL LANGLEY R C HIGH SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,6TH FORM FUNDING,"£2,000.00"
Rochdale,02/06/2014,CARDINAL LANGLEY R C HIGH SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,6TH FORM FUNDING,"£52,930.00"
Rochdale,06/06/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£8,696.32"
Rochdale,16/06/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£8,326.86"
Rochdale,20/06/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£8,499.20"
Rochdale,27/06/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£8,327.47"
Rochdale,06/06/2014,CARE TODAY CHILDRENS SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£7,200.00"
Rochdale,06/06/2014,CARE TODAY CHILDRENS SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£12,377.99"
