ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,04/04/2017,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,04/04/2017,2385.19,CAPITAL SALARIES,V001104224
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,JMHA,04/04/2017,7500,PROPERTY REFURBISHMENT (HOUSING),V001104225
ROCHDALE BOROUGH COUNCIL,03/04/2017,PROPERTY AND HIGHWAYS,F BRIERLEY & SON LIMITED,03/04/2017,630,TRANSACTIONS-EXPENDITURE,V001104425
ROCHDALE BOROUGH COUNCIL,03/04/2017,PROPERTY AND HIGHWAYS,F BRIERLEY & SON LIMITED,03/04/2017,620,TRANSACTIONS-EXPENDITURE,V001104426
ROCHDALE BOROUGH COUNCIL,03/04/2017,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,03/04/2017,1716,CENTRAL HEATING,V001104448
ROCHDALE BOROUGH COUNCIL,03/04/2017,PROPERTY AND HIGHWAYS,PRIME ROOFING ROCHDALE LIMITED,03/04/2017,560,TRANSACTIONS-EXPENDITURE,V001104451
ROCHDALE BOROUGH COUNCIL,11/04/2017,EARLY HELP AND SCHOOLS,LOCAL PARTNERSHIP,11/04/2017,3225,ACTIVITIES,V001104477
ROCHDALE BOROUGH COUNCIL,04/04/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,04/04/2017,678,TEACHERS - BASIC,V001104481
ROCHDALE BOROUGH COUNCIL,13/04/2017,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,13/04/2017,11592.31,CONSULTANTS FEES,V001104535
ROCHDALE BOROUGH COUNCIL,24/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,ICCM,24/04/2017,1850,EQUIPMENT - GENERAL,V001104593
ROCHDALE BOROUGH COUNCIL,07/04/2017,PHYSICAL DIS & OLDER PEOPLE,THE PENNINE ACUTE HOSPITALS NHS TRUST,07/04/2017,3088.31,AGENCY STAFF,V001104600
ROCHDALE BOROUGH COUNCIL,07/04/2017,EARLY HELP AND SCHOOLS,NEW BRIDGE  SCHOOL,07/04/2017,5150.25,OTHER EST - SEN PROVISION,V001104605
ROCHDALE BOROUGH COUNCIL,04/04/2017,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,04/04/2017,4753.66,OTHER LA`S - SEN PROVISION,V001104608
ROCHDALE BOROUGH COUNCIL,07/04/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,07/04/2017,1788.2,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001104811
ROCHDALE BOROUGH COUNCIL,11/04/2017,FINANCE SERVICES,CATS SOLUTIONS,11/04/2017,650,PRINTING & STATIONERY,V001104853
ROCHDALE BOROUGH COUNCIL,04/04/2017,PHYSICAL DIS & OLDER PEOPLE,AUTUMN UK LIMITED,04/04/2017,-3614.62,MINOR BUILDING WORKS,V001104854
ROCHDALE BOROUGH COUNCIL,04/04/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,04/04/2017,4348.08,HEALTH AUTH - SERVICE LEVEL AGREEMENT,V001105000
ROCHDALE BOROUGH COUNCIL,04/04/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,04/04/2017,2932,TEACHERS - BASIC,V001105004
ROCHDALE BOROUGH COUNCIL,07/04/2017,EARLY HELP AND SCHOOLS,PARENTS PLUS LTD,07/04/2017,11335,TRAINING,V001105082
ROCHDALE BOROUGH COUNCIL,13/04/2017,EARLY HELP AND SCHOOLS,ROCHDALE WOMENS WELFARE ASSOCIATION,13/04/2017,6454.8,ACTIVITIES,V001105083
ROCHDALE BOROUGH COUNCIL,11/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,11/04/2017,47890.08,AGILISYS CONTRACT,V001105136
ROCHDALE BOROUGH COUNCIL,11/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,11/04/2017,48775.23,AGILISYS CONTRACT,V001105136
ROCHDALE BOROUGH COUNCIL,11/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,11/04/2017,3946.07,AGILISYS CONTRACT,V001105137
ROCHDALE BOROUGH COUNCIL,12/04/2017,ECONOMY DIRECTORATE,MOOREND DEVELOPMENT TRUST LIMITED,12/04/2017,500,EXPENSES - GENERAL,V001107062
ROCHDALE BOROUGH COUNCIL,13/04/2017,EARLY HELP AND SCHOOLS,REAL TRUST,13/04/2017,1200,TRAINING-NON QUALIFICATION,V001107087
ROCHDALE BOROUGH COUNCIL,11/04/2017,EARLY HELP AND SCHOOLS,BARNARDOS NW,11/04/2017,796,ACTIVITIES,V001107173
ROCHDALE BOROUGH COUNCIL,13/04/2017,ECONOMY DIRECTORATE,BURY MBC,13/04/2017,1480.4,CONSULTANT FEES,V001107175
ROCHDALE BOROUGH COUNCIL,12/04/2017,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,12/04/2017,3510,ACTIVITIES,V001107600
ROCHDALE BOROUGH COUNCIL,12/04/2017,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,12/04/2017,888.75,ACTIVITIES,V001107601
ROCHDALE BOROUGH COUNCIL,13/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,BRENTWOOD,13/04/2017,16425,GRANTS TO THE VOLUNTARY SECTOR,V001107648
ROCHDALE BOROUGH COUNCIL,04/04/2017,FINANCE SERVICES,NORTHGATE PUBLIC SERVICES (UK) LTD,04/04/2017,1361.6,EXTERNAL CONTRACTED PRINTING,V001107665
ROCHDALE BOROUGH COUNCIL,04/04/2017,EARLY HELP AND SCHOOLS,SECURITY PLUS LIMITED,04/04/2017,2093,TRANSACTIONS-EXPENDITURE,V001107692
ROCHDALE BOROUGH COUNCIL,07/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,CIVICA UK LIMITED,07/04/2017,42058.17,SOFTWARE,V001107703
ROCHDALE BOROUGH COUNCIL,20/04/2017,LEARNING DIS & MENTAL HEALTH,CRESTA WORLD TRAVEL LIMITED,20/04/2017,-922.5,STAFF TRAVELLING EXPENSES,V001107721
ROCHDALE BOROUGH COUNCIL,04/04/2017,EARLY HELP AND SCHOOLS,RELATE GREATER MANCHESTER NORTH,04/04/2017,750,ACTIVITIES,V001107727
ROCHDALE BOROUGH COUNCIL,18/04/2017,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),18/04/2017,4000,ACTIVITIES,V001107747
ROCHDALE BOROUGH COUNCIL,13/04/2017,CHILDREN’S SOCIAL CARE,GLOUCESTERSHIRE COUNTY COUNCIL,13/04/2017,14330,ADOPTION PAYMENTS,V001107750
ROCHDALE BOROUGH COUNCIL,13/04/2017,PHYSICAL DIS & OLDER PEOPLE,THE PENNINE ACUTE HOSPITALS NHS TRUST,13/04/2017,2500,SERVICE LEVEL AGREEMENTS,V001107753
ROCHDALE BOROUGH COUNCIL,03/04/2017,PHYSICAL DIS & OLDER PEOPLE,K P DODD CONSTRUCTION LIMITED,03/04/2017,7000,MINOR BUILDING WORKS,V001107756
ROCHDALE BOROUGH COUNCIL,12/04/2017,EARLY HELP AND SCHOOLS,CAPITA BUSINESS SERVICES LIMITED,12/04/2017,6000,PURCHASE OF ICT SOFTWARE,V001107764
ROCHDALE BOROUGH COUNCIL,03/04/2017,EARLY HELP AND SCHOOLS,F S MOULT & SON,03/04/2017,740,REPAIRS & ALTS OF BUILDINGS,V001107812
ROCHDALE BOROUGH COUNCIL,18/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BOROUGHWIDE HOUSING,18/04/2017,8900,CONTRACTED SERVICES,V001107839
ROCHDALE BOROUGH COUNCIL,18/04/2017,EARLY HELP AND SCHOOLS,POSITIVE STEPS,18/04/2017,44100,EXTERNALLY MANAGED FUNDS,V001107842
ROCHDALE BOROUGH COUNCIL,06/04/2017,EARLY HELP AND SCHOOLS,GROSVENOR FACILITIES MANAGEMENT LTD,06/04/2017,3285,ROOM HIRE,V001107896
ROCHDALE BOROUGH COUNCIL,11/04/2017,FINANCE SERVICES,CATS SOLUTIONS,11/04/2017,4132,PRINTING & STATIONERY,V001107910
ROCHDALE BOROUGH COUNCIL,04/04/2017,PHYSICAL DIS & OLDER PEOPLE,AUTUMN UK LIMITED,04/04/2017,3614.62,MINOR BUILDING WORKS,V001107913
ROCHDALE BOROUGH COUNCIL,12/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,THE MANCHESTER COLLEGE,12/04/2017,856,TRAINING,V001107914
ROCHDALE BOROUGH COUNCIL,13/04/2017,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,13/04/2017,590,TRANSACTIONS-EXPENDITURE,V001108069
ROCHDALE BOROUGH COUNCIL,07/04/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,07/04/2017,13878.36,LEGAL SERVICES EXTERNAL,V001108126
ROCHDALE BOROUGH COUNCIL,03/04/2017,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,03/04/2017,-535.57,TRANSACTIONS-EXPENDITURE,V001108158
ROCHDALE BOROUGH COUNCIL,20/04/2017,EARLY HELP AND SCHOOLS,NORTH WEST AMBULANCE SERVICE NHS TRUST CHARITABLE,20/04/2017,800,SPECIFIED MAINTENANCE,V001108258
ROCHDALE BOROUGH COUNCIL,20/04/2017,PUBLIC HEALTH,SALFORD CITY COUNCIL,20/04/2017,5250,AGMA,V001108608
ROCHDALE BOROUGH COUNCIL,13/04/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,13/04/2017,2932,TEACHERS - BASIC,V001108618
ROCHDALE BOROUGH COUNCIL,13/04/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,13/04/2017,678,TEACHERS - BASIC,V001108620
ROCHDALE BOROUGH COUNCIL,13/04/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,13/04/2017,4348.08,HEALTH AUTH - SERVICE LEVEL AGREEMENT,V001108621
ROCHDALE BOROUGH COUNCIL,13/04/2017,CHILDREN’S SOCIAL CARE,STEPPING STONE PROJECT ROCHDALE LTD,13/04/2017,2820.28,YOUNG PEOPLES RENTS,V001108696
ROCHDALE BOROUGH COUNCIL,13/04/2017,CHILDREN’S SOCIAL CARE,STEPPING STONE PROJECT ROCHDALE LTD,13/04/2017,1471.48,YOUNG PEOPLES RENTS,V001108697
ROCHDALE BOROUGH COUNCIL,13/04/2017,CHILDREN’S SOCIAL CARE,STEPPING STONE PROJECT ROCHDALE LTD,13/04/2017,1675.8,YOUNG PEOPLES RENTS,V001108698
ROCHDALE BOROUGH COUNCIL,04/04/2017,FINANCE SERVICES,BREEZE LIMITED,04/04/2017,4658.44,POSTAGE,V001108710
ROCHDALE BOROUGH COUNCIL,25/04/2017,ECONOMY DIRECTORATE,CHUBB FIRE AND SECURITY LIMITED,25/04/2017,910.55,SECURITY,V001108757
ROCHDALE BOROUGH COUNCIL,04/04/2017,PROPERTY AND HIGHWAYS,MAPCHESTER LIMITED,04/04/2017,1000,TRAINING,V001108771
ROCHDALE BOROUGH COUNCIL,19/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,BLACKPOOL  COUNCIL,19/04/2017,72900,SOFTWARE,V001108787
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,MODIS,04/04/2017,1950,AGENCY STAFF,V001108792
ROCHDALE BOROUGH COUNCIL,18/04/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,18/04/2017,24460.45,MEALS,V001108796
ROCHDALE BOROUGH COUNCIL,24/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,RECORD UK LTD,24/04/2017,1072.32,REPAIRS & ALTS OF BUILDINGS,V001108807
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,04/04/2017,1875,AGENCY STAFF,V001108811
ROCHDALE BOROUGH COUNCIL,12/04/2017,LEARNING DIS & MENTAL HEALTH,CROSSROADS CARE IN GREATER MANCHESTER,12/04/2017,1619.94,PERSONAL BUDGETS - MANAGED,V001108836
ROCHDALE BOROUGH COUNCIL,12/04/2017,LEARNING DIS & MENTAL HEALTH,CROSSROADS CARE IN GREATER MANCHESTER,12/04/2017,990.63,PERSONAL BUDGETS - MANAGED,V001108844
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,LOCO TALENT LTD,04/04/2017,1500,EVENTS,V001108868
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,TLC GARDEN SERVICES,04/04/2017,815,ENVIRONMENTAL WORKS LANDSCAPE,V001108870
ROCHDALE BOROUGH COUNCIL,20/04/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,20/04/2017,9630.61,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001108876
ROCHDALE BOROUGH COUNCIL,20/04/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,20/04/2017,6320.93,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001108877
ROCHDALE BOROUGH COUNCIL,06/04/2017,PUBLIC HEALTH,WOMENS HOUSING ACTION GROUP,06/04/2017,11445.38,PH OTHER CONTRACTS,V001108883
ROCHDALE BOROUGH COUNCIL,24/04/2017,EARLY HELP AND SCHOOLS,REAL TRUST,24/04/2017,5000,INDEPENDENT UNITS,V001108886
ROCHDALE BOROUGH COUNCIL,04/04/2017,ECONOMY DIRECTORATE,JGM AGENCY,04/04/2017,630,GRANTS TO THE NON VOLUNTARY SECTOR,V001108895
ROCHDALE BOROUGH COUNCIL,04/04/2017,EARLY HELP AND SCHOOLS,IDOX SOFTWARE LTD,04/04/2017,3000,SOFTWARE,V001108896
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,04/04/2017,750,PUBLICITY,V001108912
ROCHDALE BOROUGH COUNCIL,21/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,21/04/2017,3610.52,CENTRAL HEATING,V001108919
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,ELYGRA,04/04/2017,5000,MARKETING EXPENDITURE,V001108920
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,ELYGRA,04/04/2017,5000,MARKETING EXPENDITURE,V001108921
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,ELYGRA,04/04/2017,5000,MARKETING EXPENDITURE,V001108922
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,ELYGRA,04/04/2017,5000,MARKETING EXPENDITURE,V001108923
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,ELYGRA,04/04/2017,5000,MARKETING EXPENDITURE,V001108924
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,NORTHWEST ASBESTOS REMOVALS LTD,04/04/2017,950,EQUIPMENT - GENERAL,V001108936
ROCHDALE BOROUGH COUNCIL,21/04/2017,PROPERTY AND HIGHWAYS,AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD,21/04/2017,14832.36,TRANSACTIONS-EXPENDITURE,V001108938
ROCHDALE BOROUGH COUNCIL,13/04/2017,PROPERTY AND HIGHWAYS,PRIME ROOFING ROCHDALE LIMITED,13/04/2017,585,TRANSACTIONS-EXPENDITURE,V001108947
ROCHDALE BOROUGH COUNCIL,13/04/2017,PROPERTY AND HIGHWAYS,PRIME ROOFING ROCHDALE LIMITED,13/04/2017,1200,TRANSACTIONS-EXPENDITURE,V001108947
ROCHDALE BOROUGH COUNCIL,13/04/2017,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,13/04/2017,502.19,CENTRAL HEATING,V001108950
ROCHDALE BOROUGH COUNCIL,07/04/2017,PROPERTY AND HIGHWAYS,GTM ELECTRICAL SERVICES LIMITED,07/04/2017,941,TRANSACTIONS-EXPENDITURE,V001108952
ROCHDALE BOROUGH COUNCIL,03/04/2017,CHILDREN’S SOCIAL CARE,GTM ELECTRICAL SERVICES LIMITED,03/04/2017,2860.7,REPAIRS & ALTS OF BUILDINGS,V001108953
ROCHDALE BOROUGH COUNCIL,04/04/2017,ECONOMY DIRECTORATE,ROTA ROD LIMITED,04/04/2017,1310,SPECIFIED MAINTENANCE,V001108954
ROCHDALE BOROUGH COUNCIL,04/04/2017,PROPERTY AND HIGHWAYS,ATG ACCESS LTD,04/04/2017,2599.3,REPAIRS & ALTS OF BUILDINGS,V001108956
ROCHDALE BOROUGH COUNCIL,04/04/2017,PROPERTY AND HIGHWAYS,GTM ELECTRICAL SERVICES LIMITED,04/04/2017,1769.08,MINOR BUILDING WORKS,V001108961
ROCHDALE BOROUGH COUNCIL,04/04/2017,FINANCE SERVICES,HEALTH MANAGEMENT LIMITED,04/04/2017,8970.78,OCCUPATIONAL HEALTH,V001108977
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,NORDEN AGRICULTURAL CONTRACTORS,04/04/2017,3000,ACTIVITIES,V001108986
ROCHDALE BOROUGH COUNCIL,04/04/2017,FINANCE SERVICES,HEALTH MANAGEMENT LIMITED,04/04/2017,-12091.58,OCCUPATIONAL HEALTH,V001109007
ROCHDALE BOROUGH COUNCIL,04/04/2017,EARLY HELP AND SCHOOLS,HARPURHEY ALTERNATIVE PROVISION SCHOOL,04/04/2017,2084,ACTIVITIES,V001109022
ROCHDALE BOROUGH COUNCIL,04/04/2017,FINANCE SERVICES,HEALTH MANAGEMENT LIMITED,04/04/2017,3120.8,OCCUPATIONAL HEALTH,V001109026
ROCHDALE BOROUGH COUNCIL,18/04/2017,EARLY HELP AND SCHOOLS,DERBYSHIRE COUNTY COUNCIL,18/04/2017,2240,OTHER LOCAL AUTHORITIES,V001109027
ROCHDALE BOROUGH COUNCIL,13/04/2017,FINANCE SERVICES,ROSSENDALES,13/04/2017,798.87,INPUT VAT -  ADJUSTMENTS,V001109032
ROCHDALE BOROUGH COUNCIL,04/04/2017,EARLY HELP AND SCHOOLS,HEALTH & SAFETY SOLUTIONS (NW) LTD,04/04/2017,800,TRAINING-QUALIFICATION,V001109061
ROCHDALE BOROUGH COUNCIL,20/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,MANCHESTER CITY COUNCIL,20/04/2017,2700,SUBSCRIPTIONS,V001109065
ROCHDALE BOROUGH COUNCIL,12/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,PIONEER TREE SERVICES LIMITED,12/04/2017,1500,MAINTENANCE,V001109077
ROCHDALE BOROUGH COUNCIL,04/04/2017,EARLY HELP AND SCHOOLS,EMMA GORDON TUTORING,04/04/2017,770,OTHER EST - SEN PROVISION,V001109449
ROCHDALE BOROUGH COUNCIL,13/04/2017,EARLY HELP AND SCHOOLS,BOLTON MBC,13/04/2017,839.7,TRAVELLING GENERAL EXPENSES,V001109452
ROCHDALE BOROUGH COUNCIL,21/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,21/04/2017,2842.89,GAS,V001109465
ROCHDALE BOROUGH COUNCIL,21/04/2017,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,21/04/2017,726.27,WATER CHARGES,V001109483
ROCHDALE BOROUGH COUNCIL,21/04/2017,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,21/04/2017,2728.91,GAS,V001109485
ROCHDALE BOROUGH COUNCIL,04/04/2017,FINANCE SERVICES,HEALTH MANAGEMENT LIMITED,04/04/2017,812,OCCUPATIONAL HEALTH,V001109490
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,AMBEROL LIMITED,04/04/2017,1452.53,"TREES, SHRUBS, PLANTS",V001109548
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,PREMIERESHOW LIMITED,04/04/2017,539.1,TAXI HIRE,V001109564
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,PREMIERESHOW LIMITED,04/04/2017,580,TAXI HIRE,V001109564
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,PREMIERESHOW LIMITED,04/04/2017,670,TAXI HIRE,V001109564
ROCHDALE BOROUGH COUNCIL,07/04/2017,FINANCE SERVICES,ITS TRAINING (UK) LTD,07/04/2017,880,FEES / COMMISSION,V001109569
ROCHDALE BOROUGH COUNCIL,06/04/2017,CHILDREN’S SOCIAL CARE,ASS OF DIRECTORS OF CHILDREN`S SERVICES LTD,06/04/2017,2351.25,SUBSCRIPTIONS,V001109604
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,NO GRAFFITI LTD,04/04/2017,870,CONTRACTED SERVICES,V001109607
ROCHDALE BOROUGH COUNCIL,26/04/2017,ECONOMY DIRECTORATE,CATS SOLUTIONS,26/04/2017,786.33,GRANTS TO THE NON VOLUNTARY SECTOR,V001109613
ROCHDALE BOROUGH COUNCIL,06/04/2017,EARLY HELP AND SCHOOLS,WOODWIND EXCHANGE,06/04/2017,833.33,CAPITATION OTHER,V001109614
ROCHDALE BOROUGH COUNCIL,21/04/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,21/04/2017,4154.47,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001109658
ROCHDALE BOROUGH COUNCIL,21/04/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,21/04/2017,2925,NEW CONSTRUCTION,V001109660
ROCHDALE BOROUGH COUNCIL,03/04/2017,PHYSICAL DIS & OLDER PEOPLE,NIJI SERVICES LTD,03/04/2017,520.11,EXPENSES - GENERAL,V001109665
ROCHDALE BOROUGH COUNCIL,11/04/2017,EARLY HELP AND SCHOOLS,BRITISH YOUTH COUNCIL,11/04/2017,510,PROJECTS,V001109673
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,BIBLIOTHECA,04/04/2017,630,PRINTING & STATIONERY,V001109675
ROCHDALE BOROUGH COUNCIL,18/04/2017,PROPERTY AND HIGHWAYS,PRIME ROOFING ROCHDALE LIMITED,18/04/2017,800,TRANSACTIONS-EXPENDITURE,V001109688
ROCHDALE BOROUGH COUNCIL,13/04/2017,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,13/04/2017,1180,TRANSACTIONS-EXPENDITURE,V001109692
ROCHDALE BOROUGH COUNCIL,06/04/2017,PROPERTY AND HIGHWAYS,TRIAD FABRICATIONS LIMITED,06/04/2017,1092,MAINTENANCE,V001109697
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,MODIS,04/04/2017,1175,AGENCY STAFF,V001109700
ROCHDALE BOROUGH COUNCIL,04/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,MODIS,04/04/2017,1175,AGENCY STAFF,V001109701
ROCHDALE BOROUGH COUNCIL,06/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,SOFTCAT LTD,06/04/2017,1120.9,PURCHASE OF FURNITURE AND EQUIPMENT,V001109702
ROCHDALE BOROUGH COUNCIL,06/04/2017,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,06/04/2017,980,COMMUNICATION AND COMPUTING - GENERAL,V001109704
