Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Tefonica O2 (Uk) Ltd,"Telecommunication Mast, Site Ref H X 0006, Denholmegate Road, Hipperholme          HX3 8LF",64812746,"Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",12250,Communication Station and Premises,Unoccupied Land
Calderdale Mbc Land & Property Services,"17 Northgate, Halifax, HX1 1UR",68096017,"Northgate House, Northgate, Halifax, HX1 1UN",8000,Shop and Premises,Listed Building
Pennine Housing 2000,"Unit 3, Range Court, Halifax, HX3 6DJ",68332701,"Bull Green House, Bull Green, Halifax, HX1 2EB",7000,Garage And Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 15C, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284727,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 15D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Warmco Space Heating Ltd,"77 Mill Lane, Brighouse, HD6 1PN",29420742,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1350,Offices and Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"77A Mill Lane, Brighouse, HD6 1PN",29420743,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1075,Offices and Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 14D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284721,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",570,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 14B, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284723,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 203C Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420722,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",450,Store And Premises,Empty Property - RV < 15000
,"13/15 Bull Green, Halifax, HX1 2EB",64436716,,8300,Shop and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 201 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1025,Office,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 204 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",660,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 1 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212718,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2550,Warehouse And Premises,Listed Building
Gradon Estates Ltd,"Grove Inn, Burnley Road, Luddendenfoot, Halifax             HX2 6HS",64448706,"Marsh Dene Farm, Marsh Lane, Southowram, Halifax, HX3 9NR",5100,Public House and Premises,Listed Building
,"39 Hanson Lane, Halifax, HX1 5NX",65264039,,2350,Shop and Premises,Empty Property - RV < 15000
Calderdale Mbc Land & Property Services,"6 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252773,"Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Listed Building
,"59 Hanson Lane, Halifax, HX1 5NX",65264757,,2600,Shop and Premises,Rateable Value below threshold
W W Leese [Hx] Ltd,"Unit 5 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612719,"10 Bramley View, Lightcliffe, Halifax, HX3 8ST",1775,Store And Premises,Rateable Value below threshold
W R P Holdings Ltd,"Unit 8 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236819,"Fao Mr Calvert, Unit 2, Springvale Works, Elland Road, Brighouse, HD6 2RN",141,Store And Premises,Rateable Value below threshold
Binks Executive Homes Ltd,"Unit 1, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636702,"Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",2275,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 302 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212764,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",455,Store And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 3B Wilkin Royd Mills, Mill Lane, Brighouse, HD6 1PN",29420745,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2500,Warehouse And Premises,Rateable Value below threshold
,"Unit 3, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",76508707,,860,Workshop And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 309 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212749,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 5A Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212761,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1300,Store And Premises,Listed Building
Blackshaw Holdings Ltd,"Unit 26 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056749,"1st Floor, Clifton House, Birkby Lane, Bailiff Bridge, HD6 4JJ",1975,Offices and Premises,Rateable Value below threshold
Shaw Lodge Mills Ltd,"Office G3 Shaw Lodge Hse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526753,"Reedham House, 31 King Street, Manchester, M3 2PJ",2150,Offices and Premises,Listed Building
Shaw Lodge Mills Ltd,"Office G7 Shaw Lodge House, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526721,"Reedham House, 31 King Street, Manchester, M3 2PJ",990,Office,Listed Building
Blackshaw Holdings Ltd,"Unit 20 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056754,"1st Floor, Clifton House, Birkby Lane, Bailiff Bridge, HD6 4JJ",1600,Offices and Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 5 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284735,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2400,Store And Premises,Empty Property - RV < 15000
Ppc Uk Ltd (In Administration),"Basement, 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA",64852703,"Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",1900,Warehouse And Premises,Rateable Value below threshold
Shaw Lodge Mills Ltd,"Level 1 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526737,"Reedham House, 31 King Street, Manchester, M3 2PJ",8400,Warehouse And Premises,Listed Building
Shaw Lodge Mills Ltd,"Level 2 The 1830 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526707,"Reedham House, 31 King Street, Manchester, M3 2PJ",2450,Warehouse And Premises,Listed Building
,"6 Martin House, Martin Street, Brighouse, HD6 1DA",29408704,,2075,Offices and Premises,Empty Property - RV < 15000
Shaw Lodge Mills Ltd,"Office F3 Shaw Lodge Hse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526756,"Reedham House, 31 King Street, Manchester, M3 2PJ",9400,Offices and Premises,Listed Building
Warmco Space Heating Ltd,"Unoff Address Units 4DEFGH, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",29124738,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",5500,Offices and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unofficial Address, Unit 201 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2125,Office and Premises,Rateable Value below threshold
Dean Clough Ltd,"The Arches, Dean Clough Industrial Park, Halifax, HX3 5WL",64784801,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",15000,Galleries And Premises,Listed Building
,"3 Batley Street, Lee Mount, Halifax, HX3 5DG",64172003,,1825,Shop and Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Suite 6 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084825,"1st Floor, Clifton House, Birkby Lane, Bailiff Bridge, HD6 4JJ",2550,Office,Empty Property - RV < 15000
Enterprise Inns Plc,"Maggies, 24 Fountain Street, Halifax, HX1 1LW",65100706,"Purchase Ledger Dept, 3 Monkspath Hall Road, Solihull, West Midlands, B90 4SJ",56000,Public House and Premises,Empty Relief - Post 01/04/2008
,"Ground & First Floors, 51 Crown Street, Halifax, HX1 1JB",64756736,,5100,Shop and Premises,Listed Building
Heathleigh Ltd,"Compound Opp Unit 17, Woodman Works, South Lane, Elland               HX5 0PA",56220783,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",2050,Land Used For Storage and Premises,Empty Property - RV < 15000
Nutclough Mill Ltd,"2 Crown Street, Hebden Bridge, HX7 8EH",76176002,"3 Richmond House, Caldene Business Park, Mytholmroyd, Hebden Bridge, HX7 5QJ",7400,Surgery And Premises,Empty Relief - Post 01/04/2008
Blackshaw Holdings Ltd,"Office 4 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084823,"1st Floor, Clifton House, Birkby Lane, Bailiff Bridge, HD6 4JJ",2500,Office,Empty Property - RV < 15000
Rosehill Polymers Ltd,"Unit B, Spring Bank Industrial Est., Watson Mill Lane, Sowerby Bridge      HX6 3BW",77644721,"Rose Hill Mills, Beech Road, Sowerby Bridge, HX6 2JT",83000,Factory and Premises,Empty Relief - Post 01/04/2008
,"228/230 Queens Road, Halifax, HX1 4NE",68308738,,8600,Snooker Club And Premises,Empty Relief - Post 01/04/2008
Coal Pension Properties Ltd,"10 Square, Halifax, HX1 1RJ",68700010,"Scan Only Docs-Savills Uk Ltd, P O Box 4843, Slough, SL1 0BG",15750,Shop and Premises,Empty Relief - Post 01/04/2008
Industrial Supplies Todmorden Ltd,"St Aidans Arts, Bacup Road, Todmorden, OL14 7PJ",78024757,"Part 1st Floor, St Aidans Works, Bacup Road, Todmorden, OL14 7PJ",3600,Workshop And Premises,Empty Relief - Post 01/04/2008
Director Of Safer & Stronger Communities,"Adj 67 Rustic, Piece Hall, Halifax, HX1 1RE",68252724,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",5800,Shop and Premises,Listed Building
Warmco Space Heating Ltd,"Unit 102, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420750,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2700,Offices and Premises,Empty Property - RV < 15000
Bamford Developments Limited Pension Scheme,"Unit 4 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",64824708,"8 St Stephen Street, Manchester, M3 6AY",9500,Offices and Premises,Listed Building
,"15 Rawson Street, Halifax, HX1 1NH",68356015,,11000,Shop and Premises,Empty Relief - Post 01/04/2008
Revive Property Northern Ltd,"18 Rochdale Road, Todmorden, OL14 7LD",78400803,"21 Dovedale Road, Burnley, BB12 8XD",2200,Shop and Premises,Rateable Value below threshold
,"90 Parkinson Lane, Halifax, HX1 3QH",68224090,,2325,Shop and Premises,Rateable Value below threshold
Shaw Lodge Mills Ltd,"The Design Studios, Shaw Lodge Mill Room F1/G4, Shaw Lane, Halifax              HX3 9ET",68526722,"Reedham House, 31 King Street, Manchester, M3 2PJ",9400,Offices and Premises,Listed Building
John David Group Plc,"10 Corn Market, Halifax, HX1 1TH",64688010,"Hollinsbrook Way, Pilsworth, Bury, Lancs., BL9 8RR",22500,Shop and Premises,Empty Relief - Post 01/04/2008
,"Kent House, 16 Bull Close Lane, Halifax, HX1 2EF",64432701,,3950,Surgery And Premises,Empty Relief - Post 01/04/2008
,"23 Square Road, Halifax, HX1 1QG",68708023,,8500,Showroom And Premises,Empty Relief - Post 01/04/2008
Simms Electrical Distributors Ltd (In Liquidation),"Unit 10 Miall Street Mills, Miall Street, Halifax, HX1 4AE",65788720,"C/O Lee & Co, Photon House, Percy Street, Leeds, LS12 1EG",6300,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
The Trustees Of B E Holmes Settlement Trust,"Car Parking Space No 14, John Street, Halifax, HX1 1YA",64400739,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,Car Parking Space,Rateable Value below threshold
Dean Clough Ltd,"4 Seedlings Mount, Cross Hills, Halifax, HX1 1XQ",64716700,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",7700,Warehouse And Premises,Listed Building
Cromwell Industries Ltd,"Office No T04, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236810,"Cromwell House, Elland Road, Brighouse, HD6 2RG",1200,Offices and Premises,Empty Property - RV < 15000
Dean Clough Ltd,"Office Suite D172, Dean Clough Office Park, Halifax, HX3 5AX",64788760,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",1575,Store,Empty Property - RV < 15000
,"Office 4G Premier House, Holmes Road, Sowerby Bridge, HX6 3LD",77284749,,1350,Offices and Premises,Rateable Value below threshold
Oakwood Development (Holdings) Ltd In Administration,"Part First Floor, I E S House, Mission Street, Brighouse            HD6 1NQ",29428701,"Moorfields, 88 Wood Street, London, EC2V 7QF",10000,Offices and Premises,Bankrupt / Liquidation / Winding Up Order
Commercial First Mortgages Ltd,"5 Union Cross Yard, Halifax, HX1 1PR",69136005,"The Vineries, Broughton Bus Park, Skipton, North Yorkshire, BD23 3AE",17000,Public House and Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Office Hm 3.7 - 3.8, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344531,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2350,Offices and Premises,Rateable Value below threshold
,"Junction Hotel, 192 King Cross Road, Halifax, HX1 3JP",65516715,,11500,Public House and Premises,Empty Relief - Post 01/04/2008
,"4 Carlton Place, Halifax, HX1 2SB",64484702,,7400,Restaurant and Premises,Empty Relief - Post 01/04/2008
Halifax Opportunities Trust,"Unit 7, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",65264724,"Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",2150,Workshop And Premises,Rateable Value below threshold
,"Unit 1/1A, 30 Huddersfield Road, Brighouse, HD6 1HA",29344836,,46250,Warehouse And Premises,Empty Relief - Post 01/04/2008
Selmar Properties Ltd,"Basement At Nightclub, Wards End, Halifax, HX1 1BX",69264753,"Palatine Court, 84 Palatine Road, Withington, Manchester, M20 3JW",620,Store And Premises,Listed Building
Selmar Properties Ltd,"1ST - 3RD Flrs At Nightclub, Wards End, Halifax, HX1 1BX",69264752,"Palatine Court, 84 Palatine Road, Withington, Manchester, M20 3JW",4600,Store And Premises,Listed Building
Warmco Space Heating Ltd,"""Unauthorised Address"", Unit 11A River Street B Pk, River Street, Brighouse            HD6 1NL",29492742,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2600,Warehouse And Premises,Rateable Value below threshold
Harris Peel (Developments) Ltd,"School House, 56 Hopwood Lane, Halifax, HX1 5ER",65364739,"Upper Field House, 1 Howes Lane, Norhowram, Halifax, HX3 7US",44750,Offices and Premises,Empty Relief - Post 01/04/2008
W W Leese [Hx] Ltd,"Unit 6 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612720,"10 Bramley View, Lightcliffe, Halifax, HX3 8ST",3600,Warehouse And Premises,Empty Relief - Post 01/04/2008
Setbray Properties Ltd,"12 Albert Street, Hebden Bridge, HX7 8AH",76012012,"Suites 1 & 4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",4700,Shop and Premises,Empty Relief - Post 01/04/2008
,"10 Wharf Street, Sowerby Bridge, HX6 2AE",77652010,,4300,Hairdressing Salon and Premises,Awaiting occupation
Warmco Space Heating Ltd,"Unit 2, River Street Business Park, River Street, Brighouse            HD6 1LU",29492734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",3450,Warehouse And Premises,Empty Relief - Post 01/04/2008
The Northern Lights Projects,"Unit 3B Ground Floor, Park Works, Arnold Street, Halifax, HX1 5JH",65652738,"Raven Street Centre, Raven Street, Halifax, HX1 4NB",6600,Workshop And Premises,Empty Relief - Post 01/04/2008
Heat Works Ltd,"Dental Laboratory, 2 Bank Street, Brighouse, HD6 1BD",29044703,"Mr Craig Ayrton, Oxford Court, Oxford Road, Gomersal, BD19 4HQ",34250,Workshop And Premises,Qualifying industrial hereditament
Renson Products Uk Ltd (In Administartion 09/09/16),"Unit 2, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236754,"Leonard Curtis, Tower 12, 18/22 Bridge Street, Spittalfields, Manchster, M3 3BZ",26250,Workshop And Premises,Bankrupt / Liquidation / Winding Up Order
Renson Products Uk Ltd (In Administartion 09/09/16),"Unit 9, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236760,"Leonard Curtis, Tower 12, 18/22 Bridge Street, Spittalfields, Manchster, M3 3BZ",33750,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
Kino & Co,"Area Adj Units 12C-12J, Holdsworth Road, Halifax, HX3 6SW",65344537,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2650,Warehouse And Premises,Rateable Value below threshold
Kino & Co,"Unit 12G, Holdsworth Road, Halifax, HX3 6SW",65344535,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1625,Offices And Premises,Rateable Value below threshold
Hallmark Developments (North West) Limited,"North Bridge Street, Halifax, HX1 1XJ",68084700,"Fao Mr Graham Healey, York House, 15-17 York Street, Heywood, Lancashire, OL10 4NN",16250,Car Showroom And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Unit K2 (Second Floor), K Mill, Dean Clough Mills, Halifax, HX3 5AX",64784816,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",8500,Offices,Listed Building
Dean Clough Ltd,"Unit K3 Dean Clough, Halifax, HX3 5AX",64784840,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",11000,Offices,Listed Building
Tosca North East Ltd,"67 Commercial Street, Brighouse, HD6 1AF",29196067,"C/O London & Scottish Inv Ltd, 349 Bath Street, Glasgow, G2 4AA",15500,Shop and Premises,Empty Relief - Post 01/04/2008
,"Part Ground Floor, Royds House, Birds Royd Lane, Brighouse           HD6 1LQ",29052722,,2225,Offices and Premises,Rateable Value below threshold
Commercial Development Projects Ltd,"3 Bridge Road, Brighouse, HD6 1EP",29096003,"Huddersfield Road, Elland, HX5 9BW",6700,Workshop And Premises,Empty Relief - Post 01/04/2008
Pennine Housing 2000 Ltd,"91 Turner Avenue South, Illingworth, Halifax, HX2 8EF",69116091,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",3500,Shop and Premises,Empty Relief - Post 01/04/2008
,"Office 4, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",64480712,,1425,Office,Empty Property - RV < 15000
,"4 Cow Green, Halifax, HX1 1JF",64700004,,5500,Shop and Premises,Empty Relief - Post 01/04/2008
,"Woodlands View, Bacup Road, Todmorden, OL14 7HW",78024736,,4250,Lecture Hall,Empty Relief - Post 01/04/2008
,"Grange Yard, Mytholmroyd, Hebden Bridge, HX7 5LL",76236701,,1925,Workshop And Premises,Rateable Value below threshold
Royds Properties Ltd,"Ground Floor Unit H6, Premier Way, Lowfields Business Park, Elland               HX5 9HF",56174764,"Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",42500,Offices and Premises,Awaiting occupation
,"Wakefield Road, Brighouse, HD6 1QH",29608702,,24000,Petrol Filling Station And Premises,Awaiting occupation
Daniel Thwaites Plc,"The Delvers, Wainstalls, Halifax, HX2 7UA",64648701,"Star Brewery, Penny Street, Blackburn, Lancs, BB1 6HL",10750,Public House and Premises,Awaiting occupation
Halifax Autocars Ltd,"Unit 11, Halifax Autocars Estate, Shay Lane, Halifax              HX3 6QU",68536892,"F.A.O. Mr Keith Knott, Shay Lane, Halifax, HX3 6QU",13250,Workshop And Premises,Empty Relief - Post 01/04/2008
Clifton Properties [Yorkshire] Ltd,"44A Commercial Street, Brighouse, HD6 1AQ",29196734,"59 Commercial Street, Batley, WF17 5EP",4400,Offices And Premises,Empty Relief - Post 01/04/2008
,"22 Halifax Road, Todmorden, OL14 5QG",78192022,,2850,Offices and Premises,Empty Property - RV < 15000
Towngate Plc,"Part B, Part 2ND Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB",29656758,"C/O Sanderson Weatherall Llp, 25 Wellington Street, Leeds, LS1 4WG",4150,Offices And Premises,Empty Relief - Post 01/04/2008
James Garside & Son Ltd,"Unit 6, Grantham Works, Grantham Road, Halifax              HX3 6PL",65192721,"Unit 2 Grantham Works, Grantham Road, Boothtown, Halifax, HX3 6PL",17750,Factory and Premises,Empty Relief - Post 01/04/2008
Blackshaw Holdings Ltd,"Warehouse, Clifton Mills, Bradford Road, Bailiff Bridge       HD6 4EJ",29084804,"1st Floor, Clifton House, Birkby Lane, Bailiff Bridge, HD6 4JJ",65500,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"18 Sculptor Place, Brighouse, HD6 2AR",29685018,,2300,Shop and Premises,Empty Property - RV < 15000
Setbray Properties Ltd,"(Unofficial Address), Unit 20 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",76560747,"Suites 1 & 4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",1600,Store And Premises,Empty Property - RV < 15000
Dean Clough Ltd,"5TH Floor (East) F Mill, Dean Clough Mills, Halifax, HX3 5AX",64296751,"Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",133000,Offices And Premises,Listed Building
Bayford & Co Ltd,"1 Hall Street, Brighouse, HD6 1JY",29302701,"Bowcliffe Hall, Bramham, Wetherby, LS23 6LP",12750,Offices and Premises,Listed Building
