Organisation Name,EffectiveDate,Service,Supplier Name,paidDate,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,06/03/2015,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,06/03/2015,1580,IMPROVEMENTS-MODERNISATION,V000881016
ROCHDALE BOROUGH COUNCIL,06/03/2015,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,06/03/2015,890,REPAIRS & ALTS OF BUILDINGS,V000881015
ROCHDALE BOROUGH COUNCIL,19/03/2015,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,19/03/2015,-550,TRANSACTIONS-EXPENDITURE,V000885266
ROCHDALE BOROUGH COUNCIL,19/03/2015,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,19/03/2015,773,TRANSACTIONS-EXPENDITURE,V000886123
ROCHDALE BOROUGH COUNCIL,03/03/2015,ECONOMY AND ENVIRONMENT,ABLE LORRY LOADERS LTD,03/03/2015,903.1,TRANSACTIONS-EXPENDITURE,V000879902
ROCHDALE BOROUGH COUNCIL,19/03/2015,PHYSICAL DIS & OLDER PEOPLE,ABM LANCASHIRE LIMITED,19/03/2015,3244.5,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000886133
ROCHDALE BOROUGH COUNCIL,25/03/2015,PROPERTY AND HIGHWAYS,ABM LANCASHIRE LIMITED,25/03/2015,66348.68,IMPROVEMENTS-MODERNISATION,V000887730
ROCHDALE BOROUGH COUNCIL,31/03/2015,PROPERTY AND HIGHWAYS,ABM LANCASHIRE LIMITED,31/03/2015,23336.69,IMPROVEMENTS-MODERNISATION,V000889378
ROCHDALE BOROUGH COUNCIL,25/03/2015,EARLY HELP AND SCHOOLS,ABM LANCASHIRE LIMITED,25/03/2015,6030.3,REPAIRS & ALTS OF BUILDINGS,V000885489
ROCHDALE BOROUGH COUNCIL,25/03/2015,PROPERTY AND HIGHWAYS,ABM LANCASHIRE LIMITED,25/03/2015,10000,REPAIRS & ALTS OF BUILDINGS,V000885489
ROCHDALE BOROUGH COUNCIL,25/03/2015,PROPERTY AND HIGHWAYS,ABM LANCASHIRE LIMITED,25/03/2015,13269.74,TRANSACTIONS-EXPENDITURE,V000887730
ROCHDALE BOROUGH COUNCIL,31/03/2015,PROPERTY AND HIGHWAYS,ABM LANCASHIRE LIMITED,31/03/2015,4667.34,TRANSACTIONS-EXPENDITURE,V000889378
ROCHDALE BOROUGH COUNCIL,20/03/2015,PROPERTY AND HIGHWAYS,ACCESS DOOR SYSTEMS LTD,20/03/2015,540,ELECTRICAL,V000885200
ROCHDALE BOROUGH COUNCIL,06/03/2015,EARLY HELP AND SCHOOLS,ACCESS DOOR SYSTEMS LTD,06/03/2015,690,REPAIRS & ALTS OF BUILDINGS,V000880988
ROCHDALE BOROUGH COUNCIL,13/03/2015,ECONOMY AND ENVIRONMENT,ACIES CIVIL AND STRUCTURAL,13/03/2015,3000,SURVEYORS FEES,V000881424
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,10/03/2015,3059.56,FOSTER PARENTS BASIC ALLOWANCE,V000881610
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,10/03/2015,3399.76,FOSTER PARENTS BASIC ALLOWANCE,V000881611
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,10/03/2015,3623.2,FOSTER PARENTS BASIC ALLOWANCE,V000881612
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,10/03/2015,3440.08,FOSTER PARENTS BASIC ALLOWANCE,V000881613
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,10/03/2015,3271.52,FOSTER PARENTS BASIC ALLOWANCE,V000881614
ROCHDALE BOROUGH COUNCIL,03/03/2015,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,03/03/2015,1440,FEES / COMMISSION,V000879850
ROCHDALE BOROUGH COUNCIL,03/03/2015,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,03/03/2015,1080,FEES / COMMISSION,V000879851
ROCHDALE BOROUGH COUNCIL,03/03/2015,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,03/03/2015,1440,FEES / COMMISSION,V000879852
ROCHDALE BOROUGH COUNCIL,03/03/2015,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,03/03/2015,1440,FEES / COMMISSION,V000879869
ROCHDALE BOROUGH COUNCIL,12/03/2015,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,12/03/2015,1440,FEES / COMMISSION,V000882005
ROCHDALE BOROUGH COUNCIL,31/03/2015,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,31/03/2015,1440,FEES / COMMISSION,V000889410
ROCHDALE BOROUGH COUNCIL,13/03/2015,EARLY HELP AND SCHOOLS,ACTION ROCHDALE LTD,13/03/2015,500,PROJECT & ACTIVITIES,V000885096
ROCHDALE BOROUGH COUNCIL,27/03/2015,EARLY HELP AND SCHOOLS,ACTION ROCHDALE LTD,27/03/2015,500,PROJECT & ACTIVITIES,V000889061
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,11/03/2015,5410,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000882891
ROCHDALE BOROUGH COUNCIL,31/03/2015,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,31/03/2015,3425,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000888998
ROCHDALE BOROUGH COUNCIL,27/03/2015,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,27/03/2015,3000,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000889083
ROCHDALE BOROUGH COUNCIL,06/03/2015,ECONOMY AND ENVIRONMENT,ADCOCKS SOLICITORS LIMITED,06/03/2015,10051.81,LEGAL SERVICES INTERNAL,V000881522
ROCHDALE BOROUGH COUNCIL,12/03/2015,PROPERTY AND HIGHWAYS,ADT FIRE & SECURITY PLC,12/03/2015,1455,CONTRIBUTION TO PROVISIONS,V000881692
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,ADVANCED CHILDCARE LIMITED,18/03/2015,7995.96,EDB PLACEMENTS,V000885927
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,ADVANCED CHILDCARE LIMITED,18/03/2015,2357.15,EDB PLACEMENTS,V000885928
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,ADVANCED CHILDCARE LIMITED,18/03/2015,11200,EDB PLACEMENTS,V000885931
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,ADVANCED CHILDCARE LIMITED,18/03/2015,11999.96,EDB PLACEMENTS,V000885933
ROCHDALE BOROUGH COUNCIL,04/03/2015,ECONOMY AND ENVIRONMENT,AEBI SCHMIDT UK LIMITED,04/03/2015,241208,PURCHASE OF VEHICLES,V000878714
ROCHDALE BOROUGH COUNCIL,13/03/2015,ECONOMY AND ENVIRONMENT,AEBI SCHMIDT UK LIMITED,13/03/2015,180906,PURCHASE OF VEHICLES,V000881508
ROCHDALE BOROUGH COUNCIL,13/03/2015,ECONOMY AND ENVIRONMENT,AECOM PROFESSIONAL SERVICES LTD,13/03/2015,4000,SURVEYORS FEES,V000881425
ROCHDALE BOROUGH COUNCIL,27/03/2015,CUSTOMERS & CORPORATE SERVICES,AGILISYS LIMITED,27/03/2015,78780.17,AGILISYS CONTRACT,V000881977
ROCHDALE BOROUGH COUNCIL,27/03/2015,CUSTOMERS & CORPORATE SERVICES,AGILISYS LIMITED,27/03/2015,121352,AGILISYS CONTRACT,V000881979
ROCHDALE BOROUGH COUNCIL,27/03/2015,CUSTOMERS & CORPORATE SERVICES,AGILISYS LIMITED,27/03/2015,6458.87,AGILISYS CONTRACT,V000882105
ROCHDALE BOROUGH COUNCIL,27/03/2015,CUSTOMERS & CORPORATE SERVICES,AGILISYS LIMITED,27/03/2015,6458.88,AGILISYS CONTRACT,V000882105
ROCHDALE BOROUGH COUNCIL,25/03/2015,CUSTOMERS & CORPORATE SERVICES,AGILISYS LIMITED,25/03/2015,11092,AGILISYS CONTRACT,V000887512
ROCHDALE BOROUGH COUNCIL,25/03/2015,CUSTOMERS & CORPORATE SERVICES,AGILISYS LIMITED,25/03/2015,2650,AGILISYS CONTRACT,V000887518
ROCHDALE BOROUGH COUNCIL,25/03/2015,CUSTOMERS & CORPORATE SERVICES,AGILISYS LIMITED,25/03/2015,49279,AGILISYS CONTRACT,V000887524
ROCHDALE BOROUGH COUNCIL,20/03/2015,PROPERTY AND HIGHWAYS,AIRBORNE ENVIRONMENTAL CONSULTANTS LTD,20/03/2015,670,TRAINING,V000885212
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000883440
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,678,RESIDENTIAL LONG TERM,V000883698
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,1080.76,RESIDENTIAL LONG TERM,V000883967
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,1046.88,RESIDENTIAL LONG TERM,V000884117
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000884242
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000884246
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,965.92,RESIDENTIAL LONG TERM,V000884310
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,-576.06,RESIDENTIAL LONG TERM,V000884422
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,-768.08,RESIDENTIAL LONG TERM,V000884423
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,-768.08,RESIDENTIAL LONG TERM,V000884424
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,1048.48,RESIDENTIAL LONG TERM,V000884540
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,1117.68,RESIDENTIAL LONG TERM,V000884588
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,985.64,RESIDENTIAL LONG TERM,V000884683
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000884762
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,735.24,SELF - FUNDING DEFERRED PAYMENTS,V000883868
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/03/2015,1093.68,SELF - FUNDING DEFERRED PAYMENTS,V000884456
ROCHDALE BOROUGH COUNCIL,25/03/2015,ECONOMY AND ENVIRONMENT,AKSA HOUSING ASSOCIATION,25/03/2015,23142.04,IMPROVEMENTS-MODERNISATION,V000887764
ROCHDALE BOROUGH COUNCIL,25/03/2015,ECONOMY AND ENVIRONMENT,AKSA HOUSING ASSOCIATION,25/03/2015,8243.55,IMPROVEMENTS-MODERNISATION,V000887964
ROCHDALE BOROUGH COUNCIL,25/03/2015,ECONOMY AND ENVIRONMENT,AKSA HOUSING ASSOCIATION,25/03/2015,16842.43,IMPROVEMENTS-MODERNISATION,V000887965
ROCHDALE BOROUGH COUNCIL,24/03/2015,ECONOMY AND ENVIRONMENT,AKSA HOUSING ASSOCIATION,24/03/2015,12602.04,MINOR BUILDING WORKS,V000872648
ROCHDALE BOROUGH COUNCIL,27/03/2015,ECONOMY AND ENVIRONMENT,AKSA HOUSING ASSOCIATION,27/03/2015,1172.53,MISCELLANEOUS CAPITAL EXPENDITURE,V000889125
ROCHDALE BOROUGH COUNCIL,31/03/2015,EARLY HELP AND SCHOOLS,ALAN GREGORY MUSIC & MUSICAL INSTRUMENTS,31/03/2015,507.5,MAINTENANCE,V000887341
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,ALEXANDRA HOUSE CARE CENTRE,13/03/2015,1081.68,NURSING LONG TERM,V000883667
ROCHDALE BOROUGH COUNCIL,16/03/2015,CUSTOMERS & CORPORATE SERVICES,ALIGNED ASSETS LIMITED,16/03/2015,3602.94,SOFTWARE,V000881973
ROCHDALE BOROUGH COUNCIL,18/03/2015,CUSTOMERS & CORPORATE SERVICES,ALISON WILLIS,18/03/2015,695,OTHER MEDICAL EXPENSES,V000885882
ROCHDALE BOROUGH COUNCIL,18/03/2015,CHILDREN’S SOCIAL CARE,ALLIANCE CARE AND EDUCATION,18/03/2015,12579.99,EDB PLACEMENTS,V000885909
ROCHDALE BOROUGH COUNCIL,04/03/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,04/03/2015,12977.71,HOME CARE,V000880260
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,11/03/2015,14000.06,HOME CARE,V000881988
ROCHDALE BOROUGH COUNCIL,18/03/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,18/03/2015,14336.78,HOME CARE,V000885883
ROCHDALE BOROUGH COUNCIL,25/03/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,25/03/2015,13811.47,HOME CARE,V000887769
ROCHDALE BOROUGH COUNCIL,10/03/2015,LEARNING DIS & MENTAL HEALTH,ALLIED HEALTHCARE GROUP LIMITED,10/03/2015,1044.04,PERSONAL BUDGETS - MANAGED,V000881482
ROCHDALE BOROUGH COUNCIL,06/03/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,06/03/2015,1356.75,SERVICE LEVEL AGREEMENTS,V000880982
ROCHDALE BOROUGH COUNCIL,06/03/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,06/03/2015,1658.25,SERVICE LEVEL AGREEMENTS,V000880983
ROCHDALE BOROUGH COUNCIL,10/03/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,10/03/2015,1356.75,SERVICE LEVEL AGREEMENTS,V000881819
ROCHDALE BOROUGH COUNCIL,20/03/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,20/03/2015,1507.5,SERVICE LEVEL AGREEMENTS,V000887096
ROCHDALE BOROUGH COUNCIL,30/03/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,30/03/2015,1809,SERVICE LEVEL AGREEMENTS,V000888059
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,13/03/2015,1982.4,NURSING LONG TERM,V000884490
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,13/03/2015,1982.4,NURSING LONG TERM,V000884610
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,13/03/2015,1982.4,NURSING LONG TERM,V000884664
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,13/03/2015,5040,RESIDENTIAL LONG TERM,V000884785
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,06/03/2015,3217.49,FOSTER PARENTS BASIC ALLOWANCE,V000874401
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,3955,INDIVIDUAL SERVICE FUND,V000882453
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,3955,INDIVIDUAL SERVICE FUND,V000882454
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,3870.8,INDIVIDUAL SERVICE FUND,V000882460
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,3103.44,INDIVIDUAL SERVICE FUND,V000882475
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,1217.16,INDIVIDUAL SERVICE FUND,V000882538
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,3836.28,INDIVIDUAL SERVICE FUND,V000882542
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,4153.44,INDIVIDUAL SERVICE FUND,V000882563
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,4153.44,INDIVIDUAL SERVICE FUND,V000882564
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,4193.12,INDIVIDUAL SERVICE FUND,V000882568
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,4193.12,INDIVIDUAL SERVICE FUND,V000882569
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,1282.88,INDIVIDUAL SERVICE FUND,V000882572
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,3254.16,INDIVIDUAL SERVICE FUND,V000882575
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,4241.51,INDIVIDUAL SERVICE FUND,V000882577
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,6976,INDIVIDUAL SERVICE FUND,V000882578
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,6976,INDIVIDUAL SERVICE FUND,V000882579
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,5232,INDIVIDUAL SERVICE FUND,V000882580
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,859.96,INDIVIDUAL SERVICE FUND,V000882657
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,859.96,INDIVIDUAL SERVICE FUND,V000882658
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,781.2,INDIVIDUAL SERVICE FUND,V000882669
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,4404.84,INDIVIDUAL SERVICE FUND,V000882679
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,882,INDIVIDUAL SERVICE FUND,V000882680
ROCHDALE BOROUGH COUNCIL,27/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,27/03/2015,4494.25,INDIVIDUAL SERVICE FUND,V000889052
ROCHDALE BOROUGH COUNCIL,27/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,27/03/2015,5291.36,INDIVIDUAL SERVICE FUND,V000889053
ROCHDALE BOROUGH COUNCIL,27/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,27/03/2015,4494.25,INDIVIDUAL SERVICE FUND,V000889054
ROCHDALE BOROUGH COUNCIL,27/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,27/03/2015,650.93,INDIVIDUAL SERVICE FUND,V000889055
ROCHDALE BOROUGH COUNCIL,27/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,27/03/2015,4494.25,INDIVIDUAL SERVICE FUND,V000889056
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,7196.35,LD SUPPORTED LIVING,V000882447
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,6818.56,LD SUPPORTED LIVING,V000882474
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,595.35,LD SUPPORTED LIVING,V000882535
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,4483.43,LD SUPPORTED LIVING,V000882537
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/03/2015,740.88,LD SUPPORTED LIVING,V000882539
