Organisation Name,Effective Date,Service,Supplier Name,Paid Date,Net Amount (£),Purpose,Transaction Number
Rochdale Borough Council,03/05/2016,FINANCE SERVICES,AGILISYS LIMITED,03/05/2016,14850,SOFTWARE,V000996666
Rochdale Borough Council,09/05/2016,CHILDREN’S SOCIAL CARE,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,09/05/2016,1992.5,SERVICE LEVEL AGREEMENTS,V000996707
Rochdale Borough Council,03/05/2016,CHILDREN’S SOCIAL CARE,YOUTH JUSTICE BOARD,03/05/2016,1239,SERVICE LEVEL AGREEMENTS,V000996708
Rochdale Borough Council,03/05/2016,CHILDREN’S SOCIAL CARE,YOUTH JUSTICE BOARD,03/05/2016,3363,SERVICE LEVEL AGREEMENTS,V000996709
Rochdale Borough Council,04/05/2016,EARLY HELP AND SCHOOLS,THE WILLOWS PRIVATE DAY NURSERY,04/05/2016,1416,COSTS MET BY SCHOOL,V000996736
Rochdale Borough Council,06/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,JMHA,06/05/2016,2900,PROPERTY REFURBISHMENT (HOUSING),V000996755
Rochdale Borough Council,06/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,JMHA,06/05/2016,13975,PROPERTY REFURBISHMENT (HOUSING),V000996757
Rochdale Borough Council,03/05/2016,EARLY HELP AND SCHOOLS,TAMESIDE METROPOLITAN BOROUGH COUNCIL,03/05/2016,10681,OTHER EST - SEN PROVISION,V000997071
Rochdale Borough Council,06/05/2016,ECONOMY DIRECTORATE,ROCHDALE BOROUGH SHOPMOBILITY,06/05/2016,6930,GRANTS TO THE VOLUNTARY SECTOR,V000997091
Rochdale Borough Council,04/05/2016,ECONOMY DIRECTORATE,COOK HAMMOND & KELL,04/05/2016,4389,PUBLICITY,V000998658
Rochdale Borough Council,05/05/2016,PROPERTY AND HIGHWAYS,E ON SUSTAINABLE ENERGY,05/05/2016,955.5,REPAIRS & ALTS OF BUILDINGS,V000998761
Rochdale Borough Council,05/05/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,05/05/2016,10000,CONSULTANTS FEES,V000998774
Rochdale Borough Council,17/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,ENTERPRISE MANCHESTER PARTNERSHIP LTD,17/05/2016,555.1,REFUSE DISPOSAL,V000998776
Rochdale Borough Council,06/05/2016,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,06/05/2016,12400,EDB PLACEMENTS,V000999226
Rochdale Borough Council,06/05/2016,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,06/05/2016,1238.58,EDB PLACEMENTS,V000999227
Rochdale Borough Council,06/05/2016,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,06/05/2016,11262.96,EDB PLACEMENTS,V000999228
Rochdale Borough Council,06/05/2016,CHILDREN’S SOCIAL CARE,FULL CIRCLE CARE,06/05/2016,13728.57,EDB PLACEMENTS,V000999265
Rochdale Borough Council,09/05/2016,CHILDREN’S SOCIAL CARE,BOLTON M B C,09/05/2016,6900,ADVERTISING,V000999270
Rochdale Borough Council,05/05/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/05/2016,2967.01,FOSTER PARENTS BASIC ALLOWANCE,V000999273
Rochdale Borough Council,05/05/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/05/2016,2878,FOSTER PARENTS BASIC ALLOWANCE,V000999274
Rochdale Borough Council,05/05/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/05/2016,1349.27,FOSTER PARENTS BASIC ALLOWANCE,V000999275
Rochdale Borough Council,05/05/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/05/2016,3449.99,FOSTER PARENTS BASIC ALLOWANCE,V000999276
Rochdale Borough Council,11/05/2016,EARLY HELP AND SCHOOLS,DIOCESE OF SALFORD (DFC),11/05/2016,95783.76,IMPROVEMENTS-MODERNISATION,V000999316
Rochdale Borough Council,05/05/2016,CHILDREN’S SOCIAL CARE,DEPAUL UK,05/05/2016,552.86,YOUNG PEOPLES RENTS,V000999344
Rochdale Borough Council,05/05/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS,05/05/2016,750,ADOPTION PAYMENTS,V000999666
Rochdale Borough Council,05/05/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS,05/05/2016,750,ADOPTION PAYMENTS,V000999667
Rochdale Borough Council,06/05/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,06/05/2016,727648.87,PFI SCHEMES,V000999721
Rochdale Borough Council,05/05/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS,05/05/2016,750,ADOPTION PAYMENTS,V001000149
Rochdale Borough Council,10/05/2016,CHILDREN’S SOCIAL CARE,OFSTED,10/05/2016,1547,FEES / COMMISSION,V001000163
Rochdale Borough Council,10/05/2016,CHILDREN’S SOCIAL CARE,OFSTED,10/05/2016,2417,FEES / COMMISSION,V001000165
Rochdale Borough Council,16/05/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,16/05/2016,1179.1,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V001000506
Rochdale Borough Council,16/05/2016,FINANCE SERVICES,LOCAL GOVERNMENT ASSOCIATION,16/05/2016,1485,TRAINING-NON QUALIFICATION,V001000569
Rochdale Borough Council,04/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,NOMIX ENVIRO,04/05/2016,3489,EQUIPMENT - GENERAL,V001000589
Rochdale Borough Council,13/05/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,2677.96,GAS,V001000603
Rochdale Borough Council,08/04/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,08/04/2016,-653.53,GAS,V001000686
Rochdale Borough Council,08/04/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,08/04/2016,-672.88,GAS,V001000719
Rochdale Borough Council,08/04/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,08/04/2016,-549.28,GAS,V001000738
Rochdale Borough Council,08/04/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,08/04/2016,-516.37,GAS,V001000759
Rochdale Borough Council,08/04/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,08/04/2016,-1838.61,GAS,V001000799
Rochdale Borough Council,13/05/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,507.02,GAS,V001000815
Rochdale Borough Council,13/05/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,1785.88,GAS,V001000953
Rochdale Borough Council,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,08/04/2016,-2413.13,GAS,V001001004
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,3801.91,GAS,V001001055
Rochdale Borough Council,16/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CHARTERED INSTITUTE OF HOUSING,16/05/2016,825,PROFESSIONAL FEES,V001001084
Rochdale Borough Council,05/05/2016,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,05/05/2016,29750,GRANTS TO OTHER BODIES,V001001086
Rochdale Borough Council,05/05/2016,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,05/05/2016,18750,FEES -CONSTRUCTION CONVERSION RENOVATION,V001001092
Rochdale Borough Council,13/05/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,675.49,GAS,V001001097
Rochdale Borough Council,13/05/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,524.05,GAS,V001001099
Rochdale Borough Council,04/05/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,04/05/2016,816.39,GAS,V001001104
Rochdale Borough Council,04/05/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,04/05/2016,562.38,GAS,V001001105
Rochdale Borough Council,09/10/2015,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,09/10/2015,-939.71,GAS,V001001160
Rochdale Borough Council,09/10/2015,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,09/10/2015,-686.55,GAS,V001001161
Rochdale Borough Council,04/05/2016,PROPERTY AND HIGHWAYS,NPOWER LIMITED,04/05/2016,81330,ELECTRICITY,V001001169
Rochdale Borough Council,04/05/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,04/05/2016,1153.06,GAS,V001001173
Rochdale Borough Council,09/05/2016,ECONOMY DIRECTORATE,TALKTALK BUSINESS,09/05/2016,626.81,TELEPHONE EXPENDITURE,V001001193
Rochdale Borough Council,06/04/2016,FINANCE SERVICES,LOCAL GOVERNMENT ASSOCIATION,06/04/2016,-7965,SUBSCRIPTIONS,V001001228
Rochdale Borough Council,11/05/2016,FINANCE SERVICES,LOCAL GOVERNMENT ASSOCIATION,11/05/2016,32767.4,SUBSCRIPTIONS,V001001228
Rochdale Borough Council,16/05/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,16/05/2016,4830,PROJECT & ACTIVITIES,V001001319
Rochdale Borough Council,16/05/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,16/05/2016,945,PROJECT & ACTIVITIES,V001001321
Rochdale Borough Council,13/05/2016,FINANCE SERVICES,ROYAL NATIONAL INSTITUTE OF THE BLIND,13/05/2016,647.05,PRINTING & STATIONERY,V001001353
Rochdale Borough Council,18/05/2016,LEARNING DIS & MENTAL HEALTH,CROSSROADS CARE IN GREATER MANCHESTER,18/05/2016,2500,ALCOHOL & DRUGS,V001001355
Rochdale Borough Council,18/05/2016,LEARNING DIS & MENTAL HEALTH,CROSSROADS CARE IN GREATER MANCHESTER,18/05/2016,5600,DEDICATED PANNED RESPITE (MH),V001001355
Rochdale Borough Council,09/05/2016,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,09/05/2016,1020969.96,IMPROVEMENTS-MODERNISATION,V001001419
Rochdale Borough Council,05/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,05/05/2016,500,OTHER MEDICAL EXPENSES,V001002095
Rochdale Borough Council,05/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,05/05/2016,500,OTHER MEDICAL EXPENSES,V001002096
Rochdale Borough Council,05/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,05/05/2016,500,OTHER MEDICAL EXPENSES,V001002097
Rochdale Borough Council,05/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,05/05/2016,500,OTHER MEDICAL EXPENSES,V001002098
Rochdale Borough Council,05/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,05/05/2016,500,OTHER MEDICAL EXPENSES,V001002099
Rochdale Borough Council,05/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,05/05/2016,500,OTHER MEDICAL EXPENSES,V001002100
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,2147.21,GAS,V001002137
Rochdale Borough Council,13/05/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,13/05/2016,4720.01,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001002173
Rochdale Borough Council,13/05/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,13/05/2016,1746.1,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001002174
Rochdale Borough Council,13/05/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,13/05/2016,1299.2,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001002175
Rochdale Borough Council,18/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,18/05/2016,5161.7,BASIC SALARIES,V001002206
Rochdale Borough Council,05/05/2016,CHILDREN’S SOCIAL CARE,CARITAS CARE LTD,05/05/2016,2214.29,FOSTER PARENTS BASIC ALLOWANCE,V001002233
Rochdale Borough Council,13/05/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,13/05/2016,4292.58,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001002245
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,1450.4,GAS,V001002804
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,600.83,GAS,V001002806
Rochdale Borough Council,05/05/2016,EARLY HELP AND SCHOOLS,TRAFFORD MBC,05/05/2016,3135,TRAVELLING GENERAL EXPENSES,V001002821
Rochdale Borough Council,05/05/2016,EARLY HELP AND SCHOOLS,ST DAVIDS COLLEGE,05/05/2016,3799.25,OTHER LA`S - SEN PROVISION,V001002824
Rochdale Borough Council,05/05/2016,EARLY HELP AND SCHOOLS,CUMBERLAND SCHOOL,05/05/2016,1785,TRAVELLING GENERAL EXPENSES,V001002827
Rochdale Borough Council,12/05/2016,EARLY HELP AND SCHOOLS,FIRWOOD MANOR PREPARATORY SCHOOL,12/05/2016,1519.7,OTHER LA`S - SEN PROVISION,V001002836
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,1003.66,GAS,V001002842
Rochdale Borough Council,12/05/2016,CHILDREN’S SOCIAL CARE,HARTLEPOOL BOROUGH COUNCIL,12/05/2016,9000,ADOPTION PAYMENTS,V001002843
Rochdale Borough Council,20/05/2016,CHILDREN’S SOCIAL CARE,NUGENT CARE,20/05/2016,9000,ADOPTION PAYMENTS,V001002844
Rochdale Borough Council,03/05/2016,PUBLIC HEALTH,BIG LIFE CENTRES,03/05/2016,17339,PROJECT & ACTIVITIES,V001002846
Rochdale Borough Council,13/05/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,544.54,GAS,V001002871
Rochdale Borough Council,13/05/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,562.25,GAS,V001002881
Rochdale Borough Council,13/05/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,13/05/2016,1908.67,MISC CHARGES,V001002882
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,579.29,GAS,V001002883
Rochdale Borough Council,13/05/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,13/05/2016,28755.9,MEALS,V001002884
Rochdale Borough Council,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,08/04/2016,-582.58,GAS,V001002887
Rochdale Borough Council,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,08/04/2016,-619.89,GAS,V001002888
Rochdale Borough Council,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,08/04/2016,-761.24,GAS,V001002889
Rochdale Borough Council,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,08/04/2016,-739.08,GAS,V001002890
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,567.29,GAS,V001002893
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,655.4,GAS,V001002894
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,692.33,GAS,V001002895
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,645.29,GAS,V001002896
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/05/2016,695.18,GAS,V001002897
Rochdale Borough Council,13/05/2016,FINANCE SERVICES,REDACTED AT SOURCE,13/05/2016,1027.14,INPUT VAT -  ADJUSTMENTS,V001002925
Rochdale Borough Council,03/05/2016,EARLY HELP AND SCHOOLS,BURY MBC,03/05/2016,8769.48,OTHER EST - SEN PROVISION,V001003002
Rochdale Borough Council,04/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,HINT MEDIA LTD,04/05/2016,1530,ADVERTISING,V001003016
Rochdale Borough Council,04/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,04/05/2016,1500,FENCING,V001003021
Rochdale Borough Council,09/05/2016,LEARNING DIS & MENTAL HEALTH,ST VINCENTS HOUSING ASSOCIATION,09/05/2016,541.44,RENTS,V001003047
Rochdale Borough Council,04/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,04/05/2016,8950.02,SERVICES - GENERAL,V001003049
Rochdale Borough Council,04/05/2016,ECONOMY DIRECTORATE,ASPINALL INTERIORS,04/05/2016,4791,IMPROVEMENTS-MODERNISATION,V001003068
Rochdale Borough Council,04/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,MC & MA STEWART (HAULAGE) LIMITED,04/05/2016,1040,EQUIPMENT - GENERAL,V001003124
Rochdale Borough Council,04/05/2016,FINANCE SERVICES,MIDLAND SOFTWARE LTD,04/05/2016,14500,SOFTWARE,V001003142
Rochdale Borough Council,03/05/2016,PROPERTY AND HIGHWAYS,TRINITY MIRROR PUBLISHING LTD,03/05/2016,625.46,ADVERTISING,V001003165
Rochdale Borough Council,18/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,18/05/2016,9961.09,SERVICES - GENERAL,V001003173
Rochdale Borough Council,05/05/2016,EARLY HELP AND SCHOOLS,HART INDUSTRIAL TOOLS LTD,05/05/2016,1427.32,EQUIPMENT - GENERAL,V001003180
Rochdale Borough Council,03/05/2016,CHILDREN’S SOCIAL CARE,JOHN SLATTERY PHOTOGRAPHY,03/05/2016,590,ADVERTISING,V001003181
Rochdale Borough Council,25/05/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,25/05/2016,22500,SERVICE LEVEL AGREEMENTS,V001003182
Rochdale Borough Council,04/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,HEYWOOD HANDYMAN,04/05/2016,550,REMOVAL/STRIP OUT COSTS,V001003183
Rochdale Borough Council,05/05/2016,PUBLIC HEALTH,REACH TRAINING UK LTD,05/05/2016,520,TRAINING,V001003186
Rochdale Borough Council,06/05/2016,EARLY HELP AND SCHOOLS,K A RESEARCH,06/05/2016,4050,PROJECT & ACTIVITIES,V001003190
Rochdale Borough Council,13/05/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,13/05/2016,79718.38,IMPROVEMENTS-MODERNISATION,V001003221
Rochdale Borough Council,16/05/2016,LEARNING DIS & MENTAL HEALTH,CROSSROADS CARE IN GREATER MANCHESTER,16/05/2016,1218.75,PERSONAL BUDGETS - MANAGED,V001003254
Rochdale Borough Council,16/05/2016,LEARNING DIS & MENTAL HEALTH,CROSSROADS CARE IN GREATER MANCHESTER,16/05/2016,1878.77,PERSONAL BUDGETS - MANAGED,V001003265
Rochdale Borough Council,04/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,ISAAC BUTTERWORTH (IRONFOUNDERS) LIMITED,04/05/2016,1170.64,PROJECT & ACTIVITIES,V001003286
Rochdale Borough Council,04/05/2016,PHYSICAL DIS & OLDER PEOPLE,ROUTES HEALTHCARE (NORTH),04/05/2016,643.5,PERSONAL BUDGETS - MANAGED,V001003292
Rochdale Borough Council,17/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CROMWELL POLYTHENE LIMITED,17/05/2016,34369.92,EQUIPMENT - GENERAL,V001003304
Rochdale Borough Council,04/05/2016,EARLY HELP AND SCHOOLS,PULSE HEALTHCARE LTD,04/05/2016,753.12,HOME CARE - CHILDRENS SERVICES,V001003352
Rochdale Borough Council,25/05/2016,EARLY HELP AND SCHOOLS,BLUEPRINT GB LTD,25/05/2016,1202,PROJECT & ACTIVITIES,V001003364
Rochdale Borough Council,18/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CHUBB FIRE LIMITED,18/05/2016,658.49,EXPENSES - GENERAL,V001003365
Rochdale Borough Council,23/05/2016,ECONOMY DIRECTORATE,COOK HAMMOND & KELL,23/05/2016,750,EQUIPMENT - GENERAL,V001003366
Rochdale Borough Council,05/05/2016,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,05/05/2016,1750,FEES / COMMISSION,V001003367
Rochdale Borough Council,05/05/2016,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,05/05/2016,1050,FEES / COMMISSION,V001003368
Rochdale Borough Council,05/05/2016,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,05/05/2016,2450,FEES / COMMISSION,V001003369
Rochdale Borough Council,05/05/2016,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,05/05/2016,700,FEES / COMMISSION,V001003372
Rochdale Borough Council,06/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,VODAFONE - CABLE & WIRELESS,06/05/2016,1208.66,TELEPHONE EXPENDITURE,V001003403
Rochdale Borough Council,06/05/2016,PUBLIC HEALTH,BODY ARMOUR COMPANY,06/05/2016,1027.5,EQUIPMENT - GENERAL,V001003408
Rochdale Borough Council,06/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,HENRY ALTY LIMITED,06/05/2016,600,EQUIPMENT - GENERAL,V001003409
Rochdale Borough Council,06/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,HENRY ALTY LIMITED,06/05/2016,3692.56,"TREES, SHRUBS, PLANTS",V001003409
Rochdale Borough Council,04/05/2016,EARLY HELP AND SCHOOLS,BURY COLLEGE,04/05/2016,94136.1,OTHER EST - SEN PROVISION,V001003939
Rochdale Borough Council,05/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,NO GRAFFITI LTD,05/05/2016,630,SERVICES - GENERAL,V001003946
Rochdale Borough Council,04/05/2016,EARLY HELP AND SCHOOLS,OLDHAM SIXTH FORM COLLEGE,04/05/2016,3667.44,OTHER EST - SEN PROVISION,V001003947
Rochdale Borough Council,06/05/2016,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,06/05/2016,2296.47,PRINTING,V001003951
Rochdale Borough Council,06/05/2016,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,06/05/2016,1424.17,PRINTING,V001003953
Rochdale Borough Council,06/05/2016,EARLY HELP AND SCHOOLS,POSITIVE OUTCOME ASSOCIATES LTD,06/05/2016,1330,BASIC SALARIES,V001003960
Rochdale Borough Council,04/05/2016,EARLY HELP AND SCHOOLS,BURY COLLEGE,04/05/2016,94136.1,OTHER EST - SEN PROVISION,V001003961
Rochdale Borough Council,06/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,ORCHARD  RECYCLING SERVICE LTD,06/05/2016,771,EQUIPMENT - GENERAL,V001003966
Rochdale Borough Council,06/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,ORCHARD  RECYCLING SERVICE LTD,06/05/2016,2261.8,EQUIPMENT - GENERAL,V001003967
Rochdale Borough Council,20/05/2016,EARLY HELP AND SCHOOLS,BRITISH YOUTH COUNCIL,20/05/2016,650,PROJECT & ACTIVITIES,V001003968
Rochdale Borough Council,06/05/2016,PHYSICAL DIS & OLDER PEOPLE,GANESH G LTD,06/05/2016,871.35,EXPENSES - GENERAL,V001003970
Rochdale Borough Council,05/05/2016,PUBLIC HEALTH,OSBORNE RICHARDSON,05/05/2016,636,PROJECT & ACTIVITIES,V001003973
Rochdale Borough Council,06/05/2016,ECONOMY DIRECTORATE,A J COCKER ASSOCIATES LIMITED,06/05/2016,4795,OTHER SURVEYS,V001003975
Rochdale Borough Council,13/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,13/05/2016,2066.22,MORTUARY CHARGES,V001003993
Rochdale Borough Council,05/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,KBP SERVICES LIMITED,05/05/2016,638,HISTOLOGY PAYMENTS,V001004000
Rochdale Borough Council,05/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,KBP SERVICES LIMITED,05/05/2016,871.2,MEDICAL FEES,V001004000
