year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2006,LOCAL,City and Hunslet Ward,IQBAL,MOHAMMED,The Labour Party Candidate,1884,32,ELECTED,15141
2006,LOCAL,City and Hunslet Ward,SWAIN,PAUL NICOLAS ROBERT,Liberal Democrats,1143,32,,15141
2006,LOCAL,City and Hunslet Ward,CHURCH,SIMON BERKELEY,The Conservative Party Candidate,437,32,,15141
2006,LOCAL,City and Hunslet Ward,NORTHFIELD,MICHAEL IAN,Green Party,300,32,,15141
2006,LOCAL,City and Hunslet Ward,KINCAID,SALLY ANN,Respect,252,32,,15141
2006,LOCAL,Temple Newsam Ward,LYONS,MICHAEL,The Labour Party Candidate,2394,32,ELECTED,16091
2006,LOCAL,Temple Newsam Ward,HAYES,ELIZABETH MARY,The Conservative Party Candidate,1967,32,,16091
2006,LOCAL,Temple Newsam Ward,HOLLINGS,PETER,British National Party,1486,32,,16091
2006,LOCAL,Temple Newsam Ward,NORMAN,KEITH CECIL,Liberal Democrats,867,32,,16091
2006,LOCAL,Kippax and Methley Ward,WAKEFIELD,KEITH IVOR,The Labour Party Candidate,3422,14,ELECTED,15747
2006,LOCAL,Kippax and Methley Ward,PHILLIPS,TINA LOUISE,The Conservative Party Candidate,1287,14,,15747
2006,LOCAL,Kippax and Methley Ward,CROSSLEY,LISA MICHELE,British National Party,1126,14,,15747
2006,LOCAL,Kippax and Methley Ward,THOMPSON,BARBARA HANDLEY,Liberal Democrats,635,14,,15747
2006,LOCAL,Roundhay Ward,WADSWORTH,PAUL JOHN SPENCER,The Conservative Party Candidate,2930,33,ELECTED,17296
2006,LOCAL,Roundhay Ward,O'GRADY,IRENE SYBIL,The Labour Party Candidate,2457,33,,17296
2006,LOCAL,Roundhay Ward,QUILLIAM,CARL OLIVER JOHN,Liberal Democrats,1213,33,,17296
2006,LOCAL,Roundhay Ward,ELLIS,PAUL CHARLES,Green Party,598,33,,17296
2006,LOCAL,Roundhay Ward,CHRISTIE,MALCOLM SCOTT,The Alliance for Green Socialism,230,33,,17296
2006,LOCAL,Weetwood Ward,CHAPMAN,JUDITH MARA,Liberal Democrats,2550,8,ELECTED,17299
2006,LOCAL,Weetwood Ward,WEST,GUY MARTIN,The Conservative Party Candidate,1334,8,,17299
2006,LOCAL,Weetwood Ward,CHERRY,ANNE JOHNSON,The Labour Party Candidate,1089,8,,17299
2006,LOCAL,Weetwood Ward,HEMINGWAY,MARTIN FRANCIS,Green Party,422,8,,17299
2006,LOCAL,Weetwood Ward,LEAKE,GILLIAN MARGARET,British National Party,370,8,,17299
2006,LOCAL,Weetwood Ward,KENNEDY,DANIEL,The Alliance for Green Socialism,77,8,,17299
2006,LOCAL,Wetherby Ward,PROCTER,JOHN MICHAEL,The Conservative Party Candidate,3842,18,ELECTED,15343
2006,LOCAL,Wetherby Ward,ROBINSON,ANDREW DAVID,The Labour Party Candidate,1069,18,,15343
2006,LOCAL,Wetherby Ward,MATTHEWS,JAMES,Liberal Democrats,955,18,,15343
2006,LOCAL,Wetherby Ward,NUTTER,RALPH,British National Party,873,18,,15343
2006,LOCAL,Middleton Park Ward,COUPAR,DEBRA ANN,The Labour Party Candidate,2123,19,ELECTED,17043
2006,LOCAL,Middleton Park Ward,MEESON,KEVIN,British National Party,1424,19,,17043
2006,LOCAL,Middleton Park Ward,BARKER,RICHARD ANTHONY,The Conservative Party Candidate,860,19,,17043
2006,LOCAL,Middleton Park Ward,CHASTNEY,BENEDICT,Liberal Democrats,578,19,,17043
2006,LOCAL,Farnley and Wortley Ward,RUSSELL,LUKE,Green Party,2324,19,ELECTED,17525
2006,LOCAL,Farnley and Wortley Ward,TOWLER,STEPHEN JOHN,The Labour Party Candidate,1657,19,,17525
2006,LOCAL,Farnley and Wortley Ward,MAVERICK,PETER FRANK,British National Party,992,19,,17525
2006,LOCAL,Farnley and Wortley Ward,FIRTH,GEORGE,The Conservative Party Candidate,630,19,,17525
2006,LOCAL,Farnley and Wortley Ward,BRADLEY,ALISTAIR,Liberal Democrats,354,19,,17525
2006,LOCAL,Farnley and Wortley Ward,NORMASCHILD,DECLAN,The Alliance for Green Socialism,40,19,,17525
2006,LOCAL,Otley and Yeadon Ward,DOWNES,RYK,Liberal Democrats,3159,17,ELECTED,17375
2006,LOCAL,Otley and Yeadon Ward,FRANCIS,NIGEL,The Conservative Party Candidate,2290,17,,17375
2006,LOCAL,Otley and Yeadon Ward,EVELEIGH,JOHN,The Labour Party Candidate,1782,17,,17375
2006,LOCAL,Otley and Yeadon Ward,GATES,MARK,British National Party,551,17,,17375
2006,LOCAL,Otley and Yeadon Ward,WEBB,DAVID CHARLES,Green Party,297,17,,17375
2006,LOCAL,Otley and Yeadon Ward,FRANKLAND,WENDY JENIFER,The Alliance for Green Socialism,84,17,,17375
2006,LOCAL,Horsforth Ward,CLEASBY,BRIAN,Liberal Democrats,2585,25,ELECTED,17213
2006,LOCAL,Horsforth Ward,HARDCASTLE,JOHN RICHARD,The Conservative Party Candidate,2488,25,,17213
2006,LOCAL,Horsforth Ward,YEADON,LUCINDA JOY,The Labour Party Candidate,954,25,,17213
2006,LOCAL,Horsforth Ward,BINNS,ANDREA KAY,Green Party,566,25,,17213
2006,LOCAL,Horsforth Ward,HELLYER,PAUL,Christian Peoples Alliance,140,25,,17213
2006,LOCAL,Guiseley and Rawdon Ward,BALE,RAYMOND JOHN,The Conservative Party Candidate,2901,14,ELECTED,16667
2006,LOCAL,Guiseley and Rawdon Ward,KING,MICHAEL ROBERT,The Labour Party Candidate,1813,14,,16667
2006,LOCAL,Guiseley and Rawdon Ward,CLEASBY,LUCINDA JANE,Liberal Democrats,1080,14,,16667
2006,LOCAL,Guiseley and Rawdon Ward,TAYLOR,WAYNE PATRICK,British National Party,617,14,,16667
2006,LOCAL,Calverley and Farsley Ward,JAROSZ,ANDREW RICHARD,The Labour Party Candidate,1773,20,,17273
2006,LOCAL,Calverley and Farsley Ward,LEARY,ROBERT JOHN,British National Party,987,20,,17273
2006,LOCAL,Calverley and Farsley Ward,HARMES,LAURA PENELOPE,Liberal Democrats,944,20,,17273
2006,LOCAL,Moortown Ward,HARKER,RICHARD KENNETH,Liberal Democrats,2385,31,ELECTED,17266
2006,LOCAL,Moortown Ward,HARPER,GERALD THOMAS,The Labour Party Candidate,2241,31,,17266
2006,LOCAL,Moortown Ward,BUCKLEY,LYN JEAN,The Conservative Party Candidate,2060,31,,17266
2006,LOCAL,Moortown Ward,DAVIES,MICHAEL FRANCIS,The Alliance for Green Socialism,380,31,,17266
2006,LOCAL,Crossgates and Whinmoor Ward,GRUEN,PETER JOHN,The Labour Party Candidate,2455,7,ELECTED,16943
2006,LOCAL,Crossgates and Whinmoor Ward,SCHOFIELD,MARGARET,The Conservative Party Candidate,1972,7,,16943
2006,LOCAL,Crossgates and Whinmoor Ward,GIBSON,MARTIN DARREN,British National Party,924,7,,16943
2006,LOCAL,Crossgates and Whinmoor Ward,CHOUDHRY,AQILA,Liberal Democrats,588,7,,16943
2006,LOCAL,Crossgates and Whinmoor Ward,MORTIMER,LEE ANNE,Green Party,347,7,,16943
2006,LOCAL,Harewood Ward,SHELBROOKE,ALEC EDWARD,The Conservative Party Candidate,4409,12,ELECTED,14737
2006,LOCAL,Harewood Ward,JOHNSON,HAYLEY,The Labour Party Candidate,907,12,,14737
2006,LOCAL,Harewood Ward,BEVERLEY,JOANNA MARIE,British National Party,767,12,,14737
2006,LOCAL,Harewood Ward,HALL,JOANNE,Liberal Democrats,680,12,,14737
2006,LOCAL,Harewood Ward,FORD,MURRAY,Green Party,275,12,,14737
2006,LOCAL,Harewood Ward,CHRISTIE,FIONA JEAN,The Alliance for Green Socialism,36,12,,14737
2006,LOCAL,Bramley and Stanningley Ward,TAGGART,NEIL,The Labour Party Candidate,2005,9,ELECTED,16427
2006,LOCAL,Bramley and Stanningley Ward,COCKAYNE,SANDRA,British National Party,882,9,,16427
2006,LOCAL,Bramley and Stanningley Ward,SLACK,ADAM JOHN THOMAS,Liberal Democrats,803,9,,16427
2006,LOCAL,Bramley and Stanningley Ward,BEST,MICHAEL KENNETH,The Conservative Party Candidate,780,9,,16427
2006,LOCAL,Bramley and Stanningley Ward,BROWN,PAMELA JOY,Green Party,347,9,,16427
2006,LOCAL,Bramley and Stanningley Ward,MORRISON,EDMOND,BPP - Putting Britons First,135,9,,16427
2006,LOCAL,Rothwell Ward,GOLTON,BARRY STEWART,Liberal Democrats,2323,17,ELECTED,15399
2006,LOCAL,Rothwell Ward,BRUCE,KAREN,The Labour Party Candidate,1954,17,,15399
2006,LOCAL,Rothwell Ward,ANDREWS,TRACY ANN,British National Party,823,17,,15399
2006,LOCAL,Rothwell Ward,FLYNN,DOROTHY,The Conservative Party Candidate,613,17,,15399
2006,LOCAL,Chapel Allerton Ward,DOWSON,JANE ALICE,The Labour Party Candidate,2914,27,ELECTED,17050
2006,LOCAL,Chapel Allerton Ward,HARBERD,TIMOTHY DAVID,Liberal Democrats,1720,27,,17050
2006,LOCAL,Chapel Allerton Ward,BAKER,SIMON PHILIP,The Conservative Party Candidate,647,27,,17050
2006,LOCAL,Chapel Allerton Ward,FRANKLAND,JOHN GARTH,The Alliance for Green Socialism,558,27,,17050
2006,LOCAL,Chapel Allerton Ward,ELLIOT,MARK JAMES,Green Party,352,27,,17050
2006,LOCAL,Gipton and Harehills Ward,HARINGTON,ROGER JOHN URQUHART,The Labour Party Candidate,2766,31,ELECTED,15613
2006,LOCAL,Gipton and Harehills Ward,TEAR,ANDREW PAUL,Liberal Democrats,2577,31,,15613
2006,LOCAL,Gipton and Harehills Ward,GREENWOOD,BEATRICE,The Conservative Party Candidate,262,31,,15613
2006,LOCAL,Gipton and Harehills Ward,IQBAL,AZAR,The Alliance for Green Socialism,166,31,,15613
2006,LOCAL,Alwoodley Ward,HARRAND,PETER MERVYN,The Conservative Party Candidate,3693,37,ELECTED,17632
2006,LOCAL,Alwoodley Ward,BROWN,JONATHAN MICHAEL,Liberal Democrats,1902,37,,17632
2006,LOCAL,Alwoodley Ward,MASTERTON,RICHARD DOUGLAS,The Labour Party Candidate,1459,37,,17632
2006,LOCAL,Alwoodley Ward,JACKSON,BRIAN,The Alliance for Green Socialism,275,37,,17632
2006,LOCAL,Garforth and Swillington Ward,MURRAY,THOMAS,The Labour Party Candidate,3311,16,ELECTED,15848
2006,LOCAL,Garforth and Swillington Ward,LAMB,ALAN JAMES,The Conservative Party Candidate,3043,16,,15848
2006,LOCAL,Garforth and Swillington Ward,POWELL,JOHN,British National Party,988,16,,15848
2006,LOCAL,Garforth and Swillington Ward,NORMAN,ANN CARMELL,Liberal Democrats,643,16,,15848
2006,LOCAL,Kirkstall Ward,ATHA,BERNARD,The Labour Party Candidate,2149,47,ELECTED,16339
2006,LOCAL,Kirkstall Ward,COLEMAN,CHRISTINE RUTH,Liberal Democrats,1546,47,,16339
2006,LOCAL,Kirkstall Ward,REED,MARTIN LESLIE,Green Party,537,47,,16339
2006,LOCAL,Kirkstall Ward,JACKSON,BENJAMIN ROBERT,The Conservative Party Candidate,489,47,,16339
2006,LOCAL,Beeston and Holbeck Ward,CONGREVE,DAVID,The Labour Party Candidate,1981,18,ELECTED,15907
2006,LOCAL,Beeston and Holbeck Ward,FULLER,JAMES DANIEL,Liberal Democrats,1174,18,,15907
2006,LOCAL,Beeston and Holbeck Ward,TAYLOR,DEAN,British National Party,899,18,,15907
2006,LOCAL,Beeston and Holbeck Ward,WINFIELD,ROBERT JAMES WILLIAM,The Conservative Party Candidate,695,18,,15907
2006,LOCAL,Guiseley and Rawdon Ward,AVISON,COLIN CLIFFORD,Green Party,412,14,,16667
2006,LOCAL,Guiseley and Rawdon Ward,CHRISTIE,GARETH MORGAN,The Alliance for Green Socialism,55,14,,16667
