Organisation Name,Effective date,Service,Supplier Name,Paid Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,HASLAM PARK PRIMARY SCHOOL,01/02/2016,2400.00,INDEPENDENT UNITS,V000977035
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,HASLINGDEN HIGH SCHOOL,01/02/2016,1200.00,INDEPENDENT UNITS,V000977034
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,HEALTH & SAFETY SOLUTIONS (NW) LTD,01/02/2016,800.00,TRAINING-QUALIFICATION,V000977122
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,HODGE CLOUGH PRIMARY SCHOOL FUND,01/02/2016,2400.00,INDEPENDENT UNITS,V000977033
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,LANCASHIRE COUNTY COUNCIL,01/02/2016,1200.00,INDEPENDENT UNITS,V000977042
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),01/02/2016,4797.50,ACTIVITIES,V000975951
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),01/02/2016,4807.50,ACTIVITIES,V000975952
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,LONSDALE EDUCATIONAL CONSULTING LTD,01/02/2016,2700.00,CURRICULUM DEVELOPMENT,V000977137
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,MCKEE COLLEGE HOUSE,01/02/2016,1200.00,INDEPENDENT UNITS,V000977029
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,NEW PARK HIGH SCHOOL,01/02/2016,1200.00,INDEPENDENT UNITS,V000977028
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,NEWINGTON COMMUMITY PRIMARY SCHOOL,01/02/2016,1200.00,INDEPENDENT UNITS,V000977027
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,NORTH CHADDERTON SCHOOL,01/02/2016,1200.00,INDEPENDENT UNITS,V000977025
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,01/02/2016,549.42,PRINTING,V000961072
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,01/02/2016,624.07,PRINTING,V000961069
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,OLDHAM METROPOLITAN BOROUGH COUNCIL,01/02/2016,1200.00,OTHER LOCAL AUTHORITIES,V000977016
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,OLDHAM METROPOLITAN BOROUGH COUNCIL,01/02/2016,1200.00,INDEPENDENT UNITS,V000977017
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,OUR LADY AND ST ANSELMS R C PRIMARY SCHOOL,01/02/2016,4800.00,INDEPENDENT UNITS,V000977024
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,01/02/2016,-4150.83,HEALTH AUTH - SERVICE LEVEL AGREEMENT,V000975577
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,01/02/2016,4150.83,HEALTH AUTH - SERVICE LEVEL AGREEMENT,V000958261
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,PHONAK GROUP LIMITED,01/02/2016,765.00,EQUIPMENT - GENERAL,V000969201
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,RAINBOW SCENT,01/02/2016,2250.00,ACTIVITIES,V000975965
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,RAINBOW TRUST CHILDRENS CHARITY,01/02/2016,1299.33,ACTIVITIES,V000975973
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,ROCHDALE GATEWAY LEISURE LIMITED,01/02/2016,2451.75,ACTIVITIES,V000975970
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,SHINING STARS SWIMMING SCHEME,01/02/2016,1875.00,ACTIVITIES,V000975966
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,SKYLIGHT CIRCUS ARTS,01/02/2016,1143.17,ACTIVITIES,V000975950
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,SMBC PRIESTNALL SCHOOL,01/02/2016,1200.00,INDEPENDENT UNITS,V000977021
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,ST ANNES ACADEMY,01/02/2016,1200.00,INDEPENDENT UNITS,V000977045
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,THE BLUE COAT SCHOOL,01/02/2016,2400.00,INDEPENDENT UNITS,V000977015
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,01/02/2016,2848.96,ACTIVITIES,V000975947
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,TRAFFORD MBC,01/02/2016,1200.00,OTHER LOCAL AUTHORITIES,V000977031
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,TRUE SERENITY LTD,01/02/2016,752.00,ACTIVITIES,V000975971
ROCHDALE BOROUGH COUNCIL,01/02/2016,EARLY HELP AND SCHOOLS,WARDLE ACADEMY,01/02/2016,3600.00,INDEPENDENT UNITS,V000977044
ROCHDALE BOROUGH COUNCIL,01/02/2016,ECONOMY DIRECTORATE,REDACTED-PERSONAL DATA,01/02/2016,1266.06,GRANTS TO INDIVIDUALS,V000977172
ROCHDALE BOROUGH COUNCIL,01/02/2016,ECONOMY DIRECTORATE,VBA JOINT VENTURE LTD,01/02/2016,176095.50,NEW CONSTRUCTION,V000976874
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED-PERSONAL DATA,01/02/2016,500.00,GRANTS TO THE NON VOLUNTARY SECTOR,V000977185
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ALCO MINI TRAVEL,01/02/2016,1912.00,TAXI HIRE,V000977141
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ALICE INGHAM COURT SOCIAL CLUB,01/02/2016,1075.75,ACTIVITIES,V000977089
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,BODEN & DAVIES LTD,01/02/2016,793.07,CENTRAL HEATING,V000977080
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,BRAKE BROS FOOD SERVICE LTD,01/02/2016,509.64,PROVISIONS,V000977001
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,BRAKE BROS FOOD SERVICE LTD,01/02/2016,518.33,PROVISIONS,V000977001
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,BRAKE BROS FOOD SERVICE LTD,01/02/2016,563.78,PROVISIONS,V000977001
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,BRAKE BROS FOOD SERVICE LTD,01/02/2016,565.24,PROVISIONS,V000977001
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,BRAKE BROS FOOD SERVICE LTD,01/02/2016,611.25,PROVISIONS,V000977001
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,BRAKE BROS FOOD SERVICE LTD,01/02/2016,1022.37,PROVISIONS,V000977001
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,GPD TRAVEL,01/02/2016,1995.00,TAXI HIRE,V000977139
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,GPD TRAVEL,01/02/2016,2350.00,TAXI HIRE,V000977140
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,PAUL CHEESEMAN,01/02/2016,4000.00,ACTIVITIES,V000975250
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,PENNINE CARE NHS,01/02/2016,154545.00,CONTRACTED SERVICES,V000975955
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE & DIST CITIZENS ADVICE BUREAU,01/02/2016,38333.33,CITIZENS ADVICE BUREAU,V000975948
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BOROUGHWIDE HOUSING,01/02/2016,50580.83,CONTRACTS,V000975960
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE FOODBANK,01/02/2016,750.00,SUPPLIES AND SERVICES PROVISION,V000975962
ROCHDALE BOROUGH COUNCIL,01/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,TABARD INTERNATIONAL LTD,01/02/2016,1389.00,EQUIPMENT - GENERAL,V000976953
ROCHDALE BOROUGH COUNCIL,01/02/2016,PHYSICAL DIS & OLDER PEOPLE,DR BABATUNDE ADENIJI,01/02/2016,530.91,EXPENSES - GENERAL,V000975342
ROCHDALE BOROUGH COUNCIL,01/02/2016,PHYSICAL DIS & OLDER PEOPLE,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,01/02/2016,2147.34,SOCIAL SERVICES OTHER,V000977124
ROCHDALE BOROUGH COUNCIL,01/02/2016,PHYSICAL DIS & OLDER PEOPLE,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,01/02/2016,2306.82,SOCIAL SERVICES OTHER,V000977125
ROCHDALE BOROUGH COUNCIL,01/02/2016,PROPERTY AND HIGHWAYS,ENVIRONMENT AGENCY,01/02/2016,23601.75,ENVIRONMENTAL AGENCY FLOOD DEFENCE LEVY,V000975956
ROCHDALE BOROUGH COUNCIL,01/02/2016,PUBLIC HEALTH,LINK4LIFE (CHARITY),01/02/2016,36750.00,LINK 4 LIFE CONTRACT,V000975954
ROCHDALE BOROUGH COUNCIL,01/02/2016,PUBLIC HEALTH,LINK4LIFE (CHARITY),01/02/2016,235000.00,LINK 4 LIFE CONTRACT,V000975954
ROCHDALE BOROUGH COUNCIL,01/02/2016,PUBLIC HEALTH,LINK4LIFE (TRADING),01/02/2016,13846.00,LINK 4 LIFE CONTRACT,V000975953
ROCHDALE BOROUGH COUNCIL,01/02/2016,PUBLIC HEALTH,VIDERE LTD,01/02/2016,512.00,ACTIVITIES,V000976771
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,E MARLAND CHILDRENS RESPITE CARE LIMITED,02/02/2016,1792.00,DISABILITY PLACEMENTS,V000977064
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,EMMA GREENHALGH,02/02/2016,600.00,PROFESSIONAL FEES,V000977192
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,GATENBY SANDERSON,02/02/2016,2820.00,AGENCY STAFF,V000975595
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,579.26,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,594.78,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,838.50,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,902.41,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,992.52,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1022.31,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1023.07,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1034.13,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1034.15,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1034.15,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1034.15,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1145.13,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1404.66,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1551.42,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1915.12,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,SASHA WATKINSON,02/02/2016,1200.00,PROFESSIONAL FEES,V000977193
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,02/02/2016,721.98,FOSTER PARENTS BASIC ALLOWANCE,V000975476
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,02/02/2016,730.03,FOSTER PARENTS BASIC ALLOWANCE,V000975473
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,02/02/2016,760.48,FOSTER PARENTS BASIC ALLOWANCE,V000975474
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,02/02/2016,803.25,FOSTER PARENTS BASIC ALLOWANCE,V000975475
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,02/02/2016,803.25,UNDERTAKERS COSTS,V000975477
ROCHDALE BOROUGH COUNCIL,02/02/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,02/02/2016,874.02,FOSTER PARENTS BASIC ALLOWANCE,V000975478
ROCHDALE BOROUGH COUNCIL,02/02/2016,EARLY HELP AND SCHOOLS,ALDER GRANGE SCHOOL,02/02/2016,1200.00,INDEPENDENT UNITS,V000977243
ROCHDALE BOROUGH COUNCIL,02/02/2016,EARLY HELP AND SCHOOLS,DARWEN ALDRIDGE COMMUNITY ACADEMY AND SIXTH FORM,02/02/2016,1200.00,INDEPENDENT UNITS,V000977240
ROCHDALE BOROUGH COUNCIL,02/02/2016,EARLY HELP AND SCHOOLS,GROUNDWORK LANDSCAPES LIMITED,02/02/2016,3449.85,IMPROVEMENTS-MODERNISATION,V000974697
ROCHDALE BOROUGH COUNCIL,02/02/2016,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1034.15,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1070.43,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,EARLY HELP AND SCHOOLS,J C MILLS & SON LIMITED,02/02/2016,5181.68,IMPROVEMENTS-MODERNISATION,V000975403
ROCHDALE BOROUGH COUNCIL,02/02/2016,ECONOMY DIRECTORATE,AUDITEL SYSTEMS,02/02/2016,4500.00,IMPROVEMENTS-MODERNISATION,V000976943
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,659.71,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,659.71,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,689.31,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,781.20,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,835.38,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,881.20,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,959.43,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,978.90,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1096.29,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1209.53,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,3271.25,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,JACOBS,02/02/2016,1101.36,INPUT VAT -  ADJUSTMENTS,V000975750
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,NORTHGATE PUBLIC SERVICES (UK) LTD,02/02/2016,8400.00,SOFTWARE,V000975791
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,ROYAL MAIL GROUP PLC,02/02/2016,2200.00,POSTAGE,V000977255
ROCHDALE BOROUGH COUNCIL,02/02/2016,FINANCE SERVICES,ZURICH MUNICIPAL,02/02/2016,50000.00,TRANSACTIONS-EXPENDITURE,V000977235
ROCHDALE BOROUGH COUNCIL,02/02/2016,LEARNING DIS & MENTAL HEALTH,COMFORT CALL LTD,02/02/2016,858.00,PERSONAL BUDGETS - MANAGED,V000975924
ROCHDALE BOROUGH COUNCIL,02/02/2016,LEARNING DIS & MENTAL HEALTH,HAYS SPECIALIST RECRUITMENT LTD,02/02/2016,1034.13,AGENCY STAFF,V000977232
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ABLE LORRY LOADERS LTD,02/02/2016,1619.75,VEHICLE MAINTENANCE,V000976801
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,02/02/2016,524.98,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V000976206
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,02/02/2016,526.22,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V000976216
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,02/02/2016,553.32,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V000976212
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,02/02/2016,557.49,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V000976209
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,02/02/2016,559.00,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V000976201
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,02/02/2016,560.12,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V000976214
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,02/02/2016,584.51,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V000976203
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,02/02/2016,603.04,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V000976204
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,02/02/2016,1107.60,CHILDRENS POST MORTEMS,V000974205
ROCHDALE BOROUGH COUNCIL,02/02/2016,NEIGHBOURHOODS AND ENVIRONMENT,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,02/02/2016,1200.00,MORTUARY CHARGES,V000974205
