Customer,Number of Travellers,Total Cost ex VAT,Travel Class,Travel Date,Journey Start Point,Journey Finish Point,Air Carrier
Ministry of Justice,NULL,NULL,Economy,1/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/18/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/18/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/18/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/18/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/18/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/18/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Business Class,1/18/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/18/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/18/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/18/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/19/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/19/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/19/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/19/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/19/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/19/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Business Class,1/19/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Business Class,1/19/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/19/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/21/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Business Class,1/21/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Business Class,1/22/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/23/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/24/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/25/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/26/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/27/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/27/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Premium Economy,1/27/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Premium Economy,1/27/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/27/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/27/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,1/27/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/28/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/28/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/29/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Premium Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Premium Economy,1/31/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Premium Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/1/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/2/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/3/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/4/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/4/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/4/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/4/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/4/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/4/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/4/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/6/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/6/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/7/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/7/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/7/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/7/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/7/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/7/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/7/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/7/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/7/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/8/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/9/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/9/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/9/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/9/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/9/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/9/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/9/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/9/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/10/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/11/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/11/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/13/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/14/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/15/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/15/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/15/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/15/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/15/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/15/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Business Class,2/15/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Business Class,2/15/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Business Class,2/15/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/15/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Premium Economy,2/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/16/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/17/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/17/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/18/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/19/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Business Class,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Business Class,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Business Class,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Business Class,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/20/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/21/2011,NULL,NULL,NULL
Ministry of Justice,NULL,NULL,Economy,2/21/2011,NULL,NULL,NULL
National Offender Management Service,NULL,NULL,Economy,2/21/2011,NULL,NULL,NULL
