Ratepayer Name,Property Address,Propref,Billing Address,RV
,"Huddersfield Road, Elland, HX5 0EE",56132706,,4450
,"Norman Street, Huddersfield Road, Elland, HX5 9BS",56132731,,8400
,"Unit 1, The Ainleys, Huddersfield Road, Elland              HX5 9JR",56132737,,2100
Elland Tyre & Exhaust Services Ltd,"Unit 1, Fordsall House, Huddersfield Road, Elland              HX5 9DW",56132744,"Unit 1, Fordsall House, Huddersfield Road, Elland, HX5 9DW",7100
,"Rear 59 Huddersfield Road, Elland, HX5 9AA",56132773,,2550
Autoweigh Scales (Uk) Ltd,"51 James Street, Elland, HX5 0HB",56144051,,9400
,"6A St Pauls Buildings, Langdale Street, Elland, HX5 0EX",56156701,,2200
,"Adj 69 Langdale Street, Elland, HX5 0JE",56156703,,1100
Mr Phillip E Jones,"Garage 2, Lime Tree Avenue, Elland, HX5 9BE",56160700,"15 Lime Tree Avenue, Elland, West Yorkshire, HX5 9BE",1875
,"Blackley Cricket Club, Lindley Road, Blackley, Elland              HX5 0TE",56164700,,3850
Benjamin Whiteley & Sons Ltd,"Park Road Mills, Park Road, Elland, HX5 9HX",56192725,"Park Road Mills, Park Road, Elland, HX5 9HX",3600
C J W Printers Ltd,"22 South Lane, Elland, HX5 0HQ",56220022,,7100
,"S/O Fire Station, South Lane, Elland, HX5 0HQ",56220706,,3350
,"Unit 5 Woodman Works, South Lane, Elland, HX5 0PA",56220725,,1100
,"Unit 20 Woodman Works, South Lane, Elland, HX5 0HQ",56220737,,4900
Heathleigh Ltd,"Unit 2 Woodman Works, South Lane, Elland, HX5 0PA",56220746,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",970
Ciella Ltd,"54B Southgate, Elland, HX5 0DQ",56224054,,4100
Providence Day Nursery Ltd,"Providence House, Providence Street, Elland, HX5 9DW",56194700,,9500
Newsome Ltd,"Calder Bank Mills, Saddleworth Road, Elland, HX5 0RY",56212706,,9400
,"5 Southgate, Elland, HX5 0BW",56224005,,2500
Earththings Florists Ltd,"29 Southgate, Elland, HX5 0BW",56224029,,6400
,"48 Southgate, Elland, HX5 0DQ",56224046,,8000
,"72 Southgate, Elland, HX5 0PS",56224072,,7300
,"80 Southgate, Elland, HX5 0EP",56224080,,4700
Elland Cars Ltd,"92 Southgate, Elland, HX5 0EP",56224092,,4700
,"98 Southgate, Elland, HX5 0EP",56224098,,6600
,"St Pauls Buildings, Southgate, Elland, HX5 0EX",56224706,,3450
Leading Force Ltd,"R/O 80 Southgate, Elland, HX5 0EP",56224728,,6500
,"6 The Cross, Elland, HX5 0BB",56228006,,5100
,"8 The Cross, Westgate, Elland, HX5 0BB",56228008,,6600
,"3/4 Town Hall Buildings, Elland, HX5 9AJ",56236003,,6400
,"11 Victoria Road, Elland, HX5 0AB",56244011,,8800
,"Media Mills, Westbury Mills, Westbury Street, Elland              HX5 9AT",56248706,,3400
Mark Of Quality Ltd,"King Cross Joinery Works, Aachen Way, Halifax, HX1 3ND",64004700,"The Old Joinery Works, Aachen Way, King Cross, Halifax, HX1 3ND",2900
Aarondale Accountancy Services Ltd,"Akroyd House, 2 Akroyd Place, Halifax, HX1 1YH",64036700,,7000
,"56 Albert Road, Halifax, HX2 0DF",64040056,,1575
,"Moorlea Garage, Albert Road, Halifax, HX2 0DF",64040705,,3050
,"54 Southgate, Elland, HX5 0DQ",56224714,,3200
,"Bowling Club, Amisfield Road, Hipperholme, Halifax             HX3 8NE",64072703,,4650
S & S Fab Tech Ltd,"Talbot Works, Albert Road, Halifax, HX2 0DF",64040714,,10500
G & A Engineering Ltd,"Unit 5 Victoria Terminal, Albert Road, Halifax, HX2 0BY",64040723,,6200
,"Victoria Works, Allerton Place, Halifax, HX1 5JJ",64068700,,8100
,"Arundel Street, Halifax, HX1 4LE",64084703,,8600
,"95 Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096095,,3950
,"99a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096701,,2475
,"16 Bank Edge Road, Halifax, HX2 8JU",64136016,,2350
,"32 Bank Top, Southowram, Halifax, HX3 9NJ",64144032,,4100
,"Bankhouse Lane, Salterhebble, Halifax, HX3 0QL",64148701,,1775
,"66/68 Battinson Road, Halifax, HX1 4RW",64176711,,8400
,"9 Albion Street, Halifax, HX1 1DU",64052009,,3600
,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",64184702,,6900
,"Bedford Street Works, Bedford Street, Halifax, HX1 5DL",64188702,,5800
W Brown (Halifax) Ltd,"Stirling Works, 16 Bedford Street, Halifax, HX1 5DL",64188705,,3050
,"Bedford Street Garage, 16a Bedford Street, Halifax, HX1 5DL",64188706,,2325
,"Eastfield Mills, Belmont Street, Claremount, HX3 6AT",64236701,,4800
,"Unit 10, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",64236707,,3750
,"26 Borough Market, Halifax, HX1 1DY",64288026,,4150
,"34 Borough Market, Halifax, HX1 1DY",64288034,,3600
,"35 Borough Market, Halifax, HX1 1DY",64288035,,3000
,"Market Stall 9-12, Market Hall, Borough Market, Halifax             HX1 1DZ",64288711,,9000
,"Market Stall 13-14, Market Hall, Borough Market, Halifax             HX1 1DZ",64288713,,4850
,"Market Stall 29-32, Market Hall, Borough Market, Halifax             HX1 1DZ",64288723,,10250
Mr Robert Ashton,"Market Stall 65-66, Market Hall, Borough Market, Halifax             HX1 1DZ",64288736,"43 Oakwood Road, Wetherby, LS22 7QY",4950
,"Market Stall 69-71, Market Hall, Borough Market, Halifax             HX1 1DZ",64288738,,10000
,"Market Stall 75-76, Market Hall, Borough Market, Halifax             HX1 1DZ",64288740,,4850
,"Market Stall 96-100, Market Hall, Borough Market, Halifax             HX1 1DZ",64288752,,5700
,"Market Stall 112-113, Market Hall, Borough Market, Halifax             HX1 1DZ",64288754,,6600
,"Market Stall 123, Market Hall, Borough Market, Halifax             HX1 1DZ",64288763,,3200
,"Market Stall 125, 125A 126A, Market Hall, Borough Market, Halifax              HX1 1DZ",64288765,,3950
Bowling Green Primary School,"Bowling Green Primary School, Stainland, Halifax, HX4 9HU",64300700,,11000
,"Rose & Crown Inn, Bowling Green, Stainland, Halifax             HX4 9PF",64300702,,3300
,"R/O 7/9 Bowling Green, Stainland, Halifax, HX4 9PF",64300703,,3250
,"1/3 Bowman Terrace, Halifax, HX1 5PB",64304001,,6100
,"Unit 2, The Tannery, Bradford Road, Halifax             HX3 7HR",64332704,,780
,"Unit 51 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344713,,3650
Whiteley's Of Halifax Ltd,"Unit 52 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344714,"F.A.O. Mr Robin Whiteley, 5/6 Bank End, Upper Greetland, Halifax, HX4 8PR",4550
,"Unit 21 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344716,,1275
,"Land R/O Boys Scarr, Boy Mill Road, Luddendenfoot, Halifax              HX2 6ET",64348701,,1100
Complete Packaging Sevices Ltd,"Unit 5, Brunswick Works, Brassey Street, Halifax             HX1 2EA",64352710,,9700
,"Southedge Iron Works, Brighouse Road, Hipperholme, Halifax             HX3 8EG",64376711,,5300
,"Adj Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",64376726,,3900
,"Brighouse&Denholmegate Rd, Shelf, Halifax, HX3 7TG",64380700,,9100
,"Dundee Farm, Brighouse&Denholmegate Rd, Shelf, Halifax             HX3 7TG",64380703,,1600
,"Burnley Hill Farm, Burnley Hill, Shelf, Halifax             HX3 7LJ",64440700,,1650
,"King Cross Garage, Burnley Road, Halifax, HX2 7JG",64444701,,5900
,"London House, Burnley Road, Luddendenfoot, Halifax             HX2 6AA",64448708,,2850
,"Warley Springs Garage, Burnley Road, Halifax, HX2 7NB",64452703,,5700
,"Luddendenfoot Bowling Club, Tillotson Holme, Luddendenfoot, Halifax              HX2 6AF",64476700,,2900
,"7 Carlton Street, Halifax, HX1 2AL",64488007,,5900
,"16 Carlton Street, Halifax, HX1 2AL",64488700,,6000
Shelf Pharmacy Ltd,"14 Carr House Road, Shelf, Halifax, HX3 7QY",64500014,,4950
,"Carr Wood House, Carr House Road, Shelf, Halifax             HX3 7RJ",64500701,,6200
,"1/3 Carr House Road, Shelf, Halifax, HX3 7QY",64500706,,10500
,"3 Central Street, Halifax, HX1 1HU",64524003,,5900
Pearson Brothers (Engravers) Ltd,"Chapel Lane, Salterhebble, Halifax, HX3 0QN",64532700,,7900
,"6 Church Lane, Southowram, Halifax, HX3 9TD",64568006,,1175
,"4 Clare Road, Halifax, HX1 2HX",64584004,,5400
,"22 Clare Road, Halifax, HX1 2HX",64584706,,3600
,"16 Clare Street, Halifax, HX1 2LF",64588016,,6700
,"20 Claremount Road, Halifax, HX3 6JQ",64592020,,9800
,"143 Claremount Road, Halifax, HX3 6JQ",64592143,,3500
,"299 Claremount Road, Halifax, HX3 6AW",64592299,,3550
,"Claremount Road, Halifax, HX3 6AW",64592700,,2250
,"277 Claremount Road, Halifax, HX3 6AP",64592703,,11250
C N C Services Ltd,"Clay House Mills, Clay House Lane, Greetland, Halifax             HX4 8AW",64596702,,9500
Calderdale Engineering Services Ltd,"Thrum Hall Works, Clay Pits Lane, Halifax, HX1 4QS",64600700,"Unit 5 Grantham Works, Grantham Road, Halifax, HX3 6PL",8600
E Feather Ltd,"Clevedon Place, Lee Mount, Halifax, HX3 5QA",64604701,,4250
,"1 Co-Operative Buildings, Wheatley Road, Wheatley, Halifax             HX3 5LP",64632001,,4850
,"Coal Lane, Ogden, Halifax, HX2 9PG",64640700,,5400
,"Caravan Site (No 1), Plane Trees Farm, Northowram, Halifax             HX3 7SA",64656703,,1000
,"16 Commercial Street, Halifax, HX1 1TA",64660016,,9100
,"49 Commercial Street, Halifax, HX1 1BE",64660049,,6000
,"53 Commercial Street, Halifax, HX1 1BE",64660053,,7700
,"70 Commercial Street, Halifax, HX1 2JE",64660070,,6500
,"72 Commercial Street, Halifax, HX1 2JE",64660072,,3050
,"Old Rishworthians Rufc, Copley Lane, Halifax, HX3 0UG",64680701,,8200
,"Ovenden Rugby League F C, Cousin Lane, Halifax, HX2 8AD",64696707,,4800
,"4 Cow Green, Halifax, HX1 1JF",64700004,,4700
,"10 Cow Green, Halifax, HX1 1JF",64700010,,4650
,"43 Crossley Hill, Halifax, HX3 0PL",64744043,,8900
,"Garage 6, Crossley Hill, Halifax, HX3 0PL",64744702,,2500
,"30 Crown Street, Halifax, HX1 1TT",64756030,,6500
Redwoods Estate Agency,"55 Crown Street, Halifax, HX1 1JB",64756055,"Central House, Central Street, Halifax, HX1 1HU",6700
,"1st,2nd & 3rd Floors, 31/33 Crown Street, Halifax, HX1 1TT",64756722,,9000
,"Damask Street, Halifax, HX1 5SZ",64774700,,2400
,"5 Deal Street, Halifax, HX1 1QX",64780005,,5900
,"Unit D1/A, Dean Clough Mills, Halifax, HX3 5AX",64784742,,6700
,"Unit D31, D Mill, Dean Clough Industrial Park, Halifax              HX3 5AX",64784745,,2850
,"Unit GY/1, G Mill Yard, Dean Clough Industrial Park, Halifax              HX3 5AX",64784780,,3750
,"Unit H3/C, H Block, Dean Clough Industrial Park, Halifax              HX3 5EX",64784785,,4500
,"Unit T2, Dean Clough Industrial Park, Halifax, HX3 5WL",64784802,,5100
,"Broad Fold Park, Dean House Lane, Luddenden, Halifax              HX2 6TP",64792701,,2550
Kendalls Ices Ltd,"Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",64812700,,7700
,"Denholmegate Road, Hipperholme, Halifax, HX3 8JR",64812704,,2250
Geco U.K Ltd,"Unit 3, Dominion Industrial Park, Denholmegate Road, Hipperholme         HX3 8JG",64812722,,9800
,"Unit 1 Co-Op Shopping Parade, Denholmegate Road, Hipperholme, Halifax             HX3 8LT",64812733,,11250
Interiors By Dalesman Ltd,"Part Units 4/5, Dominion Industrial Park, Denholmegate Road, Hipperholme         HX3 8JG",64812737,,5800
,"440 Gibbet Street, Highroadwell, Halifax, HX2 0AU",64820700,,7200
,"10 Dodge Holme Drive, Mixenden, Halifax, HX2 8PE",64832010,,1900
,"Lower New Yard, Dog Lane, Stainland, Halifax             HX4 9QD",64836704,,3300
Cockroft Timber Ltd,"Unit A, Dundas Street, Halifax, HX1 3PQ",64848702,,7800
,"Dyson Road, Halifax, HX1 4RJ",64864701,,4500
,"Dyson Road, Halifax, HX1 4RJ",64864702,,3050
A.R.P. Security Services Ltd,"31 Edwards Road, Halifax, HX2 7DG",65008031,,3700
Merlin Precision Engineering Ltd,"Eldon Street, Range Lane, Halifax, HX3 6DW",65012700,,7200
,"Unit 7 Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",65020710,,5600
,"Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",65020713,,820
,"Ellen Holme Lane, Luddendenfoot, Halifax, HX2 6EP",65020720,,11500
West End Joiners & Builders Ltd,"Farrar Mill Yard, Farrar Mill Lane, Halifax, HX3 9EU",65068700,,7300
Contract Fabrications Ltd,"Farrar Mill, Farrar Mill Lane, Halifax, HX3 9EU",65068706,,8900
Heath Pharmacy Ltd,"Pharmacy & Chemist, 96 Free School Lane, Halifax, HX1 2YF",65108701,,4700
,"97-101 Gibbet Street, Halifax, HX1 5BP",65164097,,8100
,"118 Gibbet Street, Halifax, HX1 5LE",65164118,,2550
,"119 Gibbet Street, Halifax, HX1 5BP",65164119,,2950
,"307 Gibbet Street, Halifax, HX1 4JX",65164307,,3050
,"444 Gibbet Street, Halifax, HX2 0AX",65164444,,1550
,"121 Gibbet Street, Halifax, HX1 5BP",65164775,,5100
,"446-448 Gibbet Street, Halifax, HX2 0AX",65164787,,5900
,"268 Gibbet Street, Halifax, HX1 4LT",65164825,,6000
,"East West House, Gibbet Street, Halifax, HX1 5JE",65164835,,9400
,"62 Gibbet Street, Halifax, HX1 5BP",65164841,,6900
Motoretta Ltd,"2 Halifax Road, Hipperholme, Halifax, HX3 8EN",65232002,"Fao D P Cockroft, 49 Half House Lane, Hove Edge, Brighouse, HD6 2PH",9100
Walker May (Halifax) Ltd,"The Stoneyard, Fenny Royd, Halifax Road, Hipperholme          HX3 8HQ",65232732,"The Stone Yard, Fenny Royd, Hipperholme, Halifax, HX3 8HQ",4950
Risuda Fabrications Ltd,"48 Hare Street, Halifax, HX1 4DJ",65268048,,7700
,"3 Heathy Lane, Holmfield, Halifax, HX2 9UN",65304003,,1325
Fisher & Haynes Ltd,"Unit 3-5, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",64356708,"Units 3-4, Brearley Trading Estate, Brearley Lane, Luddendenfoot, HX2 6HU",4600
,"15 Heath Mount, Free School Lane, Halifax, HX1 2YR",65300015,,8600
,"Greystones, Wheatley, Halifax, HX2 8TX",64712700,,2900
,"39 Bull Close Lane, Halifax, HX1 2EF",64432039,,7900
Select Computer Systems Ltd,"Office Suite D210, Dean Clough Office Park, Halifax, HX3 5AX",64788721,,6100
Weld A C Supplies Ltd,"Unit 3, Arden Works, Fenton Road, Halifax             HX1 3PP",65072705,"Unit 3 Arden Works, Fenton Road, King Cross, Halifax, HX1 3PP",3500
,"Grd Flr Part Thornton Works, Fenton Road, Halifax, HX1 3PP",65072707,,5900
Samuel Earnshaw Ltd,"7 Ferguson Street, Halifax, HX1 2EE",65076007,,5000
,"Unit 17, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164740,,1075
,"Unit 2 Godly Branch Road, Godly, Halifax, HX3 6AH",65184701,,4500
,"Gordon Street, Boothtown, Halifax, HX3 6NU",65188701,,4850
Staptina Engineering Services Ltd,"Units 9-12, Grantham Works, Grantham Road, Halifax             HX3 6PL",65192710,"Units 9/12 Grantham Works, Grantham Road, Halifax, HX3 6PL",11500
,"Turn Lee Recreation Ground, Green Lane, Midgley, Halifax              HX2 6TT",65200700,,1150
,"Greenroyd, Mount Tabor, Halifax, HX2 0UE",65208700,,1125
,"61 Hanson Lane, Halifax, HX1 5NX",65264061,,1425
Scoffers (Yorkshire) Ltd,"Unit 12, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",65264734,,3450
,"High Lee Green, Luddendenfoot, Halifax, HX2 6LD",65320700,,2325
,"Forest Joinery Works, Hopkinson Street, Ovenden, Halifax             HX3 6RB",65360700,,1900
Alfred Bottomley Ltd,"10 Hopwood Lane, Halifax, HX1 5HW",65364010,,4600
,"44 Hopwood Lane, Halifax, HX1 5ER",65364044,,6200
Halifax Engineering Supplies Ltd,"Unit 9, Margram Business Centre, Horne Street, Halifax             HX1 5UA",65376702,,5400
Thornham Paints [Yorks] Ltd,"Unit 5/6, Margram Business Centre, Horne Street, Halifax             HX1 5UA",65376706,"Oozewood Road, Royton, Oldham, OL2 5SQ",9700
,"8 Horton Street, Halifax, HX1 1PU",65388008,,4350
,"11 Horton Street, Halifax, HX1 1QE",65388011,,3600
,"300 Huddersfield Road, Halifax, HX3 0PF",65412300,,2900
,"26 Illingworth Road, Illingworth, Halifax, HX2 9EN",65424026,,2550
,"28 Illingworth Road, Illingworth, Halifax, HX2 9EN",65424028,,2600
,"4 Keighley Road, Halifax, HX3 6QP",65484004,,3150
,"251 King Cross Road, & 2 Gledhills Yard, Halifax, HX1 3JL",65516702,,5500
,"Beehive & Cross Keys Inn, King Cross Street, Halifax, HX1 2SH",65520700,,6000
William Wood's Exors Ltd,"Lambert Street, Greetland, Halifax, HX4 8AA",65560700,"Lambert Street Works, Lambert Street, West Vale, Halifax, HX4 8AA",9400
,"5 Lane Ends, Shibden, Halifax, HX3 7UW",65566005,,1500
,"9 Lane Ends Terrace, Halifax Road, Hipperholme, Halifax              HX3 8HJ",65580009,,4950
,"Laurel Crescent, Halifax, HX2 8DF",65588700,,1075
,"14 Law Lane, Southowram, Halifax, HX3 9QU",65592014,,2400
,"20 Law Lane, Southowram, Halifax, HX3 9QU",65592020,,3750
Henderson Fabrications Ltd,"Unit 4, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600703,"Unit 4, Lee Bridge Ind Estate, Lee Bridge, Halifax, HX3 5AT",8100
J & R Electrical Ltd,"Unit 6, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600716,,8000
Hi-Tech Security And Fire Systems (Halifax) Ltd,"Unit 17, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 6RE",65600721,"Unit 17, Lee Bridge Industrial Estate, Lee Bridge, Halifax, HX3 5HE",7500
,"Leeds Road, Halifax, HX3 7AE",65612701,,2125
,"3 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616003,,4600
,"7 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616007,,4800
,"Adj Whitehall Hotel, Leeds Road, Hipperholme, Halifax             HX3 8ND",65616708,,4400
,"R/O Newsagents, Leeds Road, Hipperholme, Halifax              HX3 8ND",65616716,,1150
,"28 Lees Buildings, Halifax Road, Hipperholme, Halifax             HX3 8EW",65624028,,3100
