Department Family,Entity,Date,Expenses Type,ense Area, Supplier ,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Building Works,Capital, HELIX ROOFING CONTRACTORS LTD ,0000541961," 131,660.42 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,IT Equipment,Finance & Business Development, HP INC.UK LIMITED ,0000541744," 32,221.98 "
Department of Health,The Christie NHS Foundation Trust,26/01/2017,Proton Beam Development (PBT),Capital, INTERSERVE CONSTRUCTION LTD ,0000543322," 2,543,133.82 "
Department of Health,The Christie NHS Foundation Trust,26/01/2017,IPU Development,Capital, INTERSERVE CONSTRUCTION LTD ,0000543321," 685,889.38 "
Department of Health,The Christie NHS Foundation Trust,05/01/2017,Surgical Theatres Development,Capital, INTERSERVE ENGINEERING SERVICES LTD ,0000540691," 176,739.90 "
Department of Health,The Christie NHS Foundation Trust,13/01/2017,Medical Equipment,Cancer Centre Services, INTUITIVE SURGICAL SARL ,0000540838," 28,401.00 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Chemotherapy Prescribing System,Finance & Business Development, IQ HEALTH TECH LTD ,0000542289," 28,680.00 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Chemotherapy Prescribing System,Finance & Business Development, IQ HEALTH TECH LTD ,0000542290," 35,100.00 "
Department of Health,The Christie NHS Foundation Trust,09/01/2017,Rates 16/17,Estates & Facilities, M/CR CITY COUNCIL (RATES) DD ,0000543209," 43,927.00 "
Department of Health,The Christie NHS Foundation Trust,05/01/2017,Drugs,Drugs, MID CHESHIRE HOSPITALS NHS FT ,0000540823," 69,770.80 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Blood Products,Cancer Networked Services, NHS BLOOD AND TRANSPLANT ,0000540069," 51,468.84 "
Department of Health,The Christie NHS Foundation Trust,16/01/2017,Blood Products,Cancer Networked Services, NHS BLOOD AND TRANSPLANT ,0000543202," 166,154.50 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Blood Products,Cancer Networked Services, NHS BLOOD AND TRANSPLANT ,0000540821," 37,285.54 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Blood Products,Cancer Networked Services, NHS BLOOD AND TRANSPLANT ,0000541054," 37,634.90 "
Department of Health,The Christie NHS Foundation Trust,16/01/2017,NHS Litigation (NHSLA),Finance & Business Development, NHS LITIGATION AUTHORITY ,0000543210," 56,990.00 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Stock for all Wards & Departments,All Wards and Departments, NHS SUPPLY CHAIN ,0000540799," 43,007.63 "
Department of Health,The Christie NHS Foundation Trust,26/01/2017,Stock for all Wards & Departments,All Wards and Departments, NHS SUPPLY CHAIN ,0000543199," 37,791.48 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Stock for all Wards & Departments,All Wards and Departments, NHS SUPPLY CHAIN ,0000541160," 52,772.74 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Stock for all Wards & Departments,All Wards and Departments, NHS SUPPLY CHAIN ,0000541954," 29,554.73 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Stock for all Wards & Departments,All Wards and Departments, NHS SUPPLY CHAIN ,0000542368," 30,112.62 "
Department of Health,The Christie NHS Foundation Trust,19/01/2017,Project Costs,Cancer Networked Services, PHILIPS HEALTHCARE ,0000540208," 37,880.28 "
Department of Health,The Christie NHS Foundation Trust,05/01/2017,Project Costs,Cancer Networked Services, PHILIPS HEALTHCARE ,0000540539," 122,437.14 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Medical Equipment,Cancer Centre Services, SIEMENS HEALTHCARE LIMITED ,0000541094," 48,379.88 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Anaesthetics SLA - Sept 16,Cancer Centre Services, UNI HOSP OF SOUTH MANCHESTER NHS FT ,0000541286," 29,638.00 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Critical Care SLA - Aug 16,Cancer Centre Services, UNI HOSP OF SOUTH MANCHESTER NHS FT ,0000541288," 27,148.00 "
Department of Health,The Christie NHS Foundation Trust,12/01/2017,Broadband Services,Finance & Business Development, VIRGIN MEDIA BUSINESS ,0000537955," 98,715.31 "
Department of Health,The Christie NHS Foundation Trust,26/01/2017,Insurance Policies,Finance & Business Development, ZURICH INSURANCE PLC ,0000542976," 62,184.20 "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
