Organisation Name,Effective Date,Service,Supplier Name,Paid Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,04/04/2016,3009.91,FOSTER PARENTS BASIC ALLOWANCE,V000986091
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,04/04/2016,2692.32,FOSTER PARENTS BASIC ALLOWANCE,V000986092
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,04/04/2016,2775.59,FOSTER PARENTS BASIC ALLOWANCE,V000986093
ROCHDALE BOROUGH COUNCIL,04/04/2016,PUBLIC HEALTH,PENNINE CARE NHS,04/04/2016,4565,PH PENNINE CARE CONTRACT,V000986177
ROCHDALE BOROUGH COUNCIL,04/04/2016,PUBLIC HEALTH,PENNINE CARE NHS,04/04/2016,365212,PH PENNINE CARE CONTRACT,V000986177
ROCHDALE BOROUGH COUNCIL,04/04/2016,PUBLIC HEALTH,PENNINE CARE NHS,04/04/2016,833,PH PENNINE CARE CONTRACT,V000986368
ROCHDALE BOROUGH COUNCIL,04/04/2016,PUBLIC HEALTH,PENNINE CARE NHS,04/04/2016,10903,PH PENNINE CARE CONTRACT,V000986368
ROCHDALE BOROUGH COUNCIL,04/04/2016,PUBLIC HEALTH,PENNINE CARE NHS,04/04/2016,107801,PH PENNINE CARE CONTRACT,V000986368
ROCHDALE BOROUGH COUNCIL,06/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,THE UNIVERSITY OF MANCHESTER,06/04/2016,4000,GRANTS TO THE NON VOLUNTARY SECTOR,V000986383
ROCHDALE BOROUGH COUNCIL,04/04/2016,EARLY HELP AND SCHOOLS,DIOCESE OF SALFORD,04/04/2016,15102.77,IMPROVEMENTS-MODERNISATION,V000986388
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,DEPAUL UK,04/04/2016,3206.57,YOUNG PEOPLES RENTS,V000986633
ROCHDALE BOROUGH COUNCIL,01/04/2016,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,01/04/2016,4150.83,HEALTH AUTH - SERVICE LEVEL AGREEMENT,V000987850
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,FREEHOLD COTTAGE,08/04/2016,-1029.6,RESIDENTIAL LONG TERM,V000988069
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,FREEHOLD COTTAGE,08/04/2016,-1601.6,RESIDENTIAL LONG TERM,V000988070
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,FREEHOLD COTTAGE,08/04/2016,-1031.76,RESIDENTIAL LONG TERM,V000988078
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,FREEHOLD COTTAGE,08/04/2016,-1604.96,RESIDENTIAL LONG TERM,V000988079
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,08/04/2016,515.88,NURSING LONG TERM,V000988151
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,08/04/2016,-523.3,RESIDENTIAL LONG TERM,V000988281
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,08/04/2016,788.08,RESIDENTIAL LONG TERM,V000988364
ROCHDALE BOROUGH COUNCIL,08/04/2016,LEARNING DIS & MENTAL HEALTH,FREEHOLD COTTAGE,08/04/2016,2368,RESIDENTIAL LONG TERM,V000988472
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,08/04/2016,1027.96,RESIDENTIAL LONG TERM,V000988560
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,08/04/2016,605.66,NURSING LONG TERM,V000988563
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,08/04/2016,-675.95,RESIDENTIAL LONG TERM,V000988619
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,08/04/2016,1006.52,RESIDENTIAL LONG TERM,V000988673
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,08/04/2016,815.34,NURSING LONG TERM,V000988727
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,08/04/2016,-772.59,RESIDENTIAL LONG TERM,V000988780
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,08/04/2016,1203.72,NURSING LONG TERM,V000988786
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,08/04/2016,1029.72,RESIDENTIAL LONG TERM,V000988787
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,08/04/2016,923.36,RESIDENTIAL LONG TERM,V000988846
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,08/04/2016,-966.56,RESIDENTIAL LONG TERM,V000988890
ROCHDALE BOROUGH COUNCIL,08/04/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,08/04/2016,-966.36,RESIDENTIAL LONG TERM,V000988985
ROCHDALE BOROUGH COUNCIL,01/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,PROFILE SECURITY SERVICES LIMITED,01/04/2016,8372.96,SECURITY,V000989249
ROCHDALE BOROUGH COUNCIL,01/04/2016,PROPERTY AND HIGHWAYS,CAPITA PROPERTY AND INFRASTRUCTURE LTD,01/04/2016,6331.75,MAINTENANCE,V000989446
ROCHDALE BOROUGH COUNCIL,01/04/2016,PROPERTY AND HIGHWAYS,CAPITA PROPERTY AND INFRASTRUCTURE LTD,01/04/2016,6201.26,TIME CHARGE FOR OFF MARKET SALES,V000989447
ROCHDALE BOROUGH COUNCIL,11/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,LOCAL GOVERNMENT ASSOCIATION,11/04/2016,2260,SOFTWARE,V000989563
ROCHDALE BOROUGH COUNCIL,01/04/2016,PROPERTY AND HIGHWAYS,NPOWER LIMITED,01/04/2016,128252.16,ELECTRICITY,V000989584
ROCHDALE BOROUGH COUNCIL,07/04/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,07/04/2016,1908.67,MISC CHARGES,V000989627
ROCHDALE BOROUGH COUNCIL,07/04/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,07/04/2016,22719.28,MEALS,V000989628
ROCHDALE BOROUGH COUNCIL,04/04/2016,EARLY HELP AND SCHOOLS,DERBYSHIRE COUNTY COUNCIL,04/04/2016,727.08,OTHER EST - SEN PROVISION,V000989641
ROCHDALE BOROUGH COUNCIL,08/04/2016,EARLY HELP AND SCHOOLS,EARLY INTERVENTION FOUNDATION,08/04/2016,567,TRAINING,V000989643
ROCHDALE BOROUGH COUNCIL,04/04/2016,EARLY HELP AND SCHOOLS,ROCHDALE SIXTH FORM COLLEGE,04/04/2016,6007.46,OTHER EST - SEN PROVISION,V000989757
ROCHDALE BOROUGH COUNCIL,04/04/2016,EARLY HELP AND SCHOOLS,ROCHDALE SIXTH FORM COLLEGE,04/04/2016,6007.46,OTHER EST - SEN PROVISION,V000989758
ROCHDALE BOROUGH COUNCIL,13/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,OPS ENVIRONMENTAL SERVICES,13/04/2016,850,EQUIPMENT - GENERAL,V000989781
ROCHDALE BOROUGH COUNCIL,01/04/2016,FINANCE SERVICES,ROSSENDALES,01/04/2016,546.85,INPUT VAT -  ADJUSTMENTS,V000989845
ROCHDALE BOROUGH COUNCIL,01/04/2016,PROPERTY AND HIGHWAYS,ROCHDALE TRAINING ASSOCIATION LIMITED,01/04/2016,765,TRAINING,V000989859
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,04/04/2016,750,ADOPTION PAYMENTS,V000989913
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,04/04/2016,750,ADOPTION PAYMENTS,V000989914
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,04/04/2016,3582,ADOPTION PAYMENTS,V000989915
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,04/04/2016,750,ADOPTION PAYMENTS,V000989916
ROCHDALE BOROUGH COUNCIL,01/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,HENRY ALTY LIMITED,01/04/2016,578.1,EQUIPMENT - GENERAL,V000989984
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,04/04/2016,870,TRAINING,V000990016
ROCHDALE BOROUGH COUNCIL,15/04/2016,CHILDREN’S SOCIAL CARE,THE FOSTERING NETWORK,15/04/2016,790.4,FEES / COMMISSION,V000990047
ROCHDALE BOROUGH COUNCIL,15/04/2016,CHILDREN’S SOCIAL CARE,THE FOSTERING NETWORK,15/04/2016,991.59,FEES / COMMISSION,V000990047
ROCHDALE BOROUGH COUNCIL,07/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE DEVELOPMENT AGENCY,07/04/2016,900,SUMMON COSTS,V000990081
ROCHDALE BOROUGH COUNCIL,11/04/2016,PUBLIC HEALTH,GEORGE HOUSE TRUST,11/04/2016,1414.51,PH BUSINESS CASES,V000990107
ROCHDALE BOROUGH COUNCIL,07/04/2016,EARLY HELP AND SCHOOLS,BRITISH YOUTH COUNCIL,07/04/2016,500,PROJECTS,V000990136
ROCHDALE BOROUGH COUNCIL,15/04/2016,LEARNING DIS & MENTAL HEALTH,PETRUS,15/04/2016,23250,SERVICE LEVEL AGREEMENTS,V000990212
ROCHDALE BOROUGH COUNCIL,15/04/2016,LEARNING DIS & MENTAL HEALTH,PETRUS,15/04/2016,23250,SERVICE LEVEL AGREEMENTS,V000990213
ROCHDALE BOROUGH COUNCIL,14/04/2016,PHYSICAL DIS & OLDER PEOPLE,HOPWOOD HALL COLLEGE,14/04/2016,700,ROOM HIRE,V000990275
ROCHDALE BOROUGH COUNCIL,14/04/2016,PHYSICAL DIS & OLDER PEOPLE,HOPWOOD HALL COLLEGE,14/04/2016,600,ROOM HIRE,V000990276
ROCHDALE BOROUGH COUNCIL,13/04/2016,ECONOMY DIRECTORATE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,13/04/2016,20000,ACTIVITIES,V000990286
ROCHDALE BOROUGH COUNCIL,13/04/2016,ECONOMY DIRECTORATE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,13/04/2016,56250,ACTIVITIES,V000990286
ROCHDALE BOROUGH COUNCIL,14/04/2016,EARLY HELP AND SCHOOLS,COSY TOES PRIVATE DAY NURSERY,14/04/2016,945,ACTIVITIES,V000990293
ROCHDALE BOROUGH COUNCIL,15/04/2016,EARLY HELP AND SCHOOLS,ROCHDALE TRAINING ASSOCIATION LIMITED,15/04/2016,600,SPECIFIED MAINTENANCE,V000990312
ROCHDALE BOROUGH COUNCIL,04/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,M N PROPERTY CONSULTANTS,04/04/2016,24212,INSURANCE,V000990320
ROCHDALE BOROUGH COUNCIL,14/04/2016,EARLY HELP AND SCHOOLS,DSG RETAIL LIMITED,14/04/2016,749.98,EQUIPMENT - GENERAL,V000990337
ROCHDALE BOROUGH COUNCIL,15/04/2016,ECONOMY DIRECTORATE,ROCHDALE TRAINING ASSOCIATION LIMITED,15/04/2016,600,BASIC SALARIES,V000990343
ROCHDALE BOROUGH COUNCIL,15/04/2016,ECONOMY DIRECTORATE,ROCHDALE TRAINING ASSOCIATION LIMITED,15/04/2016,4226.88,BASIC SALARIES,V000990343
ROCHDALE BOROUGH COUNCIL,14/04/2016,EARLY HELP AND SCHOOLS,CALDERDALE METROPOLITAN BOROUGH COUNCIL,14/04/2016,7380,OTHER EST - SEN PROVISION,V000990358
ROCHDALE BOROUGH COUNCIL,08/04/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,08/04/2016,4292.58,IMPROVEMENTS-MODERNISATION,V000990468
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,04/04/2016,11600,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V000990469
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,04/04/2016,9908.64,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V000990470
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,04/04/2016,2064.3,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V000990471
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,CARITAS CARE LTD,04/04/2016,2071.43,FOSTER PARENTS BASIC ALLOWANCE,V000990472
ROCHDALE BOROUGH COUNCIL,01/04/2016,PUBLIC HEALTH,VIDERE LTD,01/04/2016,526,ACTIVITIES,V000990577
ROCHDALE BOROUGH COUNCIL,11/04/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,11/04/2016,1179.1,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V000990584
ROCHDALE BOROUGH COUNCIL,14/04/2016,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,14/04/2016,5640.05,SOFTWARE,V000990684
ROCHDALE BOROUGH COUNCIL,08/04/2016,FINANCE SERVICES,ROSSENDALES,08/04/2016,740.76,INPUT VAT -  ADJUSTMENTS,V000990742
ROCHDALE BOROUGH COUNCIL,15/04/2016,PHYSICAL DIS & OLDER PEOPLE,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,15/04/2016,5089.1,SUBSCRIPTIONS,V000990826
ROCHDALE BOROUGH COUNCIL,01/04/2016,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,01/04/2016,4021,CONSULTANT FEES,V000990879
ROCHDALE BOROUGH COUNCIL,15/04/2016,EARLY HELP AND SCHOOLS,EDUFOCUS LIMITED,15/04/2016,4999,SUBSCRIPTIONS,V000990932
ROCHDALE BOROUGH COUNCIL,18/04/2016,PROPERTY AND HIGHWAYS,GMCA,18/04/2016,2000,ROADWORKS,V000990937
ROCHDALE BOROUGH COUNCIL,04/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,GO PLANT LIMITED,04/04/2016,2415,TRANSACTIONS-EXPENDITURE,V000990938
ROCHDALE BOROUGH COUNCIL,15/04/2016,ECONOMY DIRECTORATE,ROCHDALE TRAINING ASSOCIATION LIMITED,15/04/2016,720,ACTIVITIES,V000991717
ROCHDALE BOROUGH COUNCIL,19/04/2016,EARLY HELP AND SCHOOLS,POSITIVE STEPS,19/04/2016,44100,EXTERNALLY MANAGED FUNDS,V000991719
ROCHDALE BOROUGH COUNCIL,19/04/2016,EARLY HELP AND SCHOOLS,DEEPLISH ACADEMY,19/04/2016,3998.97,RENTS,V000991724
ROCHDALE BOROUGH COUNCIL,14/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BANGLADESHI PARTNERSHIP PROJECT,14/04/2016,2200,EVENTS,V000991726
ROCHDALE BOROUGH COUNCIL,07/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,STOCKPORT METROPOLITAN BOROUGH COUNCIL,07/04/2016,550,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V000991754
ROCHDALE BOROUGH COUNCIL,15/04/2016,FINANCE SERVICES,REDACTED - PERSONAL DATA,15/04/2016,10667,TRANSACTIONS-EXPENDITURE,V000991793
ROCHDALE BOROUGH COUNCIL,12/04/2016,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,12/04/2016,381662.99,IMPROVEMENTS-MODERNISATION,V000991815
ROCHDALE BOROUGH COUNCIL,19/04/2016,FINANCE SERVICES,LINK4LIFE (CHARITY),19/04/2016,1183.5,ROOM HIRE,V000991819
ROCHDALE BOROUGH COUNCIL,06/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CP DAVIDSON & SONS LTD,06/04/2016,2730,TRANSACTIONS-EXPENDITURE,V000991832
ROCHDALE BOROUGH COUNCIL,11/04/2016,EARLY HELP AND SCHOOLS,VH PSYCHOLOGY SERVICES,11/04/2016,1400,BASIC SALARIES,V000991835
ROCHDALE BOROUGH COUNCIL,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,THE PENNINE ACUTE HOSPITALS NHS TRUST,08/04/2016,3538.83,CONTRACTED SERVICES,V000991854
ROCHDALE BOROUGH COUNCIL,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,SPRINGFIELD CITROEN GATESHEAD,08/04/2016,-4917.95,PURCHASE OF VEHICLES,V000991897
ROCHDALE BOROUGH COUNCIL,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,SPRINGFIELD CITROEN GATESHEAD,08/04/2016,12647,PURCHASE OF VEHICLES,V000991897
ROCHDALE BOROUGH COUNCIL,15/04/2016,FINANCE SERVICES,TEAM NETSOL LTD,15/04/2016,20000,SOFTWARE,V000991914
ROCHDALE BOROUGH COUNCIL,14/04/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,14/04/2016,634.18,GAS,V000991926
ROCHDALE BOROUGH COUNCIL,14/04/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,14/04/2016,2711.22,GAS,V000991933
ROCHDALE BOROUGH COUNCIL,12/04/2016,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,12/04/2016,5500,ROADWORKS,V000991936
ROCHDALE BOROUGH COUNCIL,14/04/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,14/04/2016,540.56,GAS,V000991937
ROCHDALE BOROUGH COUNCIL,14/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/04/2016,3486.79,GAS,V000991938
ROCHDALE BOROUGH COUNCIL,14/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/04/2016,4730.33,GAS,V000991939
ROCHDALE BOROUGH COUNCIL,19/04/2016,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,19/04/2016,1330,SOFTWARE,V000991957
ROCHDALE BOROUGH COUNCIL,11/04/2016,EARLY HELP AND SCHOOLS,VH PSYCHOLOGY SERVICES,11/04/2016,2400,BASIC SALARIES,V000991966
ROCHDALE BOROUGH COUNCIL,13/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,13/04/2016,500,OTHER MEDICAL EXPENSES,V000992139
ROCHDALE BOROUGH COUNCIL,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,08/04/2016,500,OTHER MEDICAL EXPENSES,V000992140
ROCHDALE BOROUGH COUNCIL,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,08/04/2016,500,OTHER MEDICAL EXPENSES,V000992142
ROCHDALE BOROUGH COUNCIL,13/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,13/04/2016,500,OTHER MEDICAL EXPENSES,V000992144
ROCHDALE BOROUGH COUNCIL,07/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,07/04/2016,1281,WITNESSES EXPENSES,V000992147
ROCHDALE BOROUGH COUNCIL,14/04/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,14/04/2016,653.53,WATER CHARGES,V000992195
ROCHDALE BOROUGH COUNCIL,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,CHILDSCAPE LIMITED,08/04/2016,2813,ENVIRONMENTAL WORKS LANDSCAPE,V000992216
ROCHDALE BOROUGH COUNCIL,01/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,01/04/2016,1945,IMPROVEMENTS-MODERNISATION,V000992254
ROCHDALE BOROUGH COUNCIL,11/04/2016,EARLY HELP AND SCHOOLS,BT BUSINESS DIRECT,11/04/2016,2746.5,EQUIPMENT - GENERAL,V000992259
ROCHDALE BOROUGH COUNCIL,14/04/2016,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,14/04/2016,15823.43,SOFTWARE,V000992277
ROCHDALE BOROUGH COUNCIL,14/04/2016,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,14/04/2016,50000,SOFTWARE,V000992277
ROCHDALE BOROUGH COUNCIL,12/04/2016,LEARNING DIS & MENTAL HEALTH,G4S CASH SOLUTIONS UK LIMITED,12/04/2016,-544.21,SECURITY,V000992335
ROCHDALE BOROUGH COUNCIL,21/04/2016,EARLY HELP AND SCHOOLS,OLDHAM METROPOLITAN BOROUGH COUNCIL,21/04/2016,3395,OTHER EST - SEN PROVISION,V000992360
ROCHDALE BOROUGH COUNCIL,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,SPRINGFIELD CITROEN GATESHEAD,08/04/2016,-4917.95,PURCHASE OF VEHICLES,V000992393
ROCHDALE BOROUGH COUNCIL,08/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,SPRINGFIELD CITROEN GATESHEAD,08/04/2016,12647,PURCHASE OF VEHICLES,V000992393
ROCHDALE BOROUGH COUNCIL,01/04/2016,EARLY HELP AND SCHOOLS,BROWNS BOOK FOR STUDENTS,01/04/2016,1090.39,ACTIVITIES,V000992416
ROCHDALE BOROUGH COUNCIL,07/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,07/04/2016,76459.43,AGILISYS CONTRACT,V000992434
ROCHDALE BOROUGH COUNCIL,07/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,07/04/2016,3946.12,AGILISYS CONTRACT,V000992435
ROCHDALE BOROUGH COUNCIL,07/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,07/04/2016,3946.13,AGILISYS CONTRACT,V000992435
ROCHDALE BOROUGH COUNCIL,07/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,07/04/2016,106313.47,AGILISYS CONTRACT,V000992436
ROCHDALE BOROUGH COUNCIL,13/04/2016,EARLY HELP AND SCHOOLS,THE UNIVERSITY OF MANCHESTER,13/04/2016,3804,BASIC SALARIES,V000992472
ROCHDALE BOROUGH COUNCIL,01/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,MRM STREET FURNITURE LTD,01/04/2016,10125,EQUIPMENT - GENERAL,V000992491
ROCHDALE BOROUGH COUNCIL,01/04/2016,PUBLIC HEALTH,OFFICE DEPOT UK LIMITED,01/04/2016,627.2,PRINTING & STATIONERY,V000992506
ROCHDALE BOROUGH COUNCIL,01/04/2016,CHILDREN’S SOCIAL CARE,POSSABILITIES CIC TRADING,01/04/2016,928,YOUNG PEOPLES RENTS,V000992517
ROCHDALE BOROUGH COUNCIL,01/04/2016,CHILDREN’S SOCIAL CARE,POSSABILITIES CIC TRADING,01/04/2016,928,YOUNG PEOPLES RENTS,V000992518
ROCHDALE BOROUGH COUNCIL,01/04/2016,CHILDREN’S SOCIAL CARE,POSSABILITIES CIC TRADING,01/04/2016,760,FOSTER PARENTS BASIC ALLOWANCE,V000992521
ROCHDALE BOROUGH COUNCIL,01/04/2016,CHILDREN’S SOCIAL CARE,POSSABILITIES CIC TRADING,01/04/2016,928,YOUNG PEOPLES RENTS,V000992522
ROCHDALE BOROUGH COUNCIL,15/04/2016,CHILDREN’S SOCIAL CARE,OLDHAM METROPOLITAN BOROUGH COUNCIL,15/04/2016,1620,FEES / COMMISSION,V000992639
ROCHDALE BOROUGH COUNCIL,08/04/2016,PUBLIC HEALTH,CHESHIRE AND GREATER MANCHESTER CRC,08/04/2016,8229.75,PH BUSINESS CASES,V000992678
ROCHDALE BOROUGH COUNCIL,01/04/2016,EARLY HELP AND SCHOOLS,BURY MBC,01/04/2016,14337.51,OTHER EST - SEN PROVISION,V000992719
ROCHDALE BOROUGH COUNCIL,01/04/2016,EARLY HELP AND SCHOOLS,BURY MBC,01/04/2016,30514.35,OTHER EST - SEN PROVISION,V000992720
ROCHDALE BOROUGH COUNCIL,04/04/2016,EARLY HELP AND SCHOOLS,CUMBERLAND SCHOOL,04/04/2016,1360,TRAVELLING GENERAL EXPENSES,V000992724
