ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,582.12 ,PERSONAL BUDGETS - MANAGED,V001083288
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,595.35 ,PERSONAL BUDGETS - MANAGED,V001083439
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,1203.51 ,PERSONAL BUDGETS - MANAGED,V001083764
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,1468.53 ,PERSONAL BUDGETS - MANAGED,V001083555
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,2870.14 ,PERSONAL BUDGETS - MANAGED,V001083446
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,2971.15 ,PERSONAL BUDGETS - MANAGED,V001083444
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,3042.48 ,PERSONAL BUDGETS - MANAGED,V001083441
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,3320.31 ,PERSONAL BUDGETS - MANAGED,V001083442
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,3320.31 ,PERSONAL BUDGETS - MANAGED,V001083443
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,3592.96 ,PERSONAL BUDGETS - MANAGED,V001083450
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,3875.97 ,PERSONAL BUDGETS - MANAGED,V001083454
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,5502.91 ,PERSONAL BUDGETS - MANAGED,V001083445
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,5900.16 ,PERSONAL BUDGETS - MANAGED,V001083453
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,13/01/2017,6587.00 ,PERSONAL BUDGETS - MANAGED,V001083447
ROCHDALE BOROUGH COUNCIL,24/01/2017,CHILDREN’S SOCIAL CARE,AMJ SUPPORT SERVICES LTD,24/01/2017,1820.00 ,YOUNG PEOPLES RENTS,V001087946
ROCHDALE BOROUGH COUNCIL,24/01/2017,CHILDREN’S SOCIAL CARE,AMJ SUPPORT SERVICES LTD,24/01/2017,3120.00 ,YOUNG PEOPLES RENTS,V001087945
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANCHOR TRUST,20/01/2017,2805.06 ,SP SUBSIDY PAYMENTS - EXTERNAL,V001086730
ROCHDALE BOROUGH COUNCIL,25/01/2017,FINANCE SERVICES,ANDREW CLARK,25/01/2017,945.00 ,LEGAL SERVICES - SUPPORT SERVICE,V001088977
ROCHDALE BOROUGH COUNCIL,12/01/2017,FINANCE SERVICES,ANDREW LOVERIDGE,12/01/2017,2340.00 ,LEGAL PROFESSIONAL SERVICES,V001084613
ROCHDALE BOROUGH COUNCIL,16/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANDREW MCGEE,16/01/2017,1500.00 ,PROFESSIONAL FEES,V001084981
ROCHDALE BOROUGH COUNCIL,06/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,ANDY HARROP,06/01/2017,1388.16 ,TAXI HIRE,V001082428
ROCHDALE BOROUGH COUNCIL,26/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,ANGLIA SIGN CASTING COMPANY LIMITED,26/01/2017,547.34 ,MATERIAL - GENERAL,V001082128
ROCHDALE BOROUGH COUNCIL,23/01/2017,PUBLIC HEALTH,ANIMAL WARDENS LIMITED,23/01/2017,960.00 ,CONTRACTED SERVICES,V001084702
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,06/01/2017,-555.40 ,RESIDENTIAL LONG TERM,V001081745
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,06/01/2017,512.30 ,RESIDENTIAL LONG TERM,V001081600
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,20/01/2017,512.30 ,RESIDENTIAL LONG TERM,V001085985
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,06/01/2017,540.52 ,RESIDENTIAL LONG TERM,V001081817
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,20/01/2017,540.52 ,RESIDENTIAL LONG TERM,V001086257
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,06/01/2017,552.06 ,RESIDENTIAL LONG TERM,V001081455
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,20/01/2017,552.06 ,RESIDENTIAL LONG TERM,V001085754
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,06/01/2017,582.88 ,RESIDENTIAL LONG TERM,V001081725
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,20/01/2017,582.88 ,RESIDENTIAL LONG TERM,V001086119
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,06/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001082022
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,20/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001086525
ROCHDALE BOROUGH COUNCIL,06/01/2017,LEARNING DIS & MENTAL HEALTH,ANTONI & RIENZIE LTD,06/01/2017,606.12 ,RESIDENTIAL LONG TERM,V001081828
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,ANTONI & RIENZIE LTD,20/01/2017,606.12 ,RESIDENTIAL LONG TERM,V001086275
ROCHDALE BOROUGH COUNCIL,05/01/2017,FINANCE SERVICES,AON LIMITED,05/01/2017,893.13 ,TRANSACTIONS-EXPENDITURE,V001080775
ROCHDALE BOROUGH COUNCIL,05/01/2017,FINANCE SERVICES,AON LIMITED,05/01/2017,10825.44 ,TRANSACTIONS-EXPENDITURE,V001080780
ROCHDALE BOROUGH COUNCIL,06/01/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,06/01/2017,1702.46 ,RESIDENTIAL LONG TERM,V001081343
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,20/01/2017,1702.46 ,RESIDENTIAL LONG TERM,V001085594
ROCHDALE BOROUGH COUNCIL,06/01/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,06/01/2017,1821.10 ,RESIDENTIAL LONG TERM,V001081379
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,20/01/2017,1821.10 ,RESIDENTIAL LONG TERM,V001085645
ROCHDALE BOROUGH COUNCIL,06/01/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,06/01/2017,1916.58 ,RESIDENTIAL LONG TERM,V001081548
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,20/01/2017,1916.58 ,RESIDENTIAL LONG TERM,V001085890
ROCHDALE BOROUGH COUNCIL,06/01/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,06/01/2017,2064.88 ,RESIDENTIAL LONG TERM,V001081380
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,20/01/2017,2064.88 ,RESIDENTIAL LONG TERM,V001085646
ROCHDALE BOROUGH COUNCIL,06/01/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,06/01/2017,3397.70 ,RESIDENTIAL LONG TERM,V001081837
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,20/01/2017,3397.70 ,RESIDENTIAL LONG TERM,V001086288
ROCHDALE BOROUGH COUNCIL,27/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AQUABLAST SERVICES LIMITED,27/01/2017,1000.00 ,EQUIPMENT - GENERAL,V001087850
ROCHDALE BOROUGH COUNCIL,24/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,AQUABLAST SERVICES LIMITED,24/01/2017,1515.00 ,EQUIPMENT - GENERAL,V001065579
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,06/01/2017,552.55 ,ASSESSMENT CARE,V001081938
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,20/01/2017,675.34 ,ASSESSMENT CARE,V001086448
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,06/01/2017,522.84 ,RESIDENTIAL LONG TERM,V001081773
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,20/01/2017,522.84 ,RESIDENTIAL LONG TERM,V001086199
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,06/01/2017,566.04 ,RESIDENTIAL LONG TERM,V001081711
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,20/01/2017,566.04 ,RESIDENTIAL LONG TERM,V001086101
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,06/01/2017,582.80 ,RESIDENTIAL LONG TERM,V001081330
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,20/01/2017,582.80 ,RESIDENTIAL LONG TERM,V001085572
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,06/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001081390
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,06/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001081561
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,06/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001081943
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,06/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001082041
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,20/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001085657
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,20/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001085910
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,20/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001086445
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,20/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001086446
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,20/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001086451
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,20/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001086549
ROCHDALE BOROUGH COUNCIL,24/01/2017,ECONOMY DIRECTORATE,ARROW BUSINESS COMMUNICATIONS LTD,24/01/2017,1860.51 ,TELEPHONE EXPENDITURE,V001085395
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,AS CARE SOLUTIONS LTD,20/01/2017,2900.00 ,RESIDENTIAL LONG TERM,V001085929
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,AS CARE SOLUTIONS LTD,20/01/2017,2900.00 ,RESIDENTIAL LONG TERM,V001085930
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,AS CARE SOLUTIONS LTD,20/01/2017,2900.00 ,RESIDENTIAL LONG TERM,V001086600
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,AS CARE SOLUTIONS LTD,20/01/2017,2900.00 ,RESIDENTIAL LONG TERM,V001086601
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,06/01/2017,506.80 ,RESIDENTIAL LONG TERM,V001081841
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,20/01/2017,506.80 ,RESIDENTIAL LONG TERM,V001086293
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,06/01/2017,542.56 ,RESIDENTIAL LONG TERM,V001081674
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,20/01/2017,542.56 ,RESIDENTIAL LONG TERM,V001086057
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,06/01/2017,581.98 ,RESIDENTIAL LONG TERM,V001081573
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,20/01/2017,581.98 ,RESIDENTIAL LONG TERM,V001085944
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,06/01/2017,583.54 ,RESIDENTIAL LONG TERM,V001081456
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,20/01/2017,583.54 ,RESIDENTIAL LONG TERM,V001085755
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,06/01/2017,592.12 ,RESIDENTIAL LONG TERM,V001081657
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,20/01/2017,592.12 ,RESIDENTIAL LONG TERM,V001086040
ROCHDALE BOROUGH COUNCIL,06/01/2017,LEARNING DIS & MENTAL HEALTH,ASHBOURNE NURSING HOME,06/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001081442
ROCHDALE BOROUGH COUNCIL,06/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,06/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001082110
ROCHDALE BOROUGH COUNCIL,20/01/2017,LEARNING DIS & MENTAL HEALTH,ASHBOURNE NURSING HOME,20/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001085737
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,20/01/2017,598.12 ,RESIDENTIAL LONG TERM,V001086667
ROCHDALE BOROUGH COUNCIL,26/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,26/01/2017,508.32 ,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001089098
ROCHDALE BOROUGH COUNCIL,26/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,26/01/2017,547.78 ,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001089096
ROCHDALE BOROUGH COUNCIL,31/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,31/01/2017,572.56 ,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001089103
ROCHDALE BOROUGH COUNCIL,19/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,19/01/2017,616.71 ,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001084219
ROCHDALE BOROUGH COUNCIL,24/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,24/01/2017,654.52 ,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001085240
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ASPIRATIONS CARE LTD,13/01/2017,3998.96 ,INDIVIDUAL SERVICE FUND,V001083326
ROCHDALE BOROUGH COUNCIL,13/01/2017,LEARNING DIS & MENTAL HEALTH,ASPIRATIONS CARE LTD,13/01/2017,4398.48 ,INDIVIDUAL SERVICE FUND,V001083314
ROCHDALE BOROUGH COUNCIL,26/01/2017,CHILDREN’S SOCIAL CARE,ASPIRE CHILD CARE,26/01/2017,9200.00 ,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001086833
ROCHDALE BOROUGH COUNCIL,12/01/2017,PROPERTY AND HIGHWAYS,ASTLEY HIRE LTD,12/01/2017,618.50 ,TRANSACTIONS-EXPENDITURE,V001070131
ROCHDALE BOROUGH COUNCIL,09/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,ATI CREMATORS,09/01/2017,2185.00 ,SPECIFIED MAINTENANCE,V001080736
ROCHDALE BOROUGH COUNCIL,05/01/2017,NEIGHBOURHOODS AND ENVIRONMENT,ATI CREMATORS,05/01/2017,2553.00 ,SPECIFIED MAINTENANCE,V001080737
ROCHDALE BOROUGH COUNCIL,16/01/2017,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,16/01/2017,2578.56 ,ASSESSMENT CARE,V001084971
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,20/01/2017,551.62 ,RESIDENTIAL LONG TERM,V001085652
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,20/01/2017,551.62 ,RESIDENTIAL LONG TERM,V001085653
ROCHDALE BOROUGH COUNCIL,20/01/2017,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,20/01/2017,556.30 ,RESIDENTIAL LONG TERM,V001085911
