year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2011,LOCAL,HEADINGLEY,PATTISON,Ian,Trade Unionists and Socialists Against Cuts,88,,,15169
2011,LOCAL,HEADINGLEY,RUDGE,David Christopher,Independent,69,,,15169
2011,LOCAL,HEADINGLEY,WALSHAW,Neil Anthony,Labour Party [The],1536,,ELECTED,15169
2011,LOCAL,KIRKSTALL,ILLINGWORTH,John,Labour Party [The],3634,,ELECTED,16121
2011,LOCAL,KIRKSTALL,LONG,Stuart William,Independent,157,,,16121
2011,LOCAL,KIRKSTALL,LOVELL,Chris,Liberal Democrats,636,,,16121
2011,LOCAL,KIRKSTALL,TATCHELL-EVANS,Morgan Rhys,Green Party [The],527,,,16121
2011,LOCAL,KIRKSTALL,WHITEHOUSE,Daniel Andrew,Conservative Party [The],680,,,16121
2011,LOCAL,KILLINGBECK AND SEACROFT,BINNS,Joanne,Liberal Democrats,508,,,16726
2011,LOCAL,KILLINGBECK AND SEACROFT,FLYNN,William Patrick,Conservative Party [The],847,,,16726
2011,LOCAL,KILLINGBECK AND SEACROFT,MORGAN,Vonnie,Labour Party [The],3761,,ELECTED,16726
2011,LOCAL,MOORTOWN,CHARLWOOD,Rebecca,Labour Party [The],3688,,ELECTED,17315
2011,LOCAL,MOORTOWN,HOUSE,Allan Oliver,Alliance for Green Socialism,381,,,17315
2011,LOCAL,MOORTOWN,LANCASTER,Brenda,Liberal Democrats,2834,,,17315
2011,LOCAL,MOORTOWN,ROWLINSON,Mark James,Conservative Party [The],1380,,,17315
2011,LOCAL,MORLEY NORTH,ANDREWS,Peter,Liberal Democrats,199,,,17800
2011,LOCAL,MORLEY NORTH,GETTINGS,Bob,Morley Borough Independents,3642,,ELECTED,17800
2011,LOCAL,MORLEY NORTH,GHOSH,Robin Nathan,Conservative Party [The],874,,,17800
2011,LOCAL,MORLEY NORTH,REDMOND,Tom,English Democrats Party,573,,,17800
2011,LOCAL,MORLEY NORTH,ROSE,Kathryn,Labour Party [The],1599,,,17800
2011,LOCAL,ROTHWELL,BRUCE,Karen,Labour Party [The],2889,,ELECTED,15576
2011,LOCAL,ROTHWELL,SMITH,Steve,Liberal Democrats,2365,,,15576
2011,LOCAL,ROTHWELL,TURNER,Louise Jayne,Conservative Party [The],1018,,,15576
2011,LOCAL,ROUNDHAY,CHRISTIE,Malcolm Scott,Alliance for Green Socialism,273,,,17361
2011,LOCAL,ROUNDHAY,DOUGLAS,Adam,Liberal Democrats,578,,,17361
2011,LOCAL,ROUNDHAY,ELLIS,Paul Charles,Green Party [The],559,,,17361
2011,LOCAL,ROUNDHAY,KENDALL,Val,Conservative Party [The],2850,,,17361
2011,LOCAL,ROUNDHAY,MACNIVEN,Christine,Labour Party [The],4307,,ELECTED,17361
2011,LOCAL,TEMPLE NEWSAM,DOWLING,Ian George,Liberal Democrats,464,,,16085
2011,LOCAL,TEMPLE NEWSAM,MITCHELL,Katherine,Labour Party [The],3707,,ELECTED,16085
2011,LOCAL,TEMPLE NEWSAM,SCHOFIELD,David,Conservative Party [The],2648,,,16085
2011,LOCAL,WETHERBY,BARBER,James,Labour Party [The],1945,,,15435
2011,LOCAL,WETHERBY,BENTLEY,Jonathan Joseph,Liberal Democrats,583,,,15435
2011,LOCAL,WETHERBY,LAMB,Alan James,Conservative Party [The],4524,,ELECTED,15435
2011,LOCAL,ADEL AND WHARFEDALE,GILL,Nigel,Labour Party [The],1701,,,15862
2011,LOCAL,WETHERBY,MACEY,David,United Kingdom Independence Party,497,,,15435
2011,LOCAL,BEESTON AND HOLBECK,OGILVIE,Adam,Labour Party [The],2880,,ELECTED,15146
2011,LOCAL,BEESTON AND HOLBECK,SMITH,David Michael,Green Party [The],308,,,15146
2011,LOCAL,BEESTON AND HOLBECK,SWAIN,Paul,Liberal Democrats,245,,,15146
2011,LOCAL,BEESTON AND HOLBECK,WINFIELD,Robert James William,Conservative Party [The],838,,,15146
2011,LOCAL,BEESTON AND HOLBECK,WOODHOUSE,Wilfred,United Kingdom Independence Party,425,,,15146
2011,LOCAL,GARFORTH AND SWILLINGTON,GOLTON,Christine Mavis,Liberal Democrats,263,,,15830
2011,LOCAL,GARFORTH AND SWILLINGTON,STEPHENSON,Ryan,Conservative Party [The],2479,,,15830
2011,LOCAL,GARFORTH AND SWILLINGTON,DOBSON,Mark David,Labour Party [The],4906,,ELECTED,15830
2011,LOCAL,KIPPAX AND METHLEY,BAGNALL,Anne,Liberal Democrats,374,,,16203
2011,LOCAL,KIPPAX AND METHLEY,LANGLEY,James,Conservative Party [The],1428,,,16203
2011,LOCAL,KIPPAX AND METHLEY,LEWIS,James,Labour Party [The],4156,,ELECTED,16203
2011,LOCAL,KIPPAX AND METHLEY,SPIVEY,Paul Anthony,United Kingdom Independence Party,609,,,16203
2011,LOCAL,GUISELEY AND RAWDON,AVISON,Colin Clifford,Green Party [The],529,,,17512
2011,LOCAL,GUISELEY AND RAWDON,CLEASBY,Cindy,Liberal Democrats,778,,,17512
2011,LOCAL,GUISELEY AND RAWDON,GALLAGHER,Andrew James,British National Party,213,,,17512
2011,LOCAL,GUISELEY AND RAWDON,KING,Mike,Labour Party [The],2853,,,17512
2011,LOCAL,GUISELEY AND RAWDON,WADSWORTH,Paul,Conservative Party [The],3276,,ELECTED,17512
2011,LOCAL,ARDSLEY AND ROBIN HOOD,BAVAGE,Katherine,Liberal Democrats,360,,,17026
2011,LOCAL,ARDSLEY AND ROBIN HOOD,BEVERLEY,Joanna,English Democrats Party,880,,,17026
2011,LOCAL,ARDSLEY AND ROBIN HOOD,BUXTON,Robert Charles,Conservative Party [The],1377,,,17026
2011,LOCAL,ARDSLEY AND ROBIN HOOD,DUNN,Jack,Labour Party [The],2847,,ELECTED,17026
2011,LOCAL,ARDSLEY AND ROBIN HOOD,FOSTER,Karen,United Kingdom Independence Party,384,,,17026
2011,LOCAL,ARMLEY,BURGHAM,Ross Michael,Conservative Party [The],901,,,17645
2011,LOCAL,ARMLEY,MCKENNA,Jim,Labour Party [The],3428,,ELECTED,17645
2011,LOCAL,ARMLEY,MORRISON,Jane,Green Party [The],748,,,17645
2011,LOCAL,ARMLEY,PECHER,Ruth,Liberal Democrats,382,,,17645
2011,LOCAL,BRAMLEY AND STANNINGLEY,BISSON,Kate Alice,Green Party [The],514,,,16657
2011,LOCAL,BRAMLEY AND STANNINGLEY,FOSSEY,Nathan David,Liberal Democrats,462,,,16657
2011,LOCAL,BRAMLEY AND STANNINGLEY,HANLEY,Ted,Labour Party [The],3121,,ELECTED,16657
2011,LOCAL,BRAMLEY AND STANNINGLEY,MCDOWALL,Alistair,Conservative Party [The],1040,,,16657
2011,LOCAL,BURMANTOFTS AND RICHMOND HILL,EXLEY,Peter,Green Party [The],356,,,15143
2011,LOCAL,BURMANTOFTS AND RICHMOND HILL,HOLLINGSWORTH,David Ewan,Liberal Democrats,1779,,,15143
2011,LOCAL,BURMANTOFTS AND RICHMOND HILL,KHAN,Asghar,Labour Party [The],2515,,ELECTED,15143
2011,LOCAL,BURMANTOFTS AND RICHMOND HILL,WHEELER,Michael Edward John,Conservative Party [The],226,,,15143
2011,LOCAL,HORSFORTH,COLLINS,Dawn Julia,Conservative Party [The],2680,,ELECTED,17550
2011,LOCAL,HORSFORTH,ARBUCKLE,Kate,Liberal Democrats,2466,,,17550
2011,LOCAL,HORSFORTH,HELLYER,Paul,United Kingdom Independence Party,421,,,17550
2011,LOCAL,HORSFORTH,SMITH,Andrew,Trade Unionists and Socialists Against Cuts,164,,,17550
2011,LOCAL,HORSFORTH,WILKINSON,Robert Paul,Labour Party [The],2213,,,17550
2011,LOCAL,OTLEY AND YEADON,CAMPBELL,Colin Andrew,Liberal Democrats,3185,,ELECTED,17468
2011,LOCAL,OTLEY AND YEADON,EVELEIGH,John,Labour Party [The],3026,,,17468
2011,LOCAL,OTLEY AND YEADON,FRANCIS,Nigel,Conservative Party [The],2034,,,17468
2011,LOCAL,PUDSEY,ALDISS,Jason Karl,Conservative Party [The],1987,,,17288
2011,LOCAL,PUDSEY,BANKS,Phil,United Kingdom Independence Party,636,,,17288
2011,LOCAL,PUDSEY,DRACUP,Irene Glynis,Green Party [The],321,,,17288
2011,LOCAL,PUDSEY,LEWIS,Richard Alwyn,Labour Party [The],3669,,ELECTED,17288
2011,LOCAL,PUDSEY,STUBBS,Brendan Robert,Liberal Democrats,262,,,17288
2011,LOCAL,HAREWOOD,BLOWER,Joshua William,Labour Party [The],1581,,,14751
2011,LOCAL,HAREWOOD,CAPSTICK,Patricia,Green Party [The],400,,,14751
2011,LOCAL,HAREWOOD,HOWELL,Sara  Karen,Liberal Democrats,472,,,14751
2011,LOCAL,HAREWOOD,PROCTER,Rachael Annis,Conservative Party [The],5003,,ELECTED,14751
2011,LOCAL,CALVERLEY AND FARSLEY,ARBUCKLE,Jude Patrick Joseph,Liberal Democrats,685,,,17472
2011,LOCAL,CALVERLEY AND FARSLEY,HUGHES,Carol,Labour Party [The],3158,,,17472
2011,LOCAL,CALVERLEY AND FARSLEY,MARJORAM,Joseph William,Conservative Party [The],3568,,ELECTED,17472
2011,LOCAL,CROSSGATES AND WHINMOOR,GOLDTHORP,Ben,Green Party [The],253,,,17222
2011,LOCAL,CROSSGATES AND WHINMOOR,GRAHAME,Pauleen,Labour Party [The],3653,,ELECTED,17222
2011,LOCAL,CROSSGATES AND WHINMOOR,HENNIGAN,Patrick Damien,Conservative Party [The],1472,,,17222
2011,LOCAL,CROSSGATES AND WHINMOOR,HUDSON,David Michael,Independent,257,,,17222
2011,LOCAL,CROSSGATES AND WHINMOOR,NORMAN,Keith Cecil,Liberal Democrats,271,,,17222
2011,LOCAL,CROSSGATES AND WHINMOOR,ODDY,Darren Paul,United Kingdom Independence Party,510,,,17222
2011,LOCAL,FARNLEY AND WORTLEY,BLACKBURN,Ann,Green Party [The],2995,,ELECTED,18200
2011,LOCAL,FARNLEY AND WORTLEY,MCKENNA,Stuart,Labour Party [The],2353,,,18200
2011,LOCAL,FARNLEY AND WORTLEY,MOORE,Philip Harrison,Liberal Democrats,199,,,18200
2011,LOCAL,FARNLEY AND WORTLEY,OLDFIELD,Caroline Frances,Conservative Party [The],769,,,18200
2011,LOCAL,HYDE PARK AND WOODHOUSE,ABDUL-GHAFFAR,Karim,Liberal Democrats,688,,,16010
2011,LOCAL,HYDE PARK AND WOODHOUSE,HARPER,Gerry,Labour Party [The],2332,,ELECTED,16010
2011,LOCAL,HYDE PARK AND WOODHOUSE,MALIK,Shahrukh,Conservative Party [The],356,,,16010
2011,LOCAL,HYDE PARK AND WOODHOUSE,SIMPSON,Robert,Green Party [The],689,,,16010
2011,LOCAL,MIDDLETON PARK,BLAKE,Judith,Labour Party [The],3313,,ELECTED,18237
2011,LOCAL,MIDDLETON PARK,FISHER,Sadie,Liberal Democrats,252,,,18237
2011,LOCAL,MIDDLETON PARK,MCFARLAND,James Robert,Conservative Party [The],679,,,18237
2011,LOCAL,MIDDLETON PARK,MEESON,Kevin,British National Party,892,,,18237
2011,LOCAL,MORLEY SOUTH,BEVERLEY,Chris,English Democrats Party,1245,,,16660
2011,LOCAL,MORLEY SOUTH,DAWSON,Neil,Labour Party [The],2129,,ELECTED,16660
2011,LOCAL,MORLEY SOUTH,GRAYSHON,Terry,Morley Borough Independents,2076,,,16660
2011,LOCAL,MORLEY SOUTH,HUNT,Neil Richard,Conservative Party [The],736,,,16660
2011,LOCAL,MORLEY SOUTH,JACQUES,Robert Hugh,Liberal Democrats,180,,,16660
2011,LOCAL,WEETWOOD,BENTLEY,Sue,Liberal Democrats,2605,,ELECTED,17156
2011,LOCAL,WEETWOOD,GRUEN,Caroline Anne,Labour Party [The],2072,,,17156
2011,LOCAL,WEETWOOD,HEMINGWAY,Martin Francis,Green Party [The],596,,,17156
2011,LOCAL,WEETWOOD,OLIVER,Natalie Claire,Conservative Party [The],1282,,,17156
2011,LOCAL,WEETWOOD,PROCTER,Alan Leslie,Independent,99,,,17156
