Property Address,RATEPAYER,RV,LIABILITY_START
"Stoneleigh, 39/41 Halifax Road, Brighouse, HD6 2AQ",Nexus Workforce Ltd,38000,19/05/2017
"Unit 6, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",Cjk Properties Ltd,8900,15/09/2017
"Unit 40 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AU",Shaw Lodge Mills Ltd,31750,22/07/2017
"15 George Street, Halifax, HX1 1HA",Tyler Projects (Halifax) Ltd In Administration,12250,01/01/2015
"38 Clough Lane, Mixenden, Halifax, HX2 8SN",,3550,17/07/2017
"9A George Street, Halifax, HX1 1HA",Teakwood Developments Limited,23750,27/09/2017
"1/3 Market Street, Hebden Bridge, HX7 6EU",,6400,23/08/2017
"Unit 1 1ST Floor, Calder Workshops, Gibbet Street, Halifax              HX1 4JQ",,6000,01/04/2017
"Unit 1 1ST Floor, Calder Workshops, Gibbet Street, Halifax              HX1 4JQ",,3550,01/04/2017
"Griffin Inn, 57 Stainland Road, Barkisland, Halifax             HX4 0AQ",,10250,12/09/2017
"Turkey Lodge Farm, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,2400,01/04/2017
"6 Crown Yard, Southgate, Elland, HX5 0DQ",Yorkshire Children's Trust,3200,01/10/2017
"173 Queens Road, Halifax, HX1 4LN",,2550,02/10/2017
"Unit 2C, Dean Hey Country Bus Park, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,8800,02/10/2017
"Unit 4B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,2450,02/10/2017
"Unit 7A Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",Stephenson Animal Feeds Ltd,4550,02/10/2017
"Unit 14, Ripponden Business Park, Oldham Road, Ripponden            HX6 4FF",Triplesix Global Ltd,8800,01/10/2017
"Pay Broadbent Ltd, Clevedon Place, Lee Mount, Halifax              HX3 5QA",P A Y Broadbent Ltd,5300,01/11/2016
"Clevedon Place, Lee Mount, Halifax, HX3 5QA",,4400,01/11/2016
"39a Rastrick Common, Brighouse, HD6 3DW",,2900,13/10/2017
"12 Albert Street, Hebden Bridge, HX7 8AH",,4700,19/07/2017
"Spring Street, Brighouse, HD6 1BE",,43500,12/09/2017
"19 Charles Street, Halifax, HX1 1QW",,45250,03/10/2017
"Unit 4, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",Monster Displays Ltd,5200,01/04/2017
"General Post Office, Commercial Street, Halifax, HX1 1AD",B T Plc,45500,02/10/2016
"1st Floor Over Unit 1, Woodman Works, South Lane, Elland              HX5 0HQ",Heathleigh Ltd,1300,28/05/2017
"(Unoff Add) Unit J Offices, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",Maramar Holdings Ltd,5200,13/08/2017
"Office Suite E 002, Dean Clough, Halifax, HX3 5AX",Dean Clough Ltd,1825,05/10/2017
"Office Suite D222/224, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,5900,01/10/2017
"Office Suite E 132, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,2600,01/10/2017
"Units 7 & 8, Lock Hill Mills, Holmes Road, Sowerby Bridge       HX6 3LD",The Barkyard Ltd,20750,01/04/2017
"Basement Store, 10 Princess Street, Halifax, HX1 1TS",,1325,17/03/2017
"Ground Floor, 10 Princess Street, Halifax, HX1 1TS",,13250,17/03/2017
"280 Oldham Road, Rishworth, Sowerby Bridge, HX6 4QB",,2125,15/07/2017
"Unit 1 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",,8400,01/08/2017
"Unit 4 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",,2250,01/08/2017
"Unit 3 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",,3450,01/10/2017
"Suite 1 2ND Floor, Park View House, Woodvale Road, Brighouse            HD6 4AB",Towngate Plc,4600,25/07/2017
"Part B, Part 2ND Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB",Digital High Street Limited,4150,24/07/2017
"Part A, Part 2ND Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB",Digital High Street Limited,530,24/07/2017
"Part A Part 2ND Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB",Digital High Street Limited,5800,24/07/2017
"Unofficial Address, Unit A Bankfield Works, Haley Hill, Halifax              HX3 6EB",John Crossley & Sons Ltd,12750,13/06/2017
"33 Commercial Street, Brighouse, HD6 1AF",,47000,08/08/2017
"Adj 23B Bull Close Lane, Halifax, HX1 2EF",Delph Street Ltd,4000,02/08/2016
"Moorlands Inn, Keighley Road, Ogden, Halifax             HX2 8XD",Hire Class Events Limited - In Liquidation,82000,28/09/2017
"Unit 10 & 11, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Marrtree Investments Limited,10250,15/06/2016
"Units 2/3, Vine Industrial Estate, Elland Road, Brighouse            HD6 2QS",Stercap Ltd,7300,29/10/2017
"(Unofficial Address), Unit 22 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",,2125,01/01/2017
"(Unofficial Address), Unit 20 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",,1600,04/11/2016
"(Unofficial Address), Unit 30 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",,2400,11/11/2016
"Rose & Crown Hotel, 96/98 Rochdale Road, Greetland, Halifax             HX4 8HR",,6750,18/10/2017
"1 Trinity Place, Halifax, HX1 2BD",Horton Housing Support Ltd,7200,02/08/2017
"Office Suite D234, Dean Clough Office Park, Halifax, HX3 5AX",Dean Clough Ltd,2750,26/10/2017
"Unit 11 Caldene Business Pk, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QJ",Sgl Carbon Fibers Ltd,1350,22/08/2017
"103 Northgate, Halifax, HX1 1XF",,3950,02/10/2017
"Unit 10 Victoria Park, Lightowler Road, Halifax, HX1 5ND",C2 (General Partner Two) Lp,6800,08/08/2017
"Dean Street, Greetland, Halifax, HX4 8DW",Acorn Bespoak Joinery Manufacturers Ltd,5800,25/03/2017
"Unit 1, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",,2000,01/04/2017
"Store Adj Stairs 1ST Flr, 7C Lord Street, Halifax, HX1 5AE",S F S Developments Ltd,275,16/06/2017
"Store 2ND Floor, 7C Lord Street, Halifax, HX1 5AE",S F S Developments Ltd,415,16/06/2017
"Store To Rear 1ST Flr, 7A Lord Street, Halifax, HX1 5AE",S F S Developments Ltd,590,16/06/2017
"22 Clare Road, Halifax, HX1 2HX",Alpha House Calderdale,11750,10/10/2017
"44A Commercial Street, Brighouse, HD6 1AQ",,4400,03/01/2017
"Maggies, 24 Fountain Street, Halifax, HX1 1LW",Collateral Thought Ltd,56000,29/09/2017
"Slitheroe Works, Oldham Road, Rishworth, Sowerby Bridge       HX6 4EW",,7700,01/10/2016
"Bull Green, Luddendenfoot, Halifax, HX2 6JJ",,2425,03/06/2017
"Unit 3 L R P Business Park, Halifax Road, Hipperholme, Halifax              HX3 8EN",,1500,05/10/2017
"Unit 6, Miall Street Mills, Miall Street, Halifax             HX1 4AE",,13000,01/11/2017
"Office Suite E136, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,2600,17/06/2017
"Car Park Rear Of M & Co, Lawson Road, Brighouse, HD6 1NY",O & C Management Services Ltd,12500,01/07/2016
"Ainley House, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",A Fax Limited,188000,28/07/2017
"Unit 1A, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse            HD6 4AW",British Car Auctions Ltd,46500,01/04/2017
"Unit 1B, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse            HD6 4AW",Bellane Properties Ltd,56000,01/04/2017
"Unit 4, Sowerby Bridge Business Park, Victoria Road, Sowerby Bridge       HX6 3AE",Vcep Investments Llp,5800,05/07/2017
"19 Burnley Road, Todmorden, OL14 7BU",,3000,01/02/2017
"46/48/50 Oldham Road, Ripponden, Sowerby Bridge, HX6 4DP",Suncroft Ltd,13000,12/10/2017
"183 Stainland Road, Holywell Green, Halifax, HX4 9AJ",,3150,18/04/2017
"6 Commercial Street, Halifax, HX1 1TA",,7800,24/07/2017
"2 Callis Wood Bottom, Erringden, Hebden Bridge, HX7 6PY",,3350,01/04/2017
"Unit 2, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,6900,01/11/2017
"The Arches, Dean Clough Industrial Park, Halifax, HX3 5WL",The Arches Dean Clough Ltd,15000,01/04/2017
"Old Town Mill, Wadsworth, Hebden Bridge, HX7 8TE",Clay Construction (Huddersfield) Ltd,5500,01/04/2017
"Navigation Inn, 47 Chapel Lane, Sowerby Bridge, HX6 3LF",Fresneda Ltd,11000,25/10/2017
"Delves Farm, Delfs Lane, Triangle, Sowerby Bridge       HX6 3EZ",Wedbarn Ltd,20000,29/10/2017
"30A Westercroft Lane, Westercroft Lane, Northowram, Halifax              HX3 7EN",Gym House (Northern) Ltd,4700,03/01/2017
"Unofficial Address, Unit 5 Willows Ind Estate, Watson Mill Lane, Sowerby Bridge       HX6 3BW",The Potting Shed Catering Company Ltd,1225,15/08/2016
"Unit W2, Tenterfield Business Pk, Burnley Road, Luddendenfoot        HX2 6EQ",P I Consultants Limited,7200,01/02/2017
"Grd Flr Berwick Mill, Square Road, Halifax, HX1 1QG",,15000,01/10/2016
"Mile Cross Works, Mile Cross Road, Halifax, HX1 4HN",Eclipse Property (HFX1) Limited,41500,03/07/2017
"Lwr Gf Berwick Mill, Square Road, Halifax, HX1 1QG",,5300,06/06/2016
"Unit K1, Lowfields Way, Lowfields Business Park, Elland               HX5 9DA",Northern Gas Networks Ltd,11500,30/06/2017
"Unit J4, Lowfields Way, Lowfields Business Park, Elland               HX5 9DA",Lmj Overseas Investments Ltd,140000,07/06/2017
"Apt 1, Zion Baptist Chapel, Osborne Street, Hebden Bridge        HX7 8DT",,3200,01/10/2015
"10 Square, Halifax, HX1 1RJ",Great Clothes Limited,19500,23/10/2017
"Unit 10 George Street, Elland, HX5 0NE",,2025,01/04/2017
"Unit 9 George Street, Elland, HX5 0NE",,2700,01/04/2017
"Unit 11 George Street, Elland, HX5 0NE",,2125,01/04/2017
"Unit 4, George Street, Elland, HX5 0NE",,2125,01/04/2015
"Ground Floor, 18 Silver Street, Halifax, HX1 1HS",,9900,24/10/2017
"First Floor, 18 Silver Street, Halifax, HX1 1HS",Standguide Ltd,9500,03/08/2017
"(Unofficial Address), Unit 25 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",,2500,01/11/2017
"First Floor, 41A Crown Street, Halifax, HX1 1JB",Mayfair House Associates Ltd,9100,21/04/2017
"2ND Floor, 41A Crown Street, Halifax, HX1 1JB",Gilltrust Homes Ltd,5900,14/03/2017
"(Unofficial Address), Unit 7 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",Setbray Properties Ltd,3450,01/11/2017
"Unofficial Address, Unit 3 Atlas Business Park, Gibbet Street, Halifax              HX1 4DB",Efb Property Investments 2 (Iom) Ltd,22000,11/01/2017
"Unofficial Address, Unit 4 Atlas Business Park, Gibbet Street, Halifax              HX1 4DB",Calderdale Mbc,56000,11/01/2017
"Unofficial Address, Unit 2 Atlas Business Park, Gibbet Street, Halifax              HX1 4DB",Efb Property Investments 2 (Iom) Ltd,16750,11/01/2017
"Unofficial Address, Unit 1 Atlas Business Park, Gibbet Street, Halifax              HX1 4DB",Efb Property Investments 2 (Iom) Ltd,9700,11/01/2017
"Unit 6, Royds Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",Harpenden Holdings Ltd,13250,01/09/2017
"Unit 5, Royds Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",Amg Sealing Ltd,14750,01/09/2017
"1ST Flr Rosemount Hse, Rosemount Works, Huddersfield Road, Elland               HX5 0EE",Lambert Roper & Horsfield Ltd,22000,23/06/2017
"Unit R3, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",,6200,16/10/2017
"Unofficial Address, Office 1, Huddersfield Road, Elland               HX5 9DW",Gecco Energy Ltd,6900,14/01/2017
"Un Off Childrens Centre Grd, Todmorden Community College, Burnley Road, Todmorden           OL14 7BX",Halifax Opportunities Trust,9900,01/04/2015
"(Unofficial Address), Unit 15 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",Setbray Properties Ltd,6000,01/11/2017
"Un Off Childrens Center 1ST, Todmorden Community College, Burnley Road, Todmorden           OL14 7BX",Halifax Opportunities Trust,2475,01/04/2015
"14 Windmill Court, Keighley Road, Illingworth, Halifax              HX2 8YB",,2850,01/03/2017
"Old Cock Hotel, Halifax, HX1 1DS",Weston Castle Ltd,42000,01/04/2017
"Suite 3 2ND Floor, Prescott House, 26 Prescott Street, Halifax              HX1 2LG",Enbyten Ltd,1125,01/03/2017
"Suite 1/2 Prescott House, 26 Prescott Street, Halifax, HX1 2LG",Lindley Adams Ltd,3150,01/02/2017
"55A Halifax Road, Todmorden, OL14 5BB",Mpharm Locums Ltd,1900,01/10/2017
"Unit 1A, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Active Human Ltd,3700,01/07/2017
"8 Market Street, Halifax, HX1 1RN",,22000,01/11/2017
"Units 1A & 1B, Brier Hey, Burnley Road, Mytholmroyd          HX7 5PF",Valley Flooring Ltd,8600,01/09/2017
"St Martins School, Church Lane, Brighouse, HD6 1AT",,20250,20/03/2017
"Unit 1 Woodman Works, South Lane, Elland, HX5 0PA",C P Holland & Sons Ltd,4600,01/10/2017
"Unit GY/8, G Mill Yard, Dean Clough Office Park, Halifax              HX3 5AX",The Arts Charity At Dean Clough,790,01/07/2017
"Unit 7 Woodman Works, South Lane, Elland, HX5 0PA",Woodfield Car Sales Ltd,7800,01/10/2017
"Store Adj Toilets 1ST Flr, 7A Lord Street, Halifax, HX1 5AE",S F S Developments Ltd,355,16/06/2017
"1 Gladstone View, Siddal, Halifax, HX3 9DH",,2900,22/05/2017
"Fast Lane Buildings, Elizabeth Street, Elland, HX5 0JH",,5900,25/09/2017
"Miall Street Mills, Miall Street, Halifax, HX1 4AE",,3250,01/11/2017
"217 King Cross Road, Halifax, HX1 3JL",,8000,01/10/2017
"17/21 West End, Hebden Bridge, HX7 8UQ",,4550,28/09/2017
"The New Moonlight, Station Road, Luddendenfoot, Halifax              HX2 6AD",,7100,01/01/2014
"Unit 10E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Max Clock Cards Limited,3150,01/11/2017
"Unofficial Address, Unit C Bankfield Works, Haley Hill, Halifax              HX3 6EB",,9600,24/07/2017
"Unofficial Address, Unit B Bankfield Works, Haley Hill, Halifax              HX3 6EB",Liberty Trustees Ltd & Liberty Sipp,18500,13/06/2017
"Brook House Grange Cottage, Lane Head Lane, Ogden, Halifax              HX2 8XN",,3150,01/08/2016
"16 Windmill Court, Keighley Road, Illingworth, Halifax              HX2 8YB",,2850,01/10/2017
"Lower Blackshaw Farm Cottage, Badger Lane, Blackshawhead, Hebden Bridge        HX7 7JQ",,3200,14/07/2017
"Weavers Cottages, 27 Towngate, Heptonstall, Hebden Bridge        HX7 7NB",,2550,31/10/2016
"19 Woolshops, Halifax, HX1 1RU",,30250,26/09/2017
"Unit 4 Springvale Works, Elland Road, Brighouse, HD6 2RN",W R P Holdings Ltd,7100,01/08/2017
"North Suite 2ND Floor, No. 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",British Waterways Board,14000,12/09/2017
"Atm Site (Lloyds), W M Morrison, Keighley Road, Halifax              HX2 8HY",Notemachine Uk Ltd,11250,16/08/2017
"Cleveland House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Industrials Uk Ltd Partnership,28250,01/04/2017
"Unit D1 Richmond House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Industrials Uk Ltd Partnership,7900,01/04/2017
"Trinity Royd, 2 Balmoral Place, Halifax, HX1 2BG",C N S Northern Ltd,16250,17/05/2017
"Recording Studio, Basement Level Linden Mill, Linden Road, Hebden Bridge        HX7 7DP",,2175,02/09/2015
"AN7/8 Arcade Level, Piece Hall, Halifax, HX1 1RE",Gin Lane Ltd,12750,01/08/2017
"RN27 Rustic, Piece Hall, Halifax, HX1 1RE",Gin Lane Ltd,4100,18/09/2017
"Cedar Court Hotel, Ainley Top, Huddersfield, HD3 3RH",EC4 Hotel Ltd,230000,01/11/2017
"Cw 17, The Colonnade, Piece Hall, Halifax              HX1 1RE",The Together Group,2375,01/08/2017
"Cs 16, The Colonnade, Piece Hall, Halifax              HX1 1RE",The Together Group,7600,01/08/2017
"Hive Adj CW17, The Colonnade, Piece Hall, Halifax              HX1 1RE",The Piece Hall Trust,7800,01/08/2017
"Cn 27/28/29, The Colonnade, Piece Hall, Halifax              HX1 1RE",The Piece Hall Trust,9400,01/08/2017
"Unit 11A, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,6700,14/10/2017
"Fleece Inn, Barkisland, Halifax, HX4 0DJ",Boys Yorkshire Limited,45750,08/11/2017
"RS9/10 Rustic, Piece Hall, Halifax, HX1 1RE",E T Harvey Ltd,9900,01/08/2017
"RS11 Rustic, Piece Hall, Halifax, HX1 1RE",,5600,01/08/2017
"Unit 5B, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",M & S Engineering Ltd,5300,07/11/2017
"RE3 Rustic, Piece Hall, Halifax, HX1 1RE",,4100,01/08/2017
"RS13 Rustic, Piece Hall, Halifax, HX1 1RE",,4400,01/08/2017
"17 Burnley Road, Todmorden, OL14 7BU",,4000,18/08/2017
"4A Orchard Business Park, Scout Road, Mytholmroyd, Hebden Bridge        HX7 5HZ",Triplesix Ltd,7900,01/07/2017
"RS12 Rustic, Piece Hall, Halifax, HX1 1RE",,4300,01/08/2017
"2ND Flr, 3 Carlton Place, Halifax, HX1 2SB",Crystal Connect Ltd,13000,01/05/2017
"RN25 Rustic, Piece Hall, Halifax, HX1 1RE",,4100,01/08/2017
"RN28 Rustic, Piece Hall, Halifax, HX1 1RE",,5600,01/08/2017
"RN26 Rustic, Piece Hall, Halifax, HX1 1RE",,5400,01/08/2017
"Ce 3, The Colonnade, Piece Hall, Halifax              HX1 1RE",The Together Group,3550,01/08/2017
"Ce 1/2, The Colonnade, Piece Hall, Halifax              HX1 1RE",The Escaporium Ltd,10500,01/08/2017
"14 Carlton Street, Halifax, HX1 2AL",Janjua Associates Ltd,6000,01/11/2017
"R/O Orange Tree, Cross Street, Halifax, HX1 1XB",Oakenrod Developments Ltd,5000,01/10/2017
"17 King Edward Street, Halifax, HX1 1BW",Bank Of Scotland,9400,24/08/2017
"54a Southgate, Elland, HX5 0DQ",Overgate Hospice,6100,08/11/2017
"AE1/2 Arcade, Piece Hall, Halifax, HX1 1RE",,13000,01/08/2017
"RW19 Rustic, Piece Hall, Halifax, HX1 1RE",Spogs & Spice Ltd,5500,01/08/2017
"RW22 Rustic, Piece Hall, Halifax, HX1 1RE",,2750,01/08/2017
"Ce 5, The Colonnade, Piece Hall, Halifax              HX1 1RE",The Piece Hall Trust,4700,01/08/2017
"Ce 6/7, The Colonnade, Piece Hall, Halifax              HX1 1RE",The Piece Hall Trust,5900,01/08/2017
"Cs 12, The Colonnade, Piece Hall, Halifax              HX1 1RE",Yorkshire's Finest (Halifax) Ltd,3000,01/08/2017
"Bull Green House, Bull Green, Halifax, HX1 2EB",Together Housing Group,107000,01/04/2016
"87 Turner Avenue South, Illingworth, Halifax, HX2 8EF",Together Housing Group,20750,01/04/2016
"Part Ground & First Floor, Park View House, Woodvale Road, Brighouse            HD6 4AB",Together Housing Group,58000,01/04/2016
"RE7 Rustic, Piece Hall, Halifax, HX1 1RE",,6900,17/10/2017
"2 Tower Hill, Sowerby Bridge, HX6 2EQ",Tower Hill Practice Ltd,4850,04/07/2017
"The Beck, 157 Bradford Road, Brighouse, HD6 4AS",The Beck (Brighouse) Ltd,6750,09/10/2017
"The Weaving Shed, Level 0, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",,39250,09/10/2017
"Bay 33 Longfield Works, Parkinson Lane, Halifax, HX1 3UB",Jumeriah Investments Limited,45500,12/05/2017
"Unit G9 Lock View, Lowfields Business Park, Elland, HX5 9DF",Wildax Conversions Ltd,94000,23/10/2017
"Unit 10B The Nurseries, Halifax Road, Brighouse, HD6 2QD",Wow Sleep Ltd,4600,01/11/2017
"338/340 Salterhebble Hill, Halifax, HX3 0QT",Calderdale Mbc,22500,31/07/2017
"17 Market Street, Brighouse, HD6 1AP",B B Hairstyling Ltd,8000,01/11/2017
"19 Towngate, Sowerby, Sowerby Bridge, HX6 1HT",Calderdale Mbc,3000,01/10/2017
"Cw 18, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,7300,01/08/2017
"Cw 19, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,3600,01/08/2017
"Cw 20/21/22/23, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,18500,01/08/2017
"Cn 24/25/26, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,16000,01/08/2017
"RE4 Rustic, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,6800,01/08/2017
"Office, 6A Dodgeholme Court, Dodge Holme Close, Mixenden",Sterling Properties Ltd,520,13/10/2016
"Bar Zaouche, 7A Lord Street, Halifax, HX1 5AE",Eco Kleen Services Uk Ltd,8500,29/09/2017
"RE6 Rustic, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,4250,01/08/2017
"RE5 Rustic, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,5500,01/08/2017
"RE1 Rustic, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,2700,01/08/2017
"Traders Room Adj RS11, Rustic, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,1500,01/08/2017
"RE2 Rustic, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,6700,01/08/2017
"RS14 Rustic, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,8700,01/08/2017
"RN24 Rustic, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,7000,01/08/2017
"RN23 Rustic, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,6800,01/08/2017
"Office 28 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,4050,01/09/2017
"Office 29 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Fusion Housing Association,2075,01/09/2017
"Colonnade Function Room, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,27000,01/08/2017
"Ce 4, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,5800,01/08/2017
"Cs 9, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,4700,01/08/2017
"Cs 15, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,3700,01/08/2017
"Cs 14, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,3600,01/08/2017
"Cs 11, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,3600,01/08/2017
"Cs 10, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,3550,01/08/2017
"Cs 13, The Colonnade, Piece Hall, Halifax              HX1 1RE",Calderdale Mbc,3050,01/08/2017
