Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Bizspace Ltd,"Unit 1A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628730,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",4650,Offices and Premises,Empty Relief - Post 01/04/2008
,"Unit 12, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ",76256721,,1350,Workshop And Premises,Flood Relief Application 2015/16
Fiona Cooper Audio Visual Ltd,"60 West Street, Sowerby Bridge, HX6 3AP",77648060,"The Cotton Mill, Saddleworth Road, Elland, HX5 0SA",6800,Shop and Premises,Empty Relief - Post 01/04/2008
,"Bridge Mill Restaurant, St Georges Square, Hebden Bridge, HX7 8ET",76508704,,15500,Restaurant and Premises,Flood Relief Application 2015/16
,"5 Town Hall Buildings, Elland, HX5 9AJ",56236005,,2375,Shop and Premises,Listed Building
,"Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW",78176700,,1600,Factory and Premises,Rateable Value below threshold
Johnson Cleaners Uk Ltd,"10 Commercial Street, Halifax, HX1 1TA",64660010,"C/O Bellrock F M Ltd, Enterprise House, Sunningdale Road, Leicester, LE3 1UR",6800,Offices and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite D110, Clough Mills, Halifax, HX3 5AX",64784855,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",2350,Office,Listed Building
J Speak & Co Ltd,"Unit 6, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772727,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",5200,Workshop And Premises,Empty Relief - Post 01/04/2008
,"21 Hanson Lane, Halifax, HX1 5NX",65264021,,1525,Shop and Premises,Rateable Value below threshold
,"Quality Works, Rochdale Road, Todmorden, OL14 7NA",78400786,,610,Store And Premises,Rateable Value below threshold
Mountain Wild [ Uk ] Ltd,"19c Crown Street, Hebden Bridge, HX7 8EH",76176713,,8300,Shop and Premises,Flood Relief Application 2015/16
Pennine Housing 2000,"Unit 3, Range Court, Halifax, HX3 6DJ",68332701,"Bull Green House, Bull Green, Halifax, HX1 2EB",7000,Garage And Premises,Empty Relief - Post 01/04/2008
Due West Ltd,"Offices (1st Floor ), 26 Horton Street, Halifax, HX1 1QE",65388704,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",3900,Offices and Premises,Listed Building
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",56132764,"G L Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",3150,Workshop And Premises,Empty Relief - Post 01/04/2008
Stoneywood Ltd,"Turntable Works, & Boundary Works, Walton Street, Sowerby Bridge       HX6 1AN",77636713,"Ms Julie Cassidy, Turntable & Boundary Works, Walton Street, Sowerby Bridge, HX6 1AN",92500,Factory And Premises,Flood Relief Application 2015/16
Dr. Kuldip S Hunjan & Associates,"Second Floor Offices, Warwick Chambers, 37 Southgate, Halifax              HX1 1DL",68652704,"Ground 1st & 2nd Floors, 3 Westgate, Halifax, HX1 1DJ",2950,Offices and Premises,Empty Relief - Post 01/04/2008
A T C Properties Ltd,"Suite 2C First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",65100022,"7 Cottage Road, Headingley, Leeds, LS6 4DD",2050,Office,Rateable Value below threshold
,"3 Bridge End, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5DR",76056003,,960,Shop and Premises,Flood Relief Application 2015/16
,"Part Ground Floor Adj, Unit 20 Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",77024780,,3200,Workshop And Premises,Flood Relief Application 2015/16
,"7 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",77476007,,5900,Offices and Premises,Empty Relief - Post 01/04/2008
W R P Holdings Ltd,"Unit 8 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236819,"Fao Mr Calvert, Unit 2, Springvale Works, Elland Road, Brighouse, HD6 2RN",141,Store And Premises,Rateable Value below threshold
,"2 White Hart Fold, Todmorden, OL14 7BD",78016703,,3850,Offices and Premises,Flood Relief Application 2015/16
Dews Motor Group Ltd,"North Bridge, Northgate, Halifax, HX1 1XJ",68096702,"Northgate, Halifax, HX1 1XJ",1575,Garage And Premises,Rateable Value below threshold
Calderdale Mbc,"18 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252732,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2550,Shop and Premises,Listed Building
Drew Forsyth Designs Ltd,"27 West End, Hebden Bridge, HX7 8UQ",76576714,,8100,Shop and Premises,Flood Relief Application 2015/16
Pennine Wine & Cheese Ltd,"8 Bridge Gate, Hebden Bridge, HX7 8EX",76060008,,8300,Shop and Premises,Flood Relief Application 2015/16
Network Rail Ltd,"Whiteley Garage, Calderside, Oakville Road, Hebden Bridge        HX7 6NG",76100700,"Network Rail, Payables Property, Po Box 4279, Manchester, M60 3EH",1300,Land Used For Storage and Premises,Rateable Value below threshold
Excel Fire Protection Ltd,"38 Rochdale Road, Todmorden, OL14 7LD",78400038,,4350,Office and Premises,Flood Relief Application 2015/16
,"Hebden Bridge Post Office, Holme Street, Hebden Bridge, HX7 8EE",76292707,,4550,Post Office And Premises,Flood Relief Application 2015/16
,"Unit 4, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",78192741,,1200,Workshop And Premises,Flood Relief Application 2015/16
Brooklyn Studio Arts Group,"Unit 3  (Ground), 38 Hangingroyd Lane, Hebden Bridge, HX7 7DD",76552731,,4650,Workshop And Premises,Flood Relief Application 2015/16
,"2nd Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",76356702,,3600,Workshop And Premises,Listed Building
,"Unit 14, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",76648755,,260,Office,Rateable Value below threshold
Creative International Adventures Uk Ltd,"The Boiler House, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526711,,8400,Warehouse And Premises,Flood Relief Application 2015/16
Calderdale Mbc Director Of Leisure Services,"40/41 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252759,"Fao Pam Smithies, Westgate House, Westgate, Halifax, HX1 1PS",5300,Shop and Premises,Listed Building
,"12 Albert Street, Hebden Bridge, HX7 8AH",76012012,,3850,Shop and Premises,Flood Relief Application 2015/16
,"Wellington Street South, Halifax, HX1 2LU",69324709,,1975,Workshop,Empty Property - RV < 15000
,"Milk Distribution Depot, Queens Road, Halifax, HX1 3NT",68308710,,13750,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
,"Shelf Library, 11 Wade House Road, Shelf, Halifax             HX3 7PB",69216708,,1,Library And Premises,Empty Property - RV < 15000
Assn Of Islamic Charitable Projects,"Second Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104703,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",12000,Offices And Premises,Listed Building
Commercial Development Projects Ltd,"3 Bridge Road, Brighouse, HD6 1EP",29096003,"Huddersfield Road, Elland, HX5 9BW",6700,Workshop And Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc,"2 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252760,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",5000,Shop and Premises,Listed Building
Burnley Road Academy,"Burnley Road J & I School, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5DE",76088713,,29500,School and Premises,Flood Relief Application 2015/16
Calderdale Mbc Land & Property Services,"17 Northgate, Halifax, HX1 1UR",68096017,"Northgate House, Northgate, Halifax, HX1 1UN",10250,Shop and Premises,Listed Building
Setbray Properties Ltd,"Suite 2 Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",76244726,"Suite 1 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",6100,Offices and Premises,Empty Relief - Post 01/04/2008
,"Unit 28, Mill House Works, Mill House Lane, Triangle            HX6 3LN",77352726,,1850,Warehouse And Premises,Flood Relief Application 2015/16
Capita S I P Services S W I 0126,"1st, 2nd & 3rd Floors, 14/16 Old Market, Halifax, HX1 1TN",68140703,"The Property Administrator, Post Completion Team, 141 Castle Street, Salsbury, Wiltshire, SP1 3TB",8200,Shop and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 14D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284721,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",570,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 14B, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284723,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 15C, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284727,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 15D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Royds Properties Ltd,"Telecommunication Mast H3G, Wellington Mills, Quebec Street, Elland               HX5 9AS",56196730,"Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",8400,Communication Station and Premises,Unoccupied Land
Friarshill Ltd,"Unit 21/21A, Washer Lane Works, Washer Lane, Halifax              HX2 7DX",68296734,"C/O Jilco Ltd, 1 Spruce House, Washer Lane, Halifax, HX2 7DR",1975,Warehouse And Premises,Rateable Value below threshold
Pearson Builders Ltd,"Unit 14, Mill House Works, Mill House Lane, Triangle            HX6 3LN",77352704,"7 Holme Drive, Warley, Halifax, HX2 7RT",1375,Store And Premises,Flood Relief Application 2015/16
Warmco Space Heating Ltd,"Unit 201 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1025,Office,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 203C Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420722,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",450,Store And Premises,Empty Property - RV < 15000
Assn Of Islamic Charitable Projects,"Ground Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104713,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",15000,Offices And Premises,Listed Building
,"Unit R3, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",64448823,,6200,Offices and Premises,Flood Relief Application 2015/16
,"2 Bridge End, Brighouse, HD6 3DH",29092002,,1825,Office and Premises,Rateable Value below threshold
,"Unit 3 The Warehouse, Wood Street, Brighouse, HD6 1PW",29648716,,5200,Workshop And Premises,Flood Relief Application 2015/16
,"2 St Georges Square, Hebden Bridge, HX7 8ET",76508002,,15250,Shop and Premises,Flood Relief Application 2015/16
Calderdale Mbc,"53 Arcade, Piece Hall, Halifax, HX1 1RE",68252770,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",3300,Shop and Premises,Listed Building
Gradon Estates Ltd,"Grove Inn, Burnley Road, Luddendenfoot, Halifax             HX2 6HS",64448706,"Marsh Dene Farm, Marsh Lane, Southowram, Halifax, HX3 9NR",5100,Public House and Premises,Listed Building
Calderdale Mbc Land & Property Services,"6 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252773,"Northgate House, Northgate, Halifax, HX1 1UN",2500,Shop and Premises,Listed Building
,"33 Northgate, Halifax, HX1 1UR",68096033,,8100,Shop and Premises,Listed Building
Warmco Space Heating Ltd,"Unit 204 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",370,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 1 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212718,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2550,Warehouse And Premises,Listed Building
Tefonica O2 (Uk) Ltd,"Telecommunication Mast, Site Ref H X 0006, Denholmegate Road, Hipperholme          HX3 8LF",64812746,"Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",8700,Communication Station and Premises,Unoccupied Land
Compass Bridge Ltd,"Unit 10 Bridgefield Mills, Bridgefield Works, Elland Bridge, Elland               HX5 0SG",56080723,"Bridgefield Mill, Bridgefield Works, Elland Bridge, Elland, HX5 0SG",2850,Warehouse And Premises,Flood Relief Application 2015/16
,"39 Hanson Lane, Halifax, HX1 5NX",65264039,,1875,Shop and Premises,Empty Property - RV < 15000
,"87 Halifax Road, Todmorden, OL14 5BB",78192087,,1650,Shop and Premises,Flood Relief Application 2015/16
,"Unit 4, South Street, Halifax, HX1 2EL",68640711,,980,Workshop And Premises,Empty Property - RV < 15000
Director Of Safer & Stronger Communities,"62/63 Rustic, Piece Hall, Halifax, HX1 1RE",68252792,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",4250,Shop And Premises,Listed Building
Cresswells Accountants (Uk) Limited,"Barclays Bank Chambers, 8-12 Market Street, Hebden Bridge, HX7 6AD",76360739,"Barclays Bank Chambers, 8 - 12 Market Street, Hebden Bridge, HX7 6AD",16750,Offices And Premises,Flood Relief Application 2015/16
Bizspace Ltd,"Unit 8B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628812,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",3900,Offices and Premises,Empty Relief - Post 01/04/2008
,"Norwood Green Cricket Club, Rookes Lane, Norwood Green, Halifax             HX3 8PU",68404700,,1500,Cricket Club And Premises,Empty Property - RV < 15000
,"Unit 9 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284731,,4250,Workshop And Premises,Flood Relief Application 2015/16
Binks Executive Homes Ltd,"Unit 1, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636702,"Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",2275,Store And Premises,Empty Property - RV < 15000
D L Centre Ltd,"44 Rochdale Road, Todmorden, OL14 7LD",78400817,,8600,Offices and Premises,Flood Relief Application 2015/16
Calderdale Mbc Children & Young People's Services,"Community Centre, Burnsall Road, Rastrick, Brighouse           HD6 3JT",29116700,"Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",5500,Community Centre And Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 3A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420738,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1400,Store And Premises,Empty Property - RV < 15000
,"15 Rawson Street, Halifax, HX1 1NH",68356015,,12500,Shop and Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 16D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628837,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1675,Office,Rateable Value below threshold
Valley Organics Workers Co-Op Ltd,"31 Market Street, Hebden Bridge, HX7 6EU",76360031,,6500,Shop and Premises,Flood Relief Application 2015/16
,"59 Hanson Lane, Halifax, HX1 5NX",65264757,,2075,Shop and Premises,Rateable Value below threshold
Due West Ltd,"16 Horton Street, Halifax, HX1 1PU",65388702,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",2800,Dance Studio And Premises,Listed Building
,"Telecommunications Mast, Site Ref HD0009 N Vale Mills, Bradford Road, Brighouse            HD6 4DJ",29080753,,8400,Communication Station and Premises,Unoccupied Land
,"13 New Road, Hebden Bridge, HX7 8AD",76396737,,4750,Shop and Premises,Flood Relief Application 2015/16
Blackshaw Holdings Ltd,"Unit 32 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056720,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1350,Store And Premises,Empty Property - RV < 15000
,"16 Square, Halifax, HX1 1RJ",68700016,,10250,Shop and Premises,Empty Relief - Post 01/04/2008
,"Unit 1A, Hillas Industrial Estate, Walker Lane, Sowerby Bridge       HX6 2AR",77632714,,3850,Workshop And Premises,Flood Relief Application 2015/16
Bamford Developments Limited Pension Scheme,"Unit 4 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",64824708,"8 St Stephen Street, Manchester, M3 6AY",10000,Offices And Premises,Listed Building
,"Unit G3 A, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",64448816,,4150,Offices and Premises,Flood Relief Application 2015/16
,"22 Rochdale Road, Todmorden, OL14 7LD",78400022,,3900,Shop And Premises,Flood Relief Application 2015/16
The Old Coop Cafe Bar Ltd,"29 Rochdale Road, Todmorden, OL14 7LA",78400029,,7500,Shop and Premises,Flood Relief Application 2015/16
Halifax Society For The Blind,"36 Clare Road, Halifax, HX1 2HX",64584036,"Ground Floor, 34 Clare Road, Halifax, HX1 2HX",12000,Offices and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Markets Manager,"21/22 Borough Market, Halifax, HX1 1DY",64288704,"19 Albion Street, Halifax, HX1 1DU",7600,Market Hall,Listed Building
,"Unit 5 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612728,,1700,Store &  Premises,Empty Property - RV < 15000
,"Unit 23, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",77024784,,2550,Workshop And Premises,Flood Relief Application 2015/16
Southdale Executive Pension Scheme,"Second Floor, 18 Clare Road, Halifax, HX1 2JP",69584721,"Upper Field House, 1 Howes Lane, Northowram, Halifax, HX3 7US",3850,Offices and Premises,Empty Relief - Post 01/04/2008
,"Unit 1B, 32 Charles Street, Elland, HX5 0NF",56040710,,2450,Warehouse And Premises,Rateable Value below threshold
Well Bowled Ltd,"Unit G1 Tenterfields Bsn Pk, Burnley Road, Luddendenfoot, Halifax              HX2 6EQ",64448821,"F.A.O. Mr Nick Blackburn, 8 South View, Warley Wood Avenue, Luddendenforrt, Halifax, HX2 6BL",4600,Office and Premises,Flood Relief Application 2015/16
Dean Clough Ltd,"Office Suite E339, Dean Clough Office Park, Halifax, HX3 5AX",64778826,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",11250,Offices And Premises,Listed Building
Blackbird Bar & Kitchen Ltd,"23 Water Street, Todmorden, OL14 5AB",78508023,"20 Stone Mere Avenue, Todmorden, OL14 5RW",5000,Restaurant and Premises,Flood Relief Application 2015/16
Kino & Co,"Office Hm 3.10, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344988,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2275,Offices And Premises,Empty Property - RV < 15000
,"7 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",76408007,,1775,Shop and Premises,Flood Relief Application 2015/16
,"228/230 Queens Road, Halifax, HX1 4NE",68308738,,8600,Snooker Club And Premises,Empty Relief - Post 01/04/2008
Revive Property Northern Ltd,"18 Rochdale Road, Todmorden, OL14 7LD",78400803,"21 Dovedale Road, Burnley, BB12 8XD",1750,Shop and Premises,Rateable Value below threshold
Towngate Plc,"Suites 3 & 5, 2ND Floor, Park View House, Woodvale Road, Brighouse            HD6 4AB",29656751,"C/O Sanderson Weatherall Llp, 25 Wellington Street, Leeds, LS1 4WG",8200,Offices And Premises,Empty Relief - Post 01/04/2008
Enterprise Inns Plc,"The Last Drop, 22/26 Bull Green, Halifax, HX1 5AB",64436717,"Purchase Ledger Dept, 3 Monkspath Hall Road, Solihull, West Midlands, B90 4SJ",27000,Public House and Premises,Awaiting occupation
Kino & Co,"Unit 5B, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344516,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",4950,Warehouse And Premises,Qualifying industrial hereditament
Calderdale Mbc Markets Manager,"Stalls 41/42 Market Hall, Brook Street, Todmorden, OL14 5AJ",78068728,"19 Albion Street, Halifax, HX1 1DU",1750,Market Stall And Premises,Rateable Value below threshold
Circuit Electrical Testing Ltd,"Office 2 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ",69360767,"Fountain Chambers, Fountain Street, Halifax, HX1 1LW",690,Offices And Premises,Rateable Value below threshold
,"Unit 2, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",77632712,,2550,Workshop And Premises,Flood Relief Application 2015/16
Enterprise Inns Plc,"Maggies, 24 Fountain Street, Halifax, HX1 1LW",65100706,"Purchase Ledger Dept, 3 Monkspath Hall Road, Solihull, West Midlands, B90 4SJ",32000,Public House and Premises,Empty Relief - Post 01/04/2008
Enterprise Inns Plc,"The Court Yard, 5/6 Wards End, Halifax, HX1 1BX",69264715,"Purchase Ledger Dept, 3 Monkspath Hall Road, Solihull, West Midlands, B90 4SJ",22750,Public House and Premises,Listed Building
