Department Family,Ledger Description,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Contr Premises Security,Security,INDIGO PARK SERVICES UK LTD,18749587,"37,979.62"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,X-Ray Equip Maint/Repair,PACS / CRIS,INSIGNIA MEDICAL SYSTEMS LTD,18989477,"76,781.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Fixed assets,Balance Sheet,JACKSON LIFT GROUP,18965645,"29,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Services Received - NHSTs,Enrich Study,LEEDS TEACHING HOSPITALS NHS TRUST,18695473,"-109,320.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Contr Other External,Retail Pharmacy,LLOYDS PHARMACY LTD,18858558,"872,119.29"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Phone Instal & Maint,ICT Infrastructure,MAINTEL EUROPE LTD,18786316,"36,189.02"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Med & Surg Equip General,EPS/Ablations,MEDTRONIC LTD,18647674,"65,964.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Med & Surg Equip General,EPS/Ablations,MEDTRONIC LTD,18647669,"94,608.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Blood Products,Blood,NHS BLOOD & TRANSPLANT,18843976,"192,670.75"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,CNST contributions,Central Other,NHS LITIGATION AUTHORITY,SSC DD - NHSLA,"1,616,902.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18676133,"27,558.04"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18676132,"101,590.59"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18747510,"103,095.56"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18301579,"103,962.92"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18917341,"105,802.64"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18831517,"108,511.33"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18747516,"110,366.05"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18290091,"115,422.29"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18917347,"119,411.89"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,18831589,"185,519.54"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Fixed assets,Balance Sheet,NHS SUPPLY CHAIN,18521209,"202,419.22"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Equip Maint Contracts,Nuclear Medicine,NHS SUPPLY CHAIN,18687729,"39,121.17"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Equip Maint Contracts,Radiographers,NHS SUPPLY CHAIN,18687729,"229,406.34"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Med & Surg Maint Contract,Contracts,NHS SUPPLY CHAIN,18687728,"94,819.50"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Med & Surg Maint Contract,Contracts,NHS SUPPLY CHAIN,18687730,"127,260.76"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Consumables,Procurement,NHS SUPPLY CHAIN,18744323,"97,431.11"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Consumables,Procurement,NHS SUPPLY CHAIN,18842171,"120,201.75"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Consumables,Procurement,NHS SUPPLY CHAIN,18963507,"128,966.97"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Consumables,Procurement,NHS SUPPLY CHAIN,18711527,"139,431.86"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Drugs,Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,18688154,"85,478.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Drugs,Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,18951264,"85,543.92"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Drugs,Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,18862345,"93,896.71"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Drugs,Pharmacy,ROCHE PRODUCTS LTD,18688166,"27,377.28"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Ext Contr Laundry,Linen Services,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,18807824,"82,864.33"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Ext Contr Catering,Commercial Contracts,SERCO LTD,18712210,"239,915.01"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Ext Contr Domestics,Commercial Contracts,SERCO LTD,18712210,"419,015.60"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Ext Contr Oth Hotel Srv,Commercial Contracts,SERCO LTD,18712210,"354,263.56"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Accountancy services,Finance Director,SHARED BUSINESS SERVICES,STANDING ORDER SBS SLA,"34,478.60"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Training Expenses,Organisational L&D,SOMERSET COLLEGE OF ARTS & TECHNOLOGY,18763090,"36,000.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Training Expenses,Organisational L&D,SOMERSET COLLEGE OF ARTS & TECHNOLOGY,18751356,"39,000.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Consultant,Clinical Haematology,UNIVERSITY OF PLYMOUTH,18685702,"67,275.75"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Equip Maint Contracts,Radiotherapy Treatment,VARIAN MEDICAL SYSTEMS UK LTD (VMS),18702750,"531,448.80"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Mobile Phones,Telecommunications,VODAFONE LTD,18963985,"-35,173.46"
Department of Health,Plymouth Hospitals NHS TRUST,31/05/2016,Mobile Phones,Telecommunications,VODAFONE LTD,18963986,"35,173.46"
