Property Address,RATEPAYER,RV,LIABILITY_START
"Salvation, Barum Top, Halifax, HX1 1NL",,113000,01-04-2015
"Unit A Woodman Works, South Lane, Elland, HX5 0PA",Pyxis Joinery Ltd,5100,30-11-2014
"Unit 8A Woodman Works, South Lane, Elland, HX5 0PA",Heathleigh Ltd,4700,30-11-2014
"Unit 36A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",Hawkhead Bray & Son Ltd,7000,01-05-2015
"Chilli Lounge, Huddersfield Road, Halifax, HX3 0NS",,17500,20-04-2015
"83 Northgate, Halifax, HX1 1XF",Horton Housing Support Ltd,11500,01-10-2014
"Unit 11, No 2 Warehouse, The Wharf, Sowerby Bridge, HX6 2AG",Gardner Jorissen Ltd,2175,01-05-2015
"Unit 5, Gauxholme Industrial Estate, Bacup Road, Todmorden           OL14 7PN",Ideal Boats Company Ltd,4300,06-02-2015
"Unit 1A, Hillas Industrial Estate, Walker Lane, Sowerby Bridge       HX6 2AR",,3850,19-03-2015
"24 Horton Street, Halifax, HX1 1PU",,4200,09-04-2015
"21B Back Halifax Road, Todmorden, OL14 5AG",John Macklin Ltd,2275,22-09-2014
"Office 40 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,1425,01-05-2015
"Duke Of York Inn, West Street, Shelf, Halifax             HX3 7LN",H T P Yorkshire Limited,25000,08-04-2015
"Unit 3, Hipperholme Business Park, Halifax Road, Halifax              HX3 8ER",Campervan Hire Ltd,14500,25-02-2013
"43 Crown Street, Halifax, HX1 1JB",,4300,03-02-2015
"47 Wharf Street, Sowerby Bridge, HX6 2LB",,2800,01-05-2015
"The Crown Hotel, 6 Lightcliffe Road, Brighouse, HD6 2DR",Halfway Halifax Limited,28500,01-04-2015
"2 St James Road, Halifax, HX1 1YS",,2100,27-03-2015
"Unit 4 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",Bamford Developments Limited Pension Scheme,10000,01-04-2015
"Unit 6 (Remainder), Dispensary Walk, Halifax, HX1 1QR",Bamford Developments Limited Pension Scheme,5900,01-04-2015
"Units 1, 2 & 3 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",Bamford Developments Limited Pension Scheme,8900,01-04-2015
"Unit 8G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,2750,01-04-2015
"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,5200,01-04-2015
"Unit G3 A, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",,4150,01-04-2015
"St John's House, St Johns Lane, Halifax, HX1 2JD",Developing Initiatives For Support In The Community Ltd,20500,02-02-2015
"5th Floor, 60 Crown Street, Halifax, HX1 1JE",Gp Strategies Training Ltd,18000,01-04-2015
"UNIT19 Woodman Works, South Lane, Elland, HX5 0PA",,10750,01-04-2015
"Star Inn, 29 Bridge End, Brighouse, HD6 3DN",,6400,19-01-2015
"12 Carr House Road, Shelf, Halifax, HX3 7QY",,4600,01-04-2015
"37 Burnley Road, Todmorden, OL14 7BU",,4850,01-04-2014
"18 Crown Street, Halifax, HX1 1TT",,10250,03-01-2015
"55 Hanson Lane, Halifax, HX1 5NX",Heating Spares Halifax Ltd,2500,05-01-2015
"Punch Bowl Inn, 389 Huddersfield Road, Halifax, HX3 9LJ",Leodis Properties Ltd,4750,01-04-2015
"2ND Floor Unit 1, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",Welcome Independent Living Ltd,11250,01-04-2015
"115 Bolton Brow, Sowerby Bridge, HX6 2BD",,2325,01-03-2015
"Norset House, West View, Boothtown, Halifax              HX3 6PG",The Bear's House Day Nursery,7500,02-02-2015
"5-7 Central Street, Halifax, HX1 1HU",Eco Windows Ltd,21250,11-04-2015
"Unit 37, Mill House Works, Triangle, Sowerby Bridge      HX6 3LN",Units To Let [Northern] Ltd,1350,28-04-2015
"Office 2 1ST Floor, 159 King Cross Road, Halifax, HX1 3LN",,2025,01-04-2015
"The Long Mill Lower Gf, Rochdale Road, Greetland, Halifax              HX4 8AL",Beowulf Performance Products Ltd,9300,01-04-2014
"1st & Part Ground Floor, Holme End, Hebden Bridge, HX7 8NX",,2125,20-11-2013
"Running Man Hotel, 84 Pellon Lane, Halifax, HX1 5QN",,4500,24-04-2015
"Newcombe Mill, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",A B S Uk Limited,24250,09-03-2015
"Newcombe House, Newcombe Street, Elland, HX5 0EG",B W Sipp Trustees Limited,16250,09-03-2015
"The Malt House, 270 Oldham Road, Rishworth, Sowerby Bridge       HX6 4QB",The Malthouse (Calderdale) Ltd,56500,10-01-2015
"The Court Yard, 5/6 Wards End, Halifax, HX1 1BX",,22750,02-05-2015
"Unit 34 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",,1625,28-02-2015
"Unit 33 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Hebden Bridge Community Association,1925,28-02-2015
"Unit 7B Lineholme Mill, Burnley Road, Todmorden, OL14 7DH",,2550,16-10-2014
"Unit 7C Lineholme Mill, Burnley Road, Todmorden, OL14 7DH",,3650,11-08-2014
"Unit C Nanholme Mill, Shaw Wood Road, Todmorden, OL14 6DA",,2475,30-06-2014
"Offices Part, Bridgefield Works, Elland Bridge, Elland               HX5 0SQ",C3S Projects Ltd,5700,01-04-2015
"Bridgefield Works, Elland Bridge, Elland, HX5 0SQ",C3S Projects Ltd,34000,01-04-2015
"Pennine Works, Elland Bridge, Elland, HX5 0SQ",C3S Projects Ltd,22000,01-04-2015
"25 Horton Street, Halifax, HX1 1QE",Eventsline Limited,15250,22-12-2014
"Bridge Works, Elland Bridge, Elland, HX5 0SQ",C3S Projects Ltd,16000,01-04-2015
"Adj Ardeth Engineering Ltd, Elland Bridge, Elland, HX5 0SQ",C3S Projects Ltd,2800,01-04-2015
"Part 5TH Floor F Mill, Dean Clough Mills, Halifax, HX3 5AX",Nhs Property Services Ltd,167000,01-10-2014
"Unit 1A, 1B & 2, 32 Charles Street, Elland, HX5 0NF",,5900,30-10-2014
"8 Bull Green, Halifax, HX1 5AB",,22000,05-05-2015
"20 West Park Street, Brighouse, HD6 1DU",Nos 4 Limited,3300,30-04-2015
"70 Hopwood Lane, Halifax, HX1 4DG",,2475,01-01-2015
"Unit 1E, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",,1700,07-04-2015
"Croftmyl, West Parade, Halifax, HX1 2EQ",C F K Developments (Croft Myl) Llp,14750,08-06-2014
"Unit 3 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",,5900,17-01-2015
"1 George Street, Hipperholme, Halifax, HX3 8DY",Palmer & Palmer (Hx) Ltd,4800,01-04-2015
"5 & 7 Pennine Avenue, Elland, HX5 0AR",Harron Homes (Yorkshire) Ltd,49500,19-09-2014
"Unit 14, Branxholme Industrial Estate, Bradford Road, Bailiff Bridge",Proplus Installation Products Limited,7900,20-02-2015
"Unit 17, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Marrtree Investments Limited,7900,20-02-2015
"Unit 15, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Marrtree Investments Limited,7900,20-02-2015
"Unit 16, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Marrtree Investments Limited,7900,20-02-2015
"Unit 18, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Marrtree Investments Limited,7900,20-02-2015
"Unit 19, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Marrtree Investments Limited,7900,20-02-2015
"Unit 20, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Marrtree Investments Limited,7900,20-02-2015
"Electronic Delivery Locker, Sainsbury's, Mill Lane, Brighouse            HD6 1PQ",Sainsburys Supermarkets Ltd,1750,05-03-2013
"Units 2,3 & 9, 32 Huddersfield Road, Brighouse, HD6 1HA",,13250,01-05-2015
"3 Park Row, Brighouse, HD6 1AB",The Apple Property Company (Ssas) Ltd,7900,16-04-2015
"3 The Courtyard, Bridge Gate, Hebden Bridge, HX7 8EX",Calan's Micropub Ltd,8500,01-04-2015
"Unit 4D Armytage Road, Brighouse, HD6 1QF",Design & Display Ltd,24500,14-04-2015
"Front, 159 King Cross Road, Halifax, HX1 3LN",,4900,15-12-2014
"Unit 10H, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3100,01-01-2015
"Unit 10G, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3350,01-01-2015
"295 Claremount Road, Halifax, HX3 6AW",Maramar Holdings Ltd,3700,01-04-2015
"4 Cross Hills, Halifax, HX1 1XQ",,2350,01-04-2015
"Lush, 24A Fountain Street, Halifax, HX1 1LW",,25750,26-03-2015
"16-18 Union Street, Halifax, HX1 1PR",Due West Ltd,14500,09-05-2015
"6 Westgate, Halifax, HX1 1DJ",Chaos Clothing Ltd,16750,01-05-2015
"Office 1 1ST Floor, 159 King Cross Road, Halifax, HX1 3LN",Dpt Consulting Ltd,1375,01-04-2015
"Rear, 159 King Cross Road, Halifax, HX1 3LN",Thor Homecare Ltd,1600,01-04-2015
"Unit 3, Dean Hey Country Business Pk, Cragg Road, Hebden Bridge        HX7 8RU",The Ark Experience Llp,34500,01-04-2015
"Unit 4, Dean Hey Country Bsn Park, Cragg Road, Mytholmroyd          HX7 5RU",The Ark Experience Llp,22750,01-04-2015
"Workspace Unit 16, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",,5700,01-12-2014
"Units 10-14 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Hebden Bridge Community Association,11500,03-05-2015
"Office Suite E 237, Dean Clough Mills, Halifax, HX3 5AX",Prestige Gifting Ltd,16750,05-05-2015
"Unit 10 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",,385,01-05-2015
"Hamnett House, Gibbet Street, Halifax, HX2 0AX",Niko (Int) Ltd,80500,01-04-2012
"19 Mixenden Road, Mixenden, Halifax, HX2 8PE",,2850,17-01-2015
"Units 8-9, Moderna Business Park, Mytholmroyd, Hebden Bridge        HX7 5QQ",Damika Ltd,42500,01-06-2011
"Office 17 Ground Floor, 11 Owler Ings Road, Brighouse, HD6 1EJ",,1100,01-04-2015
"Suite H M 2.17, Holmfield Mill, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,780,12-05-2015
"Unit Hm 1.03, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",Yorkshire Children's Trust,1025,12-05-2015
"18 Sculptor Place, Brighouse, HD6 2AR",,2750,24-03-2015
"5 West Parade, Halifax, HX1 2TE",Callder Labels Limited,7500,09-04-2015
"Scout Road, Mytholmroyd, Hebden Bridge, HX7 5HZ",,405,01-04-2012
"Halifax Road, Hipperholme, Halifax, HX3 8ER",R S Investments Yorkshire Ltd,1675,09-05-2015
"Unit 8 Victoria Park, Lightowler Road, Halifax, HX1 5ND",C2 (General Partner Two) Lp,8200,01-04-2015
"Unit 4, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",,6700,21-03-2015
"Unit 4C, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3650,20-04-2015
"Unit 1A, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Vizbox Enclosures Ltd,3700,01-03-2015
"Unit 10D, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RW",Thornber Chicks Ltd,3400,28-04-2015
"Unit 4B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,2600,28-04-2015
"Unit 4E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,3600,16-04-2015
"Unit 1C, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Independent Measure Ltd,5700,01-03-2015
"4A Orchard Business Park, Scout Road, Mytholmroyd, Hebden Bridge        HX7 5HZ",Thornber Chicks Ltd,6900,01-03-2015
"Units 1A & 1B, Brier Hey, Burnley Road, Mytholmroyd          HX7 5PF",Thornber Chicks Ltd,8600,01-05-2015
"Railway Hotel, 29 Horton Street, Halifax, HX1 1QE",K.M.E. Associates (Nw) Ltd.,19000,28-01-2015
"Middle Floor, Jowler Mill, Luddenden, Halifax              HX2 6TB",Linx Beds Ltd,5600,30-03-2015
"Hinchcliffe Arms, Cragg Vale, Hebden Bridge, HX7 5TA",J W Lees & Co (Brewers) Ltd,7300,11-05-2015
"2 Cross Hills, Halifax, HX1 1XQ",,3150,01-12-2014
"276 Gibbet Street, Halifax, HX1 4LT",,2600,23-03-2015
"Unit HM26 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,3000,01-10-2014
"Unit 2B Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",,3350,01-02-2015
