PublicationDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,ElectionDate,TypeofElection,ElectedBodyURI,ElectedBodyLabel,ConstituencyURL,ConstituencyLabel,CandidateName,PoliticalPartyURI,PoliticalPartyLabel,VotesWon,Elected,VotesCast,SizeofElectorate,Rejected-Invalid-Votes,ElectoralServices,ReportEmail,ReportTel
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001412,Alwoodley,WHITE Keith Micheal,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,1982,,6655,17469,42,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001413,Ardsley and Robin Hood,ATKIN Tim,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,1161,,4897,17166,24,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001413,Ardsley and Robin Hood,DOVE Lindon,http://search.electoralcommission.org.uk/English/Registrations/PP85,UK Inderpendence Party (UKIP),1096,,4897,17166,24,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001413,Ardsley and Robin Hood,PAGE LYSSIE,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,143,,4897,17166,24,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001413,Ardsley and Robin Hood,RENSHAW Karen,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,2248,Elected,4897,17166,24,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001413,Ardsley and Robin Hood,WARD Benjamin Lloyd,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,225,,4897,17166,24,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001414,Armley,CALDWELL David,http://search.electoralcommission.org.uk/English/Registrations/PP85,UK Inderpendence Party (UKIP),1104,,4921,16895,30,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001414,Armley,GLOVER Christine Amy,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,181,,4921,16895,30,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001414,Armley,LOWE Alison Natalie Kay,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,2726,Elected,4921,16895,30,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001414,Armley,MORGAN Shane Gary,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,380,,4921,16895,30,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001414,Armley,SMITH David Michael,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,453,,4921,16895,30,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001414,Armley,SUTCLIFFE Beth ,http://search.electoralcommission.org.uk/English/Registrations/PP804,Trade Unionist and Socialist Coalition,47,,4921,16895,30,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001415,Beeston and Holbeck,DENT Adam David John,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,232,,4190,14815,39,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001415,Beeston and Holbeck,GABRIEL Angela,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,2547,Elected,4190,14815,39,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001415,Beeston and Holbeck,GAGEN Kathryn Elizabeth ,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,84,,4190,14815,39,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001415,Beeston and Holbeck,PATTISON Kevin Michael ,http://search.electoralcommission.org.uk/English/Registrations/PP804,Trade Unionist and Socialist Coalition,26,,4190,14815,39,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001415,Beeston and Holbeck,SENIOR Luke Barry,http://search.electoralcommission.org.uk/English/Registrations/PP85,UK Inderpendence Party (UKIP),833,,4190,14815,39,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001415,Beeston and Holbeck,WINFIELD Robert James William,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,429,,4190,14815,39,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001416,Bramley and Stanningley,BISSON Kate,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,453,,4651,15918,21,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001416,Bramley and Stanningley,GLOVER Serena Samantha,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,171,,4651,15918,21,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001416,Bramley and Stanningley,GRUEN Caroline Anne,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,2370,Elected,4651,15918,21,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001416,Bramley and Stanningley,MURGATROYD Anne,http://search.electoralcommission.org.uk/English/Registrations/PP85,UK Inderpendence Party (UKIP),1152,,4651,15918,21,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001416,Bramley and Stanningley,NANCOLAS Alex,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,484,,4651,15918,21,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001417,Burmantofts and Richmond,ELLIS James Alan,http://search.electoralcommission.org.uk/English/Registrations/PP804,Trade Unionist and Socialist Coalition,47,,4014,14775,46,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001417,Burmantofts and Richmond,GILG Penny Ellen,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,223,,4014,14775,46,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001417,Burmantofts and Richmond,HOLLINGSWORTH David Ewan,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,464,,4014,14775,46,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001417,Burmantofts and Richmond,HOLLORAN Geoff,http://search.electoralcommission.org.uk/English/Registrations/PP85,UK Inderpendence Party (UKIP),766,,4014,14775,46,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001417,Burmantofts and Richmond,LORD Peter Cavendish,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,189,,4014,14775,46,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001417,Burmantofts and Richmond,RAGAN Denise,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,2279,Elected,4014,14775,46,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001418,Calverley and Farsley,ARBUCKLE Kate,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,249,,6980,17617,31,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001418,Calverley and Farsley,CARLILL Peter,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,2269,,6980,17617,31,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001418,Calverley and Farsley,CARTER Andrew,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,3674,Elected,6980,17617,31,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001418,Calverley and Farsley,LORD Clive Richard,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,161,,6980,17617,31,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001418,Calverley and Farsley,STEELE Malcolm,http://search.electoralcommission.org.uk/English/Registrations/PP85,UK Inderpendence Party (UKIP),596,,6980,17617,31,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001419,Chapel Allerton,DAVIES Mike ,http://search.electoralcommission.org.uk/English/Registrations/PP67,Alliance for Green Socialism,262,,6057,16835,56,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001419,Chapel Allerton,FINLAY Darren ,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,275,,6057,16835,56,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001419,Chapel Allerton,MOLLISON Keith,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,464,,6057,16835,56,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001419,Chapel Allerton,MYERS David Bernard ,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,541,,6057,16835,56,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001419,Chapel Allerton,STORE Sheila Valerie,http://search.electoralcommission.org.uk/English/Registrations/PP85,UK Inderpendence Party (UKIP),290,,6057,16835,56,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001419,Chapel Allerton,TAYLOR Eileen ,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,4169,Elected,6057,16835,56,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001420,City and Hunslet,AZIZ Jahangir,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,252,,5097,19688,43,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001420,City and Hunslet,CARLISLE Ed ,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,1397,,5097,19688,43,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001420,City and Hunslet,FINCH Mary Rosamund,http://search.electoralcommission.org.uk/English/Registrations/PP804,Trade Unionist and Socialist Coalition,54,,5097,19688,43,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001420,City and Hunslet,GREEN Amy ,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,443,,5097,19688,43,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001420,City and Hunslet,NASH Elizabeth Anne,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,2483,Elected,5097,19688,43,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001420,City and Hunslet,WETHERILL Brian,http://search.electoralcommission.org.uk/English/Registrations/PP85,UK Inderpendence Party (UKIP),425,,5097,19688,43,Electoral Services,electors@leeds.gov.uk,
27/05/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,05/05/2016,District and Borough,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,Leeds City Council,http://statistics.data.gov.uk/id/statistical-geography/E05001421,Cross Gates and Whinmoor,GALE Matthew Raymond,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,1088,,5754,17759,24,Electoral Services,electors@leeds.gov.uk,
