Property Reference Number,Full Property Address,Current Rateable Value,Primary Liable party name,Account Start Date,Occupied relief,Empty relief,Empty relief start date,Empty exemption,Exemption start date
210230055014,"Dutton Arms, 56, Barton Road,  Eccles, Manchester, M30 7AE",10500,365 Management Services Ltd,24/07/2013,,,,,
532150008008,"The Oasis, Northbank Industrial Estate, Brinell Drive, Irlam, Manchester, M44 5BL",26000,3d Scaffolding Limited,01/04/2013,,,,,
1192050040800,"4th Flr, 8, Exchange Quay, Trafford Road, Salford, M5 3EJ",114000,3m United Kingdom Public Limited Company,14/01/2016,,,,,
108770031016,"3rd/1st Eccles Boy Scouts, Watson Street, Eccles, Manchester, M30 0RF",3200,3rd/1st Eccles Scouts R C,01/04/1992,Mandatory,,,,
1530650000512,"Scout Hall And Premises, Odessa Avenue, Salford, M6 8LQ",5900,43rd Salford (Hope) Scout Group,01/04/1992,Mandatory,,,,
0142003020700A,"207, Eccles Old Road, Salford, M6 8HA",9600,4you Lettings Ltd,31/10/2016,Small Business Relief England,,,,
1960650014513,"6th Worsley Scout Group Off, St Marys Road, Worsley, Manchester, ",0,6th Worsley Scout Group,01/04/1992,,,,,
1311530061616,"Advertising Right  No 02, Adj 16, Buckingham Avenue, Salford, M6 5RD",2050,8 Outdoor Media Limited,01/02/2017,,,,,
1082490212000,"Advertising Right 0206 0006,  On Regent Road , Salford, M5 4HB",10000,8 Outdoor Media Ltd,01/07/2017,,,,,
2067950004505,"Unit 10, Little Hulton Trading Estate, Highfield Road, Worsley, Manchester, M38 9ST",19750,A & A Drain Services Ltd,04/01/2011,,,,,
1186400002011,"Unit E3, Cassidy Court, Kansas Avenue, Salford, ",9000,A & B Electrical Services (Uk) Ltd,03/04/2006,Small Business Relief England,,,,
212150003528,"Unit 3 Peel Green Trading Estate, Green Street, Eccles, Manchester, M30 7HF",7900,A & K Autos & Mot  Centre Ltd,01/09/2009,Small Business Relief England,,,,
1639810094003,"94/96, Moorside Road, Swinton, Manchester, M27 0HH",5400,A & M Mclellan & Co Ltd,01/04/1992,Small Business Relief England,,,,
213350139518,"135/139, Liverpool Road, Eccles, Manchester, M30 0ND",9900,A & Q Eccles Limited,17/03/2016,Small Business Relief England,,,,
641130008006,"8, King Edwards Buildings, Bury Old Road, Salford, M8 4QJ",14000,A & Q Gateway Ltd,02/06/2014,,,,,
2171480010515,"Unit B5, Fallons Road, Wardley Industrial Estate, Worsley, Manchester, M28 2NY",26000,A & S Carpets & Vinyls Ltd,20/01/2010,,,,,
104810060005,"60, Liverpool Road, Eccles, Manchester, M30 0WA",4200,A & S Just Fresh Ltd,01/06/2016,Small Business Relief England,,,,
1962090001515,"A & A Carpets Ltd, Devonshire Road, Worsley, Manchester, M28 3PT",90500,A And A Carpets Ltd,26/07/1993,,,,,
2174770000681,"Abc Coaches, Priestley Road, Worsley, M28 2LX",1350,A B C Coach Ltd,27/09/2004,,,,Empty,01/04/2011
106070174515,"Unit A1 Lyntown Trading Estate, Old Wellington Road, Eccles, Manchester, M30 9QG",27250,A B Cases (Manchester) Limited,01/08/2014,,,,,
1962090001534,"International Decorative Surfaces, Oakhill Trading Estate, Devonshire Road, Worlsey, M28 3PT",70500,A B Sundecks Limited,01/12/2012,,,,,
1206070002118,"Part Ground Floor, 2, Orchard Street, Salford, M6 6FL",2125,A G & S Cope Ltd,01/04/2011,,,,Empty,01/04/2011
1748160010002,"1,  , Holt Street, Swinton, Salford, M27 6FE",3650,A G H Electrical Limited,12/05/2014,,,,,
1120500401306,"1st Floor Suite 2, Building 4 Exchange Quay, Trafford Road, Salford, M5 3EE",0,A J Bell Limited,01/10/2016,,,,,
11892050040427,"Suite A Ground Floor , Building 4, Exchange Quay, Trafford Road, Salford, M5 3EE",68500,A J Bell Limited,01/10/2016,,,,,
1192050000363,"Pt Ist Floor, Suite 27 Dock Office, Trafford Road, Salford, ",0,A J Bell Limited,15/11/2000,,,,,
1192050002049,"2nd/4th Floors, Building 4, Exchange Quay, Trafford Road, M5 3EE",0,A J Bell Limited,01/10/2016,,,,,
1192050004062,"6th Flr , 4, Exchange Quay, Trafford Road, Salford, M5 3EE",0,A J Bell Limited,01/10/2016,,,,,
1192050004064,"7th Floor, 4, Exchange Quay, Trafford Road, Salford, M5 3EE",91500,A J Bell Limited,01/05/2017,,,,,
1192050004262,"Pt 5th Flr Building 4, Exchange Quay, Trafford Road, Salford, M5 3EQ",0,A J Bell Limited,01/10/2016,,,,,
40000100010006,"Car Space No 1, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100020008,"Car Space No 2, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010003000A,"Car Space No 3, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100040001,"Car Space No 4, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100050003,"Car Space No 5, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100060005,"Car Space No 6, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100070007,"Car Space No 7, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100080009,"Car Space No 8, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010009000B,"Car Space No 9, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100100005,"Car Space No 10, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100110007,"Car Space No 11, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100120009,"Car Space No 12, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010013000B,"Car Space No 13, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100140002,"Car Space No 14, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100150004,"Car Space No 15, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100160006,"Car Space No 16, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100170008,"Car Space No 17, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010018000A,"Car Space No 18, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100190001,"Car Space No 19, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100200006,"Car Space No 20, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100210008,"Car Space No 21, P1 Upper  Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010022000A,"Car Space No 22, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100230001,"Car Space No 23, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100240003,"Car Space No 24, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100250005,"Car Space No 25, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100260007,"Car Space No 26, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100270009,"Car Space No 27, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010028000B,"Car Space No 28, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100290002,"Car Space No 29, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100300007,"Car Space No 30, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100310009,"Car Space No 31, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010032000B,"Car Space No 32, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100330002,"Car Space No 33, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100340004,"Car Space No 34, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100350006,"Car Space No 35, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100360008,"Car Space No 36, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010037000A,"Car Space No 37, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100380001,"Car Space No 38, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100390003,"Car Space No 39, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100400008,"Car Space No 40, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010041000A,"Car Space No 41, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100420001,"Car Space No 42, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100430003,"Car Space No 43, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100440005,"Car Space No 44, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100450007,"Car Space No 45, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100460009,"Car Space No 46, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010047000B,"Car Space No 47, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100480002,"Car Space No 48, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100490004,"Car Space No 49, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100500009,"Car Space No 50, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010051000B,"Car Space No 51, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100520002,"Car Space No 52, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100530004,"Car Space No 53, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100540006,"Car Space No 54, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000100550008,"Car Space No 55, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000010056000A,"Car Space No 56, P2 Lower Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200010002,"Car Space No 1, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200030006,"Car Space No 3, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200190008,"Car Space No 19, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200200002,"Car Space No 20, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200220006,"Car Space No 22, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200230008,"Car Space No 23, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000020024000A,"Car Space No 24, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200250001,"Car Space No 25, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200260003,"Car Space No 26, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200270005,"Car Space No 27, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200330009,"Car Space No 33, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000020034000B,"Car Space No 34, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200350002,"Car Space No 35, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200360004,"Car Space No 36, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200370006,"Car Space No 37, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200380008,"Car Space No 38, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000020039000A,"Car Space No 39, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200400004,"Car Space No 40, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200410006,"Car Space No 41, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200420008,"Car Space No 42, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200450003,"Car Space No 45, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200460005,"Car Space No 46, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200470007,"Car Space No 47, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200480009,"Car Space No 48, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000020049000B,"Car Space No 49, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200500005,"Car Space No 50, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200510007,"Car Space No 51, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200520009,"Car Space No 52, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000020053000B,"Car Space No 53, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200540002,"Car Space No 54, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200550004,"Car Space No 55, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000020058000A,"Car Space No 58, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200590001,"Car Space No 59, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200600006,"Car Space No 60, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200610008,"Car Space No 61, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
4000020062000A,"Car Space No 62, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200630001,"Car Space No 63, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
40000200640003,"Car Space No 64, P1 Upper Level, Building 4, Exchange Quay, Trafford Road, M5 3EQ",500,A J Bell Limited,01/10/2016,,,,,
1202290000665,"A O Ying Uk Ltd, Gnd Flr Moorson House, Cobden Street, Salford, M6 6LY",1950,A O Ying Uk Limited,01/04/2004,,,,Empty,01/04/2011
1964370462518,"R/O 462, Manchester Road East, Worsley, Manchester, ",6400,A P M G Ltd,11/06/2001,,,,,
0196467000151A,"Apmg Ltd, Mount Skip Lane, Little Hulton, Manchester, ",47750,A P M G Ltd,05/10/1998,,,,,
323510000985,"Bridgewater Park, Weymouth Road, Eccles, Manchester, M30 8NN",9800,A P R Windows & Conservatories Ltd,01/08/1994,Small Business Relief England,,,,
1856610066221,"Biffa Waste Services, Land Adj, Langleymill, Langley Road, Salford, M6 6JP",5500,A Property Management Limited,28/09/2016,,,,Empty,28/09/2016
1963050000504,"Unit 26 Harcourt Industrial Estate, Harcourt Street, Worsley, Manchester, M28 3GN",12000,A S A P Comply Ltd,01/08/2014,,,,,
2175260000109,"Unit 10/11 A580 Trading Estate, Shield Drive, Worsley, Manchester, ",74000,A T Engine Controls Limited,01/04/2005,,,,,
0053423024800A,"A B K Fencing Services, R/O 248 Liverpool Road, Cadishead, Manchester, M44 5DX",7600,A T M Engineering Services Ltd,01/09/2002,Small Business Relief England,,,,
1964370216518,"Ats North Western Ltd, Manchester Road East, Little Hultonworsley, Manchester, ",33750,A T S Euromaster Limited,01/04/2003,,,,,
641850441000,"441,  , Lower Broughton Road, Salford, M7 2FX",18000,A W Charitable Trust,01/04/2010,Mandatory,,,,
1192700028530,"Unit 27 Willan Industrial Estate , Vere Street, Salford, M50 2GR",3950,A&O Foods Ltd,25/08/2016,Small Business Relief England,,,,
321110802019,"Unit B Hangar 14, Barton Aerodrome, Liverpool Road, Eccles, Manchester, M30 7RX",12750,A. & C. Sheet Metal Limited,01/04/2016,Small Business Relief England,,,,
1742890003018,"2, Albion Street, Swinton, Manchester, M27 4FG",38000,A. B. C. Coach Ltd.,21/08/2015,,EPRI,21/02/2016,,
2284150007018,"7, Standfield Shopping Centre, Simpson Road, Worsley, Manchester, M28 1LT",11250,A.B. Hardware Diy & Gifts Ltd,27/07/2016,Small Business Relief England,,,,
966330032113,"32, Crescent, Salford, M5 4PF",9700,A.G.E Limited,02/09/2013,,,,Empty,02/09/2013
969690025057,"Car Spaces 8-10, Hulme Street, Salford, M5 4PF",1500,A.G.E Limited,13/08/2013,,,,Empty,13/08/2013
969690025059,"Car Space 14, Hulme Street, Salford, M5 4PF",500,A.G.E Limited,13/08/2013,,,,Empty,13/08/2013
855870064003,"64, Cambridge Street, Salford, M7 1UY",5300,A.Y. Traders Ltd,01/04/2010,Small Business Relief England,,,,
1206070031240,"Units 15b-15c, Orchard Street Compound, Orchard Street, Salford, M6 6FL",9100,A1 Reclaimed Brick Specialists Ltd,24/02/2010,Small Business Relief England,,,,
1855660000010,"A1 Services, Overman Way, Swinton, Manchester, M27 8UQ",95500,A1 Services Manchester Ltd,13/03/2013,,,,,
1752670207002,"Cock And Swine , 207/209, Worsley Road, Swinton, Manchester, M27 5SQ",21000,A2b Real Property Ltd,18/07/2014,,,,,
1202290000101,"Unit 1a Pt Gnd Flr, Kingston Mill, Cobden Street, Salford, M6 6WF",1125,A2z (Gb) Ltd,11/09/2016,,EPRI,11/09/2016,,
1202290000111,"Unit 1 Pt Gnd Flr, Kingston Mill, Cobden Street, Salford, M6 6WF",4300,A2z (Gb) Ltd,07/03/2015,,EPRI,07/09/2015,,
1202290000438,"Linfoss Engineering Co, Kingston Mill, Cobden Street, Salford, M6 6WF",5200,A2z (Gb) Ltd,31/08/2014,,EPRI,28/02/2015,,
1202290000461,"3rd Flr , Kingston Mill, Cobden Street, Salford, M6 6WF",1650,A2z (Gb) Ltd,01/08/2014,,,,Empty,01/08/2014
1202290000687,"Arrow Amateur Boxing Club, Cobden Street, Salford, M6 6LY",3400,A2z (Gb) Ltd,01/08/2014,,EPRN,01/08/2014,,
1202290000777,"Pt Gnd Floor, 1d, Kingston Mill, Cobden, Street, M6 6WF",3000,A2z (Gb) Ltd,01/08/2014,,,,,
1743850011005,"Sakhi House , Bridge Street, Swinton, Manchester, M27 4DN",230000,A2z Logistics Ltd,01/05/2017,,,,,
861150032003,"Gnd Flr 32, Rugby Street, Manchester, M8 9SN",3550,A2z Smoking  Products Ltd,02/09/2016,,,,,
320270183454,"Aaa Chemicals Ltd Part B1, Barton Hall Industrial Estate, Hardy Street, Eccles, Manchester, M30 7NB",4450,Aaa Chemicals Limited,01/08/2013,,,,,
2175190001022,"Unit 2, Sharp Street, Worsley, Manchester, M28 3LX",8400,Abakus (Rejza) Limited,01/09/2013,,,,,
0217519003758A,"Unit 5 Linnyshaw Industrial Estate, Sharp Street, Worsley, Manchester, M28 3PT",10250,Abakus (Rejza) Limited,16/09/2010,Small Business Relief England,,,,
431140000103,"Unit 10 Thames Trading Centre, Woodrow Way, Irlam, Manchester, M44 6BP",6200,Abb Windows Limited,09/09/2016,,,,,
0228097000005B,"Unit 5, High Street, Worsley, Manchester, ",15000,Abbott & Co Solicitors,01/08/2005,Small Business Relief England,,,,
426100005111,"Unit 11, Wharfside Business Park, Irlam Wharf Road, Irlam, M44 5PN",30750,Abc Industrial Doors Ltd,14/06/2008,,,,,
1744990446011,"60, Chorley Road, Swinton, M27 5AD",10750,Abi European Food Ltd,01/12/2015,Small Business Relief England,,,,
428090000696,"632, Liverpool Road, Irlam, M44 5AD",48250,Abr Fabrications Ltd,15/11/2013,,,,,
428090656442," , Unit 23, Irlam Industrial Estate, Liverpool Road, Irlam, Manchester, M44 5AD",10250,Abr Fabrications Ltd,01/04/2016,,,,,
428090656443,"Unit 24, Irlam Industrial Estate, Liverpool Road, Irlam, Manchester, M44 5AD",5500,Abr Fabrications Ltd,16/11/2015,,,,,
1962090001553,"Unit 23, Oakhill Trading Estate, Devonshire Road,  Worsley, Manchester, M28 3PT",18500,Absolute Clear Solutions Ltd,18/08/2016,,,,,
1750090025052,"Ground Floor 25, Rutland Street, Swinton, Manchester, M27 6AU",5900,Absolute K Limited,01/02/2009,Small Business Relief England,,,,
0175141009500A,"95, Swinton Hall Road, Swinton, Manchester, M27 4AU",4150,Acanthus Advertising Ltd,20/08/1997,Small Business Relief England,,,,
1854200683210,"Unit 8, Agecroft Enterprise Park, Shearer Way, Swinton, Manchester, M27 8WA",4250,Acas Pneumatic Control Ltd,13/06/2008,Small Business Relief England,,,,
227870016806,"2nd Flr Front , 168 & 170, Chaddock Lane, Boothstown, Worsley, Manchester, M28 1DF",1850,Access Money Ltd,01/03/2013,Small Business Relief England,,,,
0010559017300B,"173, Monton Road,  Eccles, Manchester, M30 9GS",8600,Access Services North West Limited,01/10/2015,Small Business Relief England,,,,
0196559001760B,"Unit 176, Walkden Town Centre, Bolton Road , Worsley , M28 3ZH",7800,Accessories For The Home Limited,03/03/2017,Small Business Relief England,,,,
1743850004021,"13, Bridge Street, Swinton, M27 4DN",6700,Accident Assist Nationwide Ltd,01/04/2016,Small Business Relief England,,,,
1189960002019,"19, Trafford Road, Salford Quays, Salford, M5 3AW",277500,Accor Uk Economy Hotels Ltd,01/09/2008,,,,,
428090621011,"Pt 1st Flr, 621-629, Liverpool Road, Irlam, Manchester, M44 5BE",6700,Accountancy Services 4 Business Ltd,23/11/2015,Small Business Relief England,,,,
