Organisation Name,Effective Date,Service,Supplier Name,Payment Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,17/02/2015,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,17/02/2015,850,TRAINING,V000868719
ROCHDALE BOROUGH COUNCIL,13/02/2015,CUSTOMERS & CORPORATE SERVICES,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,684.5,GAS,V000868726
ROCHDALE BOROUGH COUNCIL,10/02/2015,ECONOMY AND ENVIRONMENT,JMHA,10/02/2015,4080,IMPROVEMENTS-MODERNISATION,V000868733
ROCHDALE BOROUGH COUNCIL,13/02/2015,FINANCE SERVICES,CIVICA UK LIMITED,13/02/2015,38480,AGENCY STAFF,V000868735
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,GREATER MANCHESTER BUILDING PRESERVATION TRUST,04/02/2015,750,ROOM HIRE,V000868750
ROCHDALE BOROUGH COUNCIL,18/02/2015,PROPERTY AND HIGHWAYS,CHUBB FIRE LIMITED,18/02/2015,-1039.19,SECURITY,V000868779
ROCHDALE BOROUGH COUNCIL,13/02/2015,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,4562.16,GAS,V000868795
ROCHDALE BOROUGH COUNCIL,13/02/2015,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,2361.66,GAS,V000868807
ROCHDALE BOROUGH COUNCIL,13/02/2015,PROPERTY AND HIGHWAYS,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,708.59,ONGOING DISBURSEMENTS,V000868814
ROCHDALE BOROUGH COUNCIL,13/02/2015,CUSTOMERS & CORPORATE SERVICES,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,1091.34,GAS,V000868832
ROCHDALE BOROUGH COUNCIL,13/02/2015,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,1314.13,GAS,V000868834
ROCHDALE BOROUGH COUNCIL,13/02/2015,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,535.17,GAS,V000868850
ROCHDALE BOROUGH COUNCIL,13/02/2015,CHILDREN’S SOCIAL CARE,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,769.44,GAS,V000868866
ROCHDALE BOROUGH COUNCIL,13/02/2015,CUSTOMERS & CORPORATE SERVICES,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,706.18,GAS,V000868899
ROCHDALE BOROUGH COUNCIL,13/02/2015,PROPERTY AND HIGHWAYS,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,685.28,ONGOING DISBURSEMENTS,V000868900
ROCHDALE BOROUGH COUNCIL,10/02/2015,ECONOMY AND ENVIRONMENT,ARCO GROUP LIMITED,10/02/2015,1124.8,"CLOTHES, UNIFORM AND LAUNDRY",V000868954
ROCHDALE BOROUGH COUNCIL,10/02/2015,ECONOMY AND ENVIRONMENT,ARCO GROUP LIMITED,10/02/2015,1393.5,"CLOTHES, UNIFORM AND LAUNDRY",V000868954
ROCHDALE BOROUGH COUNCIL,10/02/2015,ECONOMY AND ENVIRONMENT,ARCO GROUP LIMITED,10/02/2015,1393.5,"CLOTHES, UNIFORM AND LAUNDRY",V000868954
ROCHDALE BOROUGH COUNCIL,10/02/2015,ECONOMY AND ENVIRONMENT,ARCO GROUP LIMITED,10/02/2015,1665.2,"CLOTHES, UNIFORM AND LAUNDRY",V000868954
ROCHDALE BOROUGH COUNCIL,11/02/2015,EARLY HELP AND SCHOOLS,THE WILLOWS PRIVATE DAY NURSERY,11/02/2015,720,SEN COSTS MET BY SCHOOLS,V000869026
ROCHDALE BOROUGH COUNCIL,12/02/2015,EARLY HELP AND SCHOOLS,SCAMPS PRE-SCHOOL PLAYGROUP,12/02/2015,538.2,SEN COSTS MET BY SCHOOLS,V000869032
ROCHDALE BOROUGH COUNCIL,18/02/2015,EARLY HELP AND SCHOOLS,SCAMPS PRE-SCHOOL PLAYGROUP,18/02/2015,840,SEN COSTS MET BY SCHOOLS,V000869033
ROCHDALE BOROUGH COUNCIL,06/02/2015,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,06/02/2015,2034.06,MISC CHARGES,V000869469
ROCHDALE BOROUGH COUNCIL,06/02/2015,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,06/02/2015,23221.25,MEALS,V000869471
ROCHDALE BOROUGH COUNCIL,12/02/2015,EARLY HELP AND SCHOOLS,SCAMPS PRE-SCHOOL PLAYGROUP,12/02/2015,523.8,SEN COSTS MET BY SCHOOLS,V000869473
ROCHDALE BOROUGH COUNCIL,09/02/2015,LEARNING DIS & MENTAL HEALTH,PANZTEL UK LTD,09/02/2015,4576,SOFTWARE,V000869516
ROCHDALE BOROUGH COUNCIL,03/02/2015,CUSTOMERS & CORPORATE SERVICES,ASTRA ALARMS SYSTEMS LTD,03/02/2015,4030,SECURITY,V000869526
ROCHDALE BOROUGH COUNCIL,17/02/2015,PHYSICAL DIS & OLDER PEOPLE,LANCASHIRE COUNTY COUNCIL,17/02/2015,2209.5,RESIDENTIAL LONG TERM,V000869532
ROCHDALE BOROUGH COUNCIL,20/02/2015,EARLY HELP AND SCHOOLS,POSITIVE STEPS,20/02/2015,50500,EXTERNALLY MANAGED FUNDS,V000869533
ROCHDALE BOROUGH COUNCIL,18/02/2015,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,18/02/2015,11956.04,SERVICE LEVEL AGREEMENTS,V000869637
ROCHDALE BOROUGH COUNCIL,09/02/2015,ECONOMY AND ENVIRONMENT,ROCHDALE TRAINING ASSOCIATION LIMITED,09/02/2015,7228.6,TRAINING-QUALIFICATION,V000869652
ROCHDALE BOROUGH COUNCIL,13/02/2015,ECONOMY AND ENVIRONMENT,ROCHDALE CONNECTION TRUST,13/02/2015,1000,PROJECT & ACTIVITIES,V000869661
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LTD,02/02/2015,-721,PRINTING,V000869664
ROCHDALE BOROUGH COUNCIL,03/02/2015,CUSTOMERS & CORPORATE SERVICES,GROUNDWORK LANDSCAPES LIMITED,03/02/2015,580,IMPROVEMENTS-MODERNISATION,V000869676
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LTD,02/02/2015,-924.08,PRINTING,V000869727
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LTD,02/02/2015,-569.69,PRINTING,V000869728
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LTD,02/02/2015,-1589.95,PRINTING,V000869729
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LTD,02/02/2015,-744.74,PRINTING,V000869740
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LTD,02/02/2015,-628.91,PRINTING,V000869742
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LTD,02/02/2015,-1013.04,PRINTING,V000869743
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,ROYAL TOWN PLANNING INSTITUTUE,04/02/2015,800,TRAINING,V000869793
ROCHDALE BOROUGH COUNCIL,04/02/2015,EARLY HELP AND SCHOOLS,MOTT MACDONALD LIMITED,04/02/2015,3606.87,CONSULTANTS FEES,V000869836
ROCHDALE BOROUGH COUNCIL,05/02/2015,LEARNING DIS & MENTAL HEALTH,MAKING SPACE,05/02/2015,12575,VOLUNTARY ASSOCIATIONS,V000869867
ROCHDALE BOROUGH COUNCIL,09/02/2015,PUBLIC HEALTH,THE LESBIAN & GAY FOUNDATION,09/02/2015,2040,SERVICE LEVEL AGREEMENTS,V000869884
ROCHDALE BOROUGH COUNCIL,03/02/2015,PROPERTY AND HIGHWAYS,KABERRY CONSTRUCTION LIMITED,03/02/2015,892.8,REPAIRS & ALTS OF BUILDINGS,V000869889
ROCHDALE BOROUGH COUNCIL,03/02/2015,CUSTOMERS & CORPORATE SERVICES,KASHMIR YOUTH PROJECT,03/02/2015,2500,GRANTS AND SUBSCRIPTIONS - GENERAL,V000869899
ROCHDALE BOROUGH COUNCIL,05/02/2015,CUSTOMERS & CORPORATE SERVICES,VODAFONE LIMITED - THUS,05/02/2015,1193.99,TELEPHONE EXPENDITURE,V000869904
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,02/02/2015,1923.48,PRINTING,V000869909
ROCHDALE BOROUGH COUNCIL,13/02/2015,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,5735.38,GAS,V000869917
ROCHDALE BOROUGH COUNCIL,13/02/2015,PROPERTY AND HIGHWAYS,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,3858.62,GAS,V000869919
ROCHDALE BOROUGH COUNCIL,13/02/2015,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,1767.56,GAS,V000869933
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,1200.58,GAS,V000869934
ROCHDALE BOROUGH COUNCIL,09/02/2015,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,09/02/2015,15000,ROADWORKS,V000869963
ROCHDALE BOROUGH COUNCIL,17/02/2015,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,17/02/2015,2962.97,HEALTH AUTH - SERVICE LEVEL AGREEMENT,V000869990
ROCHDALE BOROUGH COUNCIL,13/02/2015,ECONOMY AND ENVIRONMENT,GO PLANT LIMITED,13/02/2015,2310,TRANSACTIONS-EXPENDITURE,V000869992
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,1125.94,GAS,V000869993
ROCHDALE BOROUGH COUNCIL,04/02/2015,FINANCE SERVICES,MERITEC LIMITED,04/02/2015,6734,AGENCY STAFF,V000870018
ROCHDALE BOROUGH COUNCIL,10/02/2015,LEARNING DIS & MENTAL HEALTH,MENCAP,10/02/2015,-1089.51,PERSONAL BUDGETS - MANAGED,V000870062
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,HILLSIDE PRINTING SERVICES LIMITED,03/02/2015,600,PRINTING,V000870089
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,D A WILKINSON,03/02/2015,1933,"TREES, SHRUBS, PLANTS",V000870108
ROCHDALE BOROUGH COUNCIL,20/02/2015,LEARNING DIS & MENTAL HEALTH,PENNINE CARE NHS,20/02/2015,9250,RENTS,V000870462
ROCHDALE BOROUGH COUNCIL,05/02/2015,ECONOMY AND ENVIRONMENT,THE BIGGER BOAT DESIGN AND  MARKETING LIMITED,05/02/2015,2275,PROJECT & ACTIVITIES,V000870471
ROCHDALE BOROUGH COUNCIL,20/02/2015,FINANCE SERVICES,CIVICA UK LIMITED,20/02/2015,1500,SOFTWARE,V000870475
ROCHDALE BOROUGH COUNCIL,26/02/2015,FINANCE SERVICES,TRAFFORD MBC,26/02/2015,102631.67,OTHER LOCAL AUTHORITIES,V000870481
ROCHDALE BOROUGH COUNCIL,02/02/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,02/02/2015,1658.25,SERVICE LEVEL AGREEMENTS,V000870487
ROCHDALE BOROUGH COUNCIL,03/02/2015,EARLY HELP AND SCHOOLS,DR CAROLINE WHITE,03/02/2015,8220,PROJECT & ACTIVITIES,V000870491
ROCHDALE BOROUGH COUNCIL,26/02/2015,CUSTOMERS & CORPORATE SERVICES,THE LESBIAN & GAY FOUNDATION,26/02/2015,1000,EXPENSES - GENERAL,V000870493
ROCHDALE BOROUGH COUNCIL,04/02/2015,EARLY HELP AND SCHOOLS,G W THEATRE COMPANY LIMITED,04/02/2015,20000,PROJECT & ACTIVITIES,V000870527
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,JPR ASBESTOS SERVICES LTD,04/02/2015,960,ASBESTOS SURVEY,V000870529
ROCHDALE BOROUGH COUNCIL,26/02/2015,ECONOMY AND ENVIRONMENT,WARDLE ACADEMY,26/02/2015,1000,PROJECT & ACTIVITIES,V000870540
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,AECOM PROFESSIONAL SERVICES LTD,04/02/2015,4050,SURVEYORS FEES,V000870552
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,02/02/2015,1871.7,PRINTING,V000870553
ROCHDALE BOROUGH COUNCIL,02/02/2015,ECONOMY AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,02/02/2015,542.08,BUDGET TO BE ALLOCATED,V000870615
ROCHDALE BOROUGH COUNCIL,26/02/2015,CUSTOMERS & CORPORATE SERVICES,ROCHDALE DEVELOPMENT AGENCY,26/02/2015,500,PROJECT & ACTIVITIES,V000870622
ROCHDALE BOROUGH COUNCIL,26/02/2015,CUSTOMERS & CORPORATE SERVICES,ROCHDALE DEVELOPMENT AGENCY,26/02/2015,500,PROJECT & ACTIVITIES,V000870622
ROCHDALE BOROUGH COUNCIL,26/02/2015,CUSTOMERS & CORPORATE SERVICES,ROCHDALE DEVELOPMENT AGENCY,26/02/2015,500,PROJECT & ACTIVITIES,V000870622
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,ROCHDALE CIRCULAR DISTRIBUTORS,04/02/2015,810,DELIVERY CHARGES,V000870624
ROCHDALE BOROUGH COUNCIL,20/02/2015,CHILDREN’S SOCIAL CARE,BEDSPACE RESOURCE,20/02/2015,1250,EDB PLACEMENTS,V000870676
ROCHDALE BOROUGH COUNCIL,12/02/2015,CHILDREN’S SOCIAL CARE,BEDSPACE RESOURCE,12/02/2015,1250,EDB PLACEMENTS,V000870677
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,URBAN VISION PARTNERSHIP LTD,03/02/2015,5572,AGENCY STAFF,V000870752
ROCHDALE BOROUGH COUNCIL,03/02/2015,PHYSICAL DIS & OLDER PEOPLE,MICK TAYLOR LIMITED,03/02/2015,4625,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000870759
ROCHDALE BOROUGH COUNCIL,06/02/2015,PHYSICAL DIS & OLDER PEOPLE,NEWLINE ADAPTATIONS LTD,06/02/2015,2660,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000870760
ROCHDALE BOROUGH COUNCIL,10/02/2015,ECONOMY AND ENVIRONMENT,GRS ELECTRICAL,10/02/2015,500,LAND-ACQUISITION,V000870769
ROCHDALE BOROUGH COUNCIL,06/02/2015,PUBLIC HEALTH,REACH TRAINING UK LTD,06/02/2015,580,TRAINING,V000870775
ROCHDALE BOROUGH COUNCIL,17/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,17/02/2015,1086.65,PRINTING & STATIONERY,V000870776
ROCHDALE BOROUGH COUNCIL,17/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,17/02/2015,1806.57,POSTAGE,V000870776
ROCHDALE BOROUGH COUNCIL,04/02/2015,CHILDREN’S SOCIAL CARE,THE ADOLESCENT AND CHILDRENS TRUST,04/02/2015,2972.28,FOSTER PARENTS BASIC ALLOWANCE,V000870785
ROCHDALE BOROUGH COUNCIL,06/02/2015,EARLY HELP AND SCHOOLS,TOURISM QUALITY SERVICES LIMITED,06/02/2015,715,SUBSCRIPTIONS,V000870788
ROCHDALE BOROUGH COUNCIL,06/02/2015,ECONOMY AND ENVIRONMENT,ORCHARD  RECYCLING SERVICE LTD,06/02/2015,900,EQUIPMENT - GENERAL,V000870792
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,11/02/2015,616.32,PRINTING & STATIONERY,V000871135
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,11/02/2015,2598.27,POSTAGE,V000871135
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,11/02/2015,533.15,PRINTING & STATIONERY,V000871136
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,11/02/2015,1696.51,POSTAGE,V000871136
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,11/02/2015,1544.83,POSTAGE,V000871137
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,11/02/2015,674.3,PRINTING & STATIONERY,V000871138
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,11/02/2015,2592.9,POSTAGE,V000871138
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,02/02/2015,1131.33,PRINTING,V000871157
ROCHDALE BOROUGH COUNCIL,12/02/2015,PROPERTY AND HIGHWAYS,GMCA,12/02/2015,12896.79,ROADWORKS,V000871158
ROCHDALE BOROUGH COUNCIL,12/02/2015,PROPERTY AND HIGHWAYS,GMCA,12/02/2015,23163.57,ROADWORKS,V000871161
ROCHDALE BOROUGH COUNCIL,16/02/2015,CUSTOMERS & CORPORATE SERVICES,GTR MANCH WEST MENTAL HEALTH NHS FOUNDATION TRUST,16/02/2015,5520,SERVICES - GENERAL,V000871170
ROCHDALE BOROUGH COUNCIL,06/02/2015,EARLY HELP AND SCHOOLS,LAPTOP HOUSE LIMITED,06/02/2015,944.36,PROJECT & ACTIVITIES,V000871178
